 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  1;  1;  5.0000;  5.0000;  8824;    13;   157; 21209; 30203;0.004796;0.000027;0.004824;0.292587;0.994371;0.292156;1.000000;1.000000;1.000000;0.141131;0.140923;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013892;0.013892;0.000000;0.004082;0.004082
 All;  1;  2;  5.0000; 15.0000;  1210;     0;   209; 28774; 30193;0.004790;0.000033;0.004824;0.040076;0.993078;0.040076;1.000000;1.000000;1.000000;0.019331;0.019331;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013874;0.013874;0.000000;0.000560;0.000560
 All;  1;  3;  5.0000; 25.0000;   583;     2;   168; 29439; 30192;0.004796;0.000027;0.004824;0.019376;0.994369;0.019310;1.000000;1.000000;1.000000;0.009346;0.009314;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013892;0.013892;0.000000;0.000270;0.000270
 All;  1;  4;  5.0000; 35.0000;  4053;    11;   180; 25943; 30187;0.004793;0.000031;0.004824;0.134627;0.993673;0.134263;1.000000;1.000000;1.000000;0.064938;0.064763;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013883;0.013883;0.000000;0.001876;0.001876
 All;  1;  5;  5.0000; 45.0000; 26341;   129;     4;  3719; 30193;0.004802;0.000021;0.004824;0.876693;0.995595;0.872421;1.000000;1.000000;1.000000;0.422878;0.420817;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013909;0.013909;0.000000;0.012189;0.012189
 All;  1;  6;  5.0000; 55.0000; 30023;   171;     0;     0; 30194;0.004796;0.000027;0.004824;1.000000;0.994337;0.994337;1.000000;1.000000;1.000000;0.482356;0.479624;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013892;0.013892;0.000000;0.013892;0.013892
 All;  1;  7;  5.0000; 65.0000; 29969;   224;     0;     0; 30193;0.004788;0.000036;0.004824;1.000000;0.992581;0.992581;1.000000;1.000000;1.000000;0.482356;0.478777;0.000838;0.000422;0.002473;0.013971;0.016443;0.002473;0.013867;0.016340;0.002473;0.013867;0.016340
 All;  1;  8;  5.0000; 75.0000; 29949;   250;     0;     0; 30199;0.004784;0.000040;0.004824;1.000000;0.991722;0.991722;1.000000;1.000000;1.000000;0.482356;0.478363;0.000838;0.000422;0.002555;0.013971;0.016526;0.002555;0.013855;0.016410;0.002555;0.013855;0.016410
 All;  1;  9;  5.0000; 85.0000; 29949;   260;     0;     0; 30209;0.004782;0.000042;0.004824;1.000000;0.991393;0.991393;1.000000;1.000000;1.000000;0.482356;0.478205;0.000838;0.000422;0.001893;0.013971;0.015864;0.001893;0.013851;0.015744;0.001893;0.013851;0.015744
 All;  1; 10;  5.0000; 95.0000; 30033;   170;     0;     0; 30203;0.004796;0.000027;0.004824;1.000000;0.994371;0.994371;1.000000;1.000000;1.000000;0.482356;0.479641;0.000838;0.000422;0.001814;0.013971;0.015785;0.001814;0.013892;0.015706;0.001814;0.013892;0.015706
 All;  1; 11;  5.0000;105.0000; 29984;   209;     0;     0; 30193;0.004790;0.000033;0.004824;1.000000;0.993078;0.993078;1.000000;1.000000;1.000000;0.482356;0.479017;0.000838;0.000422;0.002099;0.013971;0.016070;0.002099;0.013874;0.015974;0.002099;0.013874;0.015974
 All;  1; 12;  5.0000;115.0000; 30022;   170;     0;     0; 30192;0.004796;0.000027;0.004824;1.000000;0.994369;0.994369;1.000000;1.000000;1.000000;0.482356;0.479640;0.000838;0.000422;0.002827;0.013971;0.016798;0.002827;0.013892;0.016719;0.002827;0.013892;0.016719
 All;  1; 13;  5.0000;125.0000; 29709;   191;     0;   287; 30187;0.004793;0.000031;0.004824;0.990493;0.993673;0.984165;1.000000;1.000000;1.000000;0.477770;0.474718;0.000838;0.000422;0.006429;0.013971;0.020400;0.006429;0.013883;0.020312;0.006429;0.013750;0.020179
 All;  1; 14;  5.0000;135.0000;  7306;    12;   121; 22754; 30193;0.004802;0.000021;0.004824;0.242374;0.995595;0.241977;1.000000;1.000000;1.000000;0.116911;0.116719;0.000838;0.000422;0.000643;0.013971;0.014613;0.000643;0.013909;0.014552;0.000643;0.003381;0.004023
 All;  1; 15;  5.0000;145.0000; 14695;     1;   170; 15328; 30194;0.004796;0.000027;0.004824;0.486719;0.994337;0.486686;1.000000;1.000000;1.000000;0.234772;0.234756;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013892;0.013892;0.000000;0.006799;0.006799
 All;  1; 16;  5.0000;155.0000; 14562;    60;   164; 15407; 30193;0.004788;0.000036;0.004824;0.484284;0.992581;0.482297;1.000000;1.000000;1.000000;0.233598;0.232639;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013867;0.013867;0.000000;0.006738;0.006738
 All;  1; 17;  5.0000;165.0000;  1386;     6;   244; 28563; 30199;0.004784;0.000040;0.004824;0.046094;0.991722;0.045896;1.000000;1.000000;1.000000;0.022234;0.022138;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013855;0.013855;0.000000;0.000641;0.000641
 All;  1; 18;  5.0000;175.0000;  5868;     2;   258; 24081; 30209;0.004782;0.000042;0.004824;0.194313;0.991393;0.194247;1.000000;1.000000;1.000000;0.093728;0.093696;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013851;0.013851;0.000000;0.002714;0.002714
 All;  1; 19;  5.0000;185.0000; 11651;     3;   165; 18384; 30203;0.004797;0.000027;0.004824;0.385856;0.994438;0.385756;1.000000;1.000000;1.000000;0.186120;0.186072;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013893;0.013893;0.000000;0.005389;0.005389
