,1,2,3,4,5,6,7,8,9,10,11,12
A,0.061,0.052,0.878,0.911,0.932,0.975,0.574,0.563,0.788,0.754,0.534,0.540
B,0.794,0.961,0.963,1.145,0.405,0.397,0.818,1.081,0.902,0.883,0.900,0.893
C,0.183,0.166,1.051,1.074,0.966,0.976,0.637,0.629,0.774,0.824,0.469,0.485
D,0.227,0.233,0.914,0.757,0.528,0.541,0.981,1.012,0.864,0.845,0.811,0.799
E,0.308,0.349,0.341,0.330,0.969,0.997,0.553,0.560,0.642,0.649,0.494,0.502
F,0.459,0.466,0.943,0.924,0.710,0.750,0.946,0.961,0.879,0.867,0.810,0.790
G,0.610,0.608,0.934,0.993,0.890,0.875,0.721,0.693,0.689,0.658,0.359,0.329
H,0.773,0.799,0.504,0.517,0.889,0.906,0.873,0.894,0.935,0.938,0.836,0.854



,1,2,3,4,5,6,7,8,9,10,11,12
A,Sample 1,Sample 1,Sample 9,Sample 9,Sample 17,Sample 17,Sample 25,Sample 25,Sample 33,Sample 33,Sample 41,Sample 41
B,Sample 2,Sample 2,Sample 10,Sample 10,Sample 18,Sample 18,Sample 26,Sample 26,Sample 34,Sample 34,Sample 42,Sample 42
C,Sample 3,Sample 3,Sample 11,Sample 11,Sample 19,Sample 19,Sample 27,Sample 27,Sample 35,Sample 35,Sample 43,Sample 43
D,Sample 4,Sample 4,Sample 12,Sample 12,Sample 20,Sample 20,Sample 28,Sample 28,Sample 36,Sample 36,Sample 44,Sample 44
E,Sample 5,Sample 5,Sample 13,Sample 13,Sample 21,Sample 21,Sample 29,Sample 29,Sample 37,Sample 37,Sample 45,Sample 45
F,Sample 6,Sample 6,Sample 14,Sample 14,Sample 22,Sample 22,Sample 30,Sample 30,Sample 38,Sample 38,Sample 46,Sample 46
G,Sample 7,Sample 7,Sample 15,Sample 15,Sample 23,Sample 23,Sample 31,Sample 31,Sample 39,Sample 39,Sample 47,Sample 47
H,Sample 8,Sample 8,Sample 16,Sample 16,Sample 24,Sample 24,Sample 32,Sample 32,Sample 40,Sample 40,Sample 48,Sample 48



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Concentration %CV,Standard Concentration,Concentration
1,Standard,,,---,,0,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Concentration %CV,Concentration
1,Sample 1,A1,0.061,0.056,---,,
,,A2,0.052,,,,
2,Sample 2,B1,0.794,0.877,---,,
,,B2,0.961,,,,
3,Sample 3,C1,0.183,0.174,---,,
,,C2,0.166,,,,
4,Sample 4,D1,0.227,0.230,---,,
,,D2,0.233,,,,
5,Sample 5,E1,0.308,0.329,---,,
,,E2,0.349,,,,
6,Sample 6,F1,0.459,0.463,---,,
,,F2,0.466,,,,
7,Sample 7,G1,0.610,0.609,---,,
,,G2,0.608,,,,
8,Sample 8,H1,0.773,0.786,---,,
,,H2,0.799,,,,
9,Sample 9,A3,0.878,0.895,---,,
,,A4,0.911,,,,
10,Sample 10,B3,0.963,1.054,---,,
,,B4,1.145,,,,
11,Sample 11,C3,1.051,1.063,---,,
,,C4,1.074,,,,
12,Sample 12,D3,0.914,0.835,---,,
,,D4,0.757,,,,
13,Sample 13,E3,0.341,0.335,---,,
,,E4,0.330,,,,
14,Sample 14,F3,0.943,0.934,---,,
,,F4,0.924,,,,
15,Sample 15,G3,0.934,0.964,---,,
,,G4,0.993,,,,
16,Sample 16,H3,0.504,0.510,---,,
,,H4,0.517,,,,
17,Sample 17,A5,0.932,0.953,---,,
,,A6,0.975,,,,
18,Sample 18,B5,0.405,0.401,---,,
,,B6,0.397,,,,
19,Sample 19,C5,0.966,0.971,---,,
,,C6,0.976,,,,
20,Sample 20,D5,0.528,0.535,---,,
,,D6,0.541,,,,
21,Sample 21,E5,0.969,0.983,---,,
,,E6,0.997,,,,
22,Sample 22,F5,0.710,0.730,---,,
,,F6,0.750,,,,
23,Sample 23,G5,0.890,0.883,---,,
,,G6,0.875,,,,
24,Sample 24,H5,0.889,0.898,---,,
,,H6,0.906,,,,
25,Sample 25,A7,0.574,0.568,---,,
,,A8,0.563,,,,
26,Sample 26,B7,0.818,0.950,---,,
,,B8,1.081,,,,
27,Sample 27,C7,0.637,0.633,---,,
,,C8,0.629,,,,
28,Sample 28,D7,0.981,0.997,---,,
,,D8,1.012,,,,
29,Sample 29,E7,0.553,0.557,---,,
