,1,2,3,4,5,6,7,8,9,10,11,12
A,0.064,0.067,0.972,0.967,1.068,1.064,1.045,1.035,0.903,0.901,0.919,0.897
B,1.121,1.150,1.038,1.062,0.758,0.737,0.937,0.963,0.937,0.935,0.452,0.460
C,0.197,0.186,1.067,1.093,1.039,1.027,1.053,1.072,0.997,0.989,0.970,0.999
D,0.266,0.268,0.798,0.780,0.574,0.566,0.956,0.979,0.968,0.953,0.701,0.719
E,0.390,0.375,1.082,1.044,1.036,1.032,1.050,1.053,1.008,1.033,1.008,1.034
F,0.521,0.511,0.597,0.575,0.759,0.710,0.936,0.922,0.577,0.564,0.678,0.678
G,0.686,0.699,1.054,1.065,0.987,0.917,0.652,0.644,0.942,0.955,0.982,0.981
H,0.852,0.844,0.671,0.667,0.504,0.512,1.019,1.027,0.612,0.580,0.607,0.617



,1,2,3,4,5,6,7,8,9,10,11,12
A,Sample 1,Sample 1,Sample 9,Sample 9,Sample 17,Sample 17,Sample 25,Sample 25,Sample 33,Sample 33,Sample 41,Sample 41
B,Sample 2,Sample 2,Sample 10,Sample 10,Sample 18,Sample 18,Sample 26,Sample 26,Sample 34,Sample 34,Sample 42,Sample 42
C,Sample 3,Sample 3,Sample 11,Sample 11,Sample 19,Sample 19,Sample 27,Sample 27,Sample 35,Sample 35,Sample 43,Sample 43
D,Sample 4,Sample 4,Sample 12,Sample 12,Sample 20,Sample 20,Sample 28,Sample 28,Sample 36,Sample 36,Sample 44,Sample 44
E,Sample 5,Sample 5,Sample 13,Sample 13,Sample 21,Sample 21,Sample 29,Sample 29,Sample 37,Sample 37,Sample 45,Sample 45
F,Sample 6,Sample 6,Sample 14,Sample 14,Sample 22,Sample 22,Sample 30,Sample 30,Sample 38,Sample 38,Sample 46,Sample 46
G,Sample 7,Sample 7,Sample 15,Sample 15,Sample 23,Sample 23,Sample 31,Sample 31,Sample 39,Sample 39,Sample 47,Sample 47
H,Sample 8,Sample 8,Sample 16,Sample 16,Sample 24,Sample 24,Sample 32,Sample 32,Sample 40,Sample 40,Sample 48,Sample 48



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Concentration %CV,Standard Concentration,Concentration
1,Standard,,,---,,0,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Concentration %CV,Concentration
1,Sample 1,A1,0.064,0.065,---,,
,,A2,0.067,,,,
2,Sample 2,B1,1.121,1.135,---,,
,,B2,1.150,,,,
3,Sample 3,C1,0.197,0.191,---,,
,,C2,0.186,,,,
4,Sample 4,D1,0.266,0.267,---,,
,,D2,0.268,,,,
5,Sample 5,E1,0.390,0.383,---,,
,,E2,0.375,,,,
6,Sample 6,F1,0.521,0.516,---,,
,,F2,0.511,,,,
7,Sample 7,G1,0.686,0.692,---,,
,,G2,0.699,,,,
8,Sample 8,H1,0.852,0.848,---,,
,,H2,0.844,,,,
9,Sample 9,A3,0.972,0.969,---,,
,,A4,0.967,,,,
10,Sample 10,B3,1.038,1.050,---,,
,,B4,1.062,,,,
11,Sample 11,C3,1.067,1.080,---,,
,,C4,1.093,,,,
12,Sample 12,D3,0.798,0.789,---,,
,,D4,0.780,,,,
13,Sample 13,E3,1.082,1.063,---,,
,,E4,1.044,,,,
14,Sample 14,F3,0.597,0.586,---,,
,,F4,0.575,,,,
15,Sample 15,G3,1.054,1.060,---,,
,,G4,1.065,,,,
16,Sample 16,H3,0.671,0.669,---,,
,,H4,0.667,,,,
17,Sample 17,A5,1.068,1.066,---,,
,,A6,1.064,,,,
18,Sample 18,B5,0.758,0.748,---,,
,,B6,0.737,,,,
19,Sample 19,C5,1.039,1.033,---,,
,,C6,1.027,,,,
20,Sample 20,D5,0.574,0.570,---,,
,,D6,0.566,,,,
21,Sample 21,E5,1.036,1.034,---,,
,,E6,1.032,,,,
22,Sample 22,F5,0.759,0.735,---,,
,,F6,0.710,,,,
23,Sample 23,G5,0.987,0.952,---,,
,,G6,0.917,,,,
24,Sample 24,H5,0.504,0.508,---,,
,,H6,0.512,,,,
25,Sample 25,A7,1.045,1.040,---,,
,,A8,1.035,,,,
26,Sample 26,B7,0.937,0.950,---,,
,,B8,0.963,,,,
27,Sample 27,C7,1.053,1.062,---,,
,,C8,1.072,,,,
28,Sample 28,D7,0.956,0.968,---,,
,,D8,0.979,,,,
29,Sample 29,E7,1.050,1.052,---,,
