#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,04/23/2021 13:08:51,26.40,37.57,10.79,,
2,04/23/2021 13:13:51,25.49,35.96,9.33,,
3,04/23/2021 13:18:51,25.21,38.22,9.99,,
4,04/23/2021 13:23:51,25.15,38.39,10.00,,
5,04/23/2021 13:28:51,25.10,38.34,9.94,,
6,04/23/2021 13:33:51,24.63,37.88,9.34,,
7,04/23/2021 13:38:51,24.71,39.45,10.01,,
8,04/23/2021 13:43:51,25.18,36.70,9.35,,
9,04/23/2021 13:48:51,24.65,38.11,9.45,,
10,04/23/2021 13:53:51,25.13,38.40,9.98,,
11,04/23/2021 13:58:51,24.75,38.78,9.80,,
12,04/23/2021 14:03:51,24.82,38.11,9.59,,
13,04/23/2021 14:08:51,24.90,37.93,9.60,,
14,04/23/2021 14:13:51,25.18,37.38,9.63,,
15,04/23/2021 14:18:51,25.28,37.71,9.84,,
16,04/23/2021 14:23:51,25.77,37.60,10.24,,
17,04/23/2021 14:28:51,25.96,36.65,10.02,,
18,04/23/2021 14:33:51,25.50,37.47,9.95,,
19,04/23/2021 14:38:51,25.53,36.86,9.73,,
20,04/23/2021 14:43:51,25.64,36.41,9.64,,
21,04/23/2021 14:48:51,25.61,38.32,10.38,,
22,04/23/2021 14:53:51,25.73,36.67,9.83,,
23,04/23/2021 14:58:51,25.88,36.61,9.93,,
24,04/23/2021 15:03:51,25.47,36.75,9.63,,
25,04/23/2021 15:08:51,25.50,36.19,9.43,,
26,04/23/2021 15:13:51,25.42,36.23,9.37,,
27,04/23/2021 15:18:51,25.58,36.11,9.47,,
28,04/23/2021 15:23:51,25.67,34.94,9.06,,
29,04/23/2021 15:28:51,25.57,36.16,9.47,,
30,04/23/2021 15:33:51,25.51,36.83,9.70,,
31,04/23/2021 15:38:51,25.90,35.83,9.63,,
32,04/23/2021 15:43:51,25.98,36.56,10.01,,
33,04/23/2021 15:48:51,26.35,34.87,9.62,,
34,04/23/2021 15:53:51,26.11,35.65,9.74,,
35,04/23/2021 15:58:51,25.67,35.85,9.44,,
36,04/23/2021 16:03:51,25.30,37.83,9.91,,
37,04/23/2021 16:08:51,25.47,37.34,9.87,,
38,04/23/2021 16:13:51,25.46,37.14,9.78,,
39,04/23/2021 16:18:51,25.50,37.14,9.82,,
40,04/23/2021 16:23:51,25.63,37.05,9.89,,
41,04/23/2021 16:28:51,25.32,38.78,10.30,,
42,04/23/2021 16:33:51,25.20,37.92,9.86,,
43,04/23/2021 16:38:51,24.95,39.62,10.30,,
44,04/23/2021 16:43:51,24.76,39.87,10.22,,
45,04/23/2021 16:48:51,24.50,40.67,10.29,,
46,04/23/2021 16:53:51,24.29,41.83,10.52,,
47,04/23/2021 16:58:51,23.89,41.92,10.19,,
48,04/23/2021 17:03:51,23.52,43.14,10.28,,
49,04/23/2021 17:08:51,23.28,43.10,10.06,,
50,04/23/2021 17:13:51,23.12,42.99,9.87,,
51,04/23/2021 17:18:51,22.22,45.28,9.83,,
52,04/23/2021 17:23:51,21.57,46.04,9.48,,
53,04/23/2021 17:28:51,21.02,46.80,9.23,,
54,04/23/2021 17:33:51,20.47,47.64,8.99,,
55,04/23/2021 17:38:51,20.21,48.77,9.11,,
56,04/23/2021 17:43:51,20.09,48.97,9.05,,
57,04/23/2021 17:48:51,19.95,49.60,9.11,,
58,04/23/2021 17:53:51,19.68,50.00,8.98,,
59,04/23/2021 17:58:51,19.38,51.03,9.01,,
60,04/23/2021 18:03:51,19.17,51.41,8.93,,
61,04/23/2021 18:08:51,19.12,51.66,8.95,,
62,04/23/2021 18:13:51,18.91,52.55,9.01,,
63,04/23/2021 18:18:51,18.52,53.18,8.83,,
64,04/23/2021 18:23:51,18.33,53.64,8.78,,
65,04/23/2021 18:28:51,18.00,54.13,8.61,,
66,04/23/2021 18:33:51,17.76,54.56,8.50,,
67,04/23/2021 18:38:51,17.58,55.02,8.45,,
68,04/23/2021 18:43:51,17.37,55.22,8.32,,
69,04/23/2021 18:48:51,17.17,55.49,8.20,,
70,04/23/2021 18:53:51,17.03,55.76,8.14,,
71,04/23/2021 18:58:51,16.89,55.90,8.05,,
72,04/23/2021 19:03:51,16.77,55.87,7.93,,
73,04/23/2021 19:08:51,16.72,53.20,7.16,,
74,04/23/2021 19:13:51,16.54,52.96,6.93,,
75,04/23/2021 19:18:51,16.26,53.58,6.84,,
76,04/23/2021 19:23:51,15.93,54.11,6.68,,
77,04/23/2021 19:28:51,15.70,55.06,6.71,,
78,04/23/2021 19:33:51,15.37,56.02,6.66,,
79,04/23/2021 19:38:51,15.12,56.72,6.61,,
80,04/23/2021 19:43:51,14.86,57.85,6.65,,
81,04/23/2021 19:48:51,14.66,58.74,6.68,,
82,04/23/2021 19:53:51,14.47,59.64,6.72,,
83,04/23/2021 19:58:51,14.30,60.53,6.79,,
84,04/23/2021 20:03:51,14.12,61.44,6.83,,
85,04/23/2021 20:08:51,13.93,62.35,6.86,,
86,04/23/2021 20:13:51,13.79,62.82,6.84,,
87,04/23/2021 20:18:51,13.62,63.58,6.85,,
88,04/23/2021 20:23:51,13.46,64.21,6.84,,
89,04/23/2021 20:28:51,13.23,65.27,6.87,,
90,04/23/2021 20:33:51,13.08,66.21,6.94,,
91,04/23/2021 20:38:51,12.93,66.64,6.89,,
92,04/23/2021 20:43:51,12.85,66.95,6.87,,
93,04/23/2021 20:48:51,12.74,67.64,6.92,,
94,04/23/2021 20:53:51,12.66,67.90,6.90,,
95,04/23/2021 20:58:51,12.55,67.76,6.76,,
96,04/23/2021 21:03:51,12.45,67.86,6.69,,
97,04/23/2021 21:08:51,12.31,68.27,6.64,,
98,04/23/2021 21:13:51,12.26,68.89,6.72,,
99,04/23/2021 21:18:51,12.21,68.93,6.69,,
100,04/23/2021 21:23:51,12.14,69.18,6.67,,
101,04/23/2021 21:28:51,12.10,69.15,6.63,,
102,04/23/2021 21:33:51,12.04,69.60,6.67,,
103,04/23/2021 21:38:51,12.04,69.39,6.62,,
104,04/23/2021 21:43:51,11.99,69.73,6.64,,
105,04/23/2021 21:48:51,11.93,70.10,6.67,,
106,04/23/2021 21:53:51,11.86,70.08,6.59,,
107,04/23/2021 21:58:51,11.82,70.15,6.57,,
108,04/23/2021 22:03:51,11.78,70.13,6.53,,
109,04/23/2021 22:08:51,11.78,70.24,6.55,,
110,04/23/2021 22:13:51,11.75,70.62,6.60,,
111,04/23/2021 22:18:51,11.70,70.78,6.58,,
112,04/23/2021 22:23:51,11.68,70.76,6.56,,
113,04/23/2021 22:28:51,11.67,70.77,6.55,,
114,04/23/2021 22:33:51,11.61,70.83,6.51,,
115,04/23/2021 22:38:51,11.55,71.18,6.52,,
116,04/23/2021 22:43:51,11.46,71.30,6.46,,
117,04/23/2021 22:48:51,11.43,71.28,6.43,,
118,04/23/2021 22:53:51,11.42,71.70,6.50,,
119,04/23/2021 22:58:51,11.47,71.46,6.50,,
120,04/23/2021 23:03:51,11.43,71.71,6.51,,
121,04/23/2021 23:08:51,11.48,71.64,6.55,,
122,04/23/2021 23:13:51,11.51,71.42,6.53,,
123,04/23/2021 23:18:51,11.49,71.56,6.55,,
124,04/23/2021 23:23:51,11.43,71.82,6.54,,
