#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,06/10/2021 13:53:00,29.46,28.56,9.35,,
2,06/10/2021 13:58:00,26.82,30.03,7.82,,
3,06/10/2021 14:03:00,24.84,30.35,6.27,,
4,06/10/2021 14:08:00,23.85,34.77,7.38,,
5,06/10/2021 14:13:00,23.35,35.69,7.32,,
6,06/10/2021 14:18:00,23.26,35.48,7.16,,
7,06/10/2021 14:23:00,23.00,34.19,6.39,,
8,06/10/2021 14:28:00,22.95,33.67,6.13,,
9,06/10/2021 14:33:00,22.82,35.42,6.75,,
10,06/10/2021 14:38:00,22.82,34.96,6.56,,
11,06/10/2021 14:43:00,23.02,31.77,5.36,,
12,06/10/2021 14:48:00,22.79,33.67,5.99,,
13,06/10/2021 14:53:00,22.87,37.81,7.75,,
14,06/10/2021 14:58:00,22.92,34.32,6.38,,
15,06/10/2021 15:03:00,22.77,37.84,7.67,,
16,06/10/2021 15:08:00,22.93,39.99,8.62,,
17,06/10/2021 15:13:00,23.13,32.85,5.93,,
18,06/10/2021 15:18:00,23.02,35.57,6.99,,
19,06/10/2021 15:23:00,23.05,34.57,6.59,,
20,06/10/2021 15:28:00,23.09,35.65,7.08,,
21,06/10/2021 15:33:00,23.12,33.74,6.31,,
22,06/10/2021 15:38:00,22.98,35.18,6.79,,
23,06/10/2021 15:43:00,22.93,34.51,6.46,,
24,06/10/2021 15:48:00,23.05,33.75,6.24,,
25,06/10/2021 15:53:00,23.08,38.44,8.17,,
26,06/10/2021 15:58:00,23.07,35.73,7.09,,
27,06/10/2021 16:03:00,23.11,34.65,6.69,,
28,06/10/2021 16:08:00,23.10,35.69,7.10,,
29,06/10/2021 16:13:00,23.06,34.95,6.76,,
30,06/10/2021 16:18:00,23.06,36.29,7.31,,
31,06/10/2021 16:23:00,23.09,39.14,8.45,,
32,06/10/2021 16:28:00,23.10,38.22,8.11,,
33,06/10/2021 16:33:00,23.34,35.94,7.42,,
34,06/10/2021 16:38:00,23.41,35.27,7.21,,
35,06/10/2021 16:43:00,23.68,37.78,8.45,,
36,06/10/2021 16:48:00,23.77,35.07,7.45,,
37,06/10/2021 16:53:00,24.16,32.98,6.89,,
38,06/10/2021 16:58:00,24.51,33.78,7.55,,
39,06/10/2021 17:03:00,24.90,35.02,8.41,,
40,06/10/2021 17:08:00,25.18,32.63,7.62,,
41,06/10/2021 17:13:00,25.39,33.94,8.39,,
42,06/10/2021 17:18:00,25.68,31.77,7.67,,
43,06/10/2021 17:23:00,25.69,38.59,10.56,,
44,06/10/2021 17:28:00,25.53,34.73,8.85,,
45,06/10/2021 17:33:00,25.67,33.46,8.42,,
46,06/10/2021 17:38:00,25.59,33.99,8.58,,
47,06/10/2021 17:43:00,25.60,32.27,7.82,,
48,06/10/2021 17:48:00,25.75,32.47,8.04,,
49,06/10/2021 17:53:00,25.45,34.08,8.49,,
50,06/10/2021 17:58:00,24.73,34.27,7.94,,
51,06/10/2021 18:03:00,23.95,36.02,7.99,,
52,06/10/2021 18:08:00,23.37,35.98,7.46,,
53,06/10/2021 18:13:00,23.03,36.14,7.23,,
54,06/10/2021 18:18:00,22.91,37.22,7.55,,
55,06/10/2021 18:23:00,22.75,37.31,7.44,,
56,06/10/2021 18:28:00,22.68,38.70,7.92,,
57,06/10/2021 18:33:00,22.29,36.87,6.87,,
58,06/10/2021 18:38:00,21.99,37.33,6.78,,
59,06/10/2021 18:43:00,21.76,38.79,7.13,,
60,06/10/2021 18:48:00,21.81,36.81,6.42,,
61,06/10/2021 18:53:00,21.47,39.15,7.01,,
62,06/10/2021 18:58:00,21.24,38.89,6.71,,
63,06/10/2021 19:03:00,21.13,39.50,6.83,,
64,06/10/2021 19:08:00,20.93,40.26,6.94,,
65,06/10/2021 19:13:00,20.76,39.02,6.33,,
66,06/10/2021 19:18:00,20.66,39.87,6.56,,
67,06/10/2021 19:23:00,20.47,39.84,6.37,,
68,06/10/2021 19:28:00,20.33,39.91,6.27,,
69,06/10/2021 19:33:00,20.21,40.16,6.26,,
70,06/10/2021 19:38:00,20.05,40.09,6.09,,
71,06/10/2021 19:43:00,19.86,40.66,6.12,,
72,06/10/2021 19:48:00,19.69,40.28,5.83,,
73,06/10/2021 19:53:00,19.57,41.51,6.16,,
74,06/10/2021 19:58:00,19.48,42.22,6.33,,
75,06/10/2021 20:03:00,19.27,42.07,6.08,,
76,06/10/2021 20:08:00,19.11,41.10,5.60,,
77,06/10/2021 20:13:00,18.94,41.97,5.75,,
78,06/10/2021 20:18:00,18.76,41.42,5.39,,
79,06/10/2021 20:23:00,18.57,43.02,5.77,,
80,06/10/2021 20:28:00,18.44,43.84,5.93,,
81,06/10/2021 20:33:00,18.34,42.11,5.25,,
82,06/10/2021 20:38:00,18.25,43.10,5.51,,
83,06/10/2021 20:43:00,18.12,43.14,5.41,,
84,06/10/2021 20:48:00,17.99,42.04,4.92,,
85,06/10/2021 20:53:00,17.85,41.80,4.71,,
86,06/10/2021 20:58:00,17.85,42.09,4.81,,
87,06/10/2021 21:03:00,17.81,41.98,4.74,,
88,06/10/2021 21:08:00,17.70,41.76,4.56,,
89,06/10/2021 21:13:00,17.63,42.74,4.83,,
