#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
1,05/01/2021 09:20:44,21.19,47.51,9.61,,,
2,05/01/2021 09:25:44,19.16,53.43,9.49,,,
3,05/01/2021 09:30:44,18.06,57.70,9.61,,,
4,05/01/2021 09:35:44,17.53,58.21,9.25,,,
5,05/01/2021 09:40:44,17.11,59.16,9.10,,,
6,05/01/2021 09:45:44,17.09,60.48,9.40,,,
7,05/01/2021 09:50:44,17.37,60.06,9.56,,,
8,05/01/2021 09:55:44,17.66,61.40,10.16,,,
9,05/01/2021 10:00:44,17.90,59.62,9.95,,,
10,05/01/2021 10:05:44,17.97,57.73,9.54,,,
11,05/01/2021 10:10:44,18.11,58.81,9.94,,,
12,05/01/2021 10:15:44,18.51,57.90,10.08,,,
13,05/01/2021 10:20:44,18.81,57.51,10.26,,,
14,05/01/2021 10:25:44,18.94,56.96,10.24,,,
15,05/01/2021 10:30:44,19.15,54.21,9.70,,,
16,05/01/2021 10:35:44,19.32,53.98,9.79,,,
17,05/01/2021 10:40:44,19.54,55.07,10.29,,,
18,05/01/2021 10:45:44,19.84,54.68,10.46,,,
19,05/01/2021 10:50:44,20.07,53.64,10.40,,,
20,05/01/2021 10:55:44,20.37,53.86,10.74,,,
21,05/01/2021 11:00:44,20.68,53.59,10.94,,,
22,05/01/2021 11:05:44,20.88,52.42,10.80,,,
23,05/01/2021 11:10:44,20.93,51.74,10.65,,,
24,05/01/2021 11:15:44,21.28,53.42,11.45,,,
25,05/01/2021 11:20:44,21.60,51.88,11.30,,,
26,05/01/2021 11:25:44,21.80,51.39,11.35,,,
27,05/01/2021 11:30:44,21.99,52.10,11.73,,,
28,05/01/2021 11:35:44,22.20,50.15,11.35,,,
29,05/01/2021 11:40:44,22.48,49.54,11.42,,,
30,05/01/2021 11:45:44,22.67,49.26,11.51,,,
31,05/01/2021 11:50:44,22.88,48.80,11.56,,,
32,05/01/2021 11:55:44,23.26,46.90,11.31,,,
33,05/01/2021 12:00:44,23.51,47.77,11.81,,,
34,05/01/2021 12:05:44,23.83,48.84,12.44,,,
35,05/01/2021 12:10:44,24.00,46.73,11.92,,,
36,05/01/2021 12:15:44,24.15,45.47,11.65,,,
37,05/01/2021 12:20:44,24.21,45.91,11.85,,,
38,05/01/2021 12:25:44,24.44,46.53,12.26,,,
39,05/01/2021 12:30:44,24.71,43.69,11.55,,,
40,05/01/2021 12:35:44,24.79,44.34,11.85,,,
41,05/01/2021 12:40:44,25.03,44.92,12.26,,,
42,05/01/2021 12:45:44,25.34,44.46,12.39,,,
43,05/01/2021 12:50:44,25.46,42.39,11.77,,,
44,05/01/2021 12:55:44,25.61,42.29,11.87,,,
45,05/01/2021 13:00:44,25.96,43.56,12.63,,,
46,05/01/2021 13:05:44,26.02,42.29,12.23,,,
47,05/01/2021 13:10:44,26.23,42.60,12.54,,,
48,05/01/2021 13:15:44,26.40,41.17,12.17,,,
49,05/01/2021 13:20:44,26.49,40.33,11.93,,,
50,05/01/2021 13:25:44,26.69,40.44,12.16,,,
51,05/01/2021 13:30:44,26.77,40.07,12.09,,,
52,05/01/2021 13:35:44,26.92,40.38,12.34,,,
53,05/01/2021 13:40:44,27.11,39.78,12.28,,,
54,05/01/2021 13:45:44,27.36,39.66,12.46,,,
55,05/01/2021 13:50:44,27.69,38.38,12.25,,,
56,05/01/2021 13:55:44,27.86,38.86,12.59,,,
57,05/01/2021 14:00:44,27.93,36.92,11.87,,,
58,05/01/2021 14:05:44,27.93,37.17,11.97,,,
59,05/01/2021 14:10:44,27.83,37.85,12.16,,,
60,05/01/2021 14:15:44,27.99,38.74,12.66,,,
61,05/01/2021 14:20:44,28.00,37.60,12.22,,,
62,05/01/2021 14:25:44,27.91,37.72,12.19,,,
63,05/01/2021 14:30:44,28.14,37.07,12.12,,,
64,05/01/2021 14:35:44,28.33,32.80,10.44,,,
65,05/01/2021 14:40:44,28.65,30.86,9.81,,,
66,05/01/2021 14:45:44,28.85,29.74,9.43,,,
67,05/01/2021 14:50:44,28.91,29.59,9.41,,,
68,05/01/2021 14:55:44,28.89,27.39,8.24,,,
69,05/01/2021 15:00:44,28.84,27.98,8.52,,,
70,05/01/2021 15:05:44,28.77,27.84,8.39,,,
71,05/01/2021 15:10:44,28.61,28.65,8.67,,,
72,05/01/2021 15:15:44,28.71,30.48,9.67,,,
73,05/01/2021 15:20:44,28.91,28.53,8.87,,,
74,05/01/2021 15:25:44,29.00,29.49,9.43,,,
75,05/01/2021 15:30:44,29.15,26.01,7.71,,,
