#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,04/22/2021 16:44:31,29.60,32.13,11.23,,
2,04/22/2021 16:49:31,26.98,35.58,10.48,,
3,04/22/2021 16:54:31,25.95,36.02,9.76,,
4,04/22/2021 16:59:31,25.16,38.74,10.14,,
5,04/22/2021 17:04:31,24.86,38.69,9.85,,
6,04/22/2021 17:09:31,24.72,37.49,9.26,,
7,04/22/2021 17:14:31,24.51,37.57,9.11,,
8,04/22/2021 17:19:31,24.54,38.88,9.64,,
9,04/22/2021 17:24:31,24.45,39.09,9.65,,
10,04/22/2021 17:29:31,23.94,40.48,9.71,,
11,04/22/2021 17:34:31,23.45,40.05,9.12,,
12,04/22/2021 17:39:31,22.99,40.90,9.02,,
13,04/22/2021 17:44:31,22.52,42.18,9.05,,
14,04/22/2021 17:49:31,22.32,42.86,9.10,,
15,04/22/2021 17:54:31,22.21,43.47,9.21,,
16,04/22/2021 17:59:31,21.90,43.69,9.01,,
17,04/22/2021 18:04:31,21.47,44.25,8.81,,
18,04/22/2021 18:09:31,21.16,45.30,8.87,,
19,04/22/2021 18:14:31,21.05,44.85,8.63,,
20,04/22/2021 18:19:31,20.58,46.10,8.61,,
21,04/22/2021 18:24:31,20.14,46.88,8.45,,
22,04/22/2021 18:29:31,19.75,47.74,8.37,,
23,04/22/2021 18:34:31,19.47,48.72,8.41,,
24,04/22/2021 18:39:31,19.25,49.36,8.40,,
25,04/22/2021 18:44:31,18.86,49.84,8.19,,
26,04/22/2021 18:49:31,18.62,50.24,8.08,,
27,04/22/2021 18:54:31,18.20,51.22,7.97,,
28,04/22/2021 18:59:31,17.73,52.00,7.76,,
29,04/22/2021 19:04:31,17.36,52.98,7.70,,
30,04/22/2021 19:09:31,17.09,53.62,7.63,,
31,04/22/2021 19:14:31,16.76,54.19,7.47,,
32,04/22/2021 19:19:31,16.35,55.20,7.36,,
33,04/22/2021 19:24:31,16.01,56.07,7.27,,
34,04/22/2021 19:29:31,15.69,57.29,7.28,,
35,04/22/2021 19:34:31,15.39,57.92,7.16,,
36,04/22/2021 19:39:31,15.12,58.92,7.16,,
37,04/22/2021 19:44:31,14.86,59.68,7.11,,
38,04/22/2021 19:49:31,14.66,60.61,7.14,,
39,04/22/2021 19:54:31,14.40,61.19,7.04,,
40,04/22/2021 19:59:31,14.26,62.04,7.11,,
41,04/22/2021 20:04:31,14.08,62.45,7.03,,
42,04/22/2021 20:09:31,13.93,62.97,7.01,,
43,04/22/2021 20:14:31,13.80,63.43,6.99,,
44,04/22/2021 20:19:31,13.65,63.67,6.91,,
