#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,05/03/2022 12:16:35,25.60,28.65,6.09,,
2,05/03/2022 12:21:35,24.72,26.81,4.38,,
3,05/03/2022 12:26:35,24.21,27.23,4.17,,
4,05/03/2022 12:31:35,24.11,28.16,4.56,,
5,05/03/2022 12:36:35,23.94,27.62,4.14,,
6,05/03/2022 12:41:35,24.27,27.93,4.58,,
7,05/03/2022 12:46:35,24.41,27.75,4.61,,
8,05/03/2022 12:51:35,24.38,27.04,4.21,,
9,05/03/2022 12:56:35,24.26,26.21,3.66,,
10,05/03/2022 13:01:35,24.32,28.10,4.71,,
11,05/03/2022 13:06:35,24.41,27.30,4.37,,
12,05/03/2022 13:11:35,24.12,27.38,4.17,,
13,05/03/2022 13:16:35,24.28,27.43,4.33,,
14,05/03/2022 13:21:35,24.38,27.05,4.22,,
15,05/03/2022 13:26:35,24.71,26.30,4.09,,
16,05/03/2022 13:31:35,24.64,27.80,4.83,,
17,05/03/2022 13:36:35,25.08,27.30,4.95,,
18,05/03/2022 13:41:35,25.09,26.33,4.44,,
19,05/03/2022 13:46:35,25.27,25.70,4.24,,
20,05/03/2022 13:51:35,25.28,26.48,4.68,,
21,05/03/2022 13:56:35,25.30,26.44,4.67,,
22,05/03/2022 14:01:35,25.56,25.54,4.40,,
23,05/03/2022 14:06:35,25.81,27.31,5.58,,
24,05/03/2022 14:11:35,26.04,26.25,5.20,,
25,05/03/2022 14:16:35,25.90,26.29,5.10,,
26,05/03/2022 14:21:35,26.04,27.03,5.62,,
27,05/03/2022 14:26:35,26.30,25.50,5.00,,
28,05/03/2022 14:31:35,25.95,27.38,5.73,,
29,05/03/2022 14:36:35,26.09,26.58,5.42,,
30,05/03/2022 14:41:35,26.41,26.01,5.38,,
31,05/03/2022 14:46:35,26.43,27.20,6.05,,
32,05/03/2022 14:51:35,26.52,25.22,5.03,,
33,05/03/2022 14:56:35,26.52,26.12,5.54,,
34,05/03/2022 15:01:35,26.64,24.53,4.74,,
35,05/03/2022 15:06:35,26.50,26.50,5.73,,
36,05/03/2022 15:11:35,26.41,25.27,4.97,,
37,05/03/2022 15:16:35,26.37,27.69,6.26,,
38,05/03/2022 15:21:35,26.79,25.21,5.25,,
39,05/03/2022 15:26:35,26.72,25.22,5.20,,
40,05/03/2022 15:31:35,26.93,25.59,5.59,,
41,05/03/2022 15:36:35,27.14,24.32,5.04,,
42,05/03/2022 15:41:35,27.20,25.67,5.86,,
43,05/03/2022 15:46:35,26.90,24.63,5.01,,
44,05/03/2022 15:51:35,26.73,25.20,5.21,,
45,05/03/2022 15:56:35,26.82,25.00,5.16,,
46,05/03/2022 16:01:35,27.00,25.78,5.76,,
47,05/03/2022 16:06:35,27.16,27.11,6.62,,
48,05/03/2022 16:11:35,27.24,26.30,6.24,,
49,05/03/2022 16:16:35,27.27,25.89,6.05,,
50,05/03/2022 16:21:35,27.31,26.90,6.64,,
51,05/03/2022 16:26:35,27.36,26.26,6.32,,
52,05/03/2022 16:31:35,27.50,25.01,5.74,,
53,05/03/2022 16:36:35,27.20,25.36,5.68,,
54,05/03/2022 16:41:35,27.30,25.48,5.84,,
55,05/03/2022 16:46:35,27.69,24.86,5.81,,
56,05/03/2022 16:51:35,27.88,24.87,5.98,,
57,05/03/2022 16:56:35,27.61,24.31,5.43,,
58,05/03/2022 17:01:35,27.45,25.27,5.85,,
59,05/03/2022 17:06:35,27.26,25.80,5.98,,
60,05/03/2022 17:11:35,27.35,25.50,5.89,,
61,05/03/2022 17:16:35,27.39,25.05,5.67,,
62,05/03/2022 17:21:35,27.26,25.36,5.74,,
63,05/03/2022 17:26:35,27.31,24.83,5.48,,
64,05/03/2022 17:31:35,27.09,26.30,6.12,,
65,05/03/2022 17:36:35,27.09,25.88,5.89,,
66,05/03/2022 17:41:35,27.14,26.65,6.36,,
67,05/03/2022 17:46:35,27.06,27.36,6.66,,
68,05/03/2022 17:51:35,27.08,26.13,6.02,,
69,05/03/2022 17:56:35,26.95,26.83,6.29,,
70,05/03/2022 18:01:35,26.90,26.94,6.30,,
71,05/03/2022 18:06:35,26.93,26.76,6.23,,
72,05/03/2022 18:11:35,26.91,26.55,6.10,,
73,05/03/2022 18:16:35,26.87,26.78,6.20,,
74,05/03/2022 18:21:35,26.79,26.90,6.19,,
75,05/03/2022 18:26:35,26.68,27.12,6.22,,
76,05/03/2022 18:31:35,26.52,27.77,6.42,,
77,05/03/2022 18:36:35,26.36,27.59,6.19,,
78,05/03/2022 18:41:35,26.20,28.27,6.41,,
79,05/03/2022 18:46:35,26.03,27.70,5.97,,
80,05/03/2022 18:51:35,25.89,27.89,5.94,,
81,05/03/2022 18:56:35,26.24,28.27,6.44,,
82,05/03/2022 19:01:35,26.04,27.90,6.08,,
83,05/03/2022 19:06:35,25.69,28.82,6.25,,
84,05/03/2022 19:11:35,25.36,29.50,6.31,,
85,05/03/2022 19:16:35,25.34,30.29,6.67,,
86,05/03/2022 19:21:35,25.87,29.52,6.75,,
87,05/03/2022 19:26:35,25.19,29.78,6.30,,
88,05/03/2022 19:31:35,24.60,31.68,6.68,,
89,05/03/2022 19:36:35,23.98,31.95,6.26,,
90,05/03/2022 19:41:35,23.51,32.78,6.22,,
91,05/03/2022 19:46:35,23.05,33.75,6.24,,
92,05/03/2022 19:51:35,22.48,35.75,6.58,,
93,05/03/2022 19:56:35,21.87,37.85,6.87,,
94,05/03/2022 20:01:35,21.29,39.71,7.05,,
95,05/03/2022 20:06:35,20.75,41.04,7.05,,
96,05/03/2022 20:11:35,20.24,41.65,6.81,,
97,05/03/2022 20:16:35,19.83,42.45,6.71,,
98,05/03/2022 20:21:35,19.38,44.57,7.02,,
99,05/03/2022 20:26:35,19.03,43.99,6.52,,
100,05/03/2022 20:31:35,18.72,45.06,6.58,,
101,05/03/2022 20:36:35,18.42,46.41,6.74,,
102,05/03/2022 20:41:35,18.20,47.63,6.91,,
103,05/03/2022 20:46:35,18.04,47.86,6.83,,
104,05/03/2022 20:51:35,17.84,48.29,6.79,,
105,05/03/2022 20:56:35,17.65,51.20,7.46,,
106,05/03/2022 21:01:35,17.41,51.10,7.22,,
107,05/03/2022 21:06:35,17.34,51.61,7.29,,
108,05/03/2022 21:11:35,17.23,51.97,7.30,,
109,05/03/2022 21:16:35,17.09,51.90,7.15,,
110,05/03/2022 21:21:35,16.98,52.58,7.23,,
111,05/03/2022 21:26:35,16.91,53.64,7.46,,
112,05/03/2022 21:31:35,16.86,53.50,7.37,,
113,05/03/2022 21:36:35,16.69,53.96,7.34,,
114,05/03/2022 21:41:35,16.12,53.57,6.70,,
115,05/03/2022 21:46:35,15.84,54.98,6.82,,
116,05/03/2022 21:51:35,15.63,54.45,6.49,,
117,05/03/2022 21:56:35,15.69,52.77,6.09,,
118,05/03/2022 22:01:35,15.65,53.39,6.22,,
119,05/03/2022 22:06:35,15.49,54.72,6.44,,
120,05/03/2022 22:11:35,15.39,56.38,6.77,,
121,05/03/2022 22:16:35,15.19,55.86,6.46,,
122,05/03/2022 22:21:35,15.09,57.74,6.83,,
123,05/03/2022 22:26:35,14.96,57.65,6.69,,
124,05/03/2022 22:31:35,14.79,58.93,6.85,,
125,05/03/2022 22:36:35,14.73,59.31,6.90,,
126,05/03/2022 22:41:35,14.72,60.60,7.20,,
127,05/03/2022 22:46:35,14.63,60.93,7.19,,
128,05/03/2022 22:51:35,14.59,61.17,7.21,,
129,05/03/2022 22:56:35,14.62,59.55,6.84,,
130,05/03/2022 23:01:35,14.60,59.38,6.79,,
131,05/03/2022 23:06:35,14.28,61.07,6.90,,
132,05/03/2022 23:11:35,14.30,61.50,7.02,,
133,05/03/2022 23:16:35,14.24,59.63,6.51,,
134,05/03/2022 23:21:35,14.01,58.89,6.11,,
135,05/03/2022 23:26:35,13.97,57.42,5.71,,
136,05/03/2022 23:31:35,13.86,57.91,5.73,,
137,05/03/2022 23:36:35,13.75,57.90,5.62,,
138,05/03/2022 23:41:35,13.48,57.51,5.27,,
139,05/03/2022 23:46:35,13.40,53.06,4.05,,
140,05/03/2022 23:51:35,13.25,53.43,4.01,,
141,05/03/2022 23:56:35,13.44,53.20,4.12,,
142,05/04/2022 00:01:35,13.58,53.16,4.23,,
143,05/04/2022 00:06:35,13.63,52.36,4.07,,
144,05/04/2022 00:11:35,13.61,50.27,3.47,,
145,05/04/2022 00:16:35,13.52,49.79,3.25,,
146,05/04/2022 00:21:35,13.61,49.84,3.35,,
147,05/04/2022 00:26:35,13.56,48.88,3.03,,
148,05/04/2022 00:31:35,13.55,50.18,3.40,,
149,05/04/2022 00:36:35,13.41,51.02,3.50,,
150,05/04/2022 00:41:35,13.31,52.45,3.79,,
151,05/04/2022 00:46:35,13.12,54.60,4.20,,
152,05/04/2022 00:51:35,12.96,53.16,3.67,,
153,05/04/2022 00:56:35,12.87,54.66,3.97,,
154,05/04/2022 01:01:35,12.72,54.57,3.81,,
155,05/04/2022 01:06:35,12.61,55.62,3.98,,
156,05/04/2022 01:11:35,12.58,54.97,3.78,,
157,05/04/2022 01:16:35,12.50,55.79,3.92,,
158,05/04/2022 01:21:35,12.49,56.79,4.17,,
159,05/04/2022 01:26:35,12.46,58.57,4.58,,
160,05/04/2022 01:31:35,12.46,59.74,4.86,,
161,05/04/2022 01:36:35,12.40,58.72,4.55,,
162,05/04/2022 01:41:35,12.28,60.31,4.82,,
163,05/04/2022 01:46:35,12.17,60.81,4.84,,
164,05/04/2022 01:51:35,12.04,62.24,5.05,,
165,05/04/2022 01:56:35,12.06,62.53,5.14,,
166,05/04/2022 02:01:35,12.04,60.99,4.76,,
167,05/04/2022 02:06:35,12.17,58.70,4.34,,
168,05/04/2022 02:11:35,12.64,53.22,3.38,,
169,05/04/2022 02:16:35,13.25,51.45,3.47,,
170,05/04/2022 02:21:35,14.14,48.53,3.46,,
171,05/04/2022 02:26:35,14.62,47.06,3.46,,
172,05/04/2022 02:31:35,14.73,47.07,3.57,,
173,05/04/2022 02:36:35,14.69,46.13,3.25,,
174,05/04/2022 02:41:35,14.68,46.39,3.32,,
175,05/04/2022 02:46:35,14.64,46.94,3.44,,
176,05/04/2022 02:51:35,14.63,47.03,3.46,,
177,05/04/2022 02:56:35,14.39,46.54,3.10,,
178,05/04/2022 03:01:35,14.07,51.53,4.25,,
179,05/04/2022 03:06:35,14.05,47.54,3.08,,
180,05/04/2022 03:11:35,14.74,46.35,3.36,,
181,05/04/2022 03:16:35,15.16,45.43,3.46,,
182,05/04/2022 03:21:35,15.07,45.85,3.50,,
183,05/04/2022 03:26:35,14.74,46.53,3.42,,
184,05/04/2022 03:31:35,14.55,47.26,3.46,,
185,05/04/2022 03:36:35,14.27,47.97,3.42,,
186,05/04/2022 03:41:35,14.03,48.35,3.30,,
187,05/04/2022 03:46:35,13.85,49.24,3.40,,
188,05/04/2022 03:51:35,13.58,50.19,3.42,,
189,05/04/2022 03:56:35,13.53,50.49,3.46,,
190,05/04/2022 04:01:35,14.08,49.17,3.59,,
191,05/04/2022 04:06:35,14.52,48.10,3.68,,
192,05/04/2022 04:11:35,14.54,48.10,3.70,,
193,05/04/2022 04:16:35,14.41,47.79,3.49,,
194,05/04/2022 04:21:35,14.47,47.35,3.41,,
195,05/04/2022 04:26:35,14.49,47.08,3.35,,
196,05/04/2022 04:31:35,14.40,47.21,3.31,,
197,05/04/2022 04:36:35,14.37,46.95,3.20,,
198,05/04/2022 04:41:35,14.11,47.48,3.13,,
199,05/04/2022 04:46:35,13.91,47.71,3.01,,
