#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),End of File
1,03/29/2022 10:13:29,19.02,57.52,10.46,
2,03/29/2022 10:18:29,18.42,58.15,10.07,
3,03/29/2022 10:23:29,17.79,60.91,10.16,
4,03/29/2022 10:28:29,17.60,58.62,9.41,
5,03/29/2022 10:33:29,17.58,62.21,10.28,
6,03/29/2022 10:38:29,17.59,61.58,10.14,
7,03/29/2022 10:43:29,17.94,60.91,10.31,
8,03/29/2022 10:48:29,18.27,62.84,11.09,
9,03/29/2022 10:53:29,18.12,61.47,10.62,
10,03/29/2022 10:58:29,18.11,59.80,10.19,
11,03/29/2022 11:03:29,18.25,60.33,10.46,
12,03/29/2022 11:08:29,18.06,59.90,10.17,
13,03/29/2022 11:13:29,18.26,62.07,10.89,
14,03/29/2022 11:18:29,18.84,59.91,10.91,
15,03/29/2022 11:23:29,18.78,56.70,10.02,
16,03/29/2022 11:28:29,18.98,59.07,10.82,
17,03/29/2022 11:33:29,19.06,57.02,10.36,
18,03/29/2022 11:38:29,19.02,57.63,10.49,
19,03/29/2022 11:43:29,19.16,60.50,11.36,
20,03/29/2022 11:48:29,19.32,58.55,11.01,
21,03/29/2022 11:53:29,19.53,55.12,10.30,
22,03/29/2022 11:58:29,19.75,56.34,10.83,
23,03/29/2022 12:03:29,19.92,56.18,10.95,
24,03/29/2022 12:08:29,19.85,58.25,11.43,
25,03/29/2022 12:13:29,20.14,54.62,10.73,
26,03/29/2022 12:18:29,20.61,53.90,10.97,
27,03/29/2022 12:23:29,20.74,56.63,11.83,
28,03/29/2022 12:28:29,20.75,52.28,10.64,
29,03/29/2022 12:33:29,20.74,51.70,10.46,
30,03/29/2022 12:38:29,20.80,56.07,11.74,
31,03/29/2022 12:43:29,20.87,53.17,11.00,
32,03/29/2022 12:48:29,21.02,52.19,10.86,
33,03/29/2022 12:53:29,21.50,51.28,11.04,
34,03/29/2022 12:58:29,21.43,53.03,11.48,
35,03/29/2022 13:03:29,21.59,52.80,11.56,
36,03/29/2022 13:08:29,21.66,49.99,10.81,
37,03/29/2022 13:13:29,21.81,51.10,11.27,
38,03/29/2022 13:18:29,21.89,50.13,11.05,
39,03/29/2022 13:23:29,21.82,48.04,10.35,
40,03/29/2022 13:28:29,21.88,51.24,11.37,
41,03/29/2022 13:33:29,21.98,48.18,10.55,
42,03/29/2022 13:38:29,21.95,50.87,11.33,
43,03/29/2022 13:43:29,22.35,52.88,12.29,
44,03/29/2022 13:48:29,22.38,48.05,10.87,
45,03/29/2022 13:53:29,22.27,49.51,11.22,
46,03/29/2022 13:58:29,22.64,47.87,11.05,
47,03/29/2022 14:03:29,22.62,46.96,10.74,
48,03/29/2022 14:08:29,22.95,49.73,11.91,
49,03/29/2022 14:13:29,22.98,47.21,11.15,
50,03/29/2022 14:18:29,23.05,46.46,10.97,
51,03/29/2022 14:23:29,23.13,46.44,11.04,
52,03/29/2022 14:28:29,23.17,48.50,11.73,
53,03/29/2022 14:33:29,23.30,49.09,12.04,
54,03/29/2022 14:38:29,23.77,50.53,12.91,
55,03/29/2022 14:43:29,23.32,50.84,12.59,
56,03/29/2022 14:48:29,22.37,54.02,12.63,
57,03/29/2022 14:53:29,22.86,53.31,12.89,
58,03/29/2022 14:58:29,23.29,50.14,12.35,
59,03/29/2022 15:03:29,23.36,51.67,12.87,
60,03/29/2022 15:08:29,23.39,50.69,12.60,
61,03/29/2022 15:13:29,23.37,51.71,12.89,
62,03/29/2022 15:18:29,23.14,52.30,12.85,
63,03/29/2022 15:23:29,23.28,51.86,12.85,
64,03/29/2022 15:28:29,23.38,49.60,12.26,
65,03/29/2022 15:33:29,23.64,48.94,12.29,
66,03/29/2022 15:38:29,23.66,50.34,12.75,
67,03/29/2022 15:43:29,23.83,51.74,13.32,
68,03/29/2022 15:48:29,23.77,48.47,12.28,
69,03/29/2022 15:53:29,23.43,49.07,12.15,
70,03/29/2022 15:58:29,23.59,50.23,12.65,
71,03/29/2022 16:03:29,23.75,49.73,12.65,
72,03/29/2022 16:08:29,23.99,48.87,12.60,
73,03/29/2022 16:13:29,23.75,47.96,12.09,
74,03/29/2022 16:18:29,23.96,48.88,12.57,
75,03/29/2022 16:23:29,23.92,49.14,12.62,
76,03/29/2022 16:28:29,23.64,49.24,12.39,
77,03/29/2022 16:33:29,23.73,50.65,12.91,
