#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,Stopped,End of File
1,05/03/2022 11:29:45,24.64,24.95,3.29,,,,
2,05/03/2022 11:34:45,23.77,24.89,2.52,,,,
3,05/03/2022 11:39:45,23.50,25.21,2.47,,,,
4,05/03/2022 11:44:45,23.10,25.42,2.25,,,,
5,05/03/2022 11:49:45,23.37,25.30,2.41,,,,
6,05/03/2022 11:54:45,23.58,24.90,2.37,,,,
7,05/03/2022 11:59:45,23.56,24.36,2.04,,,,
8,05/03/2022 12:04:45,23.89,24.63,2.48,,,,
9,05/03/2022 12:09:45,23.98,24.19,2.30,,,,
10,05/03/2022 12:14:45,24.13,24.49,2.60,,,,
11,05/03/2022 12:19:45,24.40,23.15,2.03,,,,
12,05/03/2022 12:24:45,24.50,22.15,1.50,,,,
13,05/03/2022 12:29:45,24.56,23.75,2.53,,,,
14,05/03/2022 12:34:45,24.70,22.86,2.11,,,,
15,05/03/2022 12:39:45,24.95,23.32,2.60,,,,
16,05/03/2022 12:44:45,25.03,22.93,2.43,,,,
17,05/03/2022 12:49:45,25.24,23.06,2.69,,,,
18,05/03/2022 12:54:45,25.23,21.69,1.82,,,,
19,05/03/2022 12:59:45,25.12,22.72,2.37,,,,
20,05/03/2022 13:04:45,25.49,22.67,2.66,,,,
21,05/03/2022 13:09:45,25.28,22.28,2.23,,,,
22,05/03/2022 13:14:45,25.57,22.23,2.44,,,,
23,05/03/2022 13:19:45,25.78,22.22,2.62,,,,
24,05/03/2022 13:24:45,26.04,21.45,2.33,,,,
25,05/03/2022 13:29:45,26.68,21.24,2.72,,,,
26,05/03/2022 13:34:45,26.45,21.06,2.41,,,,
27,05/03/2022 13:39:45,26.73,22.24,3.42,,,,
28,05/03/2022 13:44:45,27.23,21.27,3.20,,,,
29,05/03/2022 13:49:45,26.86,21.09,2.77,,,,
30,05/03/2022 13:54:45,27.16,20.60,2.69,,,,
31,05/03/2022 13:59:45,27.51,20.42,2.85,,,,
32,05/03/2022 14:04:45,27.47,20.73,3.04,,,,
33,05/03/2022 14:09:45,27.70,20.70,3.20,,,,
34,05/03/2022 14:14:45,27.76,20.48,3.11,,,,
35,05/03/2022 14:19:45,27.99,20.07,3.01,,,,
36,05/03/2022 14:24:45,28.32,20.38,3.49,,,,
37,05/03/2022 14:29:45,27.93,20.52,3.27,,,,
38,05/03/2022 14:34:45,27.96,20.54,3.31,,,,
39,05/03/2022 14:39:45,27.71,19.86,2.63,,,,
40,05/03/2022 14:44:45,28.08,20.36,3.28,,,,
41,05/03/2022 14:49:45,28.37,19.86,3.17,,,,
42,05/03/2022 14:54:45,28.39,20.14,3.38,,,,
43,05/03/2022 14:59:45,28.34,19.42,2.84,,,,
