#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,06/24/2021 10:06:02,30.03,,,,
2,06/24/2021 10:11:02,30.41,,,,
3,06/24/2021 10:16:02,30.54,,,,
4,06/24/2021 10:21:02,30.50,,,,
5,06/24/2021 10:26:02,30.63,,,,
6,06/24/2021 10:31:02,30.80,,,,
7,06/24/2021 10:36:02,31.06,,,,
8,06/24/2021 10:41:02,31.14,,,,
9,06/24/2021 10:46:02,31.27,,,,
10,06/24/2021 10:51:02,31.44,,,,
11,06/24/2021 10:56:02,31.49,,,,
12,06/24/2021 11:01:02,31.40,,,,
13,06/24/2021 11:06:02,31.44,,,,
14,06/24/2021 11:11:02,31.57,,,,
15,06/24/2021 11:16:02,31.70,,,,
16,06/24/2021 11:21:02,31.66,,,,
17,06/24/2021 11:26:02,31.83,,,,
18,06/24/2021 11:31:02,31.87,,,,
19,06/24/2021 11:36:02,31.96,,,,
20,06/24/2021 11:41:02,32.04,,,,
21,06/24/2021 11:46:02,32.13,,,,
22,06/24/2021 11:51:02,32.34,,,,
23,06/24/2021 11:56:02,32.56,,,,
24,06/24/2021 12:01:02,32.90,,,,
25,06/24/2021 12:06:02,33.07,,,,
26,06/24/2021 12:11:02,33.16,,,,
27,06/24/2021 12:16:02,33.03,,,,
28,06/24/2021 12:21:02,33.16,,,,
29,06/24/2021 12:26:02,33.20,,,,
30,06/24/2021 12:31:02,33.37,,,,
31,06/24/2021 12:36:02,33.46,,,,
32,06/24/2021 12:41:02,33.55,,,,
33,06/24/2021 12:46:02,33.63,,,,
34,06/24/2021 12:51:02,33.76,,,,
35,06/24/2021 12:56:02,33.80,,,,
36,06/24/2021 13:01:02,33.85,,,,
37,06/24/2021 13:06:02,33.85,,,,
38,06/24/2021 13:11:02,33.80,,,,
39,06/24/2021 13:16:02,33.85,,,,
40,06/24/2021 13:21:02,33.85,,,,
41,06/24/2021 13:26:02,33.97,,,,
42,06/24/2021 13:31:02,34.06,,,,
43,06/24/2021 13:36:02,34.15,,,,
44,06/24/2021 13:41:02,34.23,,,,
45,06/24/2021 13:46:02,34.27,,,,
46,06/24/2021 13:51:02,34.40,,,,
47,06/24/2021 13:56:02,34.53,,,,
48,06/24/2021 14:01:02,34.70,,,,
49,06/24/2021 14:06:02,34.79,,,,
50,06/24/2021 14:11:02,34.79,,,,
51,06/24/2021 14:16:02,34.88,,,,
52,06/24/2021 14:21:02,34.88,,,,
53,06/24/2021 14:26:02,34.96,,,,
54,06/24/2021 14:31:02,35.09,,,,
55,06/24/2021 14:36:02,35.13,,,,
56,06/24/2021 14:41:02,35.09,,,,
57,06/24/2021 14:46:02,35.05,,,,
58,06/24/2021 14:51:02,34.92,,,,
59,06/24/2021 14:56:02,34.83,,,,
60,06/24/2021 15:01:02,34.88,,,,
61,06/24/2021 15:06:02,34.83,,,,
62,06/24/2021 15:11:02,34.88,,,,
63,06/24/2021 15:16:02,34.88,,,,
64,06/24/2021 15:21:02,34.79,,,,
65,06/24/2021 15:26:02,34.83,,,,
66,06/24/2021 15:31:02,34.70,,,,
67,06/24/2021 15:36:02,34.70,,,,
68,06/24/2021 15:41:02,34.53,,,,
69,06/24/2021 15:46:02,34.49,,,,
70,06/24/2021 15:51:02,34.49,,,,
71,06/24/2021 15:56:02,34.45,,,,
72,06/24/2021 16:01:02,34.36,,,,
73,06/24/2021 16:06:02,34.32,,,,
74,06/24/2021 16:11:02,34.23,,,,
75,06/24/2021 16:16:02,34.15,,,,
76,06/24/2021 16:21:02,34.06,,,,
77,06/24/2021 16:26:02,33.93,,,,
78,06/24/2021 16:31:02,33.80,,,,
79,06/24/2021 16:36:02,33.59,,,,
80,06/24/2021 16:41:02,33.50,,,,
81,06/24/2021 16:46:02,33.46,,,,
82,06/24/2021 16:51:02,33.29,,,,
83,06/24/2021 16:56:02,33.25,,,,
84,06/24/2021 17:01:02,33.20,,,,
85,06/24/2021 17:06:02,33.20,,,,
86,06/24/2021 17:11:02,33.16,,,,
87,06/24/2021 17:16:02,33.16,,,,
88,06/24/2021 17:21:02,33.12,,,,
89,06/24/2021 17:26:02,33.07,,,,
90,06/24/2021 17:31:02,33.12,,,,
91,06/24/2021 17:36:02,33.16,,,,
92,06/24/2021 17:41:02,33.07,,,,
93,06/24/2021 17:46:02,33.03,,,,
94,06/24/2021 17:51:02,33.07,,,,
95,06/24/2021 17:56:02,33.03,,,,
96,06/24/2021 18:01:02,33.03,,,,
97,06/24/2021 18:06:02,33.03,,,,
98,06/24/2021 18:11:02,32.94,,,,
99,06/24/2021 18:16:02,32.90,,,,
100,06/24/2021 18:21:02,32.86,,,,
101,06/24/2021 18:26:02,32.73,,,,
102,06/24/2021 18:31:02,32.56,,,,
103,06/24/2021 18:36:02,32.39,,,,
104,06/24/2021 18:41:02,32.09,,,,
105,06/24/2021 18:46:02,31.83,,,,
106,06/24/2021 18:51:02,31.61,,,,
107,06/24/2021 18:56:02,31.36,,,,
108,06/24/2021 19:01:02,31.19,,,,
109,06/24/2021 19:06:02,30.97,,,,
110,06/24/2021 19:11:02,30.80,,,,
111,06/24/2021 19:16:02,30.59,,,,
112,06/24/2021 19:21:02,30.37,,,,
113,06/24/2021 19:26:02,30.20,,,,
114,06/24/2021 19:31:02,29.98,,,,
115,06/24/2021 19:36:02,29.86,,,,
116,06/24/2021 19:41:02,29.68,,,,
117,06/24/2021 19:46:02,29.51,,,,
