#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,07/08/2021 09:32:36,30.76,,
2,07/08/2021 09:37:36,29.30,,
3,07/08/2021 09:42:36,28.18,,
4,07/08/2021 09:47:36,27.54,,
5,07/08/2021 09:52:36,27.32,,
6,07/08/2021 09:57:36,27.28,,
7,07/08/2021 10:02:36,27.54,,
8,07/08/2021 10:07:36,27.71,,
9,07/08/2021 10:12:36,27.67,,
10,07/08/2021 10:17:36,27.75,,
11,07/08/2021 10:22:36,27.84,,
12,07/08/2021 10:27:36,28.01,,
13,07/08/2021 10:32:36,28.14,,
14,07/08/2021 10:37:36,28.31,,
15,07/08/2021 10:42:36,28.53,,
16,07/08/2021 10:47:36,28.74,,
17,07/08/2021 10:52:36,29.21,,
18,07/08/2021 10:57:36,29.64,,
19,07/08/2021 11:02:36,30.07,,
20,07/08/2021 11:07:36,30.37,,
21,07/08/2021 11:12:36,30.67,,
22,07/08/2021 11:17:36,31.01,,
23,07/08/2021 11:22:36,31.31,,
24,07/08/2021 11:27:36,31.53,,
25,07/08/2021 11:32:36,31.70,,
26,07/08/2021 11:37:36,31.79,,
27,07/08/2021 11:42:36,32.00,,
28,07/08/2021 11:47:36,31.96,,
29,07/08/2021 11:52:36,31.83,,
30,07/08/2021 11:57:36,31.87,,
31,07/08/2021 12:02:36,31.92,,
32,07/08/2021 12:07:36,32.17,,
33,07/08/2021 12:12:36,32.39,,
34,07/08/2021 12:17:36,32.47,,
35,07/08/2021 12:22:36,32.64,,
36,07/08/2021 12:27:36,32.82,,
37,07/08/2021 12:32:36,33.03,,
38,07/08/2021 12:37:36,33.20,,
39,07/08/2021 12:42:36,33.37,,
40,07/08/2021 12:47:36,33.50,,
41,07/08/2021 12:52:36,33.59,,
42,07/08/2021 12:57:36,33.76,,
43,07/08/2021 13:02:36,33.89,,
44,07/08/2021 13:07:36,33.85,,
45,07/08/2021 13:12:36,33.97,,
46,07/08/2021 13:17:36,34.10,,
47,07/08/2021 13:22:36,34.27,,
48,07/08/2021 13:27:36,34.27,,
49,07/08/2021 13:32:36,34.36,,
50,07/08/2021 13:37:36,34.53,,
51,07/08/2021 13:42:36,34.75,,
52,07/08/2021 13:47:36,34.96,,
53,07/08/2021 13:52:36,35.13,,
54,07/08/2021 13:57:36,35.30,,
55,07/08/2021 14:02:36,35.43,,
56,07/08/2021 14:07:36,35.52,,
57,07/08/2021 14:12:36,35.65,,
58,07/08/2021 14:17:36,35.65,,
59,07/08/2021 14:22:36,35.73,,
60,07/08/2021 14:27:36,35.95,,
61,07/08/2021 14:32:36,36.12,,
62,07/08/2021 14:37:36,36.33,,
63,07/08/2021 14:42:36,36.46,,
64,07/08/2021 14:47:36,36.59,,
65,07/08/2021 14:52:36,36.76,,
66,07/08/2021 14:57:36,36.81,,
67,07/08/2021 15:02:36,36.89,,
68,07/08/2021 15:07:36,36.93,,
69,07/08/2021 15:12:36,36.98,,
70,07/08/2021 15:17:36,37.02,,
71,07/08/2021 15:22:36,37.06,,
72,07/08/2021 15:27:36,37.15,,
73,07/08/2021 15:32:36,37.32,,
74,07/08/2021 15:37:36,37.36,,
75,07/08/2021 15:42:36,37.49,,
76,07/08/2021 15:47:36,37.58,,
77,07/08/2021 15:52:36,37.62,,
78,07/08/2021 15:57:36,37.62,,
79,07/08/2021 16:02:36,37.66,,
80,07/08/2021 16:07:36,37.66,,
81,07/08/2021 16:12:36,37.79,,
82,07/08/2021 16:17:36,37.84,,
83,07/08/2021 16:22:36,37.88,,
84,07/08/2021 16:27:36,38.05,,
85,07/08/2021 16:32:36,38.09,,
86,07/08/2021 16:37:36,38.09,,
87,07/08/2021 16:42:36,38.14,,
88,07/08/2021 16:47:36,38.14,,
89,07/08/2021 16:52:36,38.26,,
90,07/08/2021 16:57:36,38.26,,
91,07/08/2021 17:02:36,38.35,,
92,07/08/2021 17:07:36,38.35,,
93,07/08/2021 17:12:36,38.31,,
94,07/08/2021 17:17:36,38.31,,
95,07/08/2021 17:22:36,38.35,,
96,07/08/2021 17:27:36,38.44,,
97,07/08/2021 17:32:36,38.56,,
98,07/08/2021 17:37:36,38.65,,
99,07/08/2021 17:42:36,38.65,,
100,07/08/2021 17:47:36,38.65,,
101,07/08/2021 17:52:36,38.61,,
102,07/08/2021 17:57:36,38.56,,
103,07/08/2021 18:02:36,38.52,,
104,07/08/2021 18:07:36,38.44,,
105,07/08/2021 18:12:36,38.44,,
106,07/08/2021 18:17:36,38.48,,
107,07/08/2021 18:22:36,38.44,,
108,07/08/2021 18:27:36,38.35,,
109,07/08/2021 18:32:36,38.22,,
110,07/08/2021 18:37:36,38.14,,
111,07/08/2021 18:42:36,38.05,,
112,07/08/2021 18:47:36,38.01,,
113,07/08/2021 18:52:36,38.01,,
114,07/08/2021 18:57:36,37.96,,
115,07/08/2021 19:02:36,38.05,,
116,07/08/2021 19:07:36,38.01,,
117,07/08/2021 19:12:36,37.96,,
118,07/08/2021 19:17:36,37.92,,
119,07/08/2021 19:22:36,37.79,,
120,07/08/2021 19:27:36,37.71,,
121,07/08/2021 19:32:36,37.49,,
122,07/08/2021 19:37:36,37.28,,
123,07/08/2021 19:42:36,37.06,,
124,07/08/2021 19:47:36,36.72,,
125,07/08/2021 19:52:36,36.33,,
126,07/08/2021 19:57:36,35.86,,
127,07/08/2021 20:02:36,35.39,,
128,07/08/2021 20:07:36,34.88,,
129,07/08/2021 20:12:36,34.36,,
130,07/08/2021 20:17:36,33.80,,
131,07/08/2021 20:22:36,33.29,,
132,07/08/2021 20:27:36,32.77,,
133,07/08/2021 20:32:36,32.30,,
134,07/08/2021 20:37:36,31.79,,
135,07/08/2021 20:42:36,31.31,,
136,07/08/2021 20:47:36,30.89,,
137,07/08/2021 20:52:36,30.41,,
138,07/08/2021 20:57:36,30.03,,
139,07/08/2021 21:02:36,29.60,,
140,07/08/2021 21:07:36,29.21,,
141,07/08/2021 21:12:36,28.78,,
142,07/08/2021 21:17:36,28.44,,
143,07/08/2021 21:22:36,28.05,,
144,07/08/2021 21:27:36,27.71,,
145,07/08/2021 21:32:36,27.41,,
146,07/08/2021 21:37:36,27.07,,
147,07/08/2021 21:42:36,26.77,,
148,07/08/2021 21:47:36,26.55,,
