#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,07/08/2021 09:33:47,30.54,,
2,07/08/2021 09:38:47,29.04,,
3,07/08/2021 09:43:47,28.61,,
4,07/08/2021 09:48:47,28.53,,
5,07/08/2021 09:53:47,28.95,,
6,07/08/2021 09:58:47,29.38,,
7,07/08/2021 10:03:47,29.60,,
8,07/08/2021 10:08:47,29.64,,
9,07/08/2021 10:13:47,29.81,,
10,07/08/2021 10:18:47,29.86,,
11,07/08/2021 10:23:47,30.20,,
12,07/08/2021 10:28:47,30.46,,
13,07/08/2021 10:33:47,30.28,,
14,07/08/2021 10:38:47,30.54,,
15,07/08/2021 10:43:47,31.01,,
16,07/08/2021 10:48:47,31.36,,
17,07/08/2021 10:53:47,32.04,,
18,07/08/2021 10:58:47,32.26,,
19,07/08/2021 11:03:47,32.52,,
20,07/08/2021 11:08:47,32.43,,
21,07/08/2021 11:13:47,32.90,,
22,07/08/2021 11:18:47,33.25,,
23,07/08/2021 11:23:47,33.42,,
24,07/08/2021 11:28:47,33.59,,
25,07/08/2021 11:33:47,33.67,,
26,07/08/2021 11:38:47,33.89,,
27,07/08/2021 11:43:47,33.93,,
28,07/08/2021 11:48:47,34.23,,
29,07/08/2021 11:53:47,34.36,,
30,07/08/2021 11:58:47,34.79,,
31,07/08/2021 12:03:47,35.13,,
32,07/08/2021 12:08:47,35.30,,
33,07/08/2021 12:13:47,35.39,,
34,07/08/2021 12:18:47,35.30,,
35,07/08/2021 12:23:47,35.99,,
36,07/08/2021 12:28:47,35.95,,
37,07/08/2021 12:33:47,35.73,,
38,07/08/2021 12:38:47,36.08,,
39,07/08/2021 12:43:47,36.46,,
40,07/08/2021 12:48:47,36.72,,
41,07/08/2021 12:53:47,36.85,,
42,07/08/2021 12:58:47,37.06,,
43,07/08/2021 13:03:47,37.28,,
44,07/08/2021 13:08:47,37.36,,
45,07/08/2021 13:13:47,37.62,,
46,07/08/2021 13:18:47,37.75,,
47,07/08/2021 13:23:47,37.84,,
48,07/08/2021 13:28:47,37.88,,
49,07/08/2021 13:33:47,38.31,,
50,07/08/2021 13:38:47,38.52,,
51,07/08/2021 13:43:47,38.74,,
52,07/08/2021 13:48:47,38.95,,
53,07/08/2021 13:53:47,38.82,,
54,07/08/2021 13:58:47,39.25,,
55,07/08/2021 14:03:47,39.29,,
56,07/08/2021 14:08:47,39.38,,
57,07/08/2021 14:13:47,39.59,,
58,07/08/2021 14:18:47,39.55,,
59,07/08/2021 14:23:47,39.89,,
60,07/08/2021 14:28:47,40.24,,
61,07/08/2021 14:33:47,40.32,,
62,07/08/2021 14:38:47,40.71,,
63,07/08/2021 14:43:47,40.88,,
64,07/08/2021 14:48:47,40.45,,
65,07/08/2021 14:53:47,40.67,,
66,07/08/2021 14:58:47,41.01,,
67,07/08/2021 15:03:47,41.14,,
68,07/08/2021 15:08:47,41.18,,
69,07/08/2021 15:13:47,41.35,,
70,07/08/2021 15:18:47,41.44,,
71,07/08/2021 15:23:47,41.52,,
72,07/08/2021 15:28:47,41.70,,
73,07/08/2021 15:33:47,41.52,,
74,07/08/2021 15:38:47,41.61,,
75,07/08/2021 15:43:47,41.83,,
76,07/08/2021 15:48:47,41.74,,
77,07/08/2021 15:53:47,41.78,,
78,07/08/2021 15:58:47,41.91,,
79,07/08/2021 16:03:47,42.04,,
80,07/08/2021 16:08:47,41.70,,
81,07/08/2021 16:13:47,41.61,,
82,07/08/2021 16:18:47,41.57,,
83,07/08/2021 16:23:47,41.78,,
84,07/08/2021 16:28:47,41.87,,
85,07/08/2021 16:33:47,41.83,,
86,07/08/2021 16:38:47,41.44,,
87,07/08/2021 16:43:47,41.57,,
88,07/08/2021 16:48:47,41.57,,
89,07/08/2021 16:53:47,41.78,,
90,07/08/2021 16:58:47,41.70,,
91,07/08/2021 17:03:47,41.48,,
92,07/08/2021 17:08:47,41.52,,
93,07/08/2021 17:13:47,41.48,,
94,07/08/2021 17:18:47,41.14,,
