#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,Stopped,End of File
1,07/01/2021 10:42:20,32.47,,,
2,07/01/2021 10:47:20,26.04,,,
3,07/01/2021 10:52:20,23.94,,,
4,07/01/2021 10:57:20,22.99,,,
5,07/01/2021 11:02:20,22.61,,,
6,07/01/2021 11:07:20,22.35,,,
7,07/01/2021 11:12:20,22.31,,,
8,07/01/2021 11:17:20,22.22,,,
9,07/01/2021 11:22:20,22.13,,,
10,07/01/2021 11:27:20,22.09,,,
11,07/01/2021 11:32:20,22.09,,,
12,07/01/2021 11:37:20,22.09,,,
13,07/01/2021 11:42:20,22.09,,,
14,07/01/2021 11:47:20,22.13,,,
15,07/01/2021 11:52:20,22.18,,,
16,07/01/2021 11:57:20,22.26,,,
17,07/01/2021 12:02:20,22.35,,,
18,07/01/2021 12:07:20,22.43,,,
19,07/01/2021 12:12:20,22.48,,,
20,07/01/2021 12:17:20,22.52,,,
21,07/01/2021 12:22:20,22.61,,,
22,07/01/2021 12:27:20,22.65,,,
23,07/01/2021 12:32:20,22.69,,,
24,07/01/2021 12:37:20,22.86,,,
25,07/01/2021 12:42:20,22.99,,,
26,07/01/2021 12:47:20,23.12,,,
27,07/01/2021 12:52:20,23.16,,,
28,07/01/2021 12:57:20,23.29,,,
29,07/01/2021 13:02:20,23.34,,,
30,07/01/2021 13:07:20,23.46,,,
31,07/01/2021 13:12:20,23.55,,,
32,07/01/2021 13:17:20,23.64,,,
33,07/01/2021 13:22:20,23.72,,,
34,07/01/2021 13:27:20,23.85,,,
35,07/01/2021 13:32:20,24.02,,,
36,07/01/2021 13:37:20,24.06,,,
37,07/01/2021 13:42:20,24.15,,,
38,07/01/2021 13:47:20,24.32,,,
39,07/01/2021 13:52:20,24.41,,,
40,07/01/2021 13:57:20,24.49,,,
41,07/01/2021 14:02:20,24.58,,,
42,07/01/2021 14:07:20,24.75,,,
43,07/01/2021 14:12:20,24.84,,,
44,07/01/2021 14:17:20,24.97,,,
45,07/01/2021 14:22:20,25.09,,,
46,07/01/2021 14:27:20,25.22,,,
47,07/01/2021 14:32:20,25.31,,,
48,07/01/2021 14:37:20,25.48,,,
49,07/01/2021 14:42:20,25.52,,,
50,07/01/2021 14:47:20,25.69,,,
51,07/01/2021 14:52:20,25.78,,,
52,07/01/2021 14:57:20,25.82,,,
53,07/01/2021 15:02:20,25.91,,,
54,07/01/2021 15:07:20,26.12,,,
55,07/01/2021 15:12:20,26.30,,,
56,07/01/2021 15:17:20,26.47,,,
57,07/01/2021 15:22:20,26.64,,,
58,07/01/2021 15:27:20,26.81,,,
59,07/01/2021 15:32:20,26.90,,,
60,07/01/2021 15:37:20,27.02,,,
61,07/01/2021 15:42:20,27.15,,,
62,07/01/2021 15:47:20,27.20,,,
63,07/01/2021 15:52:20,27.28,,,
64,07/01/2021 15:57:20,27.32,,,
65,07/01/2021 16:02:20,27.41,,,
66,07/01/2021 16:07:20,27.58,,,
67,07/01/2021 16:12:20,27.67,,,
68,07/01/2021 16:17:20,27.80,,,
69,07/01/2021 16:22:20,27.97,,,
70,07/01/2021 16:27:20,28.10,,,
71,07/01/2021 16:32:20,28.27,,,
