#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/16/2023 12:51:30,34.53,,,,,
2,06/16/2023 12:56:30,33.89,,,,,
3,06/16/2023 13:01:30,33.33,,,,,
4,06/16/2023 13:06:30,33.03,,,,,
5,06/16/2023 13:11:30,32.90,,,,,
6,06/16/2023 13:16:30,32.86,,,,,
7,06/16/2023 13:21:30,32.94,,,,,
8,06/16/2023 13:26:30,33.03,,,,,
9,06/16/2023 13:31:30,33.16,,,,,
10,06/16/2023 13:36:30,33.25,,,,,
11,06/16/2023 13:41:30,33.37,,,,,
12,06/16/2023 13:46:30,33.46,,,,,
13,06/16/2023 13:51:30,33.59,,,,,
14,06/16/2023 13:56:30,33.63,,,,,
15,06/16/2023 14:01:30,33.72,,,,,
16,06/16/2023 14:06:30,33.80,,,,,
17,06/16/2023 14:11:30,33.85,,,,,
18,06/16/2023 14:16:30,33.97,,,,,
19,06/16/2023 14:21:30,34.23,,,,,
20,06/16/2023 14:26:30,34.70,,,,,
21,06/16/2023 14:31:30,35.05,,,,,
22,06/16/2023 14:36:30,35.26,,,,,
23,06/16/2023 14:41:30,35.39,,,,,
24,06/16/2023 14:46:30,35.39,,,,,
25,06/16/2023 14:51:30,35.39,,,,,
26,06/16/2023 14:56:30,35.39,,,,,
27,06/16/2023 15:01:30,35.48,,,,,
28,06/16/2023 15:06:30,35.52,,,,,
29,06/16/2023 15:11:30,35.48,,,,,
30,06/16/2023 15:16:30,35.43,,,,,
31,06/16/2023 15:21:30,35.26,,,,,
32,06/16/2023 15:26:30,34.96,,,,,
33,06/16/2023 15:31:30,34.96,,,,,
34,06/16/2023 15:36:30,34.96,,,,,
35,06/16/2023 15:41:30,34.88,,,,,
36,06/16/2023 15:46:30,34.83,,,,,
37,06/16/2023 15:51:30,34.92,,,,,
38,06/16/2023 15:56:30,34.92,,,,,
39,06/16/2023 16:01:30,34.92,,,,,
40,06/16/2023 16:06:30,34.92,,,,,
41,06/16/2023 16:11:30,34.92,,,,,
42,06/16/2023 16:16:30,34.96,,,,,
43,06/16/2023 16:21:30,34.92,,,,,
44,06/16/2023 16:26:30,35.00,,,,,
45,06/16/2023 16:31:30,35.00,,,,,
46,06/16/2023 16:36:30,35.00,,,,,
47,06/16/2023 16:41:30,35.00,,,,,
48,06/16/2023 16:46:30,35.05,,,,,
49,06/16/2023 16:51:30,35.05,,,,,
50,06/16/2023 16:56:30,35.05,,,,,
51,06/16/2023 17:01:30,35.05,,,,,
52,06/16/2023 17:06:30,35.09,,,,,
53,06/16/2023 17:11:30,35.05,,,,,
54,06/16/2023 17:16:30,35.00,,,,,
55,06/16/2023 17:21:30,35.13,,,,,
56,06/16/2023 17:26:30,35.30,,,,,
57,06/16/2023 17:31:30,35.48,,,,,
58,06/16/2023 17:36:30,35.69,,,,,
59,06/16/2023 17:41:30,35.73,,,,,
60,06/16/2023 17:46:30,35.69,,,,,
61,06/16/2023 17:51:30,35.65,,,,,
62,06/16/2023 17:56:30,35.48,,,,,
63,06/16/2023 18:01:30,35.30,,,,,
64,06/16/2023 18:06:30,35.00,,,,,
65,06/16/2023 18:11:30,34.75,,,,,
66,06/16/2023 18:16:30,34.36,,,,,
67,06/16/2023 18:21:30,34.10,,,,,
68,06/16/2023 18:26:30,33.80,,,,,
69,06/16/2023 18:31:30,33.55,,,,,
70,06/16/2023 18:36:30,33.25,,,,,
71,06/16/2023 18:41:30,32.94,,,,,
72,06/16/2023 18:46:30,32.73,,,,,
73,06/16/2023 18:51:30,32.52,,,,,
74,06/16/2023 18:56:30,32.26,,,,,
75,06/16/2023 19:01:30,32.00,,,,,
76,06/16/2023 19:06:30,31.74,,,,,
77,06/16/2023 19:11:30,31.61,,,,,
78,06/16/2023 19:16:30,31.44,,,,,
79,06/16/2023 19:21:30,31.36,,,,,
80,06/16/2023 19:26:30,31.19,,,,,
81,06/16/2023 19:31:30,31.06,,,,,
82,06/16/2023 19:36:30,30.89,,,,,
83,06/16/2023 19:41:30,30.67,,,,,
84,06/16/2023 19:46:30,30.50,,,,,
85,06/16/2023 19:51:30,30.37,,,,,
86,06/16/2023 19:56:30,30.03,,,,,
87,06/16/2023 20:01:30,29.77,,,,,
88,06/16/2023 20:06:30,29.47,,,,,
89,06/16/2023 20:11:30,29.21,,,,,
90,06/16/2023 20:16:30,28.91,,,,,
91,06/16/2023 20:21:30,28.61,,,,,
92,06/16/2023 20:26:30,28.31,,,,,
93,06/16/2023 20:31:30,28.05,,,,,
94,06/16/2023 20:36:30,27.88,,,,,
