#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,Stopped,End of File
1,06/16/2022 10:23:39,32.73,,,
2,06/16/2022 10:28:39,29.98,,,
3,06/16/2022 10:33:39,28.48,,,
4,06/16/2022 10:38:39,27.58,,,
5,06/16/2022 10:43:39,27.20,,,
6,06/16/2022 10:48:39,27.02,,,
7,06/16/2022 10:53:39,26.98,,,
8,06/16/2022 10:58:39,26.98,,,
9,06/16/2022 11:03:39,27.07,,,
10,06/16/2022 11:08:39,27.15,,,
11,06/16/2022 11:13:39,27.28,,,
12,06/16/2022 11:18:39,27.41,,,
13,06/16/2022 11:23:39,27.58,,,
14,06/16/2022 11:28:39,27.75,,,
15,06/16/2022 11:33:39,27.93,,,
16,06/16/2022 11:38:39,28.14,,,
17,06/16/2022 11:43:39,28.27,,,
18,06/16/2022 11:48:39,28.40,,,
19,06/16/2022 11:53:39,28.48,,,
20,06/16/2022 11:58:39,28.61,,,
21,06/16/2022 12:03:39,28.70,,,
22,06/16/2022 12:08:39,28.87,,,
23,06/16/2022 12:13:39,29.04,,,
24,06/16/2022 12:18:39,29.17,,,
25,06/16/2022 12:23:39,29.34,,,
26,06/16/2022 12:28:39,29.51,,,
27,06/16/2022 12:33:39,29.68,,,
28,06/16/2022 12:38:39,29.81,,,
29,06/16/2022 12:43:39,29.94,,,
30,06/16/2022 12:48:39,30.11,,,
31,06/16/2022 12:53:39,30.33,,,
32,06/16/2022 12:58:39,30.59,,,
33,06/16/2022 13:03:39,30.89,,,
34,06/16/2022 13:08:39,31.14,,,
35,06/16/2022 13:13:39,31.31,,,
36,06/16/2022 13:18:39,31.57,,,
37,06/16/2022 13:23:39,31.70,,,
38,06/16/2022 13:28:39,31.83,,,
39,06/16/2022 13:33:39,32.00,,,
40,06/16/2022 13:38:39,32.04,,,
41,06/16/2022 13:43:39,32.17,,,
42,06/16/2022 13:48:39,32.26,,,
43,06/16/2022 13:53:39,32.30,,,
44,06/16/2022 13:58:39,32.39,,,
45,06/16/2022 14:03:39,32.39,,,
46,06/16/2022 14:08:39,32.34,,,
47,06/16/2022 14:13:39,32.30,,,
48,06/16/2022 14:18:39,32.26,,,
49,06/16/2022 14:23:39,32.13,,,
50,06/16/2022 14:28:39,32.13,,,
51,06/16/2022 14:33:39,32.17,,,
52,06/16/2022 14:38:39,32.22,,,
53,06/16/2022 14:43:39,32.09,,,
54,06/16/2022 14:48:39,32.04,,,
55,06/16/2022 14:53:39,31.96,,,
56,06/16/2022 14:58:39,31.96,,,
57,06/16/2022 15:03:39,32.00,,,
58,06/16/2022 15:08:39,32.13,,,
59,06/16/2022 15:13:39,32.30,,,
60,06/16/2022 15:18:39,32.47,,,
61,06/16/2022 15:23:39,32.60,,,
62,06/16/2022 15:28:39,32.60,,,
63,06/16/2022 15:33:39,32.43,,,
64,06/16/2022 15:38:39,32.26,,,
65,06/16/2022 15:43:39,32.17,,,
66,06/16/2022 15:48:39,32.00,,,
67,06/16/2022 15:53:39,31.87,,,
68,06/16/2022 15:58:39,31.70,,,
69,06/16/2022 16:03:39,31.49,,,
70,06/16/2022 16:08:39,31.23,,,
71,06/16/2022 16:13:39,30.93,,,
72,06/16/2022 16:18:39,30.71,,,
73,06/16/2022 16:23:39,30.50,,,
74,06/16/2022 16:28:39,30.37,,,
75,06/16/2022 16:33:39,30.28,,,
76,06/16/2022 16:38:39,30.24,,,
77,06/16/2022 16:43:39,30.16,,,
78,06/16/2022 16:48:39,30.20,,,
79,06/16/2022 16:53:39,30.16,,,
80,06/16/2022 16:58:39,30.07,,,
81,06/16/2022 17:03:39,29.94,,,
82,06/16/2022 17:08:39,29.64,,,
83,06/16/2022 17:13:39,29.47,,,
84,06/16/2022 17:18:39,29.38,,,
85,06/16/2022 17:23:39,29.51,,,
86,06/16/2022 17:28:39,29.51,,,
87,06/16/2022 17:33:39,29.26,,,
88,06/16/2022 17:38:39,28.95,,,
89,06/16/2022 17:43:39,28.53,,,
90,06/16/2022 17:48:39,28.27,,,
91,06/16/2022 17:53:39,27.93,,,
92,06/16/2022 17:58:39,27.67,,,
93,06/16/2022 18:03:39,27.54,,,
94,06/16/2022 18:08:39,27.58,,,
95,06/16/2022 18:13:39,27.75,,,
96,06/16/2022 18:18:39,28.10,,,
97,06/16/2022 18:23:39,28.05,,,
98,06/16/2022 18:28:39,27.80,,,
99,06/16/2022 18:33:39,27.37,,,
100,06/16/2022 18:38:39,26.98,,,
101,06/16/2022 18:43:39,26.64,,,
102,06/16/2022 18:48:39,26.30,,,
103,06/16/2022 18:53:39,25.82,,,
104,06/16/2022 18:58:39,25.35,,,
105,06/16/2022 19:03:39,24.97,,,
106,06/16/2022 19:08:39,24.58,,,
107,06/16/2022 19:13:39,24.15,,,
108,06/16/2022 19:18:39,23.72,,,
109,06/16/2022 19:23:39,23.29,,,
110,06/16/2022 19:28:39,22.86,,,
111,06/16/2022 19:33:39,22.48,,,
112,06/16/2022 19:38:39,22.13,,,
113,06/16/2022 19:43:39,21.75,,,
114,06/16/2022 19:48:39,21.53,,,
115,06/16/2022 19:53:39,21.28,,,
116,06/16/2022 19:58:39,21.10,,,
117,06/16/2022 20:03:39,20.89,,,
118,06/16/2022 20:08:39,20.72,,,
119,06/16/2022 20:13:39,20.59,,,
120,06/16/2022 20:18:39,20.29,,,
121,06/16/2022 20:23:39,20.12,,,
122,06/16/2022 20:28:39,19.95,,,
123,06/16/2022 20:33:39,19.77,,,
124,06/16/2022 20:38:39,19.56,,,
125,06/16/2022 20:43:39,19.39,,,
126,06/16/2022 20:48:39,19.26,,,
127,06/16/2022 20:53:39,19.09,,,
128,06/16/2022 20:58:39,18.92,,,
129,06/16/2022 21:03:39,18.74,,,
130,06/16/2022 21:08:39,18.57,,,
131,06/16/2022 21:13:39,18.40,,,
132,06/16/2022 21:18:39,18.23,,,
133,06/16/2022 21:23:39,18.10,,,
134,06/16/2022 21:28:39,18.02,,,
135,06/16/2022 21:33:39,17.97,,,
136,06/16/2022 21:38:39,17.93,,,
137,06/16/2022 21:43:39,17.84,,,
138,06/16/2022 21:48:39,17.80,,,
139,06/16/2022 21:53:39,17.76,,,
140,06/16/2022 21:58:39,17.63,,,
141,06/16/2022 22:03:39,17.54,,,
142,06/16/2022 22:08:39,17.46,,,
143,06/16/2022 22:13:39,17.37,,,
