#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,04/19/2022 09:57:14,22.09,,,,
2,04/19/2022 10:02:14,21.40,,,,
3,04/19/2022 10:07:14,18.87,,,,
4,04/19/2022 10:12:14,17.72,,,,
5,04/19/2022 10:17:14,17.54,,,,
6,04/19/2022 10:22:14,17.54,,,,
7,04/19/2022 10:27:14,17.37,,,,
8,04/19/2022 10:32:14,17.41,,,,
9,04/19/2022 10:37:14,17.72,,,,
10,04/19/2022 10:42:14,17.93,,,,
11,04/19/2022 10:47:14,18.14,,,,
12,04/19/2022 10:52:14,18.57,,,,
13,04/19/2022 10:57:14,18.62,,,,
14,04/19/2022 11:02:14,18.74,,,,
15,04/19/2022 11:07:14,18.70,,,,
16,04/19/2022 11:12:14,18.57,,,,
17,04/19/2022 11:17:14,18.53,,,,
18,04/19/2022 11:22:14,18.70,,,,
19,04/19/2022 11:27:14,18.74,,,,
20,04/19/2022 11:32:14,18.40,,,,
21,04/19/2022 11:37:14,18.79,,,,
22,04/19/2022 11:42:14,19.39,,,,
23,04/19/2022 11:47:14,19.82,,,,
24,04/19/2022 11:52:14,19.56,,,,
25,04/19/2022 11:57:14,19.69,,,,
26,04/19/2022 12:02:14,19.60,,,,
27,04/19/2022 12:07:14,19.82,,,,
28,04/19/2022 12:12:14,19.43,,,,
29,04/19/2022 12:17:14,19.47,,,,
30,04/19/2022 12:22:14,19.86,,,,
31,04/19/2022 12:27:14,19.99,,,,
32,04/19/2022 12:32:14,19.86,,,,
33,04/19/2022 12:37:14,20.16,,,,
34,04/19/2022 12:42:14,20.20,,,,
35,04/19/2022 12:47:14,20.72,,,,
36,04/19/2022 12:52:14,20.59,,,,
37,04/19/2022 12:57:14,20.63,,,,
38,04/19/2022 13:02:14,21.02,,,,
39,04/19/2022 13:07:14,20.59,,,,
40,04/19/2022 13:12:14,21.10,,,,
41,04/19/2022 13:17:14,20.80,,,,
42,04/19/2022 13:22:14,21.15,,,,
43,04/19/2022 13:27:14,21.58,,,,
44,04/19/2022 13:32:14,20.85,,,,
45,04/19/2022 13:37:14,20.98,,,,
46,04/19/2022 13:42:14,20.93,,,,
47,04/19/2022 13:47:14,21.36,,,,
48,04/19/2022 13:52:14,20.72,,,,
49,04/19/2022 13:57:14,21.32,,,,
50,04/19/2022 14:02:14,21.45,,,,
51,04/19/2022 14:07:14,21.70,,,,
52,04/19/2022 14:12:14,21.53,,,,
53,04/19/2022 14:17:14,21.23,,,,
54,04/19/2022 14:22:14,21.49,,,,
55,04/19/2022 14:27:14,21.96,,,,
56,04/19/2022 14:32:14,21.83,,,,
57,04/19/2022 14:37:14,22.13,,,,
58,04/19/2022 14:42:14,22.18,,,,
59,04/19/2022 14:47:14,22.22,,,,
60,04/19/2022 14:52:14,22.18,,,,
61,04/19/2022 14:57:14,22.01,,,,
62,04/19/2022 15:02:14,21.83,,,,
63,04/19/2022 15:07:14,21.49,,,,
64,04/19/2022 15:12:14,21.53,,,,
65,04/19/2022 15:17:14,21.53,,,,
66,04/19/2022 15:22:14,21.40,,,,
67,04/19/2022 15:27:14,21.40,,,,
68,04/19/2022 15:32:14,21.58,,,,
69,04/19/2022 15:37:14,21.45,,,,
70,04/19/2022 15:42:14,21.23,,,,
71,04/19/2022 15:47:14,21.02,,,,
72,04/19/2022 15:52:14,21.06,,,,
73,04/19/2022 15:57:14,21.19,,,,
74,04/19/2022 16:02:14,21.40,,,,
75,04/19/2022 16:07:14,21.49,,,,
76,04/19/2022 16:12:14,21.53,,,,
77,04/19/2022 16:17:14,21.62,,,,
78,04/19/2022 16:22:14,20.80,,,,
79,04/19/2022 16:27:14,20.93,,,,
80,04/19/2022 16:32:14,22.05,,,,
81,04/19/2022 16:37:14,22.09,,,,
82,04/19/2022 16:42:14,22.31,,,,
83,04/19/2022 16:47:14,22.56,,,,
84,04/19/2022 16:52:14,22.69,,,,
85,04/19/2022 16:57:14,22.86,,,,
86,04/19/2022 17:02:14,22.22,,,,
87,04/19/2022 17:07:14,22.35,,,,
88,04/19/2022 17:12:14,22.52,,,,
89,04/19/2022 17:17:14,22.31,,,,
90,04/19/2022 17:22:14,22.05,,,,
91,04/19/2022 17:27:14,22.22,,,,
92,04/19/2022 17:32:14,21.88,,,,
93,04/19/2022 17:37:14,21.66,,,,
94,04/19/2022 17:42:14,21.49,,,,
95,04/19/2022 17:47:14,21.15,,,,
96,04/19/2022 17:52:14,20.85,,,,
97,04/19/2022 17:57:14,20.85,,,,
98,04/19/2022 18:02:14,20.76,,,,
99,04/19/2022 18:07:14,20.50,,,,
100,04/19/2022 18:12:14,20.55,,,,
101,04/19/2022 18:17:14,20.59,,,,
102,04/19/2022 18:22:14,20.29,,,,
103,04/19/2022 18:27:14,20.12,,,,
104,04/19/2022 18:32:14,19.90,,,,
105,04/19/2022 18:37:14,19.52,,,,
106,04/19/2022 18:42:14,19.26,,,,
107,04/19/2022 18:47:14,19.05,,,,
108,04/19/2022 18:52:14,18.87,,,,
109,04/19/2022 18:57:14,18.74,,,,
110,04/19/2022 19:02:14,18.49,,,,
111,04/19/2022 19:07:14,18.10,,,,
112,04/19/2022 19:12:14,17.67,,,,
113,04/19/2022 19:17:14,17.33,,,,
114,04/19/2022 19:22:14,17.03,,,,
115,04/19/2022 19:27:14,16.69,,,,
116,04/19/2022 19:32:14,16.30,,,,
117,04/19/2022 19:37:14,15.91,,,,
118,04/19/2022 19:42:14,15.61,,,,
119,04/19/2022 19:47:14,15.31,,,,
120,04/19/2022 19:52:14,15.01,,,,
121,04/19/2022 19:57:14,14.80,,,,
122,04/19/2022 20:02:14,14.58,,,,
123,04/19/2022 20:07:14,14.41,,,,
124,04/19/2022 20:12:14,14.20,,,,
125,04/19/2022 20:17:14,13.98,,,,
126,04/19/2022 20:22:14,13.77,,,,
127,04/19/2022 20:27:14,13.55,,,,
128,04/19/2022 20:32:14,13.38,,,,
129,04/19/2022 20:37:14,13.25,,,,
130,04/19/2022 20:42:14,13.12,,,,
131,04/19/2022 20:47:14,13.08,,,,
132,04/19/2022 20:52:14,12.95,,,,
133,04/19/2022 20:57:14,12.82,,,,
134,04/19/2022 21:02:14,12.78,,,,
135,04/19/2022 21:07:14,12.78,,,,
136,04/19/2022 21:12:14,12.70,,,,
137,04/19/2022 21:17:14,12.61,,,,
138,04/19/2022 21:22:14,12.52,,,,
139,04/19/2022 21:27:14,12.35,,,,
140,04/19/2022 21:32:14,12.35,,,,
141,04/19/2022 21:37:14,12.22,,,,
142,04/19/2022 21:42:14,12.14,,,,
143,04/19/2022 21:47:14,12.10,,,,
144,04/19/2022 21:52:14,12.10,,,,
145,04/19/2022 21:57:14,12.10,,,,
146,04/19/2022 22:02:14,12.18,,,,
147,04/19/2022 22:07:14,12.10,,,,
148,04/19/2022 22:12:14,12.05,,,,
149,04/19/2022 22:17:14,11.84,,,,
150,04/19/2022 22:22:14,11.58,,,,
151,04/19/2022 22:27:14,11.28,,,,
152,04/19/2022 22:32:14,11.02,,,,
153,04/19/2022 22:37:14,10.85,,,,
154,04/19/2022 22:42:14,10.72,,,,
155,04/19/2022 22:47:14,10.59,,,,
156,04/19/2022 22:52:14,10.64,,,,
157,04/19/2022 22:57:14,10.46,,,,
158,04/19/2022 23:02:14,10.42,,,,
159,04/19/2022 23:07:14,10.46,,,,
160,04/19/2022 23:12:14,10.42,,,,
161,04/19/2022 23:17:14,10.51,,,,
162,04/19/2022 23:22:14,10.51,,,,
163,04/19/2022 23:27:14,10.38,,,,
164,04/19/2022 23:32:14,10.25,,,,
165,04/19/2022 23:37:14,10.08,,,,
166,04/19/2022 23:42:14,9.99,,,,
167,04/19/2022 23:47:14,9.78,,,,
168,04/19/2022 23:52:14,9.65,,,,
169,04/19/2022 23:57:14,9.48,,,,
170,04/20/2022 00:02:14,9.26,,,,
171,04/20/2022 00:07:14,9.18,,,,
172,04/20/2022 00:12:14,9.01,,,,
173,04/20/2022 00:17:14,8.79,,,,
174,04/20/2022 00:22:14,8.75,,,,
175,04/20/2022 00:27:14,8.71,,,,
176,04/20/2022 00:32:14,8.79,,,,
177,04/20/2022 00:37:14,8.75,,,,
178,04/20/2022 00:42:14,8.83,,,,
179,04/20/2022 00:47:14,9.01,,,,
180,04/20/2022 00:52:14,9.05,,,,
181,04/20/2022 00:57:14,9.09,,,,
182,04/20/2022 01:02:14,8.88,,,,
183,04/20/2022 01:07:14,8.75,,,,
184,04/20/2022 01:12:14,8.75,,,,
185,04/20/2022 01:17:14,8.83,,,,
186,04/20/2022 01:22:14,8.62,,,,
187,04/20/2022 01:27:14,8.58,,,,
188,04/20/2022 01:32:14,8.62,,,,
189,04/20/2022 01:37:14,8.58,,,,
190,04/20/2022 01:42:14,8.36,,,,
191,04/20/2022 01:47:14,8.19,,,,
192,04/20/2022 01:52:14,8.19,,,,
193,04/20/2022 01:57:14,8.28,,,,
194,04/20/2022 02:02:14,8.23,,,,
195,04/20/2022 02:07:14,8.19,,,,
196,04/20/2022 02:12:14,8.11,,,,
197,04/20/2022 02:17:14,8.11,,,,
198,04/20/2022 02:22:14,8.11,,,,
199,04/20/2022 02:27:14,8.02,,,,
200,04/20/2022 02:32:14,7.93,,,,
201,04/20/2022 02:37:14,7.81,,,,
202,04/20/2022 02:42:14,7.63,,,,
203,04/20/2022 02:47:14,7.59,,,,
204,04/20/2022 02:52:14,7.46,,,,
