#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,End of File
1,04/14/2022 07:57:00,18.40,,
2,04/14/2022 08:02:00,14.80,,
3,04/14/2022 08:07:00,12.57,,
4,04/14/2022 08:12:00,11.71,,
5,04/14/2022 08:17:00,11.32,,
6,04/14/2022 08:22:00,11.07,,
7,04/14/2022 08:27:00,10.89,,
8,04/14/2022 08:32:00,10.85,,
9,04/14/2022 08:37:00,10.89,,
10,04/14/2022 08:42:00,10.89,,
11,04/14/2022 08:47:00,10.85,,
12,04/14/2022 08:52:00,10.81,,
13,04/14/2022 08:57:00,10.81,,
14,04/14/2022 09:02:00,10.85,,
15,04/14/2022 09:07:00,10.94,,
16,04/14/2022 09:12:00,11.07,,
17,04/14/2022 09:17:00,11.11,,
18,04/14/2022 09:22:00,11.15,,
19,04/14/2022 09:27:00,11.41,,
20,04/14/2022 09:32:00,11.49,,
21,04/14/2022 09:37:00,11.67,,
22,04/14/2022 09:42:00,11.75,,
23,04/14/2022 09:47:00,11.84,,
24,04/14/2022 09:52:00,11.92,,
25,04/14/2022 09:57:00,11.97,,
26,04/14/2022 10:02:00,11.92,,
27,04/14/2022 10:07:00,12.01,,
28,04/14/2022 10:12:00,12.05,,
29,04/14/2022 10:17:00,12.05,,
30,04/14/2022 10:22:00,12.18,,
31,04/14/2022 10:27:00,12.40,,
32,04/14/2022 10:32:00,12.48,,
33,04/14/2022 10:37:00,12.57,,
34,04/14/2022 10:42:00,12.82,,
35,04/14/2022 10:47:00,12.87,,
36,04/14/2022 10:52:00,12.78,,
37,04/14/2022 10:57:00,12.78,,
38,04/14/2022 11:02:00,12.82,,
39,04/14/2022 11:07:00,12.91,,
40,04/14/2022 11:12:00,13.00,,
41,04/14/2022 11:17:00,13.12,,
42,04/14/2022 11:22:00,13.12,,
43,04/14/2022 11:27:00,13.30,,
44,04/14/2022 11:32:00,13.34,,
45,04/14/2022 11:37:00,13.47,,
46,04/14/2022 11:42:00,13.51,,
47,04/14/2022 11:47:00,13.43,,
48,04/14/2022 11:52:00,13.38,,
49,04/14/2022 11:57:00,13.43,,
50,04/14/2022 12:02:00,13.47,,
51,04/14/2022 12:07:00,13.38,,
52,04/14/2022 12:12:00,13.25,,
53,04/14/2022 12:17:00,13.25,,
54,04/14/2022 12:22:00,13.30,,
55,04/14/2022 12:27:00,13.38,,
56,04/14/2022 12:32:00,13.51,,
57,04/14/2022 12:37:00,13.47,,
58,04/14/2022 12:42:00,13.51,,
59,04/14/2022 12:47:00,13.81,,
60,04/14/2022 12:52:00,14.15,,
61,04/14/2022 12:57:00,14.33,,
62,04/14/2022 13:02:00,14.33,,
63,04/14/2022 13:07:00,14.37,,
64,04/14/2022 13:12:00,14.50,,
65,04/14/2022 13:17:00,14.28,,
66,04/14/2022 13:22:00,14.11,,
67,04/14/2022 13:27:00,14.41,,
68,04/14/2022 13:32:00,14.71,,
69,04/14/2022 13:37:00,14.88,,
70,04/14/2022 13:42:00,15.23,,
71,04/14/2022 13:47:00,15.27,,
72,04/14/2022 13:52:00,15.36,,
73,04/14/2022 13:57:00,15.27,,
74,04/14/2022 14:02:00,15.06,,
75,04/14/2022 14:07:00,14.93,,
76,04/14/2022 14:12:00,14.84,,
77,04/14/2022 14:17:00,14.88,,
78,04/14/2022 14:22:00,14.97,,
79,04/14/2022 14:27:00,15.14,,
80,04/14/2022 14:32:00,15.18,,
81,04/14/2022 14:37:00,15.18,,
82,04/14/2022 14:42:00,15.14,,
83,04/14/2022 14:47:00,15.14,,
84,04/14/2022 14:52:00,15.27,,
85,04/14/2022 14:57:00,15.31,,
86,04/14/2022 15:02:00,15.27,,
87,04/14/2022 15:07:00,15.40,,
88,04/14/2022 15:12:00,15.44,,
89,04/14/2022 15:17:00,15.48,,
90,04/14/2022 15:22:00,15.48,,
91,04/14/2022 15:27:00,15.48,,
92,04/14/2022 15:32:00,15.40,,
93,04/14/2022 15:37:00,15.23,,
94,04/14/2022 15:42:00,15.06,,
95,04/14/2022 15:47:00,14.93,,
96,04/14/2022 15:52:00,14.71,,
97,04/14/2022 15:57:00,14.63,,
98,04/14/2022 16:02:00,14.58,,
99,04/14/2022 16:07:00,14.41,,
100,04/14/2022 16:12:00,14.37,,
101,04/14/2022 16:17:00,14.37,,
102,04/14/2022 16:22:00,14.45,,
103,04/14/2022 16:27:00,14.45,,
104,04/14/2022 16:32:00,14.54,,
105,04/14/2022 16:37:00,14.71,,
106,04/14/2022 16:42:00,14.71,,
107,04/14/2022 16:47:00,14.75,,
108,04/14/2022 16:52:00,14.71,,
109,04/14/2022 16:57:00,14.71,,
110,04/14/2022 17:02:00,14.58,,
111,04/14/2022 17:07:00,14.45,,
112,04/14/2022 17:12:00,14.45,,
113,04/14/2022 17:17:00,14.41,,
114,04/14/2022 17:22:00,14.41,,
115,04/14/2022 17:27:00,14.45,,
116,04/14/2022 17:32:00,14.41,,
117,04/14/2022 17:37:00,14.37,,
118,04/14/2022 17:42:00,14.45,,
119,04/14/2022 17:47:00,14.41,,
120,04/14/2022 17:52:00,14.37,,
121,04/14/2022 17:57:00,14.24,,
122,04/14/2022 18:02:00,14.20,,
123,04/14/2022 18:07:00,14.15,,
124,04/14/2022 18:12:00,14.03,,
125,04/14/2022 18:17:00,14.03,,
126,04/14/2022 18:22:00,13.94,,
127,04/14/2022 18:27:00,13.90,,
128,04/14/2022 18:32:00,13.81,,
129,04/14/2022 18:37:00,13.77,,
130,04/14/2022 18:42:00,13.73,,
131,04/14/2022 18:47:00,13.73,,
132,04/14/2022 18:52:00,13.68,,
133,04/14/2022 18:57:00,13.64,,
134,04/14/2022 19:02:00,13.68,,
135,04/14/2022 19:07:00,13.64,,
136,04/14/2022 19:12:00,13.60,,
137,04/14/2022 19:17:00,13.51,,
138,04/14/2022 19:22:00,13.47,,
139,04/14/2022 19:27:00,13.47,,
140,04/14/2022 19:32:00,13.38,,
141,04/14/2022 19:37:00,13.34,,
142,04/14/2022 19:42:00,13.30,,
143,04/14/2022 19:47:00,13.21,,
144,04/14/2022 19:52:00,13.12,,
145,04/14/2022 19:57:00,13.12,,
146,04/14/2022 20:02:00,13.08,,
147,04/14/2022 20:07:00,13.00,,
148,04/14/2022 20:12:00,13.00,,
149,04/14/2022 20:17:00,13.00,,
150,04/14/2022 20:22:00,12.91,,
151,04/14/2022 20:27:00,12.91,,
152,04/14/2022 20:32:00,12.87,,
153,04/14/2022 20:37:00,12.78,,
154,04/14/2022 20:42:00,12.78,,
155,04/14/2022 20:47:00,12.74,,
156,04/14/2022 20:52:00,12.70,,
157,04/14/2022 20:57:00,12.70,,
158,04/14/2022 21:02:00,12.70,,
159,04/14/2022 21:07:00,12.70,,
160,04/14/2022 21:12:00,12.65,,
161,04/14/2022 21:17:00,12.61,,
162,04/14/2022 21:22:00,12.57,,
163,04/14/2022 21:27:00,12.57,,
164,04/14/2022 21:32:00,12.61,,
165,04/14/2022 21:37:00,12.57,,
166,04/14/2022 21:42:00,12.52,,
167,04/14/2022 21:47:00,12.52,,
168,04/14/2022 21:52:00,12.52,,
169,04/14/2022 21:57:00,12.48,,
170,04/14/2022 22:02:00,12.48,,
171,04/14/2022 22:07:00,12.44,,
172,04/14/2022 22:12:00,12.48,,
173,04/14/2022 22:17:00,12.52,,
174,04/14/2022 22:22:00,12.52,,
175,04/14/2022 22:27:00,12.57,,
176,04/14/2022 22:32:00,12.57,,
177,04/14/2022 22:37:00,12.57,,
178,04/14/2022 22:42:00,12.57,,
179,04/14/2022 22:47:00,12.52,,
180,04/14/2022 22:52:00,12.52,,
181,04/14/2022 22:57:00,12.48,,
182,04/14/2022 23:02:00,12.52,,
183,04/14/2022 23:07:00,12.48,,
184,04/14/2022 23:12:00,12.48,,
185,04/14/2022 23:17:00,12.48,,
186,04/14/2022 23:22:00,12.57,,
187,04/14/2022 23:27:00,12.57,,
188,04/14/2022 23:32:00,12.61,,
189,04/14/2022 23:37:00,12.61,,
190,04/14/2022 23:42:00,12.61,,
191,04/14/2022 23:47:00,12.65,,
192,04/14/2022 23:52:00,12.70,,
193,04/14/2022 23:57:00,12.61,,
194,04/15/2022 00:02:00,12.65,,
195,04/15/2022 00:07:00,12.61,,
196,04/15/2022 00:12:00,12.65,,
197,04/15/2022 00:17:00,12.70,,
198,04/15/2022 00:22:00,12.74,,
199,04/15/2022 00:27:00,12.74,,
200,04/15/2022 00:32:00,12.74,,
201,04/15/2022 00:37:00,12.78,,
202,04/15/2022 00:42:00,12.82,,
203,04/15/2022 00:47:00,12.78,,
204,04/15/2022 00:52:00,12.82,,
205,04/15/2022 00:57:00,12.87,,
