#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,End of File
1,05/26/2021 09:19:47,29.34,,
2,05/26/2021 09:20:36,,Logged,
3,05/26/2021 09:24:47,27.11,,
4,05/26/2021 09:29:47,25.22,,
5,05/26/2021 09:34:47,24.15,,
6,05/26/2021 09:39:47,23.85,,
7,05/26/2021 09:44:47,23.51,,
8,05/26/2021 09:49:47,23.59,,
9,05/26/2021 09:54:47,23.64,,
10,05/26/2021 09:59:47,23.81,,
11,05/26/2021 10:04:47,24.02,,
12,05/26/2021 10:09:47,24.11,,
13,05/26/2021 10:14:47,24.32,,
14,05/26/2021 10:19:47,24.49,,
15,05/26/2021 10:24:47,24.62,,
16,05/26/2021 10:29:47,24.79,,
17,05/26/2021 10:34:47,25.14,,
18,05/26/2021 10:39:47,25.18,,
19,05/26/2021 10:44:47,25.27,,
20,05/26/2021 10:49:47,25.31,,
21,05/26/2021 10:54:47,25.35,,
22,05/26/2021 10:59:47,25.48,,
23,05/26/2021 11:04:47,25.65,,
24,05/26/2021 11:09:47,25.57,,
25,05/26/2021 11:14:47,25.52,,
26,05/26/2021 11:19:47,25.39,,
27,05/26/2021 11:24:47,25.35,,
28,05/26/2021 11:29:47,25.39,,
29,05/26/2021 11:34:47,25.35,,
30,05/26/2021 11:39:47,25.44,,
31,05/26/2021 11:44:47,25.52,,
32,05/26/2021 11:49:47,25.69,,
33,05/26/2021 11:54:47,25.99,,
34,05/26/2021 11:59:47,26.17,,
35,05/26/2021 12:04:47,26.38,,
36,05/26/2021 12:09:47,26.60,,
37,05/26/2021 12:14:47,26.81,,
38,05/26/2021 12:19:47,26.94,,
39,05/26/2021 12:24:47,26.81,,
40,05/26/2021 12:29:47,26.72,,
41,05/26/2021 12:34:47,26.60,,
42,05/26/2021 12:39:47,26.64,,
43,05/26/2021 12:44:47,26.68,,
44,05/26/2021 12:49:47,26.68,,
45,05/26/2021 12:54:47,26.94,,
46,05/26/2021 12:59:47,27.20,,
47,05/26/2021 13:04:47,27.28,,
48,05/26/2021 13:09:47,27.41,,
49,05/26/2021 13:14:47,27.67,,
50,05/26/2021 13:19:47,28.01,,
51,05/26/2021 13:24:47,28.35,,
52,05/26/2021 13:29:47,28.61,,
53,05/26/2021 13:34:47,28.87,,
54,05/26/2021 13:39:47,29.13,,
55,05/26/2021 13:44:47,29.34,,
56,05/26/2021 13:49:47,29.51,,
57,05/26/2021 13:54:47,29.73,,
58,05/26/2021 13:59:47,29.90,,
59,05/26/2021 14:04:47,29.98,,
60,05/26/2021 14:09:47,29.94,,
61,05/26/2021 14:14:47,29.90,,
62,05/26/2021 14:19:47,30.24,,
63,05/26/2021 14:24:47,30.50,,
64,05/26/2021 14:29:47,30.33,,
65,05/26/2021 14:34:47,30.03,,
66,05/26/2021 14:39:47,29.94,,
67,05/26/2021 14:44:47,30.11,,
68,05/26/2021 14:49:47,30.37,,
69,05/26/2021 14:54:47,30.76,,
70,05/26/2021 14:59:47,31.14,,
71,05/26/2021 15:04:47,31.44,,
72,05/26/2021 15:09:47,31.53,,
73,05/26/2021 15:14:47,31.57,,
74,05/26/2021 15:19:47,31.74,,
75,05/26/2021 15:24:47,32.13,,
76,05/26/2021 15:29:47,32.34,,
77,05/26/2021 15:34:47,32.34,,
78,05/26/2021 15:39:47,32.56,,
79,05/26/2021 15:44:47,32.82,,
80,05/26/2021 15:49:47,32.94,,
81,05/26/2021 15:54:47,32.73,,
82,05/26/2021 15:59:47,32.47,,
83,05/26/2021 16:04:47,32.52,,
84,05/26/2021 16:09:47,32.69,,
85,05/26/2021 16:14:47,32.86,,
86,05/26/2021 16:19:47,33.03,,
87,05/26/2021 16:24:47,33.07,,
88,05/26/2021 16:29:47,33.07,,
89,05/26/2021 16:34:47,32.94,,
90,05/26/2021 16:39:47,32.94,,
91,05/26/2021 16:44:47,32.82,,
92,05/26/2021 16:49:47,32.64,,
93,05/26/2021 16:54:47,32.56,,
94,05/26/2021 16:59:47,32.30,,
95,05/26/2021 17:04:47,32.13,,
96,05/26/2021 17:09:47,31.96,,
97,05/26/2021 17:14:47,31.83,,
98,05/26/2021 17:19:47,31.57,,
99,05/26/2021 17:24:47,31.36,,
100,05/26/2021 17:29:47,31.10,,
101,05/26/2021 17:34:47,30.89,,
102,05/26/2021 17:39:47,30.76,,
103,05/26/2021 17:44:47,30.59,,
104,05/26/2021 17:49:47,30.37,,
105,05/26/2021 17:54:47,30.28,,
106,05/26/2021 17:59:47,30.24,,
107,05/26/2021 18:04:47,30.16,,
108,05/26/2021 18:09:47,29.94,,
109,05/26/2021 18:14:47,29.86,,
110,05/26/2021 18:19:47,29.64,,
111,05/26/2021 18:24:47,29.47,,
112,05/26/2021 18:29:47,29.38,,
113,05/26/2021 18:34:47,29.21,,
114,05/26/2021 18:39:47,28.95,,
115,05/26/2021 18:44:47,28.87,,
116,05/26/2021 18:49:47,28.78,,
117,05/26/2021 18:54:47,28.65,,
118,05/26/2021 18:59:47,28.53,,
119,05/26/2021 19:04:47,28.48,,
120,05/26/2021 19:09:47,28.31,,
121,05/26/2021 19:14:47,28.14,,
122,05/26/2021 19:19:47,27.93,,
123,05/26/2021 19:24:47,27.75,,
124,05/26/2021 19:29:47,27.50,,
125,05/26/2021 19:34:47,27.37,,
126,05/26/2021 19:39:47,27.11,,
127,05/26/2021 19:44:47,26.90,,
128,05/26/2021 19:49:47,26.72,,
129,05/26/2021 19:54:47,26.55,,
130,05/26/2021 19:59:47,26.42,,
131,05/26/2021 20:04:47,26.17,,
132,05/26/2021 20:09:47,25.87,,
133,05/26/2021 20:14:47,25.61,,
134,05/26/2021 20:19:47,25.27,,
135,05/26/2021 20:24:47,25.05,,
136,05/26/2021 20:29:47,24.66,,
137,05/26/2021 20:34:47,24.36,,
138,05/26/2021 20:39:47,24.06,,
139,05/26/2021 20:44:47,23.76,,
140,05/26/2021 20:49:47,23.46,,
141,05/26/2021 20:54:47,23.12,,
142,05/26/2021 20:59:47,22.86,,
143,05/26/2021 21:04:47,22.61,,
144,05/26/2021 21:09:47,22.43,,
145,05/26/2021 21:14:47,22.22,,
146,05/26/2021 21:19:47,22.05,,
147,05/26/2021 21:24:47,21.92,,
148,05/26/2021 21:29:47,21.66,,
149,05/26/2021 21:34:47,21.49,,
150,05/26/2021 21:39:47,21.28,,
151,05/26/2021 21:44:47,21.10,,
152,05/26/2021 21:49:47,20.85,,
153,05/26/2021 21:54:47,20.72,,
154,05/26/2021 21:59:47,20.55,,
155,05/26/2021 22:04:47,20.42,,
156,05/26/2021 22:09:47,20.25,,
157,05/26/2021 22:14:47,20.03,,
158,05/26/2021 22:19:47,19.86,,
159,05/26/2021 22:24:47,19.73,,
160,05/26/2021 22:29:47,19.52,,
161,05/26/2021 22:34:47,19.35,,
162,05/26/2021 22:39:47,19.09,,
163,05/26/2021 22:44:47,18.96,,
164,05/26/2021 22:49:47,18.74,,
165,05/26/2021 22:54:47,18.57,,
166,05/26/2021 22:59:47,18.40,,
167,05/26/2021 23:04:47,18.27,,
168,05/26/2021 23:09:47,18.19,,
169,05/26/2021 23:14:47,18.10,,
170,05/26/2021 23:19:47,18.02,,
171,05/26/2021 23:24:47,17.89,,
172,05/26/2021 23:29:47,17.76,,
173,05/26/2021 23:34:47,17.67,,
174,05/26/2021 23:39:47,17.46,,
175,05/26/2021 23:44:47,17.33,,
176,05/26/2021 23:49:47,17.24,,
177,05/26/2021 23:54:47,17.20,,
178,05/26/2021 23:59:47,17.16,,
179,05/27/2021 00:04:47,17.11,,
180,05/27/2021 00:09:47,17.07,,
181,05/27/2021 00:14:47,16.94,,
182,05/27/2021 00:19:47,16.86,,
183,05/27/2021 00:24:47,16.81,,
184,05/27/2021 00:29:47,16.73,,
185,05/27/2021 00:34:47,16.69,,
186,05/27/2021 00:39:47,16.69,,
187,05/27/2021 00:44:47,16.51,,
188,05/27/2021 00:49:47,16.34,,
189,05/27/2021 00:54:47,16.21,,
190,05/27/2021 00:59:47,16.00,,
191,05/27/2021 01:04:47,16.00,,
192,05/27/2021 01:09:47,15.74,,
193,05/27/2021 01:14:47,15.70,,
194,05/27/2021 01:19:47,15.57,,
195,05/27/2021 01:24:47,15.44,,
196,05/27/2021 01:29:47,15.36,,
197,05/27/2021 01:34:47,15.31,,
198,05/27/2021 01:39:47,15.27,,
199,05/27/2021 01:44:47,15.23,,
200,05/27/2021 01:49:47,15.18,,
201,05/27/2021 01:54:47,15.06,,
202,05/27/2021 01:59:47,15.01,,
203,05/27/2021 02:04:47,14.93,,
204,05/27/2021 02:09:47,14.84,,
205,05/27/2021 02:14:47,14.67,,
206,05/27/2021 02:19:47,14.58,,
207,05/27/2021 02:24:47,14.58,,
208,05/27/2021 02:29:47,14.54,,
209,05/27/2021 02:34:47,14.50,,
210,05/27/2021 02:39:47,14.37,,
211,05/27/2021 02:44:47,14.33,,
212,05/27/2021 02:49:47,14.37,,
213,05/27/2021 02:54:47,14.33,,
214,05/27/2021 02:59:47,14.33,,
215,05/27/2021 03:04:47,14.33,,
216,05/27/2021 03:09:47,14.28,,
217,05/27/2021 03:14:47,14.24,,
218,05/27/2021 03:19:47,14.24,,
219,05/27/2021 03:24:47,14.24,,
220,05/27/2021 03:29:47,14.24,,
221,05/27/2021 03:34:47,14.15,,
222,05/27/2021 03:39:47,14.15,,
223,05/27/2021 03:44:47,14.03,,
224,05/27/2021 03:49:47,13.98,,
225,05/27/2021 03:54:47,13.94,,
226,05/27/2021 03:59:47,13.85,,
227,05/27/2021 04:04:47,13.81,,
228,05/27/2021 04:09:47,13.64,,
229,05/27/2021 04:14:47,13.55,,
230,05/27/2021 04:19:47,13.51,,
231,05/27/2021 04:24:47,13.38,,
232,05/27/2021 04:29:47,13.25,,
233,05/27/2021 04:34:47,13.21,,
234,05/27/2021 04:39:47,13.12,,
235,05/27/2021 04:44:47,13.12,,
236,05/27/2021 04:49:47,13.08,,
237,05/27/2021 04:54:47,13.08,,
238,05/27/2021 04:59:47,13.04,,
239,05/27/2021 05:04:47,12.95,,
240,05/27/2021 05:09:47,12.87,,
241,05/27/2021 05:14:47,12.78,,
242,05/27/2021 05:19:47,12.70,,
243,05/27/2021 05:24:47,12.65,,
244,05/27/2021 05:29:47,12.52,,
245,05/27/2021 05:34:47,12.40,,
246,05/27/2021 05:39:47,12.27,,
247,05/27/2021 05:44:47,12.27,,
248,05/27/2021 05:49:47,12.31,,
249,05/27/2021 05:54:47,12.40,,
250,05/27/2021 05:59:47,12.48,,
251,05/27/2021 06:04:47,12.44,,
252,05/27/2021 06:09:47,12.52,,
253,05/27/2021 06:14:47,12.48,,
254,05/27/2021 06:19:47,12.61,,
255,05/27/2021 06:24:47,12.61,,
256,05/27/2021 06:29:47,12.65,,
257,05/27/2021 06:34:47,12.74,,
258,05/27/2021 06:39:47,12.78,,
