#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,04/14/2022 07:43:08,19.73,,,,
2,04/14/2022 07:48:08,18.74,,,,
3,04/14/2022 07:53:08,16.60,,,,
4,04/14/2022 07:58:08,15.36,,,,
5,04/14/2022 08:03:08,14.71,,,,
6,04/14/2022 08:08:08,14.37,,,,
7,04/14/2022 08:13:08,14.20,,,,
8,04/14/2022 08:18:08,14.03,,,,
9,04/14/2022 08:23:08,14.07,,,,
10,04/14/2022 08:28:08,14.03,,,,
11,04/14/2022 08:33:08,13.98,,,,
12,04/14/2022 08:38:08,13.90,,,,
13,04/14/2022 08:43:08,13.85,,,,
14,04/14/2022 08:48:08,13.77,,,,
15,04/14/2022 08:53:08,13.77,,,,
16,04/14/2022 08:58:08,13.73,,,,
17,04/14/2022 09:03:08,13.55,,,,
18,04/14/2022 09:08:08,13.38,,,,
19,04/14/2022 09:13:08,13.51,,,,
20,04/14/2022 09:18:08,13.51,,,,
21,04/14/2022 09:23:08,13.68,,,,
22,04/14/2022 09:28:08,13.68,,,,
23,04/14/2022 09:33:08,13.68,,,,
24,04/14/2022 09:38:08,13.77,,,,
25,04/14/2022 09:43:08,13.94,,,,
26,04/14/2022 09:48:08,14.07,,,,
27,04/14/2022 09:53:08,14.20,,,,
28,04/14/2022 09:58:08,14.28,,,,
29,04/14/2022 10:03:08,14.33,,,,
30,04/14/2022 10:08:08,14.41,,,,
31,04/14/2022 10:13:08,14.50,,,,
32,04/14/2022 10:18:08,14.45,,,,
33,04/14/2022 10:23:08,14.50,,,,
34,04/14/2022 10:28:08,14.45,,,,
35,04/14/2022 10:33:08,14.63,,,,
36,04/14/2022 10:38:08,14.75,,,,
37,04/14/2022 10:43:08,14.88,,,,
38,04/14/2022 10:48:08,14.97,,,,
39,04/14/2022 10:53:08,15.06,,,,
40,04/14/2022 10:58:08,15.18,,,,
41,04/14/2022 11:03:08,15.27,,,,
42,04/14/2022 11:08:08,15.27,,,,
43,04/14/2022 11:13:08,15.36,,,,
44,04/14/2022 11:18:08,15.36,,,,
45,04/14/2022 11:23:08,15.44,,,,
46,04/14/2022 11:28:08,15.53,,,,
47,04/14/2022 11:33:08,15.70,,,,
48,04/14/2022 11:38:08,15.78,,,,
49,04/14/2022 11:43:08,15.78,,,,
50,04/14/2022 11:48:08,15.74,,,,
51,04/14/2022 11:53:08,15.74,,,,
52,04/14/2022 11:58:08,15.87,,,,
53,04/14/2022 12:03:08,15.96,,,,
54,04/14/2022 12:08:08,16.08,,,,
55,04/14/2022 12:13:08,16.26,,,,
56,04/14/2022 12:18:08,16.21,,,,
57,04/14/2022 12:23:08,16.21,,,,
58,04/14/2022 12:28:08,16.17,,,,
59,04/14/2022 12:33:08,16.00,,,,
60,04/14/2022 12:38:08,15.96,,,,
61,04/14/2022 12:43:08,15.96,,,,
62,04/14/2022 12:48:08,16.08,,,,
63,04/14/2022 12:53:08,16.04,,,,
64,04/14/2022 12:58:08,16.17,,,,
65,04/14/2022 13:03:08,16.30,,,,
66,04/14/2022 13:08:08,16.30,,,,
67,04/14/2022 13:13:08,16.34,,,,
68,04/14/2022 13:18:08,16.47,,,,
69,04/14/2022 13:23:08,16.69,,,,
70,04/14/2022 13:28:08,16.60,,,,
71,04/14/2022 13:33:08,16.64,,,,
72,04/14/2022 13:38:08,16.64,,,,
73,04/14/2022 13:43:08,16.81,,,,
74,04/14/2022 13:48:08,16.86,,,,
75,04/14/2022 13:53:08,16.81,,,,
76,04/14/2022 13:58:08,16.86,,,,
77,04/14/2022 14:03:08,16.90,,,,
78,04/14/2022 14:08:08,16.99,,,,
79,04/14/2022 14:13:08,17.07,,,,
80,04/14/2022 14:18:08,17.03,,,,
81,04/14/2022 14:23:08,16.94,,,,
82,04/14/2022 14:28:08,16.94,,,,
83,04/14/2022 14:33:08,16.99,,,,
84,04/14/2022 14:38:08,16.99,,,,
85,04/14/2022 14:43:08,17.07,,,,
86,04/14/2022 14:48:08,17.16,,,,
87,04/14/2022 14:53:08,17.16,,,,
88,04/14/2022 14:58:08,17.24,,,,
89,04/14/2022 15:03:08,17.24,,,,
90,04/14/2022 15:08:08,17.24,,,,
91,04/14/2022 15:13:08,17.20,,,,
92,04/14/2022 15:18:08,17.33,,,,
93,04/14/2022 15:23:08,17.33,,,,
94,04/14/2022 15:28:08,17.50,,,,
95,04/14/2022 15:33:08,17.37,,,,
96,04/14/2022 15:38:08,17.46,,,,
97,04/14/2022 15:43:08,17.54,,,,
98,04/14/2022 15:48:08,17.59,,,,
99,04/14/2022 15:53:08,17.54,,,,
100,04/14/2022 15:58:08,17.54,,,,
101,04/14/2022 16:03:08,17.46,,,,
102,04/14/2022 16:08:08,17.41,,,,
103,04/14/2022 16:13:08,17.37,,,,
104,04/14/2022 16:18:08,17.29,,,,
105,04/14/2022 16:23:08,17.29,,,,
106,04/14/2022 16:28:08,17.16,,,,
107,04/14/2022 16:33:08,16.99,,,,
108,04/14/2022 16:38:08,16.99,,,,
109,04/14/2022 16:43:08,17.11,,,,
110,04/14/2022 16:48:08,17.20,,,,
111,04/14/2022 16:53:08,17.24,,,,
112,04/14/2022 16:58:08,17.24,,,,
113,04/14/2022 17:03:08,17.16,,,,
114,04/14/2022 17:08:08,17.11,,,,
115,04/14/2022 17:13:08,16.94,,,,
116,04/14/2022 17:18:08,16.90,,,,
117,04/14/2022 17:23:08,17.07,,,,
118,04/14/2022 17:28:08,17.07,,,,
119,04/14/2022 17:33:08,17.16,,,,
120,04/14/2022 17:38:08,17.07,,,,
121,04/14/2022 17:43:08,17.03,,,,
122,04/14/2022 17:48:08,16.99,,,,
123,04/14/2022 17:53:08,16.94,,,,
124,04/14/2022 17:58:08,16.99,,,,
125,04/14/2022 18:03:08,17.07,,,,
126,04/14/2022 18:08:08,17.11,,,,
127,04/14/2022 18:13:08,17.11,,,,
128,04/14/2022 18:18:08,17.11,,,,
129,04/14/2022 18:23:08,17.07,,,,
130,04/14/2022 18:28:08,17.07,,,,
131,04/14/2022 18:33:08,16.94,,,,
132,04/14/2022 18:38:08,16.86,,,,
133,04/14/2022 18:43:08,16.81,,,,
134,04/14/2022 18:48:08,16.73,,,,
135,04/14/2022 18:53:08,16.73,,,,
136,04/14/2022 18:58:08,16.64,,,,
137,04/14/2022 19:03:08,16.51,,,,
138,04/14/2022 19:08:08,16.60,,,,
139,04/14/2022 19:13:08,16.69,,,,
140,04/14/2022 19:18:08,16.77,,,,
141,04/14/2022 19:23:08,16.73,,,,
142,04/14/2022 19:28:08,16.69,,,,
143,04/14/2022 19:33:08,16.64,,,,
144,04/14/2022 19:38:08,16.56,,,,
145,04/14/2022 19:43:08,16.47,,,,
146,04/14/2022 19:48:08,16.43,,,,
147,04/14/2022 19:53:08,16.43,,,,
148,04/14/2022 19:58:08,16.39,,,,
149,04/14/2022 20:03:08,16.34,,,,
150,04/14/2022 20:08:08,16.39,,,,
151,04/14/2022 20:13:08,16.39,,,,
152,04/14/2022 20:18:08,16.39,,,,
153,04/14/2022 20:23:08,16.47,,,,
154,04/14/2022 20:28:08,16.39,,,,
155,04/14/2022 20:33:08,16.30,,,,
156,04/14/2022 20:38:08,16.39,,,,
157,04/14/2022 20:43:08,16.30,,,,
158,04/14/2022 20:48:08,16.26,,,,
159,04/14/2022 20:53:08,16.26,,,,
160,04/14/2022 20:58:08,16.21,,,,
161,04/14/2022 21:03:08,16.08,,,,
162,04/14/2022 21:08:08,16.13,,,,
163,04/14/2022 21:13:08,16.08,,,,
164,04/14/2022 21:18:08,16.00,,,,
165,04/14/2022 21:23:08,15.83,,,,
166,04/14/2022 21:28:08,15.78,,,,
167,04/14/2022 21:33:08,15.66,,,,
168,04/14/2022 21:38:08,15.53,,,,
169,04/14/2022 21:43:08,15.44,,,,
170,04/14/2022 21:48:08,15.40,,,,
171,04/14/2022 21:53:08,15.36,,,,
172,04/14/2022 21:58:08,15.18,,,,
173,04/14/2022 22:03:08,15.14,,,,
174,04/14/2022 22:08:08,15.18,,,,
175,04/14/2022 22:13:08,15.23,,,,
176,04/14/2022 22:18:08,15.23,,,,
177,04/14/2022 22:23:08,15.23,,,,
178,04/14/2022 22:28:08,15.23,,,,
179,04/14/2022 22:33:08,15.18,,,,
180,04/14/2022 22:38:08,15.14,,,,
181,04/14/2022 22:43:08,15.18,,,,
182,04/14/2022 22:48:08,15.10,,,,
183,04/14/2022 22:53:08,15.06,,,,
184,04/14/2022 22:58:08,15.10,,,,
185,04/14/2022 23:03:08,15.18,,,,
186,04/14/2022 23:08:08,15.27,,,,
187,04/14/2022 23:13:08,15.23,,,,
188,04/14/2022 23:18:08,15.27,,,,
189,04/14/2022 23:23:08,15.31,,,,
190,04/14/2022 23:28:08,15.27,,,,
191,04/14/2022 23:33:08,15.27,,,,
192,04/14/2022 23:38:08,15.27,,,,
193,04/14/2022 23:43:08,15.23,,,,
194,04/14/2022 23:48:08,15.14,,,,
195,04/14/2022 23:53:08,15.06,,,,
196,04/14/2022 23:58:08,15.01,,,,
197,04/15/2022 00:03:08,14.93,,,,
198,04/15/2022 00:08:08,14.84,,,,
199,04/15/2022 00:13:08,14.71,,,,
200,04/15/2022 00:18:08,14.71,,,,
201,04/15/2022 00:23:08,14.71,,,,
202,04/15/2022 00:28:08,14.67,,,,
203,04/15/2022 00:33:08,14.67,,,,
204,04/15/2022 00:38:08,14.75,,,,
205,04/15/2022 00:43:08,14.84,,,,
206,04/15/2022 00:48:08,14.93,,,,
207,04/15/2022 00:53:08,15.01,,,,
208,04/15/2022 00:58:08,15.01,,,,
209,04/15/2022 01:03:08,15.06,,,,
210,04/15/2022 01:08:08,14.97,,,,
211,04/15/2022 01:13:08,14.97,,,,
212,04/15/2022 01:18:08,15.06,,,,
213,04/15/2022 01:23:08,15.10,,,,
214,04/15/2022 01:28:08,15.23,,,,
215,04/15/2022 01:33:08,15.31,,,,
216,04/15/2022 01:38:08,15.27,,,,
217,04/15/2022 01:43:08,15.27,,,,
218,04/15/2022 01:48:08,15.36,,,,
219,04/15/2022 01:53:08,15.31,,,,
220,04/15/2022 01:58:08,15.27,,,,
221,04/15/2022 02:03:08,15.27,,,,
222,04/15/2022 02:08:08,15.27,,,,
223,04/15/2022 02:13:08,15.31,,,,
224,04/15/2022 02:18:08,15.27,,,,
225,04/15/2022 02:23:08,15.18,,,,
226,04/15/2022 02:28:08,15.18,,,,
227,04/15/2022 02:33:08,15.01,,,,
228,04/15/2022 02:38:08,14.84,,,,
229,04/15/2022 02:43:08,14.80,,,,
230,04/15/2022 02:48:08,14.63,,,,
231,04/15/2022 02:53:08,14.54,,,,
232,04/15/2022 02:58:08,14.41,,,,
233,04/15/2022 03:03:08,14.15,,,,
234,04/15/2022 03:08:08,13.98,,,,
235,04/15/2022 03:13:08,13.68,,,,
236,04/15/2022 03:18:08,13.34,,,,
237,04/15/2022 03:23:08,13.08,,,,
238,04/15/2022 03:28:08,12.82,,,,
239,04/15/2022 03:33:08,12.74,,,,
240,04/15/2022 03:38:08,12.70,,,,
241,04/15/2022 03:43:08,12.70,,,,
242,04/15/2022 03:48:08,12.61,,,,
243,04/15/2022 03:53:08,12.61,,,,
244,04/15/2022 03:58:08,12.52,,,,
245,04/15/2022 04:03:08,12.44,,,,
246,04/15/2022 04:08:08,12.44,,,,
247,04/15/2022 04:13:08,12.44,,,,
248,04/15/2022 04:18:08,12.52,,,,
249,04/15/2022 04:23:08,12.40,,,,
250,04/15/2022 04:28:08,12.31,,,,
251,04/15/2022 04:33:08,12.22,,,,
252,04/15/2022 04:38:08,12.05,,,,
253,04/15/2022 04:43:08,11.92,,,,
254,04/15/2022 04:48:08,11.79,,,,
255,04/15/2022 04:53:08,11.67,,,,
256,04/15/2022 04:58:08,11.54,,,,
257,04/15/2022 05:03:08,11.49,,,,
258,04/15/2022 05:08:08,11.41,,,,
259,04/15/2022 05:13:08,11.32,,,,
260,04/15/2022 05:18:08,11.32,,,,
261,04/15/2022 05:23:08,11.37,,,,
262,04/15/2022 05:28:08,11.41,,,,
263,04/15/2022 05:33:08,11.45,,,,
264,04/15/2022 05:38:08,11.49,,,,
265,04/15/2022 05:43:08,11.62,,,,
266,04/15/2022 05:48:08,11.58,,,,
267,04/15/2022 05:53:08,11.54,,,,
268,04/15/2022 05:58:08,11.54,,,,
269,04/15/2022 06:03:08,11.49,,,,
270,04/15/2022 06:08:08,11.37,,,,
271,04/15/2022 06:13:08,11.37,,,,
272,04/15/2022 06:18:08,11.24,,,,
273,04/15/2022 06:23:08,10.98,,,,
274,04/15/2022 06:28:08,10.85,,,,
275,04/15/2022 06:33:08,10.89,,,,
276,04/15/2022 06:38:08,10.94,,,,
277,04/15/2022 06:43:08,10.94,,,,
278,04/15/2022 06:48:08,10.85,,,,
279,04/15/2022 06:53:08,10.81,,,,
280,04/15/2022 06:58:08,10.89,,,,
281,04/15/2022 07:03:08,10.94,,,,
282,04/15/2022 07:08:08,11.02,,,,
283,04/15/2022 07:13:08,10.94,,,,
284,04/15/2022 07:18:08,10.85,,,,
285,04/15/2022 07:23:08,10.85,,,,
286,04/15/2022 07:28:08,10.94,,,,
287,04/15/2022 07:33:08,10.94,,,,
288,04/15/2022 07:38:08,11.02,,,,
289,04/15/2022 07:43:08,11.07,,,,
290,04/15/2022 07:48:08,11.15,,,,
291,04/15/2022 07:53:08,11.19,,,,
292,04/15/2022 07:58:08,11.28,,,,
293,04/15/2022 08:03:08,11.37,,,,
294,04/15/2022 08:08:08,11.62,,,,
295,04/15/2022 08:13:08,11.79,,,,
296,04/15/2022 08:18:08,11.79,,,,
297,04/15/2022 08:23:08,11.92,,,,
298,04/15/2022 08:28:08,12.05,,,,
299,04/15/2022 08:33:08,12.22,,,,
300,04/15/2022 08:38:08,12.35,,,,
301,04/15/2022 08:43:08,12.57,,,,
302,04/15/2022 08:48:08,12.70,,,,
303,04/15/2022 08:53:08,12.87,,,,
304,04/15/2022 08:58:08,13.04,,,,
305,04/15/2022 09:03:08,13.04,,,,
306,04/15/2022 09:08:08,13.30,,,,
307,04/15/2022 09:13:08,13.64,,,,
308,04/15/2022 09:18:08,13.94,,,,
309,04/15/2022 09:23:08,14.24,,,,
310,04/15/2022 09:28:08,14.41,,,,
311,04/15/2022 09:33:08,14.41,,,,
312,04/15/2022 09:38:08,14.63,,,,
313,04/15/2022 09:43:08,14.97,,,,
314,04/15/2022 09:48:08,15.18,,,,
315,04/15/2022 09:53:08,15.40,,,,
316,04/15/2022 09:58:08,15.70,,,,
317,04/15/2022 10:03:08,15.91,,,,
318,04/15/2022 10:08:08,16.04,,,,
319,04/15/2022 10:13:08,16.13,,,,
320,04/15/2022 10:18:08,16.39,,,,
321,04/15/2022 10:23:08,16.51,,,,
322,04/15/2022 10:28:08,16.77,,,,
323,04/15/2022 10:33:08,16.94,,,,
324,04/15/2022 10:38:08,17.11,,,,
325,04/15/2022 10:43:08,17.07,,,,
326,04/15/2022 10:48:08,17.16,,,,
327,04/15/2022 10:53:08,17.29,,,,
328,04/15/2022 10:58:08,17.33,,,,
329,04/15/2022 11:03:08,17.37,,,,
330,04/15/2022 11:08:08,17.37,,,,
331,04/15/2022 11:13:08,17.46,,,,
332,04/15/2022 11:18:08,17.41,,,,
333,04/15/2022 11:23:08,17.46,,,,
334,04/15/2022 11:28:08,17.37,,,,
335,04/15/2022 11:33:08,17.41,,,,
336,04/15/2022 11:38:08,17.41,,,,
337,04/15/2022 11:43:08,17.37,,,,
338,04/15/2022 11:48:08,17.46,,,,
339,04/15/2022 11:53:08,17.41,,,,
340,04/15/2022 11:58:08,17.37,,,,
341,04/15/2022 12:03:08,17.41,,,,
342,04/15/2022 12:08:08,17.63,,,,
343,04/15/2022 12:13:08,17.80,,,,
344,04/15/2022 12:18:08,17.80,,,,
345,04/15/2022 12:23:08,17.97,,,,
346,04/15/2022 12:28:08,18.02,,,,
347,04/15/2022 12:33:08,18.06,,,,
348,04/15/2022 12:38:08,18.02,,,,
349,04/15/2022 12:43:08,18.10,,,,
350,04/15/2022 12:48:08,18.10,,,,
351,04/15/2022 12:53:08,18.14,,,,
352,04/15/2022 12:58:08,18.32,,,,
353,04/15/2022 13:03:08,18.40,,,,
354,04/15/2022 13:08:08,18.44,,,,
355,04/15/2022 13:13:08,18.49,,,,
356,04/15/2022 13:18:08,18.49,,,,
357,04/15/2022 13:23:08,18.62,,,,
358,04/15/2022 13:28:08,18.74,,,,
359,04/15/2022 13:33:08,18.87,,,,
360,04/15/2022 13:38:08,18.96,,,,
361,04/15/2022 13:43:08,19.05,,,,
362,04/15/2022 13:48:08,19.05,,,,
363,04/15/2022 13:53:08,19.09,,,,
364,04/15/2022 13:58:08,19.26,,,,
365,04/15/2022 14:03:08,19.22,,,,
366,04/15/2022 14:08:08,19.13,,,,
367,04/15/2022 14:13:08,19.30,,,,
368,04/15/2022 14:18:08,19.43,,,,
369,04/15/2022 14:23:08,19.60,,,,
370,04/15/2022 14:28:08,19.73,,,,
371,04/15/2022 14:33:08,19.90,,,,
372,04/15/2022 14:38:08,19.95,,,,
373,04/15/2022 14:43:08,20.16,,,,
374,04/15/2022 14:48:08,20.46,,,,
375,04/15/2022 14:53:08,20.63,,,,
376,04/15/2022 14:58:08,20.76,,,,
377,04/15/2022 15:03:08,21.06,,,,
378,04/15/2022 15:08:08,21.19,,,,
379,04/15/2022 15:13:08,21.36,,,,
380,04/15/2022 15:18:08,21.32,,,,
381,04/15/2022 15:23:08,21.10,,,,
382,04/15/2022 15:28:08,21.06,,,,
383,04/15/2022 15:33:08,21.36,,,,
384,04/15/2022 15:38:08,21.62,,,,
