#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/17/2022 08:19:46,25.95,,,,
2,05/17/2022 08:24:46,22.86,,,,
3,05/17/2022 08:29:46,20.76,,,,
4,05/17/2022 08:34:46,19.69,,,,
5,05/17/2022 08:39:46,19.05,,,,
6,05/17/2022 08:44:46,18.74,,,,
7,05/17/2022 08:49:46,18.66,,,,
8,05/17/2022 08:54:46,18.66,,,,
9,05/17/2022 08:59:46,18.96,,,,
10,05/17/2022 09:04:46,19.13,,,,
11,05/17/2022 09:09:46,19.43,,,,
12,05/17/2022 09:14:46,19.69,,,,
13,05/17/2022 09:19:46,19.95,,,,
14,05/17/2022 09:24:46,20.12,,,,
15,05/17/2022 09:29:46,20.33,,,,
16,05/17/2022 09:34:46,20.42,,,,
17,05/17/2022 09:39:46,20.76,,,,
18,05/17/2022 09:44:46,21.10,,,,
19,05/17/2022 09:49:46,21.53,,,,
20,05/17/2022 09:54:46,21.96,,,,
21,05/17/2022 09:59:46,22.22,,,,
22,05/17/2022 10:04:46,22.48,,,,
23,05/17/2022 10:09:46,22.86,,,,
24,05/17/2022 10:14:46,22.99,,,,
25,05/17/2022 10:19:46,23.16,,,,
26,05/17/2022 10:24:46,23.46,,,,
27,05/17/2022 10:29:46,23.76,,,,
28,05/17/2022 10:34:46,23.81,,,,
29,05/17/2022 10:39:46,23.72,,,,
30,05/17/2022 10:44:46,24.06,,,,
31,05/17/2022 10:49:46,24.11,,,,
32,05/17/2022 10:54:46,24.36,,,,
33,05/17/2022 10:59:46,24.79,,,,
34,05/17/2022 11:04:46,25.18,,,,
35,05/17/2022 11:09:46,25.18,,,,
36,05/17/2022 11:14:46,25.27,,,,
37,05/17/2022 11:19:46,25.27,,,,
38,05/17/2022 11:24:46,25.57,,,,
39,05/17/2022 11:29:46,25.82,,,,
40,05/17/2022 11:34:46,25.87,,,,
41,05/17/2022 11:39:46,26.12,,,,
42,05/17/2022 11:44:46,26.30,,,,
43,05/17/2022 11:49:46,26.42,,,,
44,05/17/2022 11:54:46,26.68,,,,
45,05/17/2022 11:59:46,26.72,,,,
46,05/17/2022 12:04:46,26.94,,,,
47,05/17/2022 12:09:46,27.20,,,,
48,05/17/2022 12:14:46,27.32,,,,
49,05/17/2022 12:19:46,27.58,,,,
50,05/17/2022 12:24:46,27.63,,,,
51,05/17/2022 12:29:46,27.84,,,,
52,05/17/2022 12:34:46,28.05,,,,
53,05/17/2022 12:39:46,28.14,,,,
54,05/17/2022 12:44:46,28.31,,,,
55,05/17/2022 12:49:46,28.40,,,,
56,05/17/2022 12:54:46,28.53,,,,
57,05/17/2022 12:59:46,28.74,,,,
58,05/17/2022 13:04:46,28.95,,,,
59,05/17/2022 13:09:46,29.13,,,,
60,05/17/2022 13:14:46,29.26,,,,
61,05/17/2022 13:19:46,29.17,,,,
62,05/17/2022 13:24:46,29.30,,,,
63,05/17/2022 13:29:46,29.47,,,,
64,05/17/2022 13:34:46,29.56,,,,
65,05/17/2022 13:39:46,29.77,,,,
66,05/17/2022 13:44:46,29.81,,,,
67,05/17/2022 13:49:46,30.07,,,,
68,05/17/2022 13:54:46,30.33,,,,
69,05/17/2022 13:59:46,30.41,,,,
70,05/17/2022 14:04:46,30.59,,,,
71,05/17/2022 14:09:46,30.63,,,,
72,05/17/2022 14:14:46,30.76,,,,
73,05/17/2022 14:19:46,30.84,,,,
74,05/17/2022 14:24:46,30.89,,,,
75,05/17/2022 14:29:46,30.93,,,,
76,05/17/2022 14:34:46,31.14,,,,
77,05/17/2022 14:39:46,31.40,,,,
78,05/17/2022 14:44:46,31.57,,,,
79,05/17/2022 14:49:46,31.70,,,,
80,05/17/2022 14:54:46,31.74,,,,
81,05/17/2022 14:59:46,31.74,,,,
82,05/17/2022 15:04:46,31.74,,,,
83,05/17/2022 15:09:46,31.74,,,,
84,05/17/2022 15:14:46,31.92,,,,
85,05/17/2022 15:19:46,32.04,,,,
86,05/17/2022 15:24:46,32.04,,,,
