#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,05/17/2022 08:19:17,21.92,,
2,05/17/2022 08:24:17,21.32,,
3,05/17/2022 08:29:17,18.53,,
4,05/17/2022 08:34:17,17.89,,
5,05/17/2022 08:39:17,17.89,,
6,05/17/2022 08:44:17,18.06,,
7,05/17/2022 08:49:17,18.36,,
8,05/17/2022 08:54:17,18.87,,
9,05/17/2022 08:59:17,19.17,,
10,05/17/2022 09:04:17,19.47,,
11,05/17/2022 09:09:17,19.77,,
12,05/17/2022 09:14:17,20.12,,
13,05/17/2022 09:19:17,20.50,,
14,05/17/2022 09:24:17,20.93,,
15,05/17/2022 09:29:17,20.76,,
16,05/17/2022 09:34:17,20.98,,
17,05/17/2022 09:39:17,21.88,,
18,05/17/2022 09:44:17,22.18,,
19,05/17/2022 09:49:17,22.65,,
20,05/17/2022 09:54:17,23.08,,
21,05/17/2022 09:59:17,23.12,,
22,05/17/2022 10:04:17,23.51,,
23,05/17/2022 10:09:17,23.85,,
24,05/17/2022 10:14:17,23.68,,
25,05/17/2022 10:19:17,24.02,,
26,05/17/2022 10:24:17,24.84,,
27,05/17/2022 10:29:17,25.22,,
28,05/17/2022 10:34:17,25.18,,
29,05/17/2022 10:39:17,25.09,,
30,05/17/2022 10:44:17,25.78,,
31,05/17/2022 10:49:17,25.99,,
32,05/17/2022 10:54:17,26.38,,
33,05/17/2022 10:59:17,26.64,,
34,05/17/2022 11:04:17,27.15,,
35,05/17/2022 11:09:17,26.98,,
36,05/17/2022 11:14:17,27.11,,
37,05/17/2022 11:19:17,27.07,,
38,05/17/2022 11:24:17,27.58,,
39,05/17/2022 11:29:17,27.24,,
40,05/17/2022 11:34:17,27.63,,
41,05/17/2022 11:39:17,27.80,,
42,05/17/2022 11:44:17,28.18,,
43,05/17/2022 11:49:17,28.23,,
44,05/17/2022 11:54:17,29.13,,
45,05/17/2022 11:59:17,28.70,,
46,05/17/2022 12:04:17,29.17,,
47,05/17/2022 12:09:17,29.77,,
48,05/17/2022 12:14:17,29.51,,
49,05/17/2022 12:19:17,30.07,,
50,05/17/2022 12:24:17,29.98,,
51,05/17/2022 12:29:17,29.81,,
52,05/17/2022 12:34:17,29.86,,
53,05/17/2022 12:39:17,30.07,,
54,05/17/2022 12:44:17,30.28,,
55,05/17/2022 12:49:17,30.67,,
56,05/17/2022 12:54:17,30.41,,
57,05/17/2022 12:59:17,30.89,,
58,05/17/2022 13:04:17,31.14,,
59,05/17/2022 13:09:17,31.19,,
60,05/17/2022 13:14:17,31.23,,
61,05/17/2022 13:19:17,31.10,,
62,05/17/2022 13:24:17,31.10,,
63,05/17/2022 13:29:17,30.97,,
64,05/17/2022 13:34:17,31.06,,
65,05/17/2022 13:39:17,31.83,,
66,05/17/2022 13:44:17,31.83,,
67,05/17/2022 13:49:17,32.22,,
68,05/17/2022 13:54:17,32.52,,
69,05/17/2022 13:59:17,32.47,,
70,05/17/2022 14:04:17,32.60,,
71,05/17/2022 14:09:17,32.39,,
72,05/17/2022 14:14:17,32.60,,
73,05/17/2022 14:19:17,32.47,,
74,05/17/2022 14:24:17,32.43,,
75,05/17/2022 14:29:17,32.99,,
76,05/17/2022 14:34:17,33.16,,
77,05/17/2022 14:39:17,33.42,,
78,05/17/2022 14:44:17,33.42,,
79,05/17/2022 14:49:17,33.59,,
80,05/17/2022 14:54:17,33.33,,
81,05/17/2022 14:59:17,33.12,,
82,05/17/2022 15:04:17,33.16,,
83,05/17/2022 15:09:17,33.29,,
84,05/17/2022 15:14:17,33.89,,
85,05/17/2022 15:19:17,33.93,,
86,05/17/2022 15:24:17,33.89,,
87,05/17/2022 15:29:17,34.32,,
88,05/17/2022 15:34:17,34.10,,
89,05/17/2022 15:39:17,33.85,,
90,05/17/2022 15:44:17,34.15,,
91,05/17/2022 15:49:17,34.32,,
92,05/17/2022 15:54:17,34.32,,
93,05/17/2022 15:59:17,34.19,,
94,05/17/2022 16:04:17,34.19,,
95,05/17/2022 16:09:17,34.27,,
96,05/17/2022 16:14:17,34.06,,
97,05/17/2022 16:19:17,34.27,,
98,05/17/2022 16:24:17,34.10,,
99,05/17/2022 16:29:17,33.97,,
100,05/17/2022 16:34:17,34.15,,
101,05/17/2022 16:39:17,34.10,,
102,05/17/2022 16:44:17,34.06,,
103,05/17/2022 16:49:17,33.80,,
104,05/17/2022 16:54:17,33.89,,
105,05/17/2022 16:59:17,33.97,,
106,05/17/2022 17:04:17,33.55,,
107,05/17/2022 17:09:17,33.25,,
108,05/17/2022 17:14:17,33.29,,
109,05/17/2022 17:19:17,33.42,,
110,05/17/2022 17:24:17,33.37,,
111,05/17/2022 17:29:17,33.25,,
112,05/17/2022 17:34:17,33.07,,
113,05/17/2022 17:39:17,33.12,,
