#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,06/16/2021 09:05:29,25.74,,
2,06/16/2021 09:10:29,26.12,,
3,06/16/2021 09:15:29,26.25,,
4,06/16/2021 09:20:29,26.38,,
5,06/16/2021 09:25:29,26.47,,
6,06/16/2021 09:30:29,26.64,,
7,06/16/2021 09:35:29,26.72,,
8,06/16/2021 09:40:29,26.90,,
9,06/16/2021 09:45:29,26.85,,
10,06/16/2021 09:50:29,26.81,,
11,06/16/2021 09:55:29,26.90,,
12,06/16/2021 10:00:29,27.07,,
13,06/16/2021 10:05:29,27.28,,
14,06/16/2021 10:10:29,27.28,,
15,06/16/2021 10:15:29,27.71,,
16,06/16/2021 10:20:29,27.75,,
17,06/16/2021 10:25:29,27.88,,
18,06/16/2021 10:30:29,27.88,,
19,06/16/2021 10:35:29,28.14,,
20,06/16/2021 10:40:29,28.31,,
21,06/16/2021 10:45:29,28.53,,
22,06/16/2021 10:50:29,28.78,,
23,06/16/2021 10:55:29,28.91,,
24,06/16/2021 11:00:29,29.30,,
25,06/16/2021 11:05:29,29.60,,
26,06/16/2021 11:10:29,29.64,,
27,06/16/2021 11:15:29,29.68,,
28,06/16/2021 11:20:29,29.73,,
29,06/16/2021 11:25:29,29.77,,
30,06/16/2021 11:30:29,30.03,,
31,06/16/2021 11:35:29,30.28,,
32,06/16/2021 11:40:29,30.37,,
33,06/16/2021 11:45:29,30.41,,
34,06/16/2021 11:50:29,30.54,,
35,06/16/2021 11:55:29,30.41,,
36,06/16/2021 12:00:29,30.54,,
37,06/16/2021 12:05:29,30.67,,
38,06/16/2021 12:10:29,30.89,,
39,06/16/2021 12:15:29,31.27,,
40,06/16/2021 12:20:29,31.40,,
41,06/16/2021 12:25:29,31.57,,
42,06/16/2021 12:30:29,31.79,,
43,06/16/2021 12:35:29,31.83,,
44,06/16/2021 12:40:29,32.09,,
45,06/16/2021 12:45:29,32.39,,
46,06/16/2021 12:50:29,32.39,,
47,06/16/2021 12:55:29,32.30,,
48,06/16/2021 13:00:29,32.56,,
49,06/16/2021 13:05:29,32.77,,
50,06/16/2021 13:10:29,32.69,,
51,06/16/2021 13:15:29,32.82,,
52,06/16/2021 13:20:29,32.99,,
53,06/16/2021 13:25:29,33.29,,
54,06/16/2021 13:30:29,33.25,,
55,06/16/2021 13:35:29,33.50,,
56,06/16/2021 13:40:29,33.59,,
57,06/16/2021 13:45:29,33.72,,
58,06/16/2021 13:50:29,33.85,,
59,06/16/2021 13:55:29,34.10,,
60,06/16/2021 14:00:29,34.40,,
61,06/16/2021 14:05:29,34.70,,
62,06/16/2021 14:10:29,34.79,,
63,06/16/2021 14:15:29,35.00,,
64,06/16/2021 14:20:29,35.18,,
65,06/16/2021 14:25:29,35.05,,
66,06/16/2021 14:30:29,35.09,,
67,06/16/2021 14:35:29,35.18,,
68,06/16/2021 14:40:29,35.35,,
69,06/16/2021 14:45:29,35.56,,
70,06/16/2021 14:50:29,35.69,,
71,06/16/2021 14:55:29,35.73,,
72,06/16/2021 15:00:29,35.73,,
73,06/16/2021 15:05:29,35.73,,
74,06/16/2021 15:10:29,35.78,,
75,06/16/2021 15:15:29,35.82,,
76,06/16/2021 15:20:29,35.82,,
77,06/16/2021 15:25:29,35.90,,
78,06/16/2021 15:30:29,35.99,,
79,06/16/2021 15:35:29,36.08,,
80,06/16/2021 15:40:29,35.90,,
81,06/16/2021 15:45:29,36.12,,
82,06/16/2021 15:50:29,36.33,,
83,06/16/2021 15:55:29,36.68,,
84,06/16/2021 16:00:29,36.68,,
85,06/16/2021 16:05:29,36.68,,
86,06/16/2021 16:10:29,37.02,,
87,06/16/2021 16:15:29,37.23,,
88,06/16/2021 16:20:29,37.19,,
89,06/16/2021 16:25:29,36.89,,
90,06/16/2021 16:30:29,36.85,,
91,06/16/2021 16:35:29,37.02,,
92,06/16/2021 16:40:29,37.11,,
93,06/16/2021 16:45:29,37.28,,
94,06/16/2021 16:50:29,37.32,,
95,06/16/2021 16:55:29,37.41,,
96,06/16/2021 17:00:29,37.49,,
97,06/16/2021 17:05:29,37.45,,
98,06/16/2021 17:10:29,37.28,,
99,06/16/2021 17:15:29,37.11,,
100,06/16/2021 17:20:29,37.15,,
101,06/16/2021 17:25:29,37.11,,
102,06/16/2021 17:30:29,36.89,,
103,06/16/2021 17:35:29,36.42,,
104,06/16/2021 17:40:29,36.21,,
105,06/16/2021 17:45:29,36.16,,
106,06/16/2021 17:50:29,36.16,,
107,06/16/2021 17:55:29,36.16,,
108,06/16/2021 18:00:29,36.16,,
109,06/16/2021 18:05:29,36.21,,
110,06/16/2021 18:10:29,36.21,,
111,06/16/2021 18:15:29,36.16,,
112,06/16/2021 18:20:29,36.16,,
113,06/16/2021 18:25:29,36.25,,
114,06/16/2021 18:30:29,36.16,,
115,06/16/2021 18:35:29,36.16,,
116,06/16/2021 18:40:29,36.08,,
117,06/16/2021 18:45:29,35.95,,
118,06/16/2021 18:50:29,35.99,,
119,06/16/2021 18:55:29,35.73,,
120,06/16/2021 19:00:29,35.52,,
121,06/16/2021 19:05:29,35.22,,
122,06/16/2021 19:10:29,35.05,,
123,06/16/2021 19:15:29,34.88,,
124,06/16/2021 19:20:29,34.75,,
125,06/16/2021 19:25:29,34.70,,
126,06/16/2021 19:30:29,34.62,,
127,06/16/2021 19:35:29,34.53,,
128,06/16/2021 19:40:29,34.36,,
129,06/16/2021 19:45:29,34.10,,
