#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,06/16/2021 09:06:38,26.38,,
2,06/16/2021 09:11:38,27.20,,
3,06/16/2021 09:16:38,27.54,,
4,06/16/2021 09:21:38,27.71,,
5,06/16/2021 09:26:38,27.84,,
6,06/16/2021 09:31:38,28.10,,
7,06/16/2021 09:36:38,28.14,,
8,06/16/2021 09:41:38,28.35,,
9,06/16/2021 09:46:38,28.27,,
10,06/16/2021 09:51:38,28.27,,
11,06/16/2021 09:56:38,28.35,,
12,06/16/2021 10:01:38,28.48,,
13,06/16/2021 10:06:38,28.65,,
14,06/16/2021 10:11:38,29.00,,
15,06/16/2021 10:16:38,29.17,,
16,06/16/2021 10:21:38,29.47,,
17,06/16/2021 10:26:38,29.47,,
18,06/16/2021 10:31:38,29.73,,
19,06/16/2021 10:36:38,30.16,,
20,06/16/2021 10:41:38,30.24,,
21,06/16/2021 10:46:38,30.71,,
22,06/16/2021 10:51:38,31.01,,
23,06/16/2021 10:56:38,31.27,,
24,06/16/2021 11:01:38,31.57,,
25,06/16/2021 11:06:38,32.00,,
26,06/16/2021 11:11:38,31.92,,
27,06/16/2021 11:16:38,31.96,,
28,06/16/2021 11:21:38,31.96,,
29,06/16/2021 11:26:38,32.34,,
30,06/16/2021 11:31:38,32.77,,
31,06/16/2021 11:36:38,32.86,,
32,06/16/2021 11:41:38,33.12,,
33,06/16/2021 11:46:38,33.07,,
34,06/16/2021 11:51:38,33.12,,
35,06/16/2021 11:56:38,33.07,,
36,06/16/2021 12:01:38,33.37,,
37,06/16/2021 12:06:38,33.67,,
38,06/16/2021 12:11:38,34.15,,
39,06/16/2021 12:16:38,34.40,,
40,06/16/2021 12:21:38,34.53,,
41,06/16/2021 12:26:38,34.70,,
42,06/16/2021 12:31:38,34.92,,
43,06/16/2021 12:36:38,35.13,,
44,06/16/2021 12:41:38,35.73,,
45,06/16/2021 12:46:38,35.86,,
46,06/16/2021 12:51:38,35.78,,
47,06/16/2021 12:56:38,35.65,,
48,06/16/2021 13:01:38,36.03,,
49,06/16/2021 13:06:38,35.99,,
50,06/16/2021 13:11:38,36.12,,
51,06/16/2021 13:16:38,36.21,,
52,06/16/2021 13:21:38,36.12,,
53,06/16/2021 13:26:38,36.25,,
54,06/16/2021 13:31:38,36.38,,
55,06/16/2021 13:36:38,36.59,,
56,06/16/2021 13:41:38,37.02,,
57,06/16/2021 13:46:38,37.15,,
58,06/16/2021 13:51:38,37.11,,
59,06/16/2021 13:56:38,37.54,,
60,06/16/2021 14:01:38,37.36,,
61,06/16/2021 14:06:38,37.06,,
62,06/16/2021 14:11:38,37.45,,
63,06/16/2021 14:16:38,37.23,,
64,06/16/2021 14:21:38,37.32,,
65,06/16/2021 14:26:38,37.49,,
66,06/16/2021 14:31:38,37.45,,
67,06/16/2021 14:36:38,37.54,,
68,06/16/2021 14:41:38,37.41,,
69,06/16/2021 14:46:38,37.45,,
70,06/16/2021 14:51:38,37.28,,
71,06/16/2021 14:56:38,37.41,,
72,06/16/2021 15:01:38,37.58,,
73,06/16/2021 15:06:38,37.84,,
74,06/16/2021 15:11:38,38.09,,
75,06/16/2021 15:16:38,38.05,,
76,06/16/2021 15:21:38,38.01,,
77,06/16/2021 15:26:38,37.96,,
78,06/16/2021 15:31:38,38.31,,
79,06/16/2021 15:36:38,38.78,,
80,06/16/2021 15:41:38,38.95,,
81,06/16/2021 15:46:38,39.21,,
82,06/16/2021 15:51:38,38.91,,
83,06/16/2021 15:56:38,38.44,,
84,06/16/2021 16:01:38,38.82,,
85,06/16/2021 16:06:38,39.21,,
86,06/16/2021 16:11:38,38.74,,
87,06/16/2021 16:16:38,38.61,,
88,06/16/2021 16:21:38,38.52,,
89,06/16/2021 16:26:38,38.74,,
90,06/16/2021 16:31:38,39.12,,
91,06/16/2021 16:36:38,39.08,,
92,06/16/2021 16:41:38,38.82,,
93,06/16/2021 16:46:38,38.22,,
94,06/16/2021 16:51:38,37.96,,
95,06/16/2021 16:56:38,38.14,,
96,06/16/2021 17:01:38,38.05,,
97,06/16/2021 17:06:38,37.92,,
98,06/16/2021 17:11:38,37.71,,
99,06/16/2021 17:16:38,37.54,,
100,06/16/2021 17:21:38,37.49,,
101,06/16/2021 17:26:38,37.28,,
102,06/16/2021 17:31:38,37.02,,
103,06/16/2021 17:36:38,36.89,,
104,06/16/2021 17:41:38,36.63,,
105,06/16/2021 17:46:38,36.55,,
106,06/16/2021 17:51:38,36.42,,
107,06/16/2021 17:56:38,36.25,,
108,06/16/2021 18:01:38,36.12,,
109,06/16/2021 18:06:38,36.12,,
110,06/16/2021 18:11:38,36.12,,
111,06/16/2021 18:16:38,36.03,,
112,06/16/2021 18:21:38,35.86,,
113,06/16/2021 18:26:38,35.73,,
