#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,05/17/2022 08:02:05,17.76,,
2,05/17/2022 08:07:05,19.69,,
3,05/17/2022 08:12:05,18.96,,
4,05/17/2022 08:17:05,18.27,,
5,05/17/2022 08:22:05,17.97,,
6,05/17/2022 08:27:05,17.84,,
7,05/17/2022 08:32:05,17.89,,
8,05/17/2022 08:37:05,18.02,,
9,05/17/2022 08:42:05,18.36,,
10,05/17/2022 08:47:05,18.92,,
11,05/17/2022 08:52:05,19.60,,
12,05/17/2022 08:57:05,20.25,,
13,05/17/2022 09:02:05,20.89,,
14,05/17/2022 09:07:05,21.19,,
15,05/17/2022 09:12:05,21.28,,
16,05/17/2022 09:17:05,21.36,,
17,05/17/2022 09:22:05,21.75,,
18,05/17/2022 09:27:05,21.79,,
19,05/17/2022 09:32:05,21.96,,
20,05/17/2022 09:37:05,21.88,,
21,05/17/2022 09:42:05,21.79,,
22,05/17/2022 09:47:05,21.83,,
23,05/17/2022 09:52:05,21.79,,
24,05/17/2022 09:57:05,21.75,,
25,05/17/2022 10:02:05,21.75,,
26,05/17/2022 10:07:05,21.88,,
27,05/17/2022 10:12:05,22.05,,
28,05/17/2022 10:17:05,22.31,,
29,05/17/2022 10:22:05,22.61,,
30,05/17/2022 10:27:05,22.91,,
31,05/17/2022 10:32:05,23.08,,
32,05/17/2022 10:37:05,23.12,,
33,05/17/2022 10:42:05,23.25,,
34,05/17/2022 10:47:05,23.25,,
35,05/17/2022 10:52:05,23.55,,
36,05/17/2022 10:57:05,23.81,,
37,05/17/2022 11:02:05,24.24,,
38,05/17/2022 11:07:05,24.41,,
39,05/17/2022 11:12:05,24.54,,
40,05/17/2022 11:17:05,24.54,,
41,05/17/2022 11:22:05,24.62,,
42,05/17/2022 11:27:05,24.71,,
43,05/17/2022 11:32:05,24.88,,
44,05/17/2022 11:37:05,25.09,,
45,05/17/2022 11:42:05,25.27,,
46,05/17/2022 11:47:05,25.44,,
47,05/17/2022 11:52:05,25.69,,
48,05/17/2022 11:57:05,25.99,,
49,05/17/2022 12:02:05,26.30,,
50,05/17/2022 12:07:05,26.68,,
51,05/17/2022 12:12:05,26.94,,
