#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
1,05/17/2022 09:51:09,29.86,,,,
2,05/17/2022 09:51:49,,Logged,,,
3,05/17/2022 09:56:09,27.84,,,,
4,05/17/2022 10:01:09,27.02,,,,
5,05/17/2022 10:06:09,26.25,,,,
6,05/17/2022 10:11:09,26.12,,,,
7,05/17/2022 10:16:09,26.42,,,,
8,05/17/2022 10:21:09,26.72,,,,
9,05/17/2022 10:26:09,26.85,,,,
10,05/17/2022 10:31:09,26.94,,,,
11,05/17/2022 10:36:09,26.90,,,,
12,05/17/2022 10:41:09,26.85,,,,
13,05/17/2022 10:46:09,27.07,,,,
14,05/17/2022 10:51:09,26.90,,,,
15,05/17/2022 10:56:09,27.07,,,,
16,05/17/2022 11:01:09,27.07,,,,
17,05/17/2022 11:06:09,27.41,,,,
18,05/17/2022 11:11:09,27.71,,,,
19,05/17/2022 11:16:09,27.80,,,,
20,05/17/2022 11:21:09,27.88,,,,
21,05/17/2022 11:26:09,28.27,,,,
22,05/17/2022 11:31:09,28.83,,,,
23,05/17/2022 11:36:09,28.78,,,,
24,05/17/2022 11:41:09,28.95,,,,
25,05/17/2022 11:46:09,29.08,,,,
26,05/17/2022 11:51:09,29.30,,,,
27,05/17/2022 11:56:09,29.56,,,,
28,05/17/2022 12:01:09,30.03,,,,
29,05/17/2022 12:06:09,30.03,,,,
30,05/17/2022 12:11:09,30.71,,,,
31,05/17/2022 12:16:09,31.19,,,,
32,05/17/2022 12:21:09,31.74,,,,
33,05/17/2022 12:26:09,32.00,,,,
34,05/17/2022 12:31:09,31.61,,,,
35,05/17/2022 12:36:09,31.92,,,,
36,05/17/2022 12:41:09,32.13,,,,
37,05/17/2022 12:46:09,32.17,,,,
38,05/17/2022 12:51:09,32.26,,,,
39,05/17/2022 12:56:09,32.64,,,,
40,05/17/2022 13:01:09,33.03,,,,
41,05/17/2022 13:06:09,33.03,,,,
42,05/17/2022 13:11:09,33.37,,,,
43,05/17/2022 13:16:09,33.50,,,,
44,05/17/2022 13:21:09,33.80,,,,
45,05/17/2022 13:26:09,34.06,,,,
46,05/17/2022 13:31:09,34.10,,,,
47,05/17/2022 13:36:09,34.19,,,,
48,05/17/2022 13:41:09,34.53,,,,
49,05/17/2022 13:46:09,34.79,,,,
50,05/17/2022 13:51:09,34.83,,,,
51,05/17/2022 13:56:09,35.26,,,,
52,05/17/2022 14:01:09,35.26,,,,
53,05/17/2022 14:06:09,35.73,,,,
54,05/17/2022 14:11:09,35.90,,,,
55,05/17/2022 14:16:09,36.03,,,,
56,05/17/2022 14:21:09,35.73,,,,
57,05/17/2022 14:26:09,35.95,,,,
58,05/17/2022 14:31:09,36.08,,,,
59,05/17/2022 14:36:09,36.25,,,,
60,05/17/2022 14:41:09,36.76,,,,
61,05/17/2022 14:46:09,37.02,,,,
62,05/17/2022 14:51:09,37.36,,,,
63,05/17/2022 14:56:09,37.58,,,,
64,05/17/2022 15:01:09,38.01,,,,
65,05/17/2022 15:06:09,37.41,,,,
66,05/17/2022 15:11:09,37.11,,,,
67,05/17/2022 15:16:09,37.41,,,,
68,05/17/2022 15:21:09,37.66,,,,
69,05/17/2022 15:26:09,38.09,,,,
70,05/17/2022 15:31:09,38.48,,,,
71,05/17/2022 15:36:09,38.31,,,,
72,05/17/2022 15:41:09,37.58,,,,
73,05/17/2022 15:46:09,37.54,,,,
74,05/17/2022 15:51:09,37.92,,,,
75,05/17/2022 15:56:09,38.22,,,,
76,05/17/2022 16:01:09,38.65,,,,
77,05/17/2022 16:06:09,39.25,,,,
78,05/17/2022 16:11:09,38.95,,,,
79,05/17/2022 16:16:09,39.12,,,,
80,05/17/2022 16:21:09,39.51,,,,
81,05/17/2022 16:26:09,39.81,,,,
82,05/17/2022 16:31:09,40.11,,,,
83,05/17/2022 16:36:09,40.28,,,,
84,05/17/2022 16:41:09,40.32,,,,
85,05/17/2022 16:46:09,40.32,,,,
86,05/17/2022 16:51:09,40.75,,,,
87,05/17/2022 16:56:09,40.54,,,,
88,05/17/2022 17:01:09,40.67,,,,
89,05/17/2022 17:06:09,39.94,,,,
90,05/17/2022 17:11:09,40.02,,,,
91,05/17/2022 17:16:09,40.45,,,,
92,05/17/2022 17:21:09,40.07,,,,
93,05/17/2022 17:26:09,39.85,,,,
94,05/17/2022 17:31:09,39.77,,,,
