#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,04/23/2021 10:09:39,18.83,,
2,04/23/2021 10:14:39,18.62,,
3,04/23/2021 10:19:39,18.32,,
4,04/23/2021 10:24:39,18.19,,
5,04/23/2021 10:29:39,18.19,,
6,04/23/2021 10:34:39,18.19,,
7,04/23/2021 10:39:39,18.19,,
8,04/23/2021 10:44:39,18.36,,
9,04/23/2021 10:49:39,18.53,,
10,04/23/2021 10:54:39,18.74,,
11,04/23/2021 10:59:39,18.79,,
12,04/23/2021 11:04:39,19.05,,
13,04/23/2021 11:09:39,19.13,,
14,04/23/2021 11:14:39,19.35,,
15,04/23/2021 11:19:39,19.47,,
16,04/23/2021 11:24:39,19.69,,
17,04/23/2021 11:29:39,19.86,,
18,04/23/2021 11:34:39,20.16,,
19,04/23/2021 11:39:39,20.29,,
20,04/23/2021 11:44:39,20.59,,
21,04/23/2021 11:49:39,20.72,,
22,04/23/2021 11:54:39,20.98,,
23,04/23/2021 11:59:39,21.19,,
24,04/23/2021 12:04:39,21.49,,
25,04/23/2021 12:09:39,21.75,,
26,04/23/2021 12:14:39,21.96,,
27,04/23/2021 12:19:39,22.13,,
28,04/23/2021 12:24:39,22.22,,
29,04/23/2021 12:29:39,22.43,,
30,04/23/2021 12:34:39,22.65,,
31,04/23/2021 12:39:39,22.86,,
32,04/23/2021 12:44:39,23.12,,
33,04/23/2021 12:49:39,23.29,,
34,04/23/2021 12:54:39,23.38,,
35,04/23/2021 12:59:39,23.38,,
36,04/23/2021 13:04:39,23.46,,
37,04/23/2021 13:09:39,23.64,,
38,04/23/2021 13:14:39,23.76,,
39,04/23/2021 13:19:39,24.06,,
40,04/23/2021 13:24:39,24.24,,
41,04/23/2021 13:29:39,24.36,,
42,04/23/2021 13:34:39,24.54,,
43,04/23/2021 13:39:39,24.66,,
44,04/23/2021 13:44:39,24.88,,
45,04/23/2021 13:49:39,25.09,,
46,04/23/2021 13:54:39,25.18,,
47,04/23/2021 13:59:39,25.35,,
48,04/23/2021 14:04:39,25.57,,
49,04/23/2021 14:09:39,25.57,,
50,04/23/2021 14:14:39,25.78,,
51,04/23/2021 14:19:39,25.82,,
52,04/23/2021 14:24:39,25.95,,
53,04/23/2021 14:29:39,26.25,,
54,04/23/2021 14:34:39,26.51,,
55,04/23/2021 14:39:39,26.72,,
56,04/23/2021 14:44:39,26.94,,
57,04/23/2021 14:49:39,27.15,,
58,04/23/2021 14:54:39,27.15,,
59,04/23/2021 14:59:39,27.28,,
60,04/23/2021 15:04:39,27.24,,
61,04/23/2021 15:09:39,27.24,,
62,04/23/2021 15:14:39,27.41,,
63,04/23/2021 15:19:39,27.58,,
64,04/23/2021 15:24:39,27.45,,
65,04/23/2021 15:29:39,27.45,,
66,04/23/2021 15:34:39,27.54,,
67,04/23/2021 15:39:39,27.58,,
68,04/23/2021 15:44:39,27.71,,
69,04/23/2021 15:49:39,27.93,,
70,04/23/2021 15:54:39,28.18,,
71,04/23/2021 15:59:39,28.40,,
72,04/23/2021 16:04:39,28.65,,
73,04/23/2021 16:09:39,28.53,,
74,04/23/2021 16:14:39,28.27,,
75,04/23/2021 16:19:39,28.14,,
76,04/23/2021 16:24:39,28.10,,
77,04/23/2021 16:29:39,28.18,,
78,04/23/2021 16:34:39,28.18,,
79,04/23/2021 16:39:39,28.01,,
80,04/23/2021 16:44:39,27.93,,
81,04/23/2021 16:49:39,27.71,,
82,04/23/2021 16:54:39,27.45,,
83,04/23/2021 16:59:39,27.11,,
84,04/23/2021 17:04:39,26.81,,
85,04/23/2021 17:09:39,26.42,,
86,04/23/2021 17:14:39,26.21,,
87,04/23/2021 17:19:39,25.91,,
88,04/23/2021 17:24:39,25.52,,
89,04/23/2021 17:29:39,24.92,,
90,04/23/2021 17:34:39,24.24,,
91,04/23/2021 17:39:39,23.55,,
92,04/23/2021 17:44:39,22.86,,
93,04/23/2021 17:49:39,22.39,,
94,04/23/2021 17:54:39,22.01,,
95,04/23/2021 17:59:39,21.66,,
96,04/23/2021 18:04:39,21.36,,
97,04/23/2021 18:09:39,21.02,,
98,04/23/2021 18:14:39,20.80,,
99,04/23/2021 18:19:39,20.50,,
100,04/23/2021 18:24:39,20.20,,
101,04/23/2021 18:29:39,19.86,,
102,04/23/2021 18:34:39,19.56,,
103,04/23/2021 18:39:39,19.30,,
104,04/23/2021 18:44:39,19.05,,
105,04/23/2021 18:49:39,18.79,,
106,04/23/2021 18:54:39,18.53,,
107,04/23/2021 18:59:39,18.32,,
108,04/23/2021 19:04:39,18.10,,
109,04/23/2021 19:09:39,17.84,,
110,04/23/2021 19:14:39,17.59,,
111,04/23/2021 19:19:39,17.41,,
112,04/23/2021 19:24:39,17.11,,
113,04/23/2021 19:29:39,16.90,,
114,04/23/2021 19:34:39,16.77,,
115,04/23/2021 19:39:39,16.60,,
116,04/23/2021 19:44:39,16.30,,
117,04/23/2021 19:49:39,16.08,,
118,04/23/2021 19:54:39,15.83,,
119,04/23/2021 19:59:39,15.66,,
120,04/23/2021 20:04:39,15.44,,
121,04/23/2021 20:09:39,15.27,,
122,04/23/2021 20:14:39,15.10,,
123,04/23/2021 20:19:39,14.93,,
124,04/23/2021 20:24:39,14.80,,
125,04/23/2021 20:29:39,14.58,,
126,04/23/2021 20:34:39,14.41,,
127,04/23/2021 20:39:39,14.28,,
128,04/23/2021 20:44:39,14.11,,
129,04/23/2021 20:49:39,13.98,,
130,04/23/2021 20:54:39,13.81,,
131,04/23/2021 20:59:39,13.64,,
132,04/23/2021 21:04:39,13.55,,
133,04/23/2021 21:09:39,13.47,,
134,04/23/2021 21:14:39,13.34,,
135,04/23/2021 21:19:39,13.25,,
136,04/23/2021 21:24:39,13.08,,
137,04/23/2021 21:29:39,13.04,,
138,04/23/2021 21:34:39,12.95,,
139,04/23/2021 21:39:39,12.91,,
140,04/23/2021 21:44:39,12.82,,
141,04/23/2021 21:49:39,12.78,,
142,04/23/2021 21:54:39,12.74,,
143,04/23/2021 21:59:39,12.70,,
144,04/23/2021 22:04:39,12.70,,
145,04/23/2021 22:09:39,12.52,,
146,04/23/2021 22:14:39,12.57,,
147,04/23/2021 22:19:39,12.52,,
148,04/23/2021 22:24:39,12.48,,
149,04/23/2021 22:29:39,12.40,,
150,04/23/2021 22:34:39,12.31,,
151,04/23/2021 22:39:39,12.31,,
152,04/23/2021 22:44:39,12.22,,
153,04/23/2021 22:49:39,12.22,,
154,04/23/2021 22:54:39,12.18,,
155,04/23/2021 22:59:39,12.05,,
156,04/23/2021 23:04:39,12.01,,
157,04/23/2021 23:09:39,12.05,,
158,04/23/2021 23:14:39,12.01,,
159,04/23/2021 23:19:39,12.01,,
160,04/23/2021 23:24:39,11.97,,
161,04/23/2021 23:29:39,11.97,,
162,04/23/2021 23:34:39,11.92,,
163,04/23/2021 23:39:39,11.92,,
164,04/23/2021 23:44:39,11.92,,
165,04/23/2021 23:49:39,11.79,,
166,04/23/2021 23:54:39,11.84,,
167,04/23/2021 23:59:39,11.79,,
168,04/24/2021 00:04:39,11.79,,
169,04/24/2021 00:09:39,11.79,,
170,04/24/2021 00:14:39,11.79,,
171,04/24/2021 00:19:39,11.79,,
172,04/24/2021 00:24:39,11.79,,
173,04/24/2021 00:29:39,11.79,,
174,04/24/2021 00:34:39,11.75,,
175,04/24/2021 00:39:39,11.75,,
176,04/24/2021 00:44:39,11.71,,
177,04/24/2021 00:49:39,11.62,,
178,04/24/2021 00:54:39,11.58,,
179,04/24/2021 00:59:39,11.54,,
180,04/24/2021 01:04:39,11.49,,
181,04/24/2021 01:09:39,11.41,,
182,04/24/2021 01:14:39,11.32,,
183,04/24/2021 01:19:39,11.28,,
184,04/24/2021 01:24:39,11.15,,
185,04/24/2021 01:29:39,11.07,,
186,04/24/2021 01:34:39,11.07,,
187,04/24/2021 01:39:39,10.98,,
188,04/24/2021 01:44:39,10.94,,
189,04/24/2021 01:49:39,10.89,,
190,04/24/2021 01:54:39,10.85,,
191,04/24/2021 01:59:39,10.89,,
192,04/24/2021 02:04:39,10.81,,
193,04/24/2021 02:09:39,10.77,,
194,04/24/2021 02:14:39,10.77,,
195,04/24/2021 02:19:39,10.77,,
196,04/24/2021 02:24:39,10.72,,
197,04/24/2021 02:29:39,10.68,,
198,04/24/2021 02:34:39,10.68,,
199,04/24/2021 02:39:39,10.77,,
200,04/24/2021 02:44:39,10.81,,
201,04/24/2021 02:49:39,10.81,,
202,04/24/2021 02:54:39,10.81,,
203,04/24/2021 02:59:39,10.89,,
204,04/24/2021 03:04:39,10.89,,
205,04/24/2021 03:09:39,10.94,,
206,04/24/2021 03:14:39,10.98,,
207,04/24/2021 03:19:39,10.94,,
208,04/24/2021 03:24:39,10.98,,
209,04/24/2021 03:29:39,11.02,,
210,04/24/2021 03:34:39,11.02,,
211,04/24/2021 03:39:39,11.02,,
212,04/24/2021 03:44:39,11.02,,
213,04/24/2021 03:49:39,10.98,,
214,04/24/2021 03:54:39,10.89,,
215,04/24/2021 03:59:39,10.85,,
216,04/24/2021 04:04:39,10.81,,
217,04/24/2021 04:09:39,10.77,,
218,04/24/2021 04:14:39,10.68,,
219,04/24/2021 04:19:39,10.64,,
220,04/24/2021 04:24:39,10.55,,
221,04/24/2021 04:29:39,10.51,,
222,04/24/2021 04:34:39,10.46,,
223,04/24/2021 04:39:39,10.38,,
224,04/24/2021 04:44:39,10.38,,
225,04/24/2021 04:49:39,10.38,,
226,04/24/2021 04:54:39,10.34,,
227,04/24/2021 04:59:39,10.29,,
228,04/24/2021 05:04:39,10.21,,
229,04/24/2021 05:09:39,10.12,,
230,04/24/2021 05:14:39,10.08,,
231,04/24/2021 05:19:39,10.04,,
232,04/24/2021 05:24:39,9.95,,
233,04/24/2021 05:29:39,9.91,,
234,04/24/2021 05:34:39,9.91,,
235,04/24/2021 05:39:39,9.82,,
236,04/24/2021 05:44:39,9.82,,
237,04/24/2021 05:49:39,9.82,,
238,04/24/2021 05:54:39,9.86,,
239,04/24/2021 05:59:39,9.91,,
240,04/24/2021 06:04:39,9.91,,
241,04/24/2021 06:09:39,9.99,,
242,04/24/2021 06:14:39,9.99,,
243,04/24/2021 06:19:39,10.08,,
244,04/24/2021 06:24:39,10.12,,
245,04/24/2021 06:29:39,10.16,,
246,04/24/2021 06:34:39,10.21,,
247,04/24/2021 06:39:39,10.25,,
248,04/24/2021 06:44:39,10.34,,
249,04/24/2021 06:49:39,10.34,,
250,04/24/2021 06:54:39,10.42,,
251,04/24/2021 06:59:39,10.46,,
252,04/24/2021 07:04:39,10.55,,
253,04/24/2021 07:09:39,10.55,,
254,04/24/2021 07:14:39,10.68,,
255,04/24/2021 07:19:39,10.72,,
