#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,Button Down,Button Up,Stopped,End of File
1,04/19/2022 08:17:13,21.62,,,,,
2,04/19/2022 08:17:33,,Logged,,,,
3,04/19/2022 08:22:13,19.39,,,,,
4,04/19/2022 08:27:13,17.46,,,,,
5,04/19/2022 08:32:13,16.30,,,,,
6,04/19/2022 08:37:13,15.53,,,,,
7,04/19/2022 08:42:13,15.10,,,,,
8,04/19/2022 08:47:13,14.75,,,,,
9,04/19/2022 08:52:13,14.63,,,,,
10,04/19/2022 08:57:13,14.63,,,,,
11,04/19/2022 09:02:13,14.63,,,,,
12,04/19/2022 09:07:13,14.67,,,,,
13,04/19/2022 09:12:13,14.71,,,,,
14,04/19/2022 09:17:13,14.84,,,,,
15,04/19/2022 09:22:13,15.01,,,,,
16,04/19/2022 09:27:13,15.14,,,,,
17,04/19/2022 09:32:13,15.18,,,,,
18,04/19/2022 09:37:13,15.36,,,,,
19,04/19/2022 09:42:13,15.57,,,,,
20,04/19/2022 09:47:13,15.70,,,,,
21,04/19/2022 09:52:13,15.96,,,,,
22,04/19/2022 09:57:13,16.17,,,,,
23,04/19/2022 10:02:13,16.39,,,,,
24,04/19/2022 10:07:13,16.60,,,,,
25,04/19/2022 10:12:13,16.90,,,,,
26,04/19/2022 10:17:13,17.07,,,,,
27,04/19/2022 10:22:13,17.11,,,,,
28,04/19/2022 10:27:13,17.29,,,,,
29,04/19/2022 10:32:13,17.50,,,,,
30,04/19/2022 10:37:13,17.67,,,,,
31,04/19/2022 10:42:13,17.76,,,,,
32,04/19/2022 10:47:13,17.89,,,,,
33,04/19/2022 10:52:13,18.06,,,,,
34,04/19/2022 10:57:13,18.32,,,,,
35,04/19/2022 11:02:13,18.66,,,,,
36,04/19/2022 11:07:13,19.17,,,,,
37,04/19/2022 11:12:13,19.73,,,,,
38,04/19/2022 11:17:13,20.03,,,,,
39,04/19/2022 11:22:13,20.16,,,,,
40,04/19/2022 11:27:13,20.29,,,,,
41,04/19/2022 11:32:13,20.42,,,,,
42,04/19/2022 11:37:13,20.46,,,,,
43,04/19/2022 11:42:13,20.72,,,,,
44,04/19/2022 11:47:13,20.80,,,,,
45,04/19/2022 11:52:13,21.10,,,,,
46,04/19/2022 11:57:13,21.23,,,,,
47,04/19/2022 12:02:13,20.89,,,,,
48,04/19/2022 12:07:13,21.06,,,,,
49,04/19/2022 12:12:13,21.06,,,,,
50,04/19/2022 12:17:13,21.15,,,,,
51,04/19/2022 12:22:13,20.93,,,,,
52,04/19/2022 12:27:13,20.72,,,,,
53,04/19/2022 12:32:13,20.59,,,,,
54,04/19/2022 12:37:13,20.85,,,,,
55,04/19/2022 12:42:13,20.85,,,,,
56,04/19/2022 12:47:13,20.85,,,,,
57,04/19/2022 12:52:13,20.85,,,,,
58,04/19/2022 12:57:13,21.02,,,,,
59,04/19/2022 13:02:13,21.06,,,,,
60,04/19/2022 13:07:13,21.19,,,,,
61,04/19/2022 13:12:13,21.23,,,,,
62,04/19/2022 13:17:13,21.15,,,,,
63,04/19/2022 13:22:13,21.10,,,,,
64,04/19/2022 13:27:13,21.36,,,,,
65,04/19/2022 13:32:13,21.75,,,,,
66,04/19/2022 13:37:13,21.96,,,,,
67,04/19/2022 13:42:13,21.70,,,,,
68,04/19/2022 13:47:13,21.70,,,,,
69,04/19/2022 13:52:13,21.62,,,,,
70,04/19/2022 13:57:13,21.49,,,,,
71,04/19/2022 14:02:13,21.28,,,,,
72,04/19/2022 14:07:13,21.45,,,,,
73,04/19/2022 14:12:13,21.58,,,,,
74,04/19/2022 14:17:13,21.40,,,,,
75,04/19/2022 14:22:13,21.32,,,,,
76,04/19/2022 14:27:13,21.45,,,,,
77,04/19/2022 14:32:13,21.32,,,,,
78,04/19/2022 14:37:13,21.06,,,,,
79,04/19/2022 14:42:13,21.10,,,,,
80,04/19/2022 14:47:13,21.19,,,,,
81,04/19/2022 14:52:13,21.10,,,,,
82,04/19/2022 14:57:13,21.15,,,,,
83,04/19/2022 15:02:13,21.23,,,,,
84,04/19/2022 15:07:13,21.36,,,,,
85,04/19/2022 15:12:13,21.58,,,,,
86,04/19/2022 15:17:13,21.96,,,,,
87,04/19/2022 15:22:13,22.22,,,,,
88,04/19/2022 15:27:13,22.31,,,,,
89,04/19/2022 15:32:13,22.35,,,,,
90,04/19/2022 15:37:13,22.31,,,,,
91,04/19/2022 15:42:13,22.13,,,,,
92,04/19/2022 15:47:13,21.96,,,,,
93,04/19/2022 15:52:13,21.92,,,,,
94,04/19/2022 15:57:13,21.66,,,,,
95,04/19/2022 16:02:13,21.36,,,,,
96,04/19/2022 16:07:13,21.36,,,,,
97,04/19/2022 16:12:13,21.15,,,,,
98,04/19/2022 16:17:13,21.06,,,,,
99,04/19/2022 16:22:13,20.93,,,,,
100,04/19/2022 16:27:13,20.80,,,,,
101,04/19/2022 16:32:13,20.80,,,,,
102,04/19/2022 16:37:13,20.85,,,,,
103,04/19/2022 16:42:13,20.89,,,,,
104,04/19/2022 16:47:13,20.85,,,,,
105,04/19/2022 16:52:13,20.72,,,,,
106,04/19/2022 16:57:13,20.63,,,,,
107,04/19/2022 17:02:13,20.46,,,,,
108,04/19/2022 17:07:13,20.50,,,,,
109,04/19/2022 17:12:13,20.55,,,,,
110,04/19/2022 17:17:13,20.59,,,,,
111,04/19/2022 17:22:13,20.55,,,,,
112,04/19/2022 17:27:13,20.63,,,,,
113,04/19/2022 17:32:13,20.80,,,,,
114,04/19/2022 17:37:13,21.02,,,,,
115,04/19/2022 17:42:13,21.49,,,,,
116,04/19/2022 17:47:13,21.88,,,,,
117,04/19/2022 17:52:13,22.39,,,,,
118,04/19/2022 17:57:13,22.86,,,,,
119,04/19/2022 18:02:13,23.25,,,,,
120,04/19/2022 18:07:13,23.64,,,,,
121,04/19/2022 18:12:13,23.98,,,,,
122,04/19/2022 18:17:13,23.81,,,,,
123,04/19/2022 18:22:13,23.51,,,,,
124,04/19/2022 18:27:13,23.29,,,,,
125,04/19/2022 18:32:13,23.29,,,,,
126,04/19/2022 18:37:13,23.38,,,,,
127,04/19/2022 18:42:13,23.46,,,,,
128,04/19/2022 18:47:13,23.38,,,,,
129,04/19/2022 18:52:13,23.12,,,,,
130,04/19/2022 18:57:13,22.65,,,,,
131,04/19/2022 19:02:13,22.13,,,,,
132,04/19/2022 19:07:13,21.66,,,,,
133,04/19/2022 19:12:13,21.10,,,,,
134,04/19/2022 19:17:13,20.59,,,,,
135,04/19/2022 19:22:13,20.12,,,,,
136,04/19/2022 19:27:13,19.65,,,,,
137,04/19/2022 19:32:13,19.22,,,,,
138,04/19/2022 19:37:13,18.79,,,,,
139,04/19/2022 19:42:13,18.32,,,,,
140,04/19/2022 19:47:13,17.76,,,,,
141,04/19/2022 19:52:13,17.20,,,,,
142,04/19/2022 19:57:13,16.60,,,,,
143,04/19/2022 20:02:13,16.00,,,,,
144,04/19/2022 20:07:13,15.44,,,,,
