#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,04/19/2022 08:18:31,23.12,,,,,
2,04/19/2022 08:23:31,18.62,,,,,
3,04/19/2022 08:28:31,16.00,,,,,
4,04/19/2022 08:33:31,14.71,,,,,
5,04/19/2022 08:38:31,14.11,,,,,
6,04/19/2022 08:43:31,14.07,,,,,
7,04/19/2022 08:48:31,14.15,,,,,
8,04/19/2022 08:53:31,14.24,,,,,
9,04/19/2022 08:58:31,14.33,,,,,
10,04/19/2022 09:03:31,14.54,,,,,
11,04/19/2022 09:08:31,14.71,,,,,
12,04/19/2022 09:13:31,14.84,,,,,
13,04/19/2022 09:18:31,15.06,,,,,
14,04/19/2022 09:23:31,15.14,,,,,
15,04/19/2022 09:28:31,15.44,,,,,
16,04/19/2022 09:33:31,15.78,,,,,
17,04/19/2022 09:38:31,16.26,,,,,
18,04/19/2022 09:43:31,16.64,,,,,
19,04/19/2022 09:48:31,16.77,,,,,
20,04/19/2022 09:53:31,16.94,,,,,
21,04/19/2022 09:58:31,17.41,,,,,
22,04/19/2022 10:03:31,17.97,,,,,
23,04/19/2022 10:08:31,18.49,,,,,
24,04/19/2022 10:13:31,18.79,,,,,
25,04/19/2022 10:18:31,19.05,,,,,
26,04/19/2022 10:23:31,19.35,,,,,
27,04/19/2022 10:28:31,19.26,,,,,
28,04/19/2022 10:33:31,19.13,,,,,
29,04/19/2022 10:38:31,19.17,,,,,
30,04/19/2022 10:43:31,19.86,,,,,
31,04/19/2022 10:48:31,20.72,,,,,
32,04/19/2022 10:53:31,20.80,,,,,
33,04/19/2022 10:58:31,21.75,,,,,
34,04/19/2022 11:03:31,22.05,,,,,
35,04/19/2022 11:08:31,21.23,,,,,
36,04/19/2022 11:13:31,20.80,,,,,
37,04/19/2022 11:18:31,20.80,,,,,
38,04/19/2022 11:23:31,21.19,,,,,
39,04/19/2022 11:28:31,21.06,,,,,
40,04/19/2022 11:33:31,20.85,,,,,
41,04/19/2022 11:38:31,21.28,,,,,
42,04/19/2022 11:43:31,22.13,,,,,
43,04/19/2022 11:48:31,22.52,,,,,
44,04/19/2022 11:53:31,22.09,,,,,
45,04/19/2022 11:58:31,21.88,,,,,
46,04/19/2022 12:03:31,21.75,,,,,
47,04/19/2022 12:08:31,22.35,,,,,
48,04/19/2022 12:13:31,22.01,,,,,
49,04/19/2022 12:18:31,22.31,,,,,
50,04/19/2022 12:23:31,22.13,,,,,
51,04/19/2022 12:28:31,22.61,,,,,
52,04/19/2022 12:33:31,22.82,,,,,
53,04/19/2022 12:38:31,23.29,,,,,
54,04/19/2022 12:43:31,23.46,,,,,
55,04/19/2022 12:48:31,23.85,,,,,
56,04/19/2022 12:53:31,23.25,,,,,
57,04/19/2022 12:58:31,23.21,,,,,
58,04/19/2022 13:03:31,22.69,,,,,
59,04/19/2022 13:08:31,22.73,,,,,
60,04/19/2022 13:13:31,22.69,,,,,
61,04/19/2022 13:18:31,22.43,,,,,
62,04/19/2022 13:23:31,23.21,,,,,
63,04/19/2022 13:28:31,23.51,,,,,
64,04/19/2022 13:33:31,22.43,,,,,
65,04/19/2022 13:38:31,22.26,,,,,
66,04/19/2022 13:43:31,22.26,,,,,
67,04/19/2022 13:48:31,21.49,,,,,
68,04/19/2022 13:53:31,21.23,,,,,
69,04/19/2022 13:58:31,21.53,,,,,
70,04/19/2022 14:03:31,22.01,,,,,
71,04/19/2022 14:08:31,22.31,,,,,
72,04/19/2022 14:13:31,22.18,,,,,
73,04/19/2022 14:18:31,21.45,,,,,
74,04/19/2022 14:23:31,21.75,,,,,
75,04/19/2022 14:28:31,21.83,,,,,
76,04/19/2022 14:33:31,21.75,,,,,
77,04/19/2022 14:38:31,21.58,,,,,
78,04/19/2022 14:43:31,21.96,,,,,
79,04/19/2022 14:48:31,21.66,,,,,
80,04/19/2022 14:53:31,21.88,,,,,
81,04/19/2022 14:58:31,21.88,,,,,
82,04/19/2022 15:03:31,21.70,,,,,
83,04/19/2022 15:08:31,21.83,,,,,
84,04/19/2022 15:13:31,22.26,,,,,
85,04/19/2022 15:18:31,22.18,,,,,
86,04/19/2022 15:23:31,22.26,,,,,
87,04/19/2022 15:28:31,22.26,,,,,
88,04/19/2022 15:33:31,22.26,,,,,
89,04/19/2022 15:38:31,22.26,,,,,
90,04/19/2022 15:43:31,22.13,,,,,
91,04/19/2022 15:48:31,22.18,,,,,
92,04/19/2022 15:53:31,21.83,,,,,
93,04/19/2022 15:58:31,21.49,,,,,
94,04/19/2022 16:03:31,21.19,,,,,
95,04/19/2022 16:08:31,21.02,,,,,
96,04/19/2022 16:13:31,21.32,,,,,
97,04/19/2022 16:18:31,21.06,,,,,
98,04/19/2022 16:23:31,20.55,,,,,
99,04/19/2022 16:28:31,20.72,,,,,
100,04/19/2022 16:33:31,21.40,,,,,
101,04/19/2022 16:38:31,21.45,,,,,
102,04/19/2022 16:43:31,21.23,,,,,
103,04/19/2022 16:48:31,21.19,,,,,
104,04/19/2022 16:53:31,21.28,,,,,
105,04/19/2022 16:58:31,20.98,,,,,
106,04/19/2022 17:03:31,21.02,,,,,
107,04/19/2022 17:08:31,20.76,,,,,
108,04/19/2022 17:13:31,21.02,,,,,
109,04/19/2022 17:18:31,21.32,,,,,
110,04/19/2022 17:23:31,21.58,,,,,
111,04/19/2022 17:28:31,21.62,,,,,
112,04/19/2022 17:33:31,21.79,,,,,
113,04/19/2022 17:38:31,21.79,,,,,
114,04/19/2022 17:43:31,21.83,,,,,
115,04/19/2022 17:48:31,22.01,,,,,
116,04/19/2022 17:53:31,22.43,,,,,
117,04/19/2022 17:58:31,22.52,,,,,
118,04/19/2022 18:03:31,22.31,,,,,
