#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,05/26/2021 08:23:28,29.38,,
2,05/26/2021 08:28:28,25.57,,
3,05/26/2021 08:33:28,24.32,,
4,05/26/2021 08:38:28,23.64,,
5,05/26/2021 08:43:28,23.25,,
6,05/26/2021 08:48:28,23.16,,
7,05/26/2021 08:53:28,23.25,,
8,05/26/2021 08:58:28,23.55,,
9,05/26/2021 09:03:28,23.72,,
10,05/26/2021 09:08:28,23.76,,
11,05/26/2021 09:13:28,23.72,,
12,05/26/2021 09:18:28,23.81,,
13,05/26/2021 09:23:28,23.72,,
14,05/26/2021 09:28:28,23.72,,
15,05/26/2021 09:33:28,23.89,,
16,05/26/2021 09:38:28,23.98,,
17,05/26/2021 09:43:28,24.19,,
18,05/26/2021 09:48:28,24.28,,
19,05/26/2021 09:53:28,24.41,,
20,05/26/2021 09:58:28,24.66,,
21,05/26/2021 10:03:28,24.79,,
22,05/26/2021 10:08:28,25.18,,
23,05/26/2021 10:13:28,25.57,,
24,05/26/2021 10:18:28,25.99,,
25,05/26/2021 10:23:28,26.34,,
26,05/26/2021 10:28:28,26.72,,
27,05/26/2021 10:33:28,27.11,,
28,05/26/2021 10:38:28,27.54,,
29,05/26/2021 10:43:28,27.71,,
30,05/26/2021 10:48:28,27.71,,
31,05/26/2021 10:53:28,27.75,,
32,05/26/2021 10:58:28,28.05,,
33,05/26/2021 11:03:28,28.27,,
34,05/26/2021 11:08:28,28.48,,
35,05/26/2021 11:13:28,28.61,,
36,05/26/2021 11:18:28,28.57,,
37,05/26/2021 11:23:28,28.48,,
38,05/26/2021 11:28:28,28.40,,
39,05/26/2021 11:33:28,28.40,,
40,05/26/2021 11:38:28,28.40,,
41,05/26/2021 11:43:28,28.53,,
42,05/26/2021 11:48:28,28.83,,
43,05/26/2021 11:53:28,29.21,,
44,05/26/2021 11:58:28,29.60,,
45,05/26/2021 12:03:28,30.16,,
46,05/26/2021 12:08:28,30.59,,
47,05/26/2021 12:13:28,30.97,,
48,05/26/2021 12:18:28,31.14,,
49,05/26/2021 12:23:28,31.14,,
50,05/26/2021 12:28:28,31.01,,
51,05/26/2021 12:33:28,30.76,,
52,05/26/2021 12:38:28,30.67,,
53,05/26/2021 12:43:28,30.76,,
54,05/26/2021 12:48:28,30.93,,
55,05/26/2021 12:53:28,31.23,,
56,05/26/2021 12:58:28,31.57,,
57,05/26/2021 13:03:28,32.04,,
58,05/26/2021 13:08:28,32.43,,
59,05/26/2021 13:13:28,32.73,,
60,05/26/2021 13:18:28,33.16,,
61,05/26/2021 13:23:28,33.42,,
62,05/26/2021 13:28:28,33.63,,
63,05/26/2021 13:33:28,33.80,,
64,05/26/2021 13:38:28,34.15,,
65,05/26/2021 13:43:28,34.40,,
66,05/26/2021 13:48:28,34.62,,
67,05/26/2021 13:53:28,34.83,,
68,05/26/2021 13:58:28,35.26,,
69,05/26/2021 14:03:28,35.69,,
70,05/26/2021 14:08:28,35.90,,
71,05/26/2021 14:13:28,36.33,,
72,05/26/2021 14:18:28,36.63,,
73,05/26/2021 14:23:28,36.51,,
74,05/26/2021 14:28:28,36.46,,
75,05/26/2021 14:33:28,36.38,,
76,05/26/2021 14:38:28,36.51,,
77,05/26/2021 14:43:28,36.55,,
78,05/26/2021 14:48:28,36.63,,
