#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,Stopped,End of File
1,06/02/2021 08:08:05,27.58,,,
2,06/02/2021 08:13:05,21.79,,,
3,06/02/2021 08:18:05,20.72,,,
4,06/02/2021 08:23:05,20.55,,,
5,06/02/2021 08:28:05,21.15,,,
6,06/02/2021 08:33:05,21.45,,,
7,06/02/2021 08:38:05,21.62,,,
8,06/02/2021 08:43:05,21.66,,,
9,06/02/2021 08:48:05,21.79,,,
10,06/02/2021 08:53:05,22.18,,,
11,06/02/2021 08:58:05,21.75,,,
12,06/02/2021 09:03:05,22.26,,,
13,06/02/2021 09:08:05,22.69,,,
14,06/02/2021 09:13:05,22.91,,,
15,06/02/2021 09:18:05,23.12,,,
16,06/02/2021 09:23:05,23.55,,,
17,06/02/2021 09:28:05,23.89,,,
18,06/02/2021 09:33:05,24.02,,,
19,06/02/2021 09:38:05,24.19,,,
20,06/02/2021 09:43:05,24.41,,,
21,06/02/2021 09:48:05,24.97,,,
22,06/02/2021 09:53:05,25.48,,,
23,06/02/2021 09:58:05,25.78,,,
24,06/02/2021 10:03:05,26.21,,,
25,06/02/2021 10:08:05,26.55,,,
26,06/02/2021 10:13:05,26.72,,,
27,06/02/2021 10:18:05,27.07,,,
28,06/02/2021 10:23:05,27.58,,,
29,06/02/2021 10:28:05,28.40,,,
30,06/02/2021 10:33:05,28.48,,,
31,06/02/2021 10:38:05,28.83,,,
32,06/02/2021 10:43:05,29.30,,,
33,06/02/2021 10:48:05,29.60,,,
34,06/02/2021 10:53:05,29.77,,,
35,06/02/2021 10:58:05,29.86,,,
36,06/02/2021 11:03:05,30.33,,,
37,06/02/2021 11:08:05,30.41,,,
38,06/02/2021 11:13:05,30.80,,,
39,06/02/2021 11:18:05,30.93,,,
40,06/02/2021 11:23:05,31.01,,,
41,06/02/2021 11:28:05,31.57,,,
42,06/02/2021 11:33:05,31.74,,,
43,06/02/2021 11:38:05,31.87,,,
44,06/02/2021 11:43:05,31.49,,,
45,06/02/2021 11:48:05,32.13,,,
46,06/02/2021 11:53:05,32.13,,,
47,06/02/2021 11:58:05,31.66,,,
48,06/02/2021 12:03:05,32.43,,,
49,06/02/2021 12:08:05,33.03,,,
50,06/02/2021 12:13:05,33.16,,,
51,06/02/2021 12:18:05,32.77,,,
52,06/02/2021 12:23:05,33.80,,,
53,06/02/2021 12:28:05,34.19,,,
54,06/02/2021 12:33:05,34.02,,,
55,06/02/2021 12:38:05,33.89,,,
56,06/02/2021 12:43:05,33.76,,,
57,06/02/2021 12:48:05,34.57,,,
58,06/02/2021 12:53:05,34.79,,,
59,06/02/2021 12:58:05,35.09,,,
60,06/02/2021 13:03:05,35.30,,,
61,06/02/2021 13:08:05,35.39,,,
62,06/02/2021 13:13:05,35.73,,,
63,06/02/2021 13:18:05,35.65,,,
64,06/02/2021 13:23:05,36.25,,,
65,06/02/2021 13:28:05,36.42,,,
66,06/02/2021 13:33:05,36.68,,,
67,06/02/2021 13:38:05,36.42,,,
68,06/02/2021 13:43:05,36.98,,,
69,06/02/2021 13:48:05,36.51,,,
70,06/02/2021 13:53:05,36.89,,,
71,06/02/2021 13:58:05,37.02,,,
72,06/02/2021 14:03:05,37.11,,,
73,06/02/2021 14:08:05,37.28,,,
74,06/02/2021 14:13:05,37.06,,,
75,06/02/2021 14:18:05,37.79,,,
76,06/02/2021 14:23:05,38.09,,,
77,06/02/2021 14:28:05,38.48,,,
78,06/02/2021 14:33:05,38.31,,,
79,06/02/2021 14:38:05,38.31,,,
80,06/02/2021 14:43:05,38.18,,,
81,06/02/2021 14:48:05,38.52,,,
82,06/02/2021 14:53:05,38.56,,,
83,06/02/2021 14:58:05,38.44,,,
84,06/02/2021 15:03:05,38.31,,,
85,06/02/2021 15:08:05,37.92,,,
86,06/02/2021 15:13:05,39.08,,,
87,06/02/2021 15:18:05,39.51,,,
88,06/02/2021 15:23:05,39.42,,,
89,06/02/2021 15:28:05,38.91,,,
90,06/02/2021 15:33:05,39.42,,,
91,06/02/2021 15:38:05,39.38,,,
92,06/02/2021 15:43:05,39.55,,,
93,06/02/2021 15:48:05,39.77,,,
94,06/02/2021 15:53:05,39.42,,,
95,06/02/2021 15:58:05,39.25,,,
96,06/02/2021 16:03:05,39.51,,,
97,06/02/2021 16:08:05,39.59,,,
98,06/02/2021 16:13:05,38.95,,,
99,06/02/2021 16:18:05,38.61,,,
100,06/02/2021 16:23:05,38.69,,,
101,06/02/2021 16:28:05,38.52,,,
102,06/02/2021 16:33:05,38.78,,,
103,06/02/2021 16:38:05,38.35,,,
104,06/02/2021 16:43:05,38.39,,,
105,06/02/2021 16:48:05,38.39,,,
106,06/02/2021 16:53:05,38.18,,,
107,06/02/2021 16:58:05,37.79,,,
108,06/02/2021 17:03:05,37.84,,,
109,06/02/2021 17:08:05,37.62,,,
110,06/02/2021 17:13:05,37.28,,,
111,06/02/2021 17:18:05,36.76,,,
112,06/02/2021 17:23:05,36.46,,,
113,06/02/2021 17:28:05,36.59,,,
114,06/02/2021 17:33:05,36.21,,,
115,06/02/2021 17:38:05,35.69,,,
116,06/02/2021 17:43:05,35.56,,,
117,06/02/2021 17:48:05,35.18,,,
118,06/02/2021 17:53:05,34.88,,,
119,06/02/2021 17:58:05,34.27,,,
120,06/02/2021 18:03:05,34.06,,,
121,06/02/2021 18:08:05,33.80,,,
122,06/02/2021 18:13:05,33.89,,,
123,06/02/2021 18:18:05,33.42,,,
124,06/02/2021 18:23:05,33.50,,,
125,06/02/2021 18:28:05,33.20,,,
126,06/02/2021 18:33:05,32.64,,,
127,06/02/2021 18:38:05,32.17,,,
128,06/02/2021 18:43:05,31.49,,,
129,06/02/2021 18:48:05,31.36,,,
130,06/02/2021 18:53:05,30.71,,,
131,06/02/2021 18:58:05,30.03,,,
132,06/02/2021 19:03:05,29.21,,,
133,06/02/2021 19:08:05,28.83,,,
134,06/02/2021 19:13:05,28.78,,,
135,06/02/2021 19:18:05,28.31,,,
136,06/02/2021 19:23:05,27.67,,,
137,06/02/2021 19:28:05,27.41,,,
138,06/02/2021 19:33:05,26.98,,,
139,06/02/2021 19:38:05,26.55,,,
140,06/02/2021 19:43:05,26.17,,,
141,06/02/2021 19:48:05,25.57,,,
142,06/02/2021 19:53:05,25.31,,,
143,06/02/2021 19:58:05,24.92,,,
144,06/02/2021 20:03:05,24.41,,,
145,06/02/2021 20:08:05,23.81,,,
146,06/02/2021 20:13:05,23.08,,,
147,06/02/2021 20:18:05,22.05,,,
148,06/02/2021 20:23:05,21.45,,,
149,06/02/2021 20:28:05,21.10,,,
150,06/02/2021 20:33:05,20.72,,,
151,06/02/2021 20:38:05,20.37,,,
152,06/02/2021 20:43:05,19.99,,,
153,06/02/2021 20:48:05,19.56,,,
154,06/02/2021 20:53:05,19.26,,,
155,06/02/2021 20:58:05,18.96,,,
156,06/02/2021 21:03:05,18.66,,,
157,06/02/2021 21:08:05,18.40,,,
158,06/02/2021 21:13:05,18.23,,,
159,06/02/2021 21:18:05,17.93,,,
160,06/02/2021 21:23:05,17.76,,,
161,06/02/2021 21:28:05,17.59,,,
162,06/02/2021 21:33:05,17.41,,,
163,06/02/2021 21:38:05,17.24,,,
164,06/02/2021 21:43:05,17.11,,,
165,06/02/2021 21:48:05,16.99,,,
166,06/02/2021 21:53:05,16.81,,,
167,06/02/2021 21:58:05,16.60,,,
168,06/02/2021 22:03:05,16.47,,,
169,06/02/2021 22:08:05,16.34,,,
170,06/02/2021 22:13:05,16.26,,,
171,06/02/2021 22:18:05,16.08,,,
172,06/02/2021 22:23:05,15.87,,,
173,06/02/2021 22:28:05,15.78,,,
174,06/02/2021 22:33:05,15.61,,,
175,06/02/2021 22:38:05,15.48,,,
176,06/02/2021 22:43:05,15.44,,,
177,06/02/2021 22:48:05,15.48,,,
178,06/02/2021 22:53:05,15.36,,,
179,06/02/2021 22:58:05,15.23,,,
180,06/02/2021 23:03:05,15.18,,,
181,06/02/2021 23:08:05,15.06,,,
182,06/02/2021 23:13:05,14.97,,,
183,06/02/2021 23:18:05,14.93,,,
184,06/02/2021 23:23:05,14.84,,,
185,06/02/2021 23:28:05,14.71,,,
186,06/02/2021 23:33:05,14.67,,,
187,06/02/2021 23:38:05,14.54,,,
188,06/02/2021 23:43:05,14.33,,,
189,06/02/2021 23:48:05,14.37,,,
190,06/02/2021 23:53:05,14.41,,,
191,06/02/2021 23:58:05,14.28,,,
192,06/03/2021 00:03:05,14.24,,,
193,06/03/2021 00:08:05,14.20,,,
194,06/03/2021 00:13:05,14.15,,,
195,06/03/2021 00:18:05,14.07,,,
196,06/03/2021 00:23:05,13.90,,,
197,06/03/2021 00:28:05,13.85,,,
198,06/03/2021 00:33:05,13.73,,,
199,06/03/2021 00:38:05,13.64,,,
200,06/03/2021 00:43:05,13.68,,,
201,06/03/2021 00:48:05,13.55,,,
202,06/03/2021 00:53:05,13.55,,,
203,06/03/2021 00:58:05,13.55,,,
204,06/03/2021 01:03:05,13.47,,,
205,06/03/2021 01:08:05,13.43,,,
206,06/03/2021 01:13:05,13.43,,,
207,06/03/2021 01:18:05,13.43,,,
208,06/03/2021 01:23:05,13.51,,,
209,06/03/2021 01:28:05,13.47,,,
210,06/03/2021 01:33:05,13.47,,,
211,06/03/2021 01:38:05,13.43,,,
212,06/03/2021 01:43:05,13.43,,,
213,06/03/2021 01:48:05,13.34,,,
214,06/03/2021 01:53:05,13.30,,,
215,06/03/2021 01:58:05,13.38,,,
216,06/03/2021 02:03:05,13.34,,,
217,06/03/2021 02:08:05,13.21,,,
218,06/03/2021 02:13:05,13.17,,,
219,06/03/2021 02:18:05,13.12,,,
220,06/03/2021 02:23:05,13.04,,,
221,06/03/2021 02:28:05,12.95,,,
222,06/03/2021 02:33:05,12.87,,,
223,06/03/2021 02:38:05,12.78,,,
224,06/03/2021 02:43:05,12.78,,,
225,06/03/2021 02:48:05,12.82,,,
226,06/03/2021 02:53:05,12.70,,,
227,06/03/2021 02:58:05,12.70,,,
228,06/03/2021 03:03:05,12.61,,,
229,06/03/2021 03:08:05,12.70,,,
230,06/03/2021 03:13:05,12.82,,,
231,06/03/2021 03:18:05,12.78,,,
232,06/03/2021 03:23:05,12.82,,,
233,06/03/2021 03:28:05,12.82,,,
234,06/03/2021 03:33:05,12.78,,,
235,06/03/2021 03:38:05,12.65,,,
236,06/03/2021 03:43:05,12.70,,,
237,06/03/2021 03:48:05,12.61,,,
238,06/03/2021 03:53:05,12.57,,,
