#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,06/23/2021 08:17:17,23.81,,
2,06/23/2021 08:22:17,23.85,,
3,06/23/2021 08:27:17,23.64,,
4,06/23/2021 08:32:17,23.85,,
5,06/23/2021 08:37:17,24.02,,
6,06/23/2021 08:42:17,24.66,,
7,06/23/2021 08:47:17,25.05,,
8,06/23/2021 08:52:17,24.97,,
9,06/23/2021 08:57:17,25.44,,
10,06/23/2021 09:02:17,25.74,,
11,06/23/2021 09:07:17,25.95,,
12,06/23/2021 09:12:17,25.91,,
13,06/23/2021 09:17:17,26.72,,
14,06/23/2021 09:22:17,27.11,,
15,06/23/2021 09:27:17,27.37,,
16,06/23/2021 09:32:17,27.71,,
17,06/23/2021 09:37:17,28.10,,
18,06/23/2021 09:42:17,28.31,,
19,06/23/2021 09:47:17,28.44,,
20,06/23/2021 09:52:17,28.65,,
21,06/23/2021 09:57:17,28.44,,
22,06/23/2021 10:02:17,29.00,,
23,06/23/2021 10:07:17,29.60,,
24,06/23/2021 10:12:17,29.17,,
25,06/23/2021 10:17:17,29.51,,
26,06/23/2021 10:22:17,29.94,,
27,06/23/2021 10:27:17,29.64,,
28,06/23/2021 10:32:17,29.94,,
29,06/23/2021 10:37:17,30.11,,
30,06/23/2021 10:42:17,30.76,,
31,06/23/2021 10:47:17,30.71,,
32,06/23/2021 10:52:17,30.93,,
33,06/23/2021 10:57:17,30.67,,
34,06/23/2021 11:02:17,30.93,,
35,06/23/2021 11:07:17,30.80,,
36,06/23/2021 11:12:17,30.80,,
37,06/23/2021 11:17:17,31.31,,
38,06/23/2021 11:22:17,31.70,,
39,06/23/2021 11:27:17,31.87,,
40,06/23/2021 11:32:17,31.74,,
41,06/23/2021 11:37:17,32.17,,
42,06/23/2021 11:42:17,31.83,,
43,06/23/2021 11:47:17,32.73,,
44,06/23/2021 11:52:17,32.90,,
45,06/23/2021 11:57:17,32.82,,
46,06/23/2021 12:02:17,33.50,,
47,06/23/2021 12:07:17,33.72,,
48,06/23/2021 12:12:17,33.67,,
49,06/23/2021 12:17:17,33.67,,
50,06/23/2021 12:22:17,33.85,,
51,06/23/2021 12:27:17,33.59,,
52,06/23/2021 12:32:17,34.06,,
53,06/23/2021 12:37:17,34.45,,
54,06/23/2021 12:42:17,34.19,,
55,06/23/2021 12:47:17,34.10,,
56,06/23/2021 12:52:17,34.45,,
57,06/23/2021 12:57:17,34.36,,
58,06/23/2021 13:02:17,34.15,,
59,06/23/2021 13:07:17,34.15,,
60,06/23/2021 13:12:17,34.23,,
61,06/23/2021 13:17:17,34.23,,
62,06/23/2021 13:22:17,34.23,,
63,06/23/2021 13:27:17,34.49,,
64,06/23/2021 13:32:17,34.96,,
65,06/23/2021 13:37:17,35.09,,
66,06/23/2021 13:42:17,34.32,,
67,06/23/2021 13:47:17,34.23,,
68,06/23/2021 13:52:17,34.66,,
69,06/23/2021 13:57:17,35.05,,
70,06/23/2021 14:02:17,34.40,,
71,06/23/2021 14:07:17,34.49,,
72,06/23/2021 14:12:17,34.88,,
