#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,06/16/2022 08:24:50,29.21,,,,
2,06/16/2022 08:29:50,25.09,,,,
3,06/16/2022 08:34:50,23.38,,,,
4,06/16/2022 08:39:50,22.78,,,,
5,06/16/2022 08:44:50,22.95,,,,
6,06/16/2022 08:49:50,22.69,,,,
7,06/16/2022 08:54:50,22.82,,,,
8,06/16/2022 08:59:50,23.16,,,,
9,06/16/2022 09:04:50,23.38,,,,
10,06/16/2022 09:09:50,23.59,,,,
11,06/16/2022 09:14:50,23.76,,,,
12,06/16/2022 09:19:50,24.24,,,,
13,06/16/2022 09:24:50,24.24,,,,
14,06/16/2022 09:29:50,24.32,,,,
15,06/16/2022 09:34:50,24.41,,,,
16,06/16/2022 09:39:50,24.84,,,,
17,06/16/2022 09:44:50,24.97,,,,
18,06/16/2022 09:49:50,25.48,,,,
19,06/16/2022 09:54:50,25.69,,,,
20,06/16/2022 09:59:50,26.21,,,,
21,06/16/2022 10:04:50,26.04,,,,
22,06/16/2022 10:09:50,26.04,,,,
23,06/16/2022 10:14:50,26.34,,,,
24,06/16/2022 10:19:50,26.60,,,,
25,06/16/2022 10:24:50,26.42,,,,
26,06/16/2022 10:29:50,26.47,,,,
27,06/16/2022 10:34:50,27.28,,,,
28,06/16/2022 10:39:50,27.24,,,,
29,06/16/2022 10:44:50,27.80,,,,
30,06/16/2022 10:49:50,27.97,,,,
31,06/16/2022 10:54:50,28.18,,,,
32,06/16/2022 10:59:50,28.18,,,,
33,06/16/2022 11:04:50,28.70,,,,
34,06/16/2022 11:09:50,28.95,,,,
35,06/16/2022 11:14:50,29.17,,,,
36,06/16/2022 11:19:50,29.17,,,,
37,06/16/2022 11:24:50,29.51,,,,
38,06/16/2022 11:29:50,29.51,,,,
39,06/16/2022 11:34:50,29.81,,,,
40,06/16/2022 11:39:50,30.33,,,,
41,06/16/2022 11:44:50,30.67,,,,
42,06/16/2022 11:49:50,30.80,,,,
43,06/16/2022 11:54:50,31.14,,,,
44,06/16/2022 11:59:50,31.14,,,,
45,06/16/2022 12:04:50,31.23,,,,
46,06/16/2022 12:09:50,31.31,,,,
47,06/16/2022 12:14:50,32.00,,,,
48,06/16/2022 12:19:50,32.60,,,,
49,06/16/2022 12:24:50,32.56,,,,
50,06/16/2022 12:29:50,32.09,,,,
51,06/16/2022 12:34:50,32.17,,,,
52,06/16/2022 12:39:50,32.39,,,,
53,06/16/2022 12:44:50,32.47,,,,
54,06/16/2022 12:49:50,32.09,,,,
55,06/16/2022 12:54:50,32.82,,,,
56,06/16/2022 12:59:50,32.30,,,,
57,06/16/2022 13:04:50,32.52,,,,
58,06/16/2022 13:09:50,32.30,,,,
59,06/16/2022 13:14:50,32.30,,,,
60,06/16/2022 13:19:50,32.17,,,,
61,06/16/2022 13:24:50,32.17,,,,
62,06/16/2022 13:29:50,32.09,,,,
63,06/16/2022 13:34:50,32.00,,,,
64,06/16/2022 13:39:50,32.04,,,,
65,06/16/2022 13:44:50,32.00,,,,
66,06/16/2022 13:49:50,32.09,,,,
67,06/16/2022 13:54:50,32.26,,,,
68,06/16/2022 13:59:50,32.04,,,,
69,06/16/2022 14:04:50,32.26,,,,
70,06/16/2022 14:09:50,31.57,,,,
71,06/16/2022 14:14:50,31.40,,,,
72,06/16/2022 14:19:50,31.87,,,,
73,06/16/2022 14:24:50,31.74,,,,
74,06/16/2022 14:29:50,32.04,,,,
75,06/16/2022 14:34:50,31.36,,,,
76,06/16/2022 14:39:50,31.40,,,,
77,06/16/2022 14:44:50,31.61,,,,
78,06/16/2022 14:49:50,31.49,,,,
79,06/16/2022 14:54:50,31.44,,,,
80,06/16/2022 14:59:50,31.23,,,,
81,06/16/2022 15:04:50,31.61,,,,
82,06/16/2022 15:09:50,31.23,,,,
83,06/16/2022 15:14:50,31.44,,,,
84,06/16/2022 15:19:50,31.31,,,,
85,06/16/2022 15:24:50,31.14,,,,
86,06/16/2022 15:29:50,30.89,,,,
87,06/16/2022 15:34:50,31.49,,,,
88,06/16/2022 15:39:50,31.36,,,,
89,06/16/2022 15:44:50,30.97,,,,
90,06/16/2022 15:49:50,30.63,,,,
91,06/16/2022 15:54:50,30.93,,,,
92,06/16/2022 15:59:50,31.06,,,,
93,06/16/2022 16:04:50,30.76,,,,
94,06/16/2022 16:09:50,30.41,,,,
95,06/16/2022 16:14:50,30.67,,,,
96,06/16/2022 16:19:50,30.28,,,,
97,06/16/2022 16:24:50,30.11,,,,
98,06/16/2022 16:29:50,30.41,,,,
99,06/16/2022 16:34:50,30.37,,,,
100,06/16/2022 16:39:50,29.98,,,,
101,06/16/2022 16:44:50,29.73,,,,
102,06/16/2022 16:49:50,30.03,,,,
103,06/16/2022 16:54:50,29.90,,,,
104,06/16/2022 16:59:50,29.26,,,,
105,06/16/2022 17:04:50,29.00,,,,
106,06/16/2022 17:09:50,28.74,,,,
107,06/16/2022 17:14:50,28.44,,,,
108,06/16/2022 17:19:50,28.35,,,,
109,06/16/2022 17:24:50,28.40,,,,
110,06/16/2022 17:29:50,27.93,,,,
111,06/16/2022 17:34:50,27.75,,,,
112,06/16/2022 17:39:50,27.58,,,,
113,06/16/2022 17:44:50,27.84,,,,
114,06/16/2022 17:49:50,27.88,,,,
115,06/16/2022 17:54:50,27.41,,,,
116,06/16/2022 17:59:50,27.28,,,,
117,06/16/2022 18:04:50,27.07,,,,
118,06/16/2022 18:09:50,26.42,,,,
119,06/16/2022 18:14:50,26.25,,,,
120,06/16/2022 18:19:50,25.91,,,,
121,06/16/2022 18:24:50,25.48,,,,
122,06/16/2022 18:29:50,25.09,,,,
123,06/16/2022 18:34:50,24.66,,,,
124,06/16/2022 18:39:50,24.36,,,,
125,06/16/2022 18:44:50,24.15,,,,
126,06/16/2022 18:49:50,23.38,,,,
127,06/16/2022 18:54:50,22.65,,,,
128,06/16/2022 18:59:50,22.13,,,,
129,06/16/2022 19:04:50,21.66,,,,
130,06/16/2022 19:09:50,21.36,,,,
131,06/16/2022 19:14:50,21.06,,,,
132,06/16/2022 19:19:50,20.59,,,,
133,06/16/2022 19:24:50,20.12,,,,
134,06/16/2022 19:29:50,19.82,,,,
135,06/16/2022 19:34:50,19.56,,,,
136,06/16/2022 19:39:50,19.47,,,,
137,06/16/2022 19:44:50,19.39,,,,
138,06/16/2022 19:49:50,19.26,,,,
139,06/16/2022 19:54:50,19.13,,,,
140,06/16/2022 19:59:50,18.96,,,,
141,06/16/2022 20:04:50,18.66,,,,
142,06/16/2022 20:09:50,18.27,,,,
143,06/16/2022 20:14:50,17.97,,,,
144,06/16/2022 20:19:50,17.67,,,,
145,06/16/2022 20:24:50,17.54,,,,
146,06/16/2022 20:29:50,17.33,,,,
147,06/16/2022 20:34:50,17.20,,,,
148,06/16/2022 20:39:50,16.99,,,,
149,06/16/2022 20:44:50,16.90,,,,
150,06/16/2022 20:49:50,16.73,,,,
151,06/16/2022 20:54:50,16.56,,,,
152,06/16/2022 20:59:50,16.21,,,,
153,06/16/2022 21:04:50,16.08,,,,
154,06/16/2022 21:09:50,16.00,,,,
155,06/16/2022 21:14:50,15.83,,,,
156,06/16/2022 21:19:50,15.78,,,,
157,06/16/2022 21:24:50,15.66,,,,
158,06/16/2022 21:29:50,15.57,,,,
159,06/16/2022 21:34:50,15.48,,,,
160,06/16/2022 21:39:50,15.48,,,,
