#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
1,06/09/2022 07:51:38,24.88,,,,
2,06/09/2022 07:52:19,,Logged,,,
3,06/09/2022 07:54:31,,,Logged,,
4,06/09/2022 07:54:32,,,,Logged,
5,06/09/2022 07:54:34,,,Logged,Logged,
6,06/09/2022 07:54:36,,Logged,,,
7,06/09/2022 07:56:38,28.35,,,,
8,06/09/2022 08:01:38,28.61,,,,
9,06/09/2022 08:06:38,28.70,,,,
10,06/09/2022 08:11:38,28.87,,,,
11,06/09/2022 08:16:38,28.87,,,,
12,06/09/2022 08:21:38,28.65,,,,
13,06/09/2022 08:26:38,28.53,,,,
14,06/09/2022 08:31:38,28.65,,,,
15,06/09/2022 08:36:38,28.61,,,,
16,06/09/2022 08:41:38,29.04,,,,
17,06/09/2022 08:46:38,29.17,,,,
18,06/09/2022 08:51:38,29.68,,,,
19,06/09/2022 08:56:38,30.07,,,,
20,06/09/2022 09:01:38,30.28,,,,
21,06/09/2022 09:06:38,30.67,,,,
22,06/09/2022 09:11:38,30.93,,,,
23,06/09/2022 09:16:38,31.19,,,,
24,06/09/2022 09:21:38,31.70,,,,
25,06/09/2022 09:26:38,32.00,,,,
26,06/09/2022 09:31:38,32.43,,,,
27,06/09/2022 09:36:38,32.60,,,,
28,06/09/2022 09:41:38,32.77,,,,
29,06/09/2022 09:46:38,32.99,,,,
30,06/09/2022 09:51:38,33.25,,,,
31,06/09/2022 09:56:38,33.03,,,,
32,06/09/2022 10:01:38,32.82,,,,
33,06/09/2022 10:06:38,32.39,,,,
34,06/09/2022 10:11:38,32.34,,,,
35,06/09/2022 10:16:38,32.47,,,,
36,06/09/2022 10:21:38,32.26,,,,
37,06/09/2022 10:26:38,32.26,,,,
38,06/09/2022 10:31:38,32.26,,,,
39,06/09/2022 10:36:38,32.17,,,,
40,06/09/2022 10:41:38,31.87,,,,
41,06/09/2022 10:46:38,31.57,,,,
42,06/09/2022 10:51:38,31.61,,,,
43,06/09/2022 10:56:38,31.70,,,,
44,06/09/2022 11:01:38,31.70,,,,
45,06/09/2022 11:06:38,31.74,,,,
46,06/09/2022 11:11:38,31.92,,,,
47,06/09/2022 11:16:38,32.30,,,,
48,06/09/2022 11:21:38,32.47,,,,
49,06/09/2022 11:26:38,32.69,,,,
50,06/09/2022 11:31:38,32.77,,,,
51,06/09/2022 11:36:38,33.20,,,,
52,06/09/2022 11:41:38,33.37,,,,
53,06/09/2022 11:46:38,33.63,,,,
54,06/09/2022 11:51:38,33.59,,,,
55,06/09/2022 11:56:38,33.85,,,,
56,06/09/2022 12:01:38,34.02,,,,
57,06/09/2022 12:06:38,34.36,,,,
58,06/09/2022 12:11:38,34.62,,,,
59,06/09/2022 12:16:38,34.96,,,,
60,06/09/2022 12:21:38,35.13,,,,
61,06/09/2022 12:26:38,35.22,,,,
62,06/09/2022 12:31:38,35.52,,,,
63,06/09/2022 12:36:38,35.60,,,,
64,06/09/2022 12:41:38,35.73,,,,
65,06/09/2022 12:46:38,35.73,,,,
66,06/09/2022 12:51:38,35.65,,,,
67,06/09/2022 12:56:38,35.73,,,,
68,06/09/2022 13:01:38,35.78,,,,
69,06/09/2022 13:06:38,35.65,,,,
70,06/09/2022 13:11:38,35.90,,,,
71,06/09/2022 13:16:38,36.16,,,,
72,06/09/2022 13:21:38,36.55,,,,
73,06/09/2022 13:26:38,36.81,,,,
74,06/09/2022 13:31:38,36.89,,,,
75,06/09/2022 13:36:38,37.02,,,,
76,06/09/2022 13:41:38,37.06,,,,
77,06/09/2022 13:46:38,37.15,,,,
78,06/09/2022 13:51:38,37.36,,,,
79,06/09/2022 13:56:38,37.54,,,,
80,06/09/2022 14:01:38,37.54,,,,
81,06/09/2022 14:06:38,37.75,,,,
82,06/09/2022 14:11:38,38.05,,,,
83,06/09/2022 14:16:38,38.18,,,,
84,06/09/2022 14:21:38,38.39,,,,
85,06/09/2022 14:26:38,38.69,,,,
86,06/09/2022 14:31:38,38.86,,,,
87,06/09/2022 14:36:38,38.91,,,,
88,06/09/2022 14:41:38,39.17,,,,
89,06/09/2022 14:46:38,39.17,,,,
90,06/09/2022 14:51:38,39.25,,,,
91,06/09/2022 14:56:38,39.42,,,,
92,06/09/2022 15:01:38,39.42,,,,
93,06/09/2022 15:06:38,39.64,,,,
94,06/09/2022 15:11:38,39.94,,,,
95,06/09/2022 15:16:38,40.11,,,,
96,06/09/2022 15:21:38,40.24,,,,
97,06/09/2022 15:26:38,40.24,,,,
98,06/09/2022 15:31:38,40.37,,,,
99,06/09/2022 15:36:38,40.41,,,,
100,06/09/2022 15:41:38,40.45,,,,
101,06/09/2022 15:46:38,40.45,,,,
102,06/09/2022 15:51:38,40.50,,,,
103,06/09/2022 15:56:38,40.45,,,,
104,06/09/2022 16:01:38,40.37,,,,
105,06/09/2022 16:06:38,40.19,,,,
106,06/09/2022 16:11:38,40.07,,,,
107,06/09/2022 16:16:38,39.94,,,,
108,06/09/2022 16:21:38,39.77,,,,
109,06/09/2022 16:26:38,39.59,,,,
110,06/09/2022 16:31:38,39.42,,,,
111,06/09/2022 16:36:38,39.47,,,,
112,06/09/2022 16:41:38,39.59,,,,
113,06/09/2022 16:46:38,39.59,,,,
114,06/09/2022 16:51:38,39.55,,,,
115,06/09/2022 16:56:38,39.47,,,,
116,06/09/2022 17:01:38,39.25,,,,
117,06/09/2022 17:06:38,39.04,,,,
118,06/09/2022 17:11:38,38.95,,,,
119,06/09/2022 17:16:38,39.04,,,,
120,06/09/2022 17:21:38,39.04,,,,
121,06/09/2022 17:26:38,39.12,,,,
122,06/09/2022 17:31:38,39.12,,,,
123,06/09/2022 17:36:38,39.12,,,,
124,06/09/2022 17:41:38,39.12,,,,
