#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,05/07/2021 16:29:04,32.64,,
2,05/07/2021 16:34:04,31.14,,
3,05/07/2021 16:39:04,30.46,,
4,05/07/2021 16:44:04,29.77,,
5,05/07/2021 16:49:04,29.56,,
6,05/07/2021 16:54:04,29.30,,
7,05/07/2021 16:59:04,29.17,,
8,05/07/2021 17:04:04,29.04,,
9,05/07/2021 17:09:04,29.00,,
10,05/07/2021 17:14:04,29.00,,
11,05/07/2021 17:19:04,29.13,,
12,05/07/2021 17:24:04,29.17,,
13,05/07/2021 17:29:04,29.26,,
14,05/07/2021 17:34:04,29.30,,
15,05/07/2021 17:39:04,29.56,,
16,05/07/2021 17:44:04,29.51,,
17,05/07/2021 17:49:04,29.47,,
18,05/07/2021 17:54:04,29.51,,
19,05/07/2021 17:59:04,29.47,,
20,05/07/2021 18:04:04,29.47,,
21,05/07/2021 18:09:04,29.51,,
22,05/07/2021 18:14:04,29.68,,
23,05/07/2021 18:19:04,29.68,,
24,05/07/2021 18:24:04,29.64,,
25,05/07/2021 18:29:04,29.34,,
26,05/07/2021 18:34:04,29.26,,
27,05/07/2021 18:39:04,29.30,,
28,05/07/2021 18:44:04,29.34,,
29,05/07/2021 18:49:04,29.30,,
30,05/07/2021 18:54:04,29.26,,
31,05/07/2021 18:59:04,29.17,,
32,05/07/2021 19:04:04,29.13,,
33,05/07/2021 19:09:04,29.00,,
34,05/07/2021 19:14:04,28.78,,
35,05/07/2021 19:19:04,28.70,,
36,05/07/2021 19:24:04,28.57,,
37,05/07/2021 19:29:04,28.53,,
38,05/07/2021 19:34:04,28.35,,
39,05/07/2021 19:39:04,28.14,,
40,05/07/2021 19:44:04,27.93,,
41,05/07/2021 19:49:04,27.63,,
42,05/07/2021 19:54:04,27.45,,
43,05/07/2021 19:59:04,27.20,,
44,05/07/2021 20:04:04,26.90,,
45,05/07/2021 20:09:04,26.51,,
46,05/07/2021 20:14:04,26.12,,
47,05/07/2021 20:19:04,25.78,,
48,05/07/2021 20:24:04,25.35,,
49,05/07/2021 20:29:04,25.01,,
50,05/07/2021 20:34:04,24.71,,
51,05/07/2021 20:39:04,24.32,,
52,05/07/2021 20:44:04,24.11,,
53,05/07/2021 20:49:04,23.85,,
54,05/07/2021 20:54:04,23.55,,
55,05/07/2021 20:59:04,23.29,,
56,05/07/2021 21:04:04,22.99,,
57,05/07/2021 21:09:04,22.65,,
58,05/07/2021 21:14:04,22.35,,
59,05/07/2021 21:19:04,21.96,,
60,05/07/2021 21:24:04,21.75,,
61,05/07/2021 21:29:04,21.45,,
62,05/07/2021 21:34:04,21.19,,
63,05/07/2021 21:39:04,20.85,,
64,05/07/2021 21:44:04,20.55,,
65,05/07/2021 21:49:04,20.20,,
66,05/07/2021 21:54:04,19.95,,
67,05/07/2021 21:59:04,19.73,,
