#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,Stopped,End of File
1,04/27/2023 09:47:10,23.59,,,
2,04/27/2023 09:52:10,23.38,,,
3,04/27/2023 09:57:10,23.21,,,
4,04/27/2023 10:02:10,23.25,,,
5,04/27/2023 10:07:10,23.38,,,
6,04/27/2023 10:12:10,23.64,,,
7,04/27/2023 10:17:10,23.94,,,
8,04/27/2023 10:22:10,24.32,,,
9,04/27/2023 10:27:10,24.58,,,
10,04/27/2023 10:32:10,24.71,,,
11,04/27/2023 10:37:10,24.84,,,
12,04/27/2023 10:42:10,25.09,,,
13,04/27/2023 10:47:10,25.31,,,
14,04/27/2023 10:52:10,25.57,,,
15,04/27/2023 10:57:10,25.87,,,
16,04/27/2023 11:02:10,26.08,,,
17,04/27/2023 11:07:10,26.21,,,
18,04/27/2023 11:12:10,26.47,,,
19,04/27/2023 11:17:10,26.81,,,
20,04/27/2023 11:22:10,27.20,,,
21,04/27/2023 11:27:10,27.41,,,
22,04/27/2023 11:32:10,27.75,,,
23,04/27/2023 11:37:10,28.05,,,
24,04/27/2023 11:42:10,28.18,,,
25,04/27/2023 11:47:10,28.31,,,
26,04/27/2023 11:52:10,28.35,,,
27,04/27/2023 11:57:10,28.65,,,
28,04/27/2023 12:02:10,28.78,,,
29,04/27/2023 12:07:10,29.04,,,
30,04/27/2023 12:12:10,29.13,,,
31,04/27/2023 12:17:10,29.38,,,
32,04/27/2023 12:22:10,29.60,,,
33,04/27/2023 12:27:10,29.81,,,
34,04/27/2023 12:32:10,29.81,,,
35,04/27/2023 12:37:10,29.86,,,
36,04/27/2023 12:42:10,29.94,,,
37,04/27/2023 12:47:10,30.03,,,
38,04/27/2023 12:52:10,30.16,,,
39,04/27/2023 12:57:10,30.33,,,
40,04/27/2023 13:02:10,30.33,,,
41,04/27/2023 13:07:10,30.37,,,
42,04/27/2023 13:12:10,30.41,,,
43,04/27/2023 13:17:10,30.41,,,
44,04/27/2023 13:22:10,30.41,,,
45,04/27/2023 13:27:10,30.54,,,
46,04/27/2023 13:32:10,30.63,,,
47,04/27/2023 13:37:10,30.84,,,
48,04/27/2023 13:42:10,30.80,,,
49,04/27/2023 13:47:10,30.97,,,
50,04/27/2023 13:52:10,31.10,,,
51,04/27/2023 13:57:10,31.31,,,
52,04/27/2023 14:02:10,31.57,,,
53,04/27/2023 14:07:10,31.70,,,
54,04/27/2023 14:12:10,31.92,,,
55,04/27/2023 14:17:10,32.09,,,
56,04/27/2023 14:22:10,32.30,,,
57,04/27/2023 14:27:10,32.30,,,
58,04/27/2023 14:32:10,32.56,,,
59,04/27/2023 14:37:10,32.90,,,
60,04/27/2023 14:42:10,33.12,,,
61,04/27/2023 14:47:10,33.46,,,
62,04/27/2023 14:52:10,33.76,,,
63,04/27/2023 14:57:10,34.06,,,
64,04/27/2023 15:02:10,34.27,,,
65,04/27/2023 15:07:10,34.53,,,
66,04/27/2023 15:12:10,34.83,,,
67,04/27/2023 15:17:10,35.09,,,
68,04/27/2023 15:22:10,35.18,,,
69,04/27/2023 15:27:10,35.48,,,
70,04/27/2023 15:32:10,35.69,,,
71,04/27/2023 15:37:10,35.60,,,
72,04/27/2023 15:42:10,35.60,,,
73,04/27/2023 15:47:10,35.65,,,
74,04/27/2023 15:52:10,35.86,,,
75,04/27/2023 15:57:10,36.03,,,
76,04/27/2023 16:02:10,36.29,,,
77,04/27/2023 16:07:10,36.38,,,
78,04/27/2023 16:12:10,36.25,,,
79,04/27/2023 16:17:10,36.33,,,
80,04/27/2023 16:22:10,36.33,,,
81,04/27/2023 16:27:10,36.25,,,
82,04/27/2023 16:32:10,36.33,,,
83,04/27/2023 16:37:10,36.42,,,
84,04/27/2023 16:42:10,36.33,,,
85,04/27/2023 16:47:10,36.38,,,
86,04/27/2023 16:52:10,36.38,,,
87,04/27/2023 16:57:10,36.46,,,
88,04/27/2023 17:02:10,36.59,,,
89,04/27/2023 17:07:10,36.72,,,
90,04/27/2023 17:12:10,36.89,,,
91,04/27/2023 17:17:10,37.11,,,
92,04/27/2023 17:22:10,37.28,,,
93,04/27/2023 17:27:10,37.41,,,
94,04/27/2023 17:32:10,37.58,,,
95,04/27/2023 17:37:10,37.71,,,
96,04/27/2023 17:42:10,37.71,,,
97,04/27/2023 17:47:10,37.71,,,
98,04/27/2023 17:52:10,37.66,,,
99,04/27/2023 17:57:10,37.58,,,
100,04/27/2023 18:02:10,37.45,,,
101,04/27/2023 18:07:10,37.19,,,
102,04/27/2023 18:12:10,37.06,,,
103,04/27/2023 18:17:10,36.89,,,
104,04/27/2023 18:22:10,36.68,,,
105,04/27/2023 18:27:10,36.59,,,
106,04/27/2023 18:32:10,36.51,,,
107,04/27/2023 18:37:10,36.42,,,
108,04/27/2023 18:42:10,36.46,,,
109,04/27/2023 18:47:10,36.38,,,
110,04/27/2023 18:52:10,36.16,,,
111,04/27/2023 18:57:10,35.95,,,
112,04/27/2023 19:02:10,35.56,,,
113,04/27/2023 19:07:10,35.22,,,
114,04/27/2023 19:12:10,34.83,,,
115,04/27/2023 19:17:10,34.45,,,
116,04/27/2023 19:22:10,33.97,,,
117,04/27/2023 19:27:10,33.55,,,
118,04/27/2023 19:32:10,33.12,,,
119,04/27/2023 19:37:10,32.64,,,
120,04/27/2023 19:42:10,32.13,,,
121,04/27/2023 19:47:10,31.53,,,
122,04/27/2023 19:52:10,30.84,,,
123,04/27/2023 19:57:10,30.24,,,
124,04/27/2023 20:02:10,29.51,,,
125,04/27/2023 20:07:10,28.95,,,
126,04/27/2023 20:12:10,28.31,,,
127,04/27/2023 20:17:10,27.80,,,
128,04/27/2023 20:22:10,27.28,,,
129,04/27/2023 20:27:10,26.85,,,
130,04/27/2023 20:32:10,26.47,,,
131,04/27/2023 20:37:10,26.04,,,
132,04/27/2023 20:42:10,25.69,,,
133,04/27/2023 20:47:10,25.39,,,
134,04/27/2023 20:52:10,25.09,,,
135,04/27/2023 20:57:10,24.75,,,
136,04/27/2023 21:02:10,24.45,,,
137,04/27/2023 21:07:10,24.19,,,
138,04/27/2023 21:12:10,23.94,,,
139,04/27/2023 21:17:10,23.64,,,
140,04/27/2023 21:22:10,23.34,,,
141,04/27/2023 21:27:10,23.08,,,
142,04/27/2023 21:32:10,22.82,,,
143,04/27/2023 21:37:10,22.56,,,
144,04/27/2023 21:42:10,22.39,,,
145,04/27/2023 21:47:10,22.22,,,
146,04/27/2023 21:52:10,22.01,,,
147,04/27/2023 21:57:10,21.79,,,
148,04/27/2023 22:02:10,21.58,,,
149,04/27/2023 22:07:10,21.40,,,
150,04/27/2023 22:12:10,21.19,,,
151,04/27/2023 22:17:10,20.93,,,
152,04/27/2023 22:22:10,20.68,,,
153,04/27/2023 22:27:10,20.50,,,
154,04/27/2023 22:32:10,20.33,,,
155,04/27/2023 22:37:10,20.12,,,
156,04/27/2023 22:42:10,19.95,,,
157,04/27/2023 22:47:10,19.77,,,
158,04/27/2023 22:52:10,19.65,,,
159,04/27/2023 22:57:10,19.47,,,
160,04/27/2023 23:02:10,19.35,,,
161,04/27/2023 23:07:10,19.17,,,
162,04/27/2023 23:12:10,19.05,,,
163,04/27/2023 23:17:10,18.96,,,
164,04/27/2023 23:22:10,18.92,,,
165,04/27/2023 23:27:10,18.79,,,
166,04/27/2023 23:32:10,18.66,,,
167,04/27/2023 23:37:10,18.57,,,
168,04/27/2023 23:42:10,18.49,,,
169,04/27/2023 23:47:10,18.36,,,
170,04/27/2023 23:52:10,18.23,,,
171,04/27/2023 23:57:10,18.10,,,
172,04/28/2023 00:02:10,17.97,,,
173,04/28/2023 00:07:10,17.84,,,
174,04/28/2023 00:12:10,17.72,,,
175,04/28/2023 00:17:10,17.54,,,
176,04/28/2023 00:22:10,17.46,,,
177,04/28/2023 00:27:10,17.29,,,
178,04/28/2023 00:32:10,17.16,,,
179,04/28/2023 00:37:10,17.07,,,
180,04/28/2023 00:42:10,16.94,,,
181,04/28/2023 00:47:10,16.77,,,
182,04/28/2023 00:52:10,16.64,,,
183,04/28/2023 00:57:10,16.51,,,
184,04/28/2023 01:02:10,16.39,,,
185,04/28/2023 01:07:10,16.26,,,
186,04/28/2023 01:12:10,16.13,,,
187,04/28/2023 01:17:10,16.04,,,
188,04/28/2023 01:22:10,15.96,,,
189,04/28/2023 01:27:10,15.83,,,
190,04/28/2023 01:32:10,15.70,,,
191,04/28/2023 01:37:10,15.57,,,
192,04/28/2023 01:42:10,15.44,,,
193,04/28/2023 01:47:10,15.44,,,
194,04/28/2023 01:52:10,15.27,,,
195,04/28/2023 01:57:10,15.23,,,
196,04/28/2023 02:02:10,15.10,,,
197,04/28/2023 02:07:10,15.06,,,
198,04/28/2023 02:12:10,15.01,,,
199,04/28/2023 02:17:10,14.93,,,
200,04/28/2023 02:22:10,14.93,,,
201,04/28/2023 02:27:10,14.84,,,
202,04/28/2023 02:32:10,14.71,,,
203,04/28/2023 02:37:10,14.67,,,
204,04/28/2023 02:42:10,14.58,,,
205,04/28/2023 02:47:10,14.54,,,
206,04/28/2023 02:52:10,14.45,,,
207,04/28/2023 02:57:10,14.41,,,
208,04/28/2023 03:02:10,14.28,,,
209,04/28/2023 03:07:10,14.24,,,
210,04/28/2023 03:12:10,14.15,,,
