#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,05/04/2023 10:39:36,21.19,,,,,
2,05/04/2023 10:44:36,19.43,,,,,
3,05/04/2023 10:49:36,18.36,,,,,
4,05/04/2023 10:54:36,17.63,,,,,
5,05/04/2023 10:59:36,17.11,,,,,
6,05/04/2023 11:04:36,16.77,,,,,
7,05/04/2023 11:09:36,16.73,,,,,
8,05/04/2023 11:14:36,16.60,,,,,
9,05/04/2023 11:19:36,16.56,,,,,
10,05/04/2023 11:24:36,16.56,,,,,
11,05/04/2023 11:29:36,16.56,,,,,
12,05/04/2023 11:34:36,16.64,,,,,
13,05/04/2023 11:39:36,16.77,,,,,
14,05/04/2023 11:44:36,16.77,,,,,
15,05/04/2023 11:49:36,16.86,,,,,
16,05/04/2023 11:54:36,16.86,,,,,
17,05/04/2023 11:59:36,16.94,,,,,
18,05/04/2023 12:04:36,17.03,,,,,
19,05/04/2023 12:09:36,17.11,,,,,
20,05/04/2023 12:14:36,17.11,,,,,
21,05/04/2023 12:19:36,17.16,,,,,
22,05/04/2023 12:24:36,17.24,,,,,
23,05/04/2023 12:29:36,17.29,,,,,
24,05/04/2023 12:34:36,17.41,,,,,
25,05/04/2023 12:39:36,17.50,,,,,
26,05/04/2023 12:44:36,17.59,,,,,
27,05/04/2023 12:49:36,17.59,,,,,
28,05/04/2023 12:54:36,17.67,,,,,
29,05/04/2023 12:59:36,17.76,,,,,
30,05/04/2023 13:04:36,17.76,,,,,
31,05/04/2023 13:09:36,17.72,,,,,
32,05/04/2023 13:14:36,17.76,,,,,
33,05/04/2023 13:19:36,17.67,,,,,
34,05/04/2023 13:24:36,17.84,,,,,
35,05/04/2023 13:29:36,17.80,,,,,
36,05/04/2023 13:34:36,17.89,,,,,
37,05/04/2023 13:39:36,17.89,,,,,
38,05/04/2023 13:44:36,17.63,,,,,
39,05/04/2023 13:49:36,17.46,,,,,
40,05/04/2023 13:54:36,17.54,,,,,
41,05/04/2023 13:59:36,17.63,,,,,
42,05/04/2023 14:04:36,17.67,,,,,
43,05/04/2023 14:09:36,17.72,,,,,
44,05/04/2023 14:14:36,17.84,,,,,
45,05/04/2023 14:19:36,17.93,,,,,
46,05/04/2023 14:24:36,17.97,,,,,
47,05/04/2023 14:29:36,17.97,,,,,
48,05/04/2023 14:34:36,17.93,,,,,
49,05/04/2023 14:39:36,17.80,,,,,
50,05/04/2023 14:44:36,17.67,,,,,
51,05/04/2023 14:49:36,17.59,,,,,
52,05/04/2023 14:54:36,17.46,,,,,
53,05/04/2023 14:59:36,17.29,,,,,
54,05/04/2023 15:04:36,17.29,,,,,
55,05/04/2023 15:09:36,17.29,,,,,
56,05/04/2023 15:14:36,17.24,,,,,
57,05/04/2023 15:19:36,17.24,,,,,
58,05/04/2023 15:24:36,17.16,,,,,
59,05/04/2023 15:29:36,17.20,,,,,
60,05/04/2023 15:34:36,17.20,,,,,
61,05/04/2023 15:39:36,17.20,,,,,
62,05/04/2023 15:44:36,17.29,,,,,
63,05/04/2023 15:49:36,17.41,,,,,
64,05/04/2023 15:54:36,17.50,,,,,
65,05/04/2023 15:59:36,17.63,,,,,
66,05/04/2023 16:04:36,17.59,,,,,
67,05/04/2023 16:09:36,17.63,,,,,
68,05/04/2023 16:14:36,17.67,,,,,
69,05/04/2023 16:19:36,17.80,,,,,
70,05/04/2023 16:24:36,17.80,,,,,
71,05/04/2023 16:29:36,17.89,,,,,
72,05/04/2023 16:34:36,17.97,,,,,
73,05/04/2023 16:39:36,17.97,,,,,
74,05/04/2023 16:44:36,18.02,,,,,
75,05/04/2023 16:49:36,17.97,,,,,
76,05/04/2023 16:54:36,17.97,,,,,
77,05/04/2023 16:59:36,17.89,,,,,
78,05/04/2023 17:04:36,17.84,,,,,
79,05/04/2023 17:09:36,17.89,,,,,
80,05/04/2023 17:14:36,17.89,,,,,
81,05/04/2023 17:19:36,17.93,,,,,
82,05/04/2023 17:24:36,17.84,,,,,
83,05/04/2023 17:29:36,17.89,,,,,
84,05/04/2023 17:34:36,17.89,,,,,
85,05/04/2023 17:39:36,17.89,,,,,
86,05/04/2023 17:44:36,17.84,,,,,
87,05/04/2023 17:49:36,17.84,,,,,
88,05/04/2023 17:54:36,17.80,,,,,
89,05/04/2023 17:59:36,17.84,,,,,
90,05/04/2023 18:04:36,17.84,,,,,
91,05/04/2023 18:09:36,17.84,,,,,
92,05/04/2023 18:14:36,17.84,,,,,
93,05/04/2023 18:19:36,17.76,,,,,
94,05/04/2023 18:24:36,17.76,,,,,
95,05/04/2023 18:29:36,17.72,,,,,
96,05/04/2023 18:34:36,17.63,,,,,
97,05/04/2023 18:39:36,17.63,,,,,
98,05/04/2023 18:44:36,17.67,,,,,
99,05/04/2023 18:49:36,17.54,,,,,
100,05/04/2023 18:54:36,17.50,,,,,
101,05/04/2023 18:59:36,17.46,,,,,
102,05/04/2023 19:04:36,17.24,,,,,
103,05/04/2023 19:09:36,17.16,,,,,
104,05/04/2023 19:14:36,17.11,,,,,
105,05/04/2023 19:19:36,16.99,,,,,
106,05/04/2023 19:24:36,16.90,,,,,
107,05/04/2023 19:29:36,16.77,,,,,
108,05/04/2023 19:34:36,16.60,,,,,
109,05/04/2023 19:39:36,16.56,,,,,
110,05/04/2023 19:44:36,16.43,,,,,
111,05/04/2023 19:49:36,16.34,,,,,
112,05/04/2023 19:54:36,16.26,,,,,
113,05/04/2023 19:59:36,16.21,,,,,
114,05/04/2023 20:04:36,16.08,,,,,
115,05/04/2023 20:09:36,16.00,,,,,
116,05/04/2023 20:14:36,15.78,,,,,
117,05/04/2023 20:19:36,15.74,,,,,
118,05/04/2023 20:24:36,15.57,,,,,
119,05/04/2023 20:29:36,15.40,,,,,
120,05/04/2023 20:34:36,15.36,,,,,
121,05/04/2023 20:39:36,15.31,,,,,
122,05/04/2023 20:44:36,15.27,,,,,
123,05/04/2023 20:49:36,15.18,,,,,
124,05/04/2023 20:54:36,15.23,,,,,
125,05/04/2023 20:59:36,15.23,,,,,
126,05/04/2023 21:04:36,15.18,,,,,
127,05/04/2023 21:09:36,15.10,,,,,
128,05/04/2023 21:14:36,15.06,,,,,
129,05/04/2023 21:19:36,15.01,,,,,
130,05/04/2023 21:24:36,14.88,,,,,
131,05/04/2023 21:29:36,14.84,,,,,
132,05/04/2023 21:34:36,14.75,,,,,
133,05/04/2023 21:39:36,14.71,,,,,
134,05/04/2023 21:44:36,14.63,,,,,
135,05/04/2023 21:49:36,14.54,,,,,
136,05/04/2023 21:54:36,14.45,,,,,
137,05/04/2023 21:59:36,14.28,,,,,
138,05/04/2023 22:04:36,14.20,,,,,
139,05/04/2023 22:09:36,13.98,,,,,
140,05/04/2023 22:14:36,13.85,,,,,
141,05/04/2023 22:19:36,13.73,,,,,
142,05/04/2023 22:24:36,13.64,,,,,
143,05/04/2023 22:29:36,13.43,,,,,
144,05/04/2023 22:34:36,13.34,,,,,
145,05/04/2023 22:39:36,13.25,,,,,
146,05/04/2023 22:44:36,13.17,,,,,
147,05/04/2023 22:49:36,13.12,,,,,
148,05/04/2023 22:54:36,13.08,,,,,
149,05/04/2023 22:59:36,13.04,,,,,
150,05/04/2023 23:04:36,12.91,,,,,
151,05/04/2023 23:09:36,12.91,,,,,
152,05/04/2023 23:14:36,12.87,,,,,
153,05/04/2023 23:19:36,12.87,,,,,
154,05/04/2023 23:24:36,12.82,,,,,
155,05/04/2023 23:29:36,12.87,,,,,
156,05/04/2023 23:34:36,12.78,,,,,
157,05/04/2023 23:39:36,12.82,,,,,
158,05/04/2023 23:44:36,12.87,,,,,
159,05/04/2023 23:49:36,12.87,,,,,
160,05/04/2023 23:54:36,12.82,,,,,
161,05/04/2023 23:59:36,12.82,,,,,
162,05/05/2023 00:04:36,12.78,,,,,
163,05/05/2023 00:09:36,12.82,,,,,
164,05/05/2023 00:14:36,12.78,,,,,
165,05/05/2023 00:19:36,12.74,,,,,
166,05/05/2023 00:24:36,12.61,,,,,
167,05/05/2023 00:29:36,12.57,,,,,
168,05/05/2023 00:34:36,12.57,,,,,
169,05/05/2023 00:39:36,12.48,,,,,
170,05/05/2023 00:44:36,12.48,,,,,
171,05/05/2023 00:49:36,12.35,,,,,
172,05/05/2023 00:54:36,12.31,,,,,
173,05/05/2023 00:59:36,12.22,,,,,
