#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,06/09/2022 08:57:21,29.00,,
2,06/09/2022 09:02:21,28.35,,
3,06/09/2022 09:07:21,27.88,,
4,06/09/2022 09:12:21,27.54,,
5,06/09/2022 09:17:21,27.50,,
6,06/09/2022 09:22:21,27.54,,
7,06/09/2022 09:27:21,27.71,,
8,06/09/2022 09:32:21,27.93,,
9,06/09/2022 09:37:21,28.18,,
10,06/09/2022 09:42:21,28.40,,
11,06/09/2022 09:47:21,28.65,,
12,06/09/2022 09:52:21,28.87,,
13,06/09/2022 09:57:21,29.26,,
14,06/09/2022 10:02:21,29.17,,
15,06/09/2022 10:07:21,29.17,,
16,06/09/2022 10:12:21,29.30,,
17,06/09/2022 10:17:21,29.60,,
18,06/09/2022 10:22:21,29.81,,
19,06/09/2022 10:27:21,30.07,,
20,06/09/2022 10:32:21,30.11,,
21,06/09/2022 10:37:21,30.16,,
22,06/09/2022 10:42:21,30.33,,
23,06/09/2022 10:47:21,30.50,,
24,06/09/2022 10:52:21,30.63,,
25,06/09/2022 10:57:21,30.71,,
26,06/09/2022 11:02:21,30.84,,
27,06/09/2022 11:07:21,31.01,,
28,06/09/2022 11:12:21,31.19,,
29,06/09/2022 11:17:21,31.57,,
30,06/09/2022 11:22:21,31.83,,
31,06/09/2022 11:27:21,31.87,,
32,06/09/2022 11:32:21,32.17,,
33,06/09/2022 11:37:21,32.30,,
34,06/09/2022 11:42:21,32.52,,
35,06/09/2022 11:47:21,32.64,,
36,06/09/2022 11:52:21,32.86,,
37,06/09/2022 11:57:21,33.03,,
38,06/09/2022 12:02:21,33.29,,
39,06/09/2022 12:07:21,33.46,,
40,06/09/2022 12:12:21,33.72,,
41,06/09/2022 12:17:21,33.80,,
42,06/09/2022 12:22:21,34.15,,
43,06/09/2022 12:27:21,34.19,,
44,06/09/2022 12:32:21,34.15,,
45,06/09/2022 12:37:21,34.06,,
46,06/09/2022 12:42:21,34.23,,
47,06/09/2022 12:47:21,34.49,,
48,06/09/2022 12:52:21,34.75,,
49,06/09/2022 12:57:21,34.96,,
50,06/09/2022 13:02:21,35.18,,
51,06/09/2022 13:07:21,35.30,,
52,06/09/2022 13:12:21,35.43,,
53,06/09/2022 13:17:21,35.65,,
54,06/09/2022 13:22:21,35.99,,
55,06/09/2022 13:27:21,36.29,,
56,06/09/2022 13:32:21,36.68,,
57,06/09/2022 13:37:21,37.32,,
