#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
1,04/12/2022 08:03:53,9.95,,,,
2,04/12/2022 08:08:53,9.26,,,,
3,04/12/2022 08:13:53,8.96,,,,
4,04/12/2022 08:18:53,9.14,,,,
5,04/12/2022 08:23:53,9.35,,,,
6,04/12/2022 08:28:53,9.44,,,,
7,04/12/2022 08:33:53,9.56,,,,
8,04/12/2022 08:38:53,9.95,,,,
9,04/12/2022 08:43:53,10.04,,,,
10,04/12/2022 08:48:53,10.21,,,,
11,04/12/2022 08:53:53,10.21,,,,
12,04/12/2022 08:58:53,10.51,,,,
13,04/12/2022 09:03:53,10.81,,,,
14,04/12/2022 09:08:53,11.28,,,,
15,04/12/2022 09:13:53,11.92,,,,
16,04/12/2022 09:18:53,12.35,,,,
17,04/12/2022 09:23:53,12.91,,,,
18,04/12/2022 09:28:53,13.34,,,,
19,04/12/2022 09:33:53,13.94,,,,
20,04/12/2022 09:38:53,14.71,,,,
21,04/12/2022 09:43:53,15.44,,,,
22,04/12/2022 09:48:53,15.78,,,,
23,04/12/2022 09:53:53,16.64,,,,
24,04/12/2022 09:58:53,16.73,,,,
25,04/12/2022 10:03:53,17.03,,,,
26,04/12/2022 10:08:53,17.63,,,,
27,04/12/2022 10:13:53,18.40,,,,
28,04/12/2022 10:18:53,19.39,,,,
29,04/12/2022 10:23:53,19.13,,,,
30,04/12/2022 10:28:53,19.56,,,,
31,04/12/2022 10:33:53,19.60,,,,
32,04/12/2022 10:38:53,19.35,,,,
33,04/12/2022 10:43:53,20.03,,,,
34,04/12/2022 10:48:53,20.42,,,,
35,04/12/2022 10:53:53,22.22,,,,
36,04/12/2022 10:58:53,21.19,,,,
37,04/12/2022 11:03:53,20.89,,,,
38,04/12/2022 11:08:53,22.01,,,,
39,04/12/2022 11:13:53,20.80,,,,
40,04/12/2022 11:18:53,19.77,,,,
41,04/12/2022 11:23:53,20.12,,,,
42,04/12/2022 11:28:53,20.72,,,,
43,04/12/2022 11:33:53,22.43,,,,
44,04/12/2022 11:38:53,22.26,,,,
45,04/12/2022 11:43:53,22.05,,,,
46,04/12/2022 11:48:53,21.70,,,,
47,04/12/2022 11:53:53,21.45,,,,
48,04/12/2022 11:58:53,22.43,,,,
49,04/12/2022 12:03:53,21.66,,,,
50,04/12/2022 12:08:53,20.80,,,,
51,04/12/2022 12:13:53,20.29,,,,
52,04/12/2022 12:18:53,20.98,,,,
53,04/12/2022 12:23:53,20.68,,,,
54,04/12/2022 12:28:53,20.12,,,,
55,04/12/2022 12:33:53,20.76,,,,
