#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/24/2023 10:37:20,26.98,,,,,
2,06/24/2023 10:42:20,26.72,,,,,
3,06/24/2023 10:47:20,26.51,,,,,
4,06/24/2023 10:52:20,26.30,,,,,
5,06/24/2023 10:57:20,26.25,,,,,
6,06/24/2023 11:02:20,26.25,,,,,
7,06/24/2023 11:07:20,26.30,,,,,
8,06/24/2023 11:12:20,26.34,,,,,
9,06/24/2023 11:17:20,26.51,,,,,
10,06/24/2023 11:22:20,26.55,,,,,
11,06/24/2023 11:27:20,26.72,,,,,
12,06/24/2023 11:32:20,26.85,,,,,
13,06/24/2023 11:37:20,26.98,,,,,
14,06/24/2023 11:42:20,27.20,,,,,
15,06/24/2023 11:47:20,27.28,,,,,
16,06/24/2023 11:52:20,27.45,,,,,
17,06/24/2023 11:57:20,27.54,,,,,
18,06/24/2023 12:02:20,27.63,,,,,
19,06/24/2023 12:07:20,27.67,,,,,
20,06/24/2023 12:12:20,27.88,,,,,
21,06/24/2023 12:17:20,28.05,,,,,
22,06/24/2023 12:22:20,28.10,,,,,
23,06/24/2023 12:27:20,28.01,,,,,
24,06/24/2023 12:32:20,27.84,,,,,
25,06/24/2023 12:37:20,27.71,,,,,
26,06/24/2023 12:42:20,27.75,,,,,
27,06/24/2023 12:47:20,27.71,,,,,
28,06/24/2023 12:52:20,27.75,,,,,
29,06/24/2023 12:57:20,27.75,,,,,
30,06/24/2023 13:02:20,27.84,,,,,
31,06/24/2023 13:07:20,28.01,,,,,
32,06/24/2023 13:12:20,28.14,,,,,
33,06/24/2023 13:17:20,28.40,,,,,
34,06/24/2023 13:22:20,28.61,,,,,
35,06/24/2023 13:27:20,28.70,,,,,
36,06/24/2023 13:32:20,28.78,,,,,
37,06/24/2023 13:37:20,28.91,,,,,
38,06/24/2023 13:42:20,29.00,,,,,
39,06/24/2023 13:47:20,29.13,,,,,
40,06/24/2023 13:52:20,29.21,,,,,
41,06/24/2023 13:57:20,29.38,,,,,
42,06/24/2023 14:02:20,29.60,,,,,
43,06/24/2023 14:07:20,29.98,,,,,
44,06/24/2023 14:12:20,30.24,,,,,
45,06/24/2023 14:17:20,30.67,,,,,
46,06/24/2023 14:22:20,31.01,,,,,
47,06/24/2023 14:27:20,31.27,,,,,
48,06/24/2023 14:32:20,31.61,,,,,
49,06/24/2023 14:37:20,32.04,,,,,
50,06/24/2023 14:42:20,32.43,,,,,
51,06/24/2023 14:47:20,32.60,,,,,
52,06/24/2023 14:52:20,32.99,,,,,
53,06/24/2023 14:57:20,33.25,,,,,
54,06/24/2023 15:02:20,33.63,,,,,
55,06/24/2023 15:07:20,33.97,,,,,
56,06/24/2023 15:12:20,34.27,,,,,
57,06/24/2023 15:17:20,34.57,,,,,
58,06/24/2023 15:22:20,34.83,,,,,
59,06/24/2023 15:27:20,35.18,,,,,
60,06/24/2023 15:32:20,35.39,,,,,
61,06/24/2023 15:37:20,35.78,,,,,
62,06/24/2023 15:42:20,36.16,,,,,
63,06/24/2023 15:47:20,36.42,,,,,
64,06/24/2023 15:52:20,36.38,,,,,
65,06/24/2023 15:57:20,36.55,,,,,
66,06/24/2023 16:02:20,36.63,,,,,
67,06/24/2023 16:07:20,36.98,,,,,
68,06/24/2023 16:12:20,37.41,,,,,
69,06/24/2023 16:17:20,37.75,,,,,
70,06/24/2023 16:22:20,37.96,,,,,
71,06/24/2023 16:27:20,38.05,,,,,
72,06/24/2023 16:32:20,38.18,,,,,
73,06/24/2023 16:37:20,38.26,,,,,
74,06/24/2023 16:42:20,38.44,,,,,
75,06/24/2023 16:47:20,38.48,,,,,
76,06/24/2023 16:52:20,38.61,,,,,
77,06/24/2023 16:57:20,38.61,,,,,
78,06/24/2023 17:02:20,38.86,,,,,
79,06/24/2023 17:07:20,38.82,,,,,
80,06/24/2023 17:12:20,38.91,,,,,
81,06/24/2023 17:17:20,38.65,,,,,
82,06/24/2023 17:22:20,38.52,,,,,
83,06/24/2023 17:27:20,38.09,,,,,
84,06/24/2023 17:32:20,38.09,,,,,
85,06/24/2023 17:37:20,38.01,,,,,
86,06/24/2023 17:42:20,37.66,,,,,
87,06/24/2023 17:47:20,37.58,,,,,
88,06/24/2023 17:52:20,37.58,,,,,
89,06/24/2023 17:57:20,37.45,,,,,
90,06/24/2023 18:02:20,37.23,,,,,
91,06/24/2023 18:07:20,36.93,,,,,
92,06/24/2023 18:12:20,37.06,,,,,
93,06/24/2023 18:17:20,37.06,,,,,
94,06/24/2023 18:22:20,36.76,,,,,
95,06/24/2023 18:27:20,36.46,,,,,
96,06/24/2023 18:32:20,36.29,,,,,
97,06/24/2023 18:37:20,36.12,,,,,
98,06/24/2023 18:42:20,35.69,,,,,
99,06/24/2023 18:47:20,35.60,,,,,
100,06/24/2023 18:52:20,35.30,,,,,
101,06/24/2023 18:57:20,35.00,,,,,
102,06/24/2023 19:02:20,34.75,,,,,
103,06/24/2023 19:07:20,34.57,,,,,
104,06/24/2023 19:12:20,34.15,,,,,
105,06/24/2023 19:17:20,33.89,,,,,
106,06/24/2023 19:22:20,33.46,,,,,
107,06/24/2023 19:27:20,33.03,,,,,
108,06/24/2023 19:32:20,32.60,,,,,
109,06/24/2023 19:37:20,32.09,,,,,
110,06/24/2023 19:42:20,31.49,,,,,
111,06/24/2023 19:47:20,30.84,,,,,
112,06/24/2023 19:52:20,30.11,,,,,
113,06/24/2023 19:57:20,29.51,,,,,
114,06/24/2023 20:02:20,28.83,,,,,
115,06/24/2023 20:07:20,28.14,,,,,
116,06/24/2023 20:12:20,27.54,,,,,
117,06/24/2023 20:17:20,26.90,,,,,
118,06/24/2023 20:22:20,25.99,,,,,
119,06/24/2023 20:27:20,25.22,,,,,
120,06/24/2023 20:32:20,24.41,,,,,
121,06/24/2023 20:37:20,23.64,,,,,
122,06/24/2023 20:42:20,22.91,,,,,
123,06/24/2023 20:47:20,22.26,,,,,
124,06/24/2023 20:52:20,21.66,,,,,
125,06/24/2023 20:57:20,21.19,,,,,
126,06/24/2023 21:02:20,20.68,,,,,
127,06/24/2023 21:07:20,20.25,,,,,
128,06/24/2023 21:12:20,19.95,,,,,
129,06/24/2023 21:17:20,19.60,,,,,
130,06/24/2023 21:22:20,19.26,,,,,
131,06/24/2023 21:27:20,19.05,,,,,
132,06/24/2023 21:32:20,18.74,,,,,
133,06/24/2023 21:37:20,18.53,,,,,
134,06/24/2023 21:42:20,18.32,,,,,
135,06/24/2023 21:47:20,18.14,,,,,
136,06/24/2023 21:52:20,17.93,,,,,
137,06/24/2023 21:57:20,17.72,,,,,
138,06/24/2023 22:02:20,17.54,,,,,
139,06/24/2023 22:07:20,17.41,,,,,
140,06/24/2023 22:12:20,17.24,,,,,
141,06/24/2023 22:17:20,17.03,,,,,
142,06/24/2023 22:22:20,16.94,,,,,
143,06/24/2023 22:27:20,16.77,,,,,
144,06/24/2023 22:32:20,16.64,,,,,
145,06/24/2023 22:37:20,16.51,,,,,
146,06/24/2023 22:42:20,16.51,,,,,
147,06/24/2023 22:47:20,16.39,,,,,
148,06/24/2023 22:52:20,16.21,,,,,
149,06/24/2023 22:57:20,16.13,,,,,
150,06/24/2023 23:02:20,16.04,,,,,
151,06/24/2023 23:07:20,15.96,,,,,
152,06/24/2023 23:12:20,15.96,,,,,
153,06/24/2023 23:17:20,15.87,,,,,
154,06/24/2023 23:22:20,15.78,,,,,
155,06/24/2023 23:27:20,15.70,,,,,
156,06/24/2023 23:32:20,15.70,,,,,
157,06/24/2023 23:37:20,15.57,,,,,
158,06/24/2023 23:42:20,15.57,,,,,
