#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/24/2023 10:36:00,28.23,,,,,
2,06/24/2023 10:41:00,27.41,,,,,
3,06/24/2023 10:46:00,27.07,,,,,
4,06/24/2023 10:51:00,26.77,,,,,
5,06/24/2023 10:56:00,26.60,,,,,
6,06/24/2023 11:01:00,26.77,,,,,
7,06/24/2023 11:06:00,26.90,,,,,
8,06/24/2023 11:11:00,27.28,,,,,
9,06/24/2023 11:16:00,27.50,,,,,
10,06/24/2023 11:21:00,27.28,,,,,
11,06/24/2023 11:26:00,27.32,,,,,
12,06/24/2023 11:31:00,27.45,,,,,
13,06/24/2023 11:36:00,27.71,,,,,
14,06/24/2023 11:41:00,27.63,,,,,
15,06/24/2023 11:46:00,28.01,,,,,
16,06/24/2023 11:51:00,27.88,,,,,
17,06/24/2023 11:56:00,27.67,,,,,
18,06/24/2023 12:01:00,27.54,,,,,
19,06/24/2023 12:06:00,28.05,,,,,
20,06/24/2023 12:11:00,28.27,,,,,
21,06/24/2023 12:16:00,28.57,,,,,
22,06/24/2023 12:21:00,26.68,,,,,
23,06/24/2023 12:26:00,25.99,,,,,
24,06/24/2023 12:31:00,26.55,,,,,
25,06/24/2023 12:36:00,27.11,,,,,
26,06/24/2023 12:41:00,27.93,,,,,
27,06/24/2023 12:46:00,27.58,,,,,
28,06/24/2023 12:51:00,27.20,,,,,
29,06/24/2023 12:56:00,27.41,,,,,
30,06/24/2023 13:01:00,27.58,,,,,
31,06/24/2023 13:06:00,28.35,,,,,
32,06/24/2023 13:11:00,28.44,,,,,
33,06/24/2023 13:16:00,28.70,,,,,
34,06/24/2023 13:21:00,29.08,,,,,
35,06/24/2023 13:26:00,28.78,,,,,
36,06/24/2023 13:31:00,28.87,,,,,
37,06/24/2023 13:36:00,29.00,,,,,
38,06/24/2023 13:41:00,29.21,,,,,
39,06/24/2023 13:46:00,29.60,,,,,
40,06/24/2023 13:51:00,29.81,,,,,
41,06/24/2023 13:56:00,29.77,,,,,
42,06/24/2023 14:01:00,30.16,,,,,
43,06/24/2023 14:06:00,30.50,,,,,
44,06/24/2023 14:11:00,30.67,,,,,
45,06/24/2023 14:16:00,30.89,,,,,
46,06/24/2023 14:21:00,31.14,,,,,
47,06/24/2023 14:26:00,31.36,,,,,
48,06/24/2023 14:31:00,31.57,,,,,
49,06/24/2023 14:36:00,31.96,,,,,
50,06/24/2023 14:41:00,32.39,,,,,
51,06/24/2023 14:46:00,31.92,,,,,
