#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,Stopped,End of File
1,06/02/2022 08:41:27,25.91,,,
2,06/02/2022 08:46:27,24.75,,,
3,06/02/2022 08:51:27,24.06,,,
4,06/02/2022 08:56:27,23.72,,,
5,06/02/2022 09:01:27,23.42,,,
6,06/02/2022 09:06:27,23.29,,,
7,06/02/2022 09:11:27,23.12,,,
8,06/02/2022 09:16:27,23.25,,,
9,06/02/2022 09:21:27,23.51,,,
10,06/02/2022 09:26:27,23.85,,,
11,06/02/2022 09:31:27,24.06,,,
12,06/02/2022 09:36:27,24.41,,,
13,06/02/2022 09:41:27,24.71,,,
14,06/02/2022 09:46:27,24.97,,,
15,06/02/2022 09:51:27,25.18,,,
16,06/02/2022 09:56:27,25.39,,,
17,06/02/2022 10:01:27,25.57,,,
18,06/02/2022 10:06:27,25.95,,,
19,06/02/2022 10:11:27,26.17,,,
20,06/02/2022 10:16:27,26.51,,,
21,06/02/2022 10:21:27,26.85,,,
22,06/02/2022 10:26:27,27.11,,,
23,06/02/2022 10:31:27,27.20,,,
24,06/02/2022 10:36:27,27.50,,,
25,06/02/2022 10:41:27,27.93,,,
26,06/02/2022 10:46:27,28.35,,,
27,06/02/2022 10:51:27,28.61,,,
28,06/02/2022 10:56:27,28.95,,,
29,06/02/2022 11:01:27,29.08,,,
30,06/02/2022 11:06:27,29.56,,,
31,06/02/2022 11:11:27,29.98,,,
32,06/02/2022 11:16:27,30.24,,,
33,06/02/2022 11:21:27,30.50,,,
34,06/02/2022 11:26:27,30.07,,,
35,06/02/2022 11:31:27,30.28,,,
36,06/02/2022 11:36:27,30.59,,,
37,06/02/2022 11:41:27,30.84,,,
38,06/02/2022 11:46:27,31.44,,,
39,06/02/2022 11:51:27,31.57,,,
40,06/02/2022 11:56:27,31.96,,,
41,06/02/2022 12:01:27,31.87,,,
42,06/02/2022 12:06:27,31.87,,,
43,06/02/2022 12:11:27,31.87,,,
44,06/02/2022 12:16:27,32.13,,,
45,06/02/2022 12:21:27,32.47,,,
46,06/02/2022 12:26:27,32.73,,,
47,06/02/2022 12:31:27,32.56,,,
48,06/02/2022 12:36:27,32.69,,,
49,06/02/2022 12:41:27,32.99,,,
50,06/02/2022 12:46:27,33.03,,,
51,06/02/2022 12:51:27,33.16,,,
52,06/02/2022 12:56:27,33.03,,,
53,06/02/2022 13:01:27,33.12,,,
54,06/02/2022 13:06:27,33.37,,,
55,06/02/2022 13:11:27,33.50,,,
56,06/02/2022 13:16:27,33.67,,,
57,06/02/2022 13:21:27,33.59,,,
58,06/02/2022 13:26:27,33.97,,,
59,06/02/2022 13:31:27,34.53,,,
60,06/02/2022 13:36:27,34.83,,,
61,06/02/2022 13:41:27,35.05,,,
62,06/02/2022 13:46:27,35.26,,,
63,06/02/2022 13:51:27,35.52,,,
64,06/02/2022 13:56:27,35.56,,,
65,06/02/2022 14:01:27,35.18,,,
66,06/02/2022 14:06:27,34.92,,,
67,06/02/2022 14:11:27,34.45,,,
68,06/02/2022 14:16:27,33.89,,,
69,06/02/2022 14:21:27,33.55,,,
70,06/02/2022 14:26:27,33.29,,,
71,06/02/2022 14:31:27,33.12,,,
72,06/02/2022 14:36:27,33.16,,,
73,06/02/2022 14:41:27,33.25,,,
74,06/02/2022 14:46:27,33.16,,,
75,06/02/2022 14:51:27,33.25,,,
76,06/02/2022 14:56:27,33.25,,,
77,06/02/2022 15:01:27,34.10,,,
78,06/02/2022 15:06:27,34.75,,,
79,06/02/2022 15:11:27,35.22,,,
80,06/02/2022 15:16:27,35.90,,,
81,06/02/2022 15:21:27,36.76,,,
82,06/02/2022 15:26:27,37.28,,,
83,06/02/2022 15:31:27,36.93,,,
84,06/02/2022 15:36:27,36.63,,,
85,06/02/2022 15:41:27,36.38,,,
86,06/02/2022 15:46:27,36.72,,,
87,06/02/2022 15:51:27,37.11,,,
88,06/02/2022 15:56:27,37.28,,,
89,06/02/2022 16:01:27,37.28,,,
90,06/02/2022 16:06:27,37.62,,,
91,06/02/2022 16:11:27,37.75,,,
92,06/02/2022 16:16:27,37.49,,,
93,06/02/2022 16:21:27,36.93,,,
94,06/02/2022 16:26:27,36.55,,,
95,06/02/2022 16:31:27,36.72,,,
96,06/02/2022 16:36:27,36.59,,,
97,06/02/2022 16:41:27,36.42,,,
98,06/02/2022 16:46:27,36.08,,,
99,06/02/2022 16:51:27,35.69,,,
100,06/02/2022 16:56:27,35.82,,,
101,06/02/2022 17:01:27,36.03,,,
102,06/02/2022 17:06:27,35.90,,,
103,06/02/2022 17:11:27,35.52,,,
104,06/02/2022 17:16:27,35.52,,,
105,06/02/2022 17:21:27,35.90,,,
106,06/02/2022 17:26:27,35.82,,,
107,06/02/2022 17:31:27,35.99,,,
108,06/02/2022 17:36:27,36.29,,,
109,06/02/2022 17:41:27,36.29,,,
110,06/02/2022 17:46:27,36.63,,,
111,06/02/2022 17:51:27,36.85,,,
112,06/02/2022 17:56:27,36.16,,,
113,06/02/2022 18:01:27,36.08,,,
114,06/02/2022 18:06:27,35.86,,,
115,06/02/2022 18:11:27,36.21,,,
116,06/02/2022 18:16:27,36.16,,,
117,06/02/2022 18:21:27,35.99,,,
118,06/02/2022 18:26:27,35.56,,,
119,06/02/2022 18:31:27,35.48,,,
120,06/02/2022 18:36:27,35.26,,,
121,06/02/2022 18:41:27,35.39,,,
122,06/02/2022 18:46:27,35.13,,,
123,06/02/2022 18:51:27,35.52,,,
124,06/02/2022 18:56:27,35.09,,,
125,06/02/2022 19:01:27,35.13,,,
126,06/02/2022 19:06:27,34.88,,,
127,06/02/2022 19:11:27,34.15,,,
128,06/02/2022 19:16:27,33.07,,,
129,06/02/2022 19:21:27,32.43,,,
130,06/02/2022 19:26:27,32.00,,,
131,06/02/2022 19:31:27,31.40,,,
132,06/02/2022 19:36:27,30.76,,,
133,06/02/2022 19:41:27,30.46,,,
134,06/02/2022 19:46:27,30.24,,,
135,06/02/2022 19:51:27,30.07,,,
136,06/02/2022 19:56:27,29.98,,,
137,06/02/2022 20:01:27,29.68,,,
138,06/02/2022 20:06:27,29.51,,,
139,06/02/2022 20:11:27,29.26,,,
140,06/02/2022 20:16:27,28.74,,,
141,06/02/2022 20:21:27,28.14,,,
142,06/02/2022 20:26:27,27.50,,,
143,06/02/2022 20:31:27,26.81,,,
144,06/02/2022 20:36:27,26.08,,,
145,06/02/2022 20:41:27,25.57,,,
146,06/02/2022 20:46:27,24.97,,,
147,06/02/2022 20:51:27,24.41,,,
148,06/02/2022 20:56:27,23.94,,,
149,06/02/2022 21:01:27,23.59,,,
150,06/02/2022 21:06:27,23.29,,,
151,06/02/2022 21:11:27,23.03,,,
152,06/02/2022 21:16:27,22.86,,,
153,06/02/2022 21:21:27,22.69,,,
154,06/02/2022 21:26:27,22.52,,,
155,06/02/2022 21:31:27,22.31,,,
156,06/02/2022 21:36:27,22.05,,,
157,06/02/2022 21:41:27,21.79,,,
158,06/02/2022 21:46:27,21.62,,,
159,06/02/2022 21:51:27,21.36,,,
160,06/02/2022 21:56:27,21.10,,,
161,06/02/2022 22:01:27,21.02,,,
162,06/02/2022 22:06:27,20.85,,,
163,06/02/2022 22:11:27,20.68,,,
164,06/02/2022 22:16:27,20.63,,,
165,06/02/2022 22:21:27,20.55,,,
166,06/02/2022 22:26:27,20.42,,,
167,06/02/2022 22:31:27,20.33,,,
168,06/02/2022 22:36:27,20.25,,,
169,06/02/2022 22:41:27,20.12,,,
170,06/02/2022 22:46:27,20.03,,,
171,06/02/2022 22:51:27,19.95,,,
172,06/02/2022 22:56:27,19.82,,,
173,06/02/2022 23:01:27,19.69,,,
174,06/02/2022 23:06:27,19.60,,,
175,06/02/2022 23:11:27,19.47,,,
176,06/02/2022 23:16:27,19.39,,,
177,06/02/2022 23:21:27,19.26,,,
178,06/02/2022 23:26:27,19.13,,,
179,06/02/2022 23:31:27,19.00,,,
180,06/02/2022 23:36:27,18.83,,,
181,06/02/2022 23:41:27,18.62,,,
182,06/02/2022 23:46:27,18.44,,,
183,06/02/2022 23:51:27,18.36,,,
184,06/02/2022 23:56:27,18.23,,,
185,06/03/2022 00:01:27,18.14,,,
186,06/03/2022 00:06:27,18.06,,,
187,06/03/2022 00:11:27,17.97,,,
188,06/03/2022 00:16:27,17.89,,,
189,06/03/2022 00:21:27,17.76,,,
190,06/03/2022 00:26:27,17.67,,,
191,06/03/2022 00:31:27,17.59,,,
192,06/03/2022 00:36:27,17.50,,,
193,06/03/2022 00:41:27,17.41,,,
194,06/03/2022 00:46:27,17.29,,,
195,06/03/2022 00:51:27,17.20,,,
196,06/03/2022 00:56:27,17.07,,,
197,06/03/2022 01:01:27,17.03,,,
198,06/03/2022 01:06:27,16.94,,,
199,06/03/2022 01:11:27,16.86,,,
200,06/03/2022 01:16:27,16.86,,,
201,06/03/2022 01:21:27,16.73,,,
202,06/03/2022 01:26:27,16.60,,,
203,06/03/2022 01:31:27,16.51,,,
204,06/03/2022 01:36:27,16.47,,,
205,06/03/2022 01:41:27,16.39,,,
206,06/03/2022 01:46:27,16.39,,,
207,06/03/2022 01:51:27,16.39,,,
208,06/03/2022 01:56:27,16.30,,,
209,06/03/2022 02:01:27,16.26,,,
210,06/03/2022 02:06:27,16.21,,,
211,06/03/2022 02:11:27,16.08,,,
212,06/03/2022 02:16:27,16.00,,,
213,06/03/2022 02:21:27,16.00,,,
214,06/03/2022 02:26:27,15.91,,,
215,06/03/2022 02:31:27,15.91,,,
216,06/03/2022 02:36:27,15.87,,,
217,06/03/2022 02:41:27,15.83,,,
218,06/03/2022 02:46:27,15.78,,,
219,06/03/2022 02:51:27,15.70,,,
220,06/03/2022 02:56:27,15.66,,,
221,06/03/2022 03:01:27,15.61,,,
222,06/03/2022 03:06:27,15.57,,,
223,06/03/2022 03:11:27,15.66,,,
224,06/03/2022 03:16:27,15.61,,,
225,06/03/2022 03:21:27,15.61,,,
226,06/03/2022 03:26:27,15.61,,,
227,06/03/2022 03:31:27,15.57,,,
228,06/03/2022 03:36:27,15.53,,,
229,06/03/2022 03:41:27,15.44,,,
230,06/03/2022 03:46:27,15.53,,,
231,06/03/2022 03:51:27,15.48,,,
232,06/03/2022 03:56:27,15.36,,,
233,06/03/2022 04:01:27,15.36,,,
234,06/03/2022 04:06:27,15.40,,,
235,06/03/2022 04:11:27,15.31,,,
236,06/03/2022 04:16:27,15.31,,,
237,06/03/2022 04:21:27,15.31,,,
238,06/03/2022 04:26:27,15.27,,,
239,06/03/2022 04:31:27,15.27,,,
240,06/03/2022 04:36:27,15.31,,,
241,06/03/2022 04:41:27,15.31,,,
242,06/03/2022 04:46:27,15.31,,,
243,06/03/2022 04:51:27,15.31,,,
244,06/03/2022 04:56:27,15.27,,,
245,06/03/2022 05:01:27,15.27,,,
246,06/03/2022 05:06:27,15.23,,,
247,06/03/2022 05:11:27,15.23,,,
248,06/03/2022 05:16:27,15.18,,,
249,06/03/2022 05:21:27,15.14,,,
250,06/03/2022 05:26:27,15.10,,,
251,06/03/2022 05:31:27,15.06,,,
252,06/03/2022 05:36:27,15.06,,,
253,06/03/2022 05:41:27,15.06,,,
254,06/03/2022 05:46:27,15.01,,,
255,06/03/2022 05:51:27,14.97,,,
256,06/03/2022 05:56:27,14.93,,,
257,06/03/2022 06:01:27,14.93,,,
258,06/03/2022 06:06:27,14.84,,,
259,06/03/2022 06:11:27,14.84,,,
260,06/03/2022 06:16:27,14.84,,,
261,06/03/2022 06:21:27,14.84,,,
262,06/03/2022 06:26:27,14.88,,,
263,06/03/2022 06:31:27,14.84,,,
264,06/03/2022 06:36:27,14.93,,,
265,06/03/2022 06:41:27,15.06,,,
266,06/03/2022 06:46:27,15.18,,,
267,06/03/2022 06:51:27,15.40,,,
268,06/03/2022 06:56:27,15.61,,,
269,06/03/2022 07:01:27,15.96,,,
270,06/03/2022 07:06:27,16.17,,,
271,06/03/2022 07:11:27,16.43,,,
272,06/03/2022 07:16:27,16.73,,,
273,06/03/2022 07:21:27,16.99,,,
274,06/03/2022 07:26:27,17.37,,,
275,06/03/2022 07:31:27,17.76,,,
276,06/03/2022 07:36:27,18.10,,,
277,06/03/2022 07:41:27,18.36,,,
278,06/03/2022 07:46:27,18.66,,,
279,06/03/2022 07:51:27,18.96,,,
280,06/03/2022 07:56:27,19.22,,,
281,06/03/2022 08:01:27,19.39,,,
282,06/03/2022 08:06:27,19.65,,,
283,06/03/2022 08:11:27,19.86,,,
284,06/03/2022 08:16:27,20.20,,,
285,06/03/2022 08:21:27,20.63,,,
286,06/03/2022 08:26:27,20.98,,,
287,06/03/2022 08:31:27,21.28,,,
288,06/03/2022 08:36:27,21.49,,,
289,06/03/2022 08:41:27,21.83,,,
290,06/03/2022 08:46:27,21.96,,,
291,06/03/2022 08:51:27,22.26,,,
292,06/03/2022 08:56:27,22.39,,,
293,06/03/2022 09:01:27,22.48,,,
294,06/03/2022 09:06:27,22.78,,,
295,06/03/2022 09:11:27,22.86,,,
296,06/03/2022 09:16:27,23.34,,,
297,06/03/2022 09:21:27,23.68,,,
298,06/03/2022 09:26:27,23.89,,,
299,06/03/2022 09:31:27,24.15,,,
300,06/03/2022 09:36:27,24.54,,,
301,06/03/2022 09:41:27,24.92,,,
302,06/03/2022 09:46:27,24.79,,,
303,06/03/2022 09:51:27,24.88,,,
304,06/03/2022 09:56:27,25.27,,,
305,06/03/2022 10:01:27,25.48,,,
306,06/03/2022 10:06:27,25.82,,,
307,06/03/2022 10:11:27,26.17,,,
308,06/03/2022 10:16:27,26.38,,,
309,06/03/2022 10:21:27,26.64,,,
310,06/03/2022 10:26:27,26.85,,,
311,06/03/2022 10:31:27,27.28,,,
312,06/03/2022 10:36:27,27.63,,,
313,06/03/2022 10:41:27,28.01,,,
314,06/03/2022 10:46:27,28.31,,,
315,06/03/2022 10:51:27,28.27,,,
316,06/03/2022 10:56:27,28.70,,,
317,06/03/2022 11:01:27,28.48,,,
318,06/03/2022 11:06:27,28.78,,,
319,06/03/2022 11:11:27,28.91,,,
320,06/03/2022 11:16:27,29.21,,,
321,06/03/2022 11:21:27,29.43,,,
322,06/03/2022 11:26:27,29.73,,,
323,06/03/2022 11:31:27,30.07,,,
324,06/03/2022 11:36:27,30.50,,,
325,06/03/2022 11:41:27,30.76,,,
326,06/03/2022 11:46:27,31.01,,,
327,06/03/2022 11:51:27,31.10,,,
328,06/03/2022 11:56:27,31.19,,,
329,06/03/2022 12:01:27,31.27,,,
330,06/03/2022 12:06:27,31.57,,,
331,06/03/2022 12:11:27,31.57,,,
332,06/03/2022 12:16:27,31.57,,,
333,06/03/2022 12:21:27,31.61,,,
334,06/03/2022 12:26:27,31.79,,,
335,06/03/2022 12:31:27,32.00,,,
336,06/03/2022 12:36:27,31.87,,,
337,06/03/2022 12:41:27,31.87,,,
338,06/03/2022 12:46:27,31.79,,,
339,06/03/2022 12:51:27,31.83,,,
340,06/03/2022 12:56:27,31.49,,,
341,06/03/2022 13:01:27,31.61,,,
342,06/03/2022 13:06:27,31.79,,,
343,06/03/2022 13:11:27,31.92,,,
344,06/03/2022 13:16:27,31.70,,,
345,06/03/2022 13:21:27,31.27,,,
346,06/03/2022 13:26:27,31.10,,,
347,06/03/2022 13:31:27,30.76,,,
348,06/03/2022 13:36:27,30.24,,,
349,06/03/2022 13:41:27,29.94,,,
350,06/03/2022 13:46:27,29.81,,,
351,06/03/2022 13:51:27,29.73,,,
352,06/03/2022 13:56:27,29.56,,,
353,06/03/2022 14:01:27,29.73,,,
354,06/03/2022 14:06:27,29.73,,,
355,06/03/2022 14:11:27,29.56,,,
356,06/03/2022 14:16:27,29.17,,,
357,06/03/2022 14:21:27,28.74,,,
358,06/03/2022 14:26:27,29.04,,,
359,06/03/2022 14:31:27,29.30,,,
360,06/03/2022 14:36:27,29.21,,,
361,06/03/2022 14:41:27,29.34,,,
362,06/03/2022 14:46:27,29.08,,,
363,06/03/2022 14:51:27,29.00,,,
364,06/03/2022 14:56:27,29.00,,,
365,06/03/2022 15:01:27,28.83,,,
366,06/03/2022 15:06:27,28.78,,,
367,06/03/2022 15:11:27,28.40,,,
368,06/03/2022 15:16:27,28.01,,,
369,06/03/2022 15:21:27,27.88,,,
370,06/03/2022 15:26:27,27.97,,,
371,06/03/2022 15:31:27,27.97,,,
372,06/03/2022 15:36:27,28.01,,,
373,06/03/2022 15:41:27,28.01,,,
374,06/03/2022 15:46:27,28.01,,,
375,06/03/2022 15:51:27,28.05,,,
376,06/03/2022 15:56:27,28.40,,,
377,06/03/2022 16:01:27,28.61,,,
378,06/03/2022 16:06:27,28.57,,,
379,06/03/2022 16:11:27,28.70,,,
380,06/03/2022 16:16:27,28.70,,,
381,06/03/2022 16:21:27,28.95,,,
382,06/03/2022 16:26:27,29.00,,,
383,06/03/2022 16:31:27,28.78,,,
384,06/03/2022 16:36:27,28.65,,,
