#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
1,04/19/2022 10:22:19,21.53,,,,
2,04/19/2022 10:27:19,22.01,,,,
3,04/19/2022 10:32:19,20.76,,,,
4,04/19/2022 10:37:19,19.90,,,,
5,04/19/2022 10:42:19,19.60,,,,
6,04/19/2022 10:47:19,19.95,,,,
7,04/19/2022 10:52:19,20.46,,,,
8,04/19/2022 10:57:19,20.50,,,,
9,04/19/2022 11:02:19,21.32,,,,
10,04/19/2022 11:07:19,21.32,,,,
11,04/19/2022 11:12:19,21.45,,,,
12,04/19/2022 11:17:19,20.93,,,,
13,04/19/2022 11:22:19,21.75,,,,
14,04/19/2022 11:27:19,21.83,,,,
15,04/19/2022 11:32:19,21.79,,,,
16,04/19/2022 11:37:19,22.13,,,,
17,04/19/2022 11:42:19,22.82,,,,
18,04/19/2022 11:47:19,22.56,,,,
19,04/19/2022 11:52:19,22.22,,,,
20,04/19/2022 11:57:19,22.52,,,,
21,04/19/2022 12:02:19,21.70,,,,
22,04/19/2022 12:07:19,22.39,,,,
23,04/19/2022 12:12:19,22.43,,,,
24,04/19/2022 12:17:19,22.31,,,,
25,04/19/2022 12:22:19,22.65,,,,
26,04/19/2022 12:27:19,23.29,,,,
27,04/19/2022 12:32:19,23.08,,,,
28,04/19/2022 12:37:19,23.94,,,,
29,04/19/2022 12:42:19,24.75,,,,
30,04/19/2022 12:47:19,25.78,,,,
31,04/19/2022 12:52:19,25.35,,,,
32,04/19/2022 12:57:19,25.22,,,,
33,04/19/2022 13:02:19,25.14,,,,
34,04/19/2022 13:07:19,24.75,,,,
35,04/19/2022 13:12:19,25.27,,,,
36,04/19/2022 13:17:19,26.08,,,,
37,04/19/2022 13:22:19,27.07,,,,
38,04/19/2022 13:27:19,26.60,,,,
39,04/19/2022 13:32:19,25.69,,,,
40,04/19/2022 13:37:19,26.21,,,,
41,04/19/2022 13:42:19,26.81,,,,
42,04/19/2022 13:47:19,27.54,,,,
43,04/19/2022 13:52:19,27.45,,,,
44,04/19/2022 13:57:19,26.68,,,,
45,04/19/2022 14:02:19,27.97,,,,
46,04/19/2022 14:07:19,27.71,,,,
47,04/19/2022 14:12:19,26.21,,,,
48,04/19/2022 14:17:19,25.69,,,,
49,04/19/2022 14:22:19,24.41,,,,
50,04/19/2022 14:27:19,27.24,,,,
51,04/19/2022 14:32:19,28.87,,,,
52,04/19/2022 14:37:19,29.21,,,,
53,04/19/2022 14:42:19,29.81,,,,
54,04/19/2022 14:47:19,29.56,,,,
55,04/19/2022 14:52:19,29.77,,,,
56,04/19/2022 14:57:19,30.97,,,,
57,04/19/2022 15:02:19,31.23,,,,
58,04/19/2022 15:07:19,30.46,,,,
59,04/19/2022 15:12:19,27.97,,,,
60,04/19/2022 15:17:19,29.60,,,,
61,04/19/2022 15:22:19,30.11,,,,
62,04/19/2022 15:27:19,28.27,,,,
63,04/19/2022 15:32:19,29.77,,,,
64,04/19/2022 15:37:19,30.97,,,,
65,04/19/2022 15:42:19,31.31,,,,
66,04/19/2022 15:47:19,30.97,,,,
67,04/19/2022 15:52:19,31.01,,,,
68,04/19/2022 15:57:19,29.38,,,,
69,04/19/2022 16:02:19,28.57,,,,
70,04/19/2022 16:07:19,29.38,,,,
71,04/19/2022 16:12:19,29.68,,,,
72,04/19/2022 16:17:19,29.38,,,,
73,04/19/2022 16:22:19,29.73,,,,
74,04/19/2022 16:27:19,29.51,,,,
75,04/19/2022 16:32:19,30.28,,,,
76,04/19/2022 16:37:19,30.07,,,,
77,04/19/2022 16:42:19,29.56,,,,
78,04/19/2022 16:47:19,28.95,,,,
79,04/19/2022 16:52:19,28.87,,,,
80,04/19/2022 16:57:19,27.07,,,,
81,04/19/2022 17:02:19,26.55,,,,
82,04/19/2022 17:07:19,26.72,,,,
83,04/19/2022 17:12:19,27.50,,,,
84,04/19/2022 17:17:19,27.71,,,,
85,04/19/2022 17:22:19,27.58,,,,
86,04/19/2022 17:27:19,27.07,,,,
87,04/19/2022 17:32:19,27.54,,,,
88,04/19/2022 17:37:19,27.32,,,,
89,04/19/2022 17:42:19,27.50,,,,
90,04/19/2022 17:47:19,27.32,,,,
91,04/19/2022 17:52:19,27.50,,,,
92,04/19/2022 17:57:19,27.58,,,,
93,04/19/2022 18:02:19,27.41,,,,
94,04/19/2022 18:07:19,27.32,,,,
95,04/19/2022 18:12:19,25.87,,,,
