#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/03/2022 10:38:45,21.23,,,,
2,05/03/2022 10:43:45,20.63,,,,
3,05/03/2022 10:48:45,20.12,,,,
4,05/03/2022 10:53:45,19.99,,,,
5,05/03/2022 10:58:45,20.03,,,,
6,05/03/2022 11:03:45,20.03,,,,
7,05/03/2022 11:08:45,20.33,,,,
8,05/03/2022 11:13:45,20.46,,,,
9,05/03/2022 11:18:45,20.89,,,,
10,05/03/2022 11:23:45,21.10,,,,
11,05/03/2022 11:28:45,21.10,,,,
12,05/03/2022 11:33:45,21.23,,,,
13,05/03/2022 11:38:45,21.49,,,,
14,05/03/2022 11:43:45,21.53,,,,
15,05/03/2022 11:48:45,21.53,,,,
16,05/03/2022 11:53:45,21.66,,,,
17,05/03/2022 11:58:45,21.83,,,,
18,05/03/2022 12:03:45,22.05,,,,
19,05/03/2022 12:08:45,22.18,,,,
20,05/03/2022 12:13:45,22.26,,,,
21,05/03/2022 12:18:45,22.69,,,,
22,05/03/2022 12:23:45,22.56,,,,
23,05/03/2022 12:28:45,22.56,,,,
24,05/03/2022 12:33:45,22.65,,,,
25,05/03/2022 12:38:45,22.78,,,,
26,05/03/2022 12:43:45,22.86,,,,
27,05/03/2022 12:48:45,23.08,,,,
28,05/03/2022 12:53:45,23.38,,,,
29,05/03/2022 12:58:45,23.38,,,,
30,05/03/2022 13:03:45,23.55,,,,
31,05/03/2022 13:08:45,23.68,,,,
32,05/03/2022 13:13:45,23.72,,,,
33,05/03/2022 13:18:45,23.85,,,,
34,05/03/2022 13:23:45,24.11,,,,
35,05/03/2022 13:28:45,24.11,,,,
36,05/03/2022 13:33:45,24.41,,,,
37,05/03/2022 13:38:45,24.36,,,,
38,05/03/2022 13:43:45,24.28,,,,
39,05/03/2022 13:48:45,24.45,,,,
40,05/03/2022 13:53:45,24.62,,,,
41,05/03/2022 13:58:45,24.66,,,,
42,05/03/2022 14:03:45,24.97,,,,
43,05/03/2022 14:08:45,25.09,,,,
44,05/03/2022 14:13:45,25.14,,,,
45,05/03/2022 14:18:45,25.18,,,,
46,05/03/2022 14:23:45,25.14,,,,
47,05/03/2022 14:28:45,25.35,,,,
48,05/03/2022 14:33:45,25.57,,,,
49,05/03/2022 14:38:45,25.69,,,,
50,05/03/2022 14:43:45,25.78,,,,
51,05/03/2022 14:48:45,25.87,,,,
52,05/03/2022 14:53:45,26.04,,,,
53,05/03/2022 14:58:45,26.04,,,,
54,05/03/2022 15:03:45,26.08,,,,
55,05/03/2022 15:08:45,26.04,,,,
56,05/03/2022 15:13:45,26.12,,,,
57,05/03/2022 15:18:45,26.21,,,,
58,05/03/2022 15:23:45,26.38,,,,
59,05/03/2022 15:28:45,26.55,,,,
60,05/03/2022 15:33:45,26.64,,,,
61,05/03/2022 15:38:45,26.68,,,,
62,05/03/2022 15:43:45,26.55,,,,
63,05/03/2022 15:48:45,26.72,,,,
64,05/03/2022 15:53:45,26.64,,,,
65,05/03/2022 15:58:45,26.90,,,,
66,05/03/2022 16:03:45,26.85,,,,
67,05/03/2022 16:08:45,26.90,,,,
68,05/03/2022 16:13:45,27.24,,,,
69,05/03/2022 16:18:45,27.32,,,,
70,05/03/2022 16:23:45,27.15,,,,
71,05/03/2022 16:28:45,27.28,,,,
72,05/03/2022 16:33:45,27.41,,,,
73,05/03/2022 16:38:45,27.37,,,,
74,05/03/2022 16:43:45,27.37,,,,
75,05/03/2022 16:48:45,27.41,,,,
76,05/03/2022 16:53:45,27.54,,,,
77,05/03/2022 16:58:45,27.50,,,,
78,05/03/2022 17:03:45,27.50,,,,
79,05/03/2022 17:08:45,27.50,,,,
80,05/03/2022 17:13:45,27.50,,,,
81,05/03/2022 17:18:45,27.67,,,,
82,05/03/2022 17:23:45,27.75,,,,
83,05/03/2022 17:28:45,27.93,,,,
84,05/03/2022 17:33:45,28.05,,,,
85,05/03/2022 17:38:45,28.10,,,,
86,05/03/2022 17:43:45,28.27,,,,
87,05/03/2022 17:48:45,28.23,,,,
88,05/03/2022 17:53:45,28.18,,,,
89,05/03/2022 17:58:45,28.18,,,,
90,05/03/2022 18:03:45,28.10,,,,
91,05/03/2022 18:08:45,28.31,,,,
92,05/03/2022 18:13:45,28.18,,,,
93,05/03/2022 18:18:45,28.27,,,,
94,05/03/2022 18:23:45,28.14,,,,
95,05/03/2022 18:28:45,28.18,,,,
