#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/03/2022 10:39:39,21.45,,,,
2,05/03/2022 10:44:39,21.58,,,,
3,05/03/2022 10:49:39,21.75,,,,
4,05/03/2022 10:54:39,21.92,,,,
5,05/03/2022 10:59:39,22.13,,,,
6,05/03/2022 11:04:39,22.52,,,,
7,05/03/2022 11:09:39,22.82,,,,
8,05/03/2022 11:14:39,23.29,,,,
9,05/03/2022 11:19:39,23.68,,,,
10,05/03/2022 11:24:39,24.06,,,,
11,05/03/2022 11:29:39,24.32,,,,
12,05/03/2022 11:34:39,24.49,,,,
13,05/03/2022 11:39:39,25.01,,,,
14,05/03/2022 11:44:39,24.88,,,,
15,05/03/2022 11:49:39,25.27,,,,
16,05/03/2022 11:54:39,25.48,,,,
17,05/03/2022 11:59:39,25.44,,,,
18,05/03/2022 12:04:39,26.17,,,,
19,05/03/2022 12:09:39,26.38,,,,
20,05/03/2022 12:14:39,26.17,,,,
21,05/03/2022 12:19:39,27.11,,,,
22,05/03/2022 12:24:39,27.15,,,,
23,05/03/2022 12:29:39,27.20,,,,
24,05/03/2022 12:34:39,27.28,,,,
25,05/03/2022 12:39:39,27.37,,,,
26,05/03/2022 12:44:39,27.58,,,,
27,05/03/2022 12:49:39,27.80,,,,
28,05/03/2022 12:54:39,27.97,,,,
29,05/03/2022 12:59:39,28.14,,,,
30,05/03/2022 13:04:39,28.31,,,,
31,05/03/2022 13:09:39,28.05,,,,
32,05/03/2022 13:14:39,28.23,,,,
33,05/03/2022 13:19:39,28.44,,,,
34,05/03/2022 13:24:39,28.83,,,,
35,05/03/2022 13:29:39,29.00,,,,
36,05/03/2022 13:34:39,29.04,,,,
37,05/03/2022 13:39:39,29.04,,,,
38,05/03/2022 13:44:39,29.13,,,,
39,05/03/2022 13:49:39,28.91,,,,
40,05/03/2022 13:54:39,28.87,,,,
41,05/03/2022 13:59:39,29.34,,,,
42,05/03/2022 14:04:39,29.30,,,,
43,05/03/2022 14:09:39,29.00,,,,
44,05/03/2022 14:14:39,29.43,,,,
45,05/03/2022 14:19:39,29.56,,,,
46,05/03/2022 14:24:39,29.90,,,,
47,05/03/2022 14:29:39,30.16,,,,
48,05/03/2022 14:34:39,30.28,,,,
49,05/03/2022 14:39:39,30.28,,,,
50,05/03/2022 14:44:39,30.37,,,,
51,05/03/2022 14:49:39,30.71,,,,
52,05/03/2022 14:54:39,30.71,,,,
53,05/03/2022 14:59:39,30.33,,,,
54,05/03/2022 15:04:39,30.41,,,,
55,05/03/2022 15:09:39,30.50,,,,
56,05/03/2022 15:14:39,30.63,,,,
57,05/03/2022 15:19:39,30.71,,,,
58,05/03/2022 15:24:39,31.01,,,,
59,05/03/2022 15:29:39,31.10,,,,
60,05/03/2022 15:34:39,31.14,,,,
61,05/03/2022 15:39:39,30.89,,,,
62,05/03/2022 15:44:39,30.63,,,,
63,05/03/2022 15:49:39,30.59,,,,
64,05/03/2022 15:54:39,30.63,,,,
65,05/03/2022 15:59:39,30.71,,,,
66,05/03/2022 16:04:39,30.54,,,,
67,05/03/2022 16:09:39,30.89,,,,
68,05/03/2022 16:14:39,30.59,,,,
69,05/03/2022 16:19:39,30.46,,,,
70,05/03/2022 16:24:39,30.67,,,,
71,05/03/2022 16:29:39,31.27,,,,
72,05/03/2022 16:34:39,31.44,,,,
73,05/03/2022 16:39:39,31.14,,,,
74,05/03/2022 16:44:39,30.80,,,,
75,05/03/2022 16:49:39,30.93,,,,
76,05/03/2022 16:54:39,31.06,,,,
77,05/03/2022 16:59:39,30.80,,,,
78,05/03/2022 17:04:39,30.37,,,,
79,05/03/2022 17:09:39,30.33,,,,
80,05/03/2022 17:14:39,30.63,,,,
81,05/03/2022 17:19:39,30.59,,,,
82,05/03/2022 17:24:39,30.84,,,,
83,05/03/2022 17:29:39,31.10,,,,
84,05/03/2022 17:34:39,31.23,,,,
85,05/03/2022 17:39:39,31.31,,,,
86,05/03/2022 17:44:39,31.27,,,,
87,05/03/2022 17:49:39,31.06,,,,
88,05/03/2022 17:54:39,31.06,,,,
89,05/03/2022 17:59:39,30.76,,,,
90,05/03/2022 18:04:39,30.80,,,,
91,05/03/2022 18:09:39,30.71,,,,
92,05/03/2022 18:14:39,30.50,,,,
93,05/03/2022 18:19:39,30.33,,,,
94,05/03/2022 18:24:39,30.33,,,,
95,05/03/2022 18:29:39,30.07,,,,
96,05/03/2022 18:34:39,29.98,,,,
97,05/03/2022 18:39:39,29.64,,,,
98,05/03/2022 18:44:39,29.43,,,,
99,05/03/2022 18:49:39,29.26,,,,
100,05/03/2022 18:54:39,28.95,,,,
101,05/03/2022 18:59:39,28.70,,,,
102,05/03/2022 19:04:39,28.53,,,,
103,05/03/2022 19:09:39,28.18,,,,
104,05/03/2022 19:14:39,28.05,,,,
105,05/03/2022 19:19:39,27.84,,,,
106,05/03/2022 19:24:39,27.45,,,,
107,05/03/2022 19:29:39,27.24,,,,
108,05/03/2022 19:34:39,27.07,,,,
109,05/03/2022 19:39:39,26.72,,,,
110,05/03/2022 19:44:39,26.47,,,,
111,05/03/2022 19:49:39,25.99,,,,
112,05/03/2022 19:54:39,25.35,,,,
113,05/03/2022 19:59:39,24.97,,,,
114,05/03/2022 20:04:39,24.32,,,,
115,05/03/2022 20:09:39,23.94,,,,
116,05/03/2022 20:14:39,23.55,,,,
117,05/03/2022 20:19:39,23.08,,,,
118,05/03/2022 20:24:39,22.61,,,,
119,05/03/2022 20:29:39,22.26,,,,
120,05/03/2022 20:34:39,21.92,,,,
121,05/03/2022 20:39:39,21.49,,,,
122,05/03/2022 20:44:39,21.10,,,,
123,05/03/2022 20:49:39,20.68,,,,
124,05/03/2022 20:54:39,20.29,,,,
125,05/03/2022 20:59:39,20.03,,,,
126,05/03/2022 21:04:39,19.77,,,,
127,05/03/2022 21:09:39,19.60,,,,
128,05/03/2022 21:14:39,19.56,,,,
129,05/03/2022 21:19:39,19.30,,,,
130,05/03/2022 21:24:39,19.09,,,,
