#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/03/2022 10:45:02,20.37,,,,
2,05/03/2022 10:50:02,20.07,,,,
3,05/03/2022 10:55:02,19.90,,,,
4,05/03/2022 11:00:02,20.07,,,,
5,05/03/2022 11:05:02,20.33,,,,
6,05/03/2022 11:10:02,20.59,,,,
7,05/03/2022 11:15:02,20.98,,,,
8,05/03/2022 11:20:02,21.36,,,,
9,05/03/2022 11:25:02,21.62,,,,
10,05/03/2022 11:30:02,21.83,,,,
11,05/03/2022 11:35:02,21.88,,,,
12,05/03/2022 11:40:02,22.26,,,,
13,05/03/2022 11:45:02,22.18,,,,
14,05/03/2022 11:50:02,22.09,,,,
15,05/03/2022 11:55:02,22.22,,,,
16,05/03/2022 12:00:02,22.31,,,,
17,05/03/2022 12:05:02,22.69,,,,
18,05/03/2022 12:10:02,22.86,,,,
19,05/03/2022 12:15:02,23.08,,,,
20,05/03/2022 12:20:02,23.42,,,,
21,05/03/2022 12:25:02,23.59,,,,
22,05/03/2022 12:30:02,23.72,,,,
23,05/03/2022 12:35:02,23.68,,,,
24,05/03/2022 12:40:02,23.68,,,,
25,05/03/2022 12:45:02,23.64,,,,
26,05/03/2022 12:50:02,23.76,,,,
27,05/03/2022 12:55:02,23.81,,,,
28,05/03/2022 13:00:02,24.19,,,,
29,05/03/2022 13:05:02,24.02,,,,
30,05/03/2022 13:10:02,24.19,,,,
31,05/03/2022 13:15:02,24.06,,,,
32,05/03/2022 13:20:02,24.32,,,,
33,05/03/2022 13:25:02,24.41,,,,
34,05/03/2022 13:30:02,24.66,,,,
35,05/03/2022 13:35:02,24.88,,,,
36,05/03/2022 13:40:02,24.92,,,,
37,05/03/2022 13:45:02,24.71,,,,
38,05/03/2022 13:50:02,24.84,,,,
39,05/03/2022 13:55:02,25.27,,,,
40,05/03/2022 14:00:02,25.52,,,,
41,05/03/2022 14:05:02,25.61,,,,
42,05/03/2022 14:10:02,25.61,,,,
43,05/03/2022 14:15:02,25.91,,,,
44,05/03/2022 14:20:02,25.65,,,,
45,05/03/2022 14:25:02,25.48,,,,
46,05/03/2022 14:30:02,25.82,,,,
47,05/03/2022 14:35:02,25.99,,,,
48,05/03/2022 14:40:02,26.21,,,,
49,05/03/2022 14:45:02,26.17,,,,
50,05/03/2022 14:50:02,26.04,,,,
51,05/03/2022 14:55:02,26.25,,,,
52,05/03/2022 15:00:02,26.34,,,,
53,05/03/2022 15:05:02,26.42,,,,
54,05/03/2022 15:10:02,26.64,,,,
55,05/03/2022 15:15:02,26.72,,,,
56,05/03/2022 15:20:02,26.90,,,,
57,05/03/2022 15:25:02,27.11,,,,
58,05/03/2022 15:30:02,27.32,,,,
59,05/03/2022 15:35:02,27.41,,,,
60,05/03/2022 15:40:02,27.32,,,,
61,05/03/2022 15:45:02,27.32,,,,
62,05/03/2022 15:50:02,27.50,,,,
63,05/03/2022 15:55:02,27.37,,,,
64,05/03/2022 16:00:02,27.45,,,,
65,05/03/2022 16:05:02,27.45,,,,
66,05/03/2022 16:10:02,27.41,,,,
67,05/03/2022 16:15:02,27.54,,,,
68,05/03/2022 16:20:02,27.71,,,,
69,05/03/2022 16:25:02,27.67,,,,
70,05/03/2022 16:30:02,27.84,,,,
71,05/03/2022 16:35:02,27.97,,,,
72,05/03/2022 16:40:02,28.14,,,,
73,05/03/2022 16:45:02,28.27,,,,
74,05/03/2022 16:50:02,28.31,,,,
75,05/03/2022 16:55:02,28.23,,,,
76,05/03/2022 17:00:02,28.14,,,,
77,05/03/2022 17:05:02,28.23,,,,
78,05/03/2022 17:10:02,28.31,,,,
79,05/03/2022 17:15:02,28.18,,,,
80,05/03/2022 17:20:02,28.31,,,,
81,05/03/2022 17:25:02,28.40,,,,
82,05/03/2022 17:30:02,28.48,,,,
83,05/03/2022 17:35:02,28.70,,,,
84,05/03/2022 17:40:02,28.83,,,,
85,05/03/2022 17:45:02,28.83,,,,
86,05/03/2022 17:50:02,28.70,,,,
87,05/03/2022 17:55:02,28.65,,,,
88,05/03/2022 18:00:02,28.57,,,,
89,05/03/2022 18:05:02,28.65,,,,
90,05/03/2022 18:10:02,28.65,,,,
91,05/03/2022 18:15:02,28.65,,,,
92,05/03/2022 18:20:02,28.44,,,,
93,05/03/2022 18:25:02,28.48,,,,
94,05/03/2022 18:30:02,28.44,,,,
95,05/03/2022 18:35:02,28.44,,,,
96,05/03/2022 18:40:02,28.31,,,,
97,05/03/2022 18:45:02,28.18,,,,
98,05/03/2022 18:50:02,28.01,,,,
99,05/03/2022 18:55:02,27.84,,,,
100,05/03/2022 19:00:02,27.71,,,,
101,05/03/2022 19:05:02,27.54,,,,
102,05/03/2022 19:10:02,27.32,,,,
103,05/03/2022 19:15:02,27.24,,,,
104,05/03/2022 19:20:02,27.07,,,,
105,05/03/2022 19:25:02,26.94,,,,
106,05/03/2022 19:30:02,26.77,,,,
107,05/03/2022 19:35:02,26.68,,,,
108,05/03/2022 19:40:02,26.51,,,,
109,05/03/2022 19:45:02,26.42,,,,
110,05/03/2022 19:50:02,26.12,,,,
111,05/03/2022 19:55:02,25.27,,,,
112,05/03/2022 20:00:02,24.75,,,,
113,05/03/2022 20:05:02,23.89,,,,
114,05/03/2022 20:10:02,23.29,,,,
115,05/03/2022 20:15:02,23.03,,,,
116,05/03/2022 20:20:02,22.91,,,,
117,05/03/2022 20:25:02,22.82,,,,
118,05/03/2022 20:30:02,22.73,,,,
119,05/03/2022 20:35:02,22.56,,,,
120,05/03/2022 20:40:02,22.13,,,,
121,05/03/2022 20:45:02,21.28,,,,
122,05/03/2022 20:50:02,20.72,,,,
123,05/03/2022 20:55:02,20.16,,,,
124,05/03/2022 21:00:02,19.77,,,,
125,05/03/2022 21:05:02,19.56,,,,
126,05/03/2022 21:10:02,19.56,,,,
127,05/03/2022 21:15:02,19.52,,,,
128,05/03/2022 21:20:02,19.39,,,,
129,05/03/2022 21:25:02,19.13,,,,
130,05/03/2022 21:30:02,18.87,,,,
131,05/03/2022 21:35:02,18.66,,,,
132,05/03/2022 21:40:02,18.66,,,,
133,05/03/2022 21:45:02,18.66,,,,
134,05/03/2022 21:50:02,18.57,,,,
135,05/03/2022 21:55:02,18.06,,,,
136,05/03/2022 22:00:02,17.67,,,,
137,05/03/2022 22:05:02,17.29,,,,
138,05/03/2022 22:10:02,16.86,,,,
139,05/03/2022 22:15:02,16.43,,,,
140,05/03/2022 22:20:02,16.21,,,,
141,05/03/2022 22:25:02,15.96,,,,
142,05/03/2022 22:30:02,15.87,,,,
143,05/03/2022 22:35:02,15.87,,,,
144,05/03/2022 22:40:02,15.87,,,,
145,05/03/2022 22:45:02,15.78,,,,
146,05/03/2022 22:50:02,15.83,,,,
147,05/03/2022 22:55:02,15.87,,,,
148,05/03/2022 23:00:02,15.96,,,,
149,05/03/2022 23:05:02,16.08,,,,
150,05/03/2022 23:10:02,16.17,,,,
151,05/03/2022 23:15:02,16.26,,,,
152,05/03/2022 23:20:02,16.39,,,,
153,05/03/2022 23:25:02,16.43,,,,
154,05/03/2022 23:30:02,16.56,,,,
155,05/03/2022 23:35:02,16.51,,,,
156,05/03/2022 23:40:02,16.43,,,,
157,05/03/2022 23:45:02,16.51,,,,
158,05/03/2022 23:50:02,16.51,,,,
159,05/03/2022 23:55:02,16.51,,,,
160,05/04/2022 00:00:02,16.51,,,,
161,05/04/2022 00:05:02,16.47,,,,
162,05/04/2022 00:10:02,16.39,,,,
163,05/04/2022 00:15:02,16.30,,,,
164,05/04/2022 00:20:02,16.17,,,,
165,05/04/2022 00:25:02,16.00,,,,
166,05/04/2022 00:30:02,15.44,,,,
167,05/04/2022 00:35:02,14.97,,,,
168,05/04/2022 00:40:02,14.45,,,,
169,05/04/2022 00:45:02,14.07,,,,
170,05/04/2022 00:50:02,13.77,,,,
171,05/04/2022 00:55:02,13.60,,,,
172,05/04/2022 01:00:02,13.34,,,,
173,05/04/2022 01:05:02,12.91,,,,
174,05/04/2022 01:10:02,12.65,,,,
175,05/04/2022 01:15:02,12.40,,,,
176,05/04/2022 01:20:02,12.27,,,,
177,05/04/2022 01:25:02,12.14,,,,
178,05/04/2022 01:30:02,11.88,,,,
179,05/04/2022 01:35:02,11.84,,,,
180,05/04/2022 01:40:02,11.88,,,,
181,05/04/2022 01:45:02,12.01,,,,
182,05/04/2022 01:50:02,12.10,,,,
183,05/04/2022 01:55:02,12.22,,,,
184,05/04/2022 02:00:02,12.14,,,,
185,05/04/2022 02:05:02,12.18,,,,
186,05/04/2022 02:10:02,12.31,,,,
187,05/04/2022 02:15:02,12.31,,,,
188,05/04/2022 02:20:02,12.31,,,,
189,05/04/2022 02:25:02,12.27,,,,
190,05/04/2022 02:30:02,12.14,,,,
191,05/04/2022 02:35:02,12.10,,,,
192,05/04/2022 02:40:02,12.10,,,,
193,05/04/2022 02:45:02,12.14,,,,
194,05/04/2022 02:50:02,12.10,,,,
195,05/04/2022 02:55:02,12.18,,,,
196,05/04/2022 03:00:02,12.27,,,,
197,05/04/2022 03:05:02,12.31,,,,
198,05/04/2022 03:10:02,12.18,,,,
199,05/04/2022 03:15:02,12.27,,,,
200,05/04/2022 03:20:02,12.27,,,,
201,05/04/2022 03:25:02,12.22,,,,
202,05/04/2022 03:30:02,12.35,,,,
203,05/04/2022 03:35:02,12.44,,,,
204,05/04/2022 03:40:02,12.57,,,,
205,05/04/2022 03:45:02,12.61,,,,
206,05/04/2022 03:50:02,12.52,,,,
207,05/04/2022 03:55:02,12.27,,,,
