#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,05/07/2021 16:21:40,32.77,,
2,05/07/2021 16:26:40,32.90,,
3,05/07/2021 16:31:40,32.60,,
4,05/07/2021 16:36:40,32.56,,
5,05/07/2021 16:41:40,32.17,,
6,05/07/2021 16:46:40,32.60,,
7,05/07/2021 16:51:40,32.60,,
8,05/07/2021 16:56:40,32.39,,
9,05/07/2021 17:01:40,32.00,,
10,05/07/2021 17:06:40,32.09,,
11,05/07/2021 17:11:40,31.96,,
12,05/07/2021 17:16:40,31.87,,
13,05/07/2021 17:21:40,31.40,,
14,05/07/2021 17:26:40,31.92,,
15,05/07/2021 17:31:40,32.17,,
16,05/07/2021 17:36:40,31.92,,
17,05/07/2021 17:41:40,31.66,,
18,05/07/2021 17:46:40,31.36,,
19,05/07/2021 17:51:40,31.14,,
20,05/07/2021 17:56:40,31.06,,
21,05/07/2021 18:01:40,30.63,,
22,05/07/2021 18:06:40,31.19,,
23,05/07/2021 18:11:40,31.31,,
24,05/07/2021 18:16:40,30.76,,
25,05/07/2021 18:21:40,30.33,,
26,05/07/2021 18:26:40,30.37,,
27,05/07/2021 18:31:40,30.07,,
28,05/07/2021 18:36:40,29.94,,
29,05/07/2021 18:41:40,29.73,,
30,05/07/2021 18:46:40,29.64,,
31,05/07/2021 18:51:40,29.17,,
32,05/07/2021 18:56:40,28.78,,
33,05/07/2021 19:01:40,28.35,,
34,05/07/2021 19:06:40,28.01,,
35,05/07/2021 19:11:40,27.71,,
36,05/07/2021 19:16:40,27.37,,
37,05/07/2021 19:21:40,27.07,,
38,05/07/2021 19:26:40,26.81,,
39,05/07/2021 19:31:40,26.38,,
40,05/07/2021 19:36:40,26.12,,
41,05/07/2021 19:41:40,25.82,,
42,05/07/2021 19:46:40,25.39,,
43,05/07/2021 19:51:40,25.09,,
44,05/07/2021 19:56:40,24.62,,
45,05/07/2021 20:01:40,24.28,,
46,05/07/2021 20:06:40,24.11,,
47,05/07/2021 20:11:40,23.76,,
48,05/07/2021 20:16:40,23.46,,
49,05/07/2021 20:21:40,23.29,,
50,05/07/2021 20:26:40,23.08,,
51,05/07/2021 20:31:40,22.91,,
52,05/07/2021 20:36:40,22.65,,
53,05/07/2021 20:41:40,21.96,,
54,05/07/2021 20:46:40,21.53,,
55,05/07/2021 20:51:40,21.23,,
56,05/07/2021 20:56:40,20.98,,
57,05/07/2021 21:01:40,20.76,,
58,05/07/2021 21:06:40,20.55,,
59,05/07/2021 21:11:40,20.33,,
60,05/07/2021 21:16:40,20.12,,
61,05/07/2021 21:21:40,19.82,,
62,05/07/2021 21:26:40,19.52,,
63,05/07/2021 21:31:40,19.22,,
64,05/07/2021 21:36:40,19.00,,
65,05/07/2021 21:41:40,18.83,,
66,05/07/2021 21:46:40,18.66,,
67,05/07/2021 21:51:40,18.53,,
68,05/07/2021 21:56:40,18.32,,
69,05/07/2021 22:01:40,18.19,,
70,05/07/2021 22:06:40,18.02,,
71,05/07/2021 22:11:40,17.67,,
72,05/07/2021 22:16:40,17.41,,
73,05/07/2021 22:21:40,17.37,,
74,05/07/2021 22:26:40,17.11,,
75,05/07/2021 22:31:40,17.67,,
76,05/07/2021 22:36:40,18.14,,
77,05/07/2021 22:41:40,18.19,,
78,05/07/2021 22:46:40,18.36,,
79,05/07/2021 22:51:40,18.44,,
80,05/07/2021 22:56:40,18.87,,
81,05/07/2021 23:01:40,19.52,,
82,05/07/2021 23:06:40,19.73,,
83,05/07/2021 23:11:40,19.95,,
84,05/07/2021 23:16:40,20.07,,
85,05/07/2021 23:21:40,20.50,,
86,05/07/2021 23:26:40,20.85,,
87,05/07/2021 23:31:40,21.02,,
88,05/07/2021 23:36:40,20.93,,
89,05/07/2021 23:41:40,20.72,,
90,05/07/2021 23:46:40,20.76,,
91,05/07/2021 23:51:40,20.72,,
92,05/07/2021 23:56:40,20.76,,
93,05/08/2021 00:01:40,20.59,,
94,05/08/2021 00:06:40,20.46,,
95,05/08/2021 00:11:40,20.33,,
96,05/08/2021 00:16:40,20.25,,
97,05/08/2021 00:21:40,20.07,,
98,05/08/2021 00:26:40,20.16,,
99,05/08/2021 00:31:40,20.20,,
100,05/08/2021 00:36:40,20.20,,
101,05/08/2021 00:41:40,20.16,,
102,05/08/2021 00:46:40,20.25,,
103,05/08/2021 00:51:40,20.16,,
104,05/08/2021 00:56:40,20.33,,
105,05/08/2021 01:01:40,20.07,,
106,05/08/2021 01:06:40,20.03,,
107,05/08/2021 01:11:40,19.99,,
108,05/08/2021 01:16:40,19.99,,
109,05/08/2021 01:21:40,19.86,,
110,05/08/2021 01:26:40,19.82,,
111,05/08/2021 01:31:40,19.77,,
112,05/08/2021 01:36:40,19.73,,
113,05/08/2021 01:41:40,19.73,,
114,05/08/2021 01:46:40,19.52,,
115,05/08/2021 01:51:40,19.52,,
116,05/08/2021 01:56:40,19.47,,
117,05/08/2021 02:01:40,19.39,,
118,05/08/2021 02:06:40,19.43,,
119,05/08/2021 02:11:40,19.35,,
120,05/08/2021 02:16:40,19.35,,
121,05/08/2021 02:21:40,19.22,,
122,05/08/2021 02:26:40,19.22,,
