#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,05/13/2021 15:53:31,34.06,,
2,05/13/2021 15:58:31,33.29,,
3,05/13/2021 16:03:31,32.73,,
4,05/13/2021 16:08:31,32.26,,
5,05/13/2021 16:13:31,32.13,,
6,05/13/2021 16:18:31,31.83,,
7,05/13/2021 16:23:31,31.74,,
8,05/13/2021 16:28:31,31.61,,
9,05/13/2021 16:33:31,31.36,,
10,05/13/2021 16:38:31,31.23,,
11,05/13/2021 16:43:31,31.14,,
12,05/13/2021 16:48:31,31.10,,
13,05/13/2021 16:53:31,31.01,,
14,05/13/2021 16:58:31,30.76,,
15,05/13/2021 17:03:31,30.80,,
16,05/13/2021 17:08:31,30.71,,
17,05/13/2021 17:13:31,30.63,,
18,05/13/2021 17:18:31,30.63,,
19,05/13/2021 17:23:31,30.59,,
20,05/13/2021 17:28:31,30.50,,
21,05/13/2021 17:33:31,30.41,,
22,05/13/2021 17:38:31,30.41,,
23,05/13/2021 17:43:31,30.28,,
24,05/13/2021 17:48:31,30.16,,
25,05/13/2021 17:53:31,30.16,,
26,05/13/2021 17:58:31,30.03,,
27,05/13/2021 18:03:31,29.86,,
28,05/13/2021 18:08:31,29.73,,
29,05/13/2021 18:13:31,29.60,,
30,05/13/2021 18:18:31,29.51,,
31,05/13/2021 18:23:31,29.34,,
32,05/13/2021 18:28:31,29.21,,
33,05/13/2021 18:33:31,29.04,,
34,05/13/2021 18:38:31,28.87,,
35,05/13/2021 18:43:31,28.70,,
36,05/13/2021 18:48:31,28.44,,
37,05/13/2021 18:53:31,28.14,,
38,05/13/2021 18:58:31,27.93,,
39,05/13/2021 19:03:31,27.71,,
40,05/13/2021 19:08:31,27.50,,
41,05/13/2021 19:13:31,27.24,,
42,05/13/2021 19:18:31,26.90,,
43,05/13/2021 19:23:31,26.64,,
44,05/13/2021 19:28:31,26.30,,
45,05/13/2021 19:33:31,25.99,,
46,05/13/2021 19:38:31,25.69,,
47,05/13/2021 19:43:31,25.27,,
48,05/13/2021 19:48:31,24.92,,
49,05/13/2021 19:53:31,24.62,,
50,05/13/2021 19:58:31,24.24,,
51,05/13/2021 20:03:31,23.89,,
52,05/13/2021 20:08:31,23.51,,
53,05/13/2021 20:13:31,23.16,,
54,05/13/2021 20:18:31,22.82,,
55,05/13/2021 20:23:31,22.48,,
56,05/13/2021 20:28:31,22.18,,
57,05/13/2021 20:33:31,21.88,,
58,05/13/2021 20:38:31,21.53,,
59,05/13/2021 20:43:31,21.28,,
60,05/13/2021 20:48:31,21.02,,
61,05/13/2021 20:53:31,20.76,,
