#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,04/19/2022 12:12:07,26.12,,,,
2,04/19/2022 12:17:07,23.46,,,,
3,04/19/2022 12:22:07,21.23,,,,
4,04/19/2022 12:27:07,20.29,,,,
5,04/19/2022 12:32:07,19.69,,,,
6,04/19/2022 12:37:07,20.03,,,,
7,04/19/2022 12:42:07,20.16,,,,
8,04/19/2022 12:47:07,20.12,,,,
9,04/19/2022 12:52:07,19.82,,,,
10,04/19/2022 12:57:07,19.69,,,,
11,04/19/2022 13:02:07,19.43,,,,
12,04/19/2022 13:07:07,19.95,,,,
13,04/19/2022 13:12:07,19.82,,,,
14,04/19/2022 13:17:07,20.12,,,,
15,04/19/2022 13:22:07,20.07,,,,
16,04/19/2022 13:27:07,19.86,,,,
17,04/19/2022 13:32:07,20.12,,,,
18,04/19/2022 13:37:07,20.20,,,,
19,04/19/2022 13:42:07,20.68,,,,
20,04/19/2022 13:47:07,20.98,,,,
21,04/19/2022 13:52:07,20.72,,,,
22,04/19/2022 13:57:07,20.93,,,,
23,04/19/2022 14:02:07,20.68,,,,
24,04/19/2022 14:07:07,20.46,,,,
25,04/19/2022 14:12:07,20.72,,,,
26,04/19/2022 14:17:07,21.19,,,,
27,04/19/2022 14:22:07,20.93,,,,
28,04/19/2022 14:27:07,20.85,,,,
29,04/19/2022 14:32:07,20.85,,,,
30,04/19/2022 14:37:07,20.76,,,,
31,04/19/2022 14:42:07,20.16,,,,
32,04/19/2022 14:47:07,20.55,,,,
33,04/19/2022 14:52:07,20.55,,,,
34,04/19/2022 14:57:07,20.59,,,,
35,04/19/2022 15:02:07,20.33,,,,
36,04/19/2022 15:07:07,20.42,,,,
37,04/19/2022 15:12:07,20.29,,,,
38,04/19/2022 15:17:07,20.37,,,,
39,04/19/2022 15:22:07,20.29,,,,
40,04/19/2022 15:27:07,20.07,,,,
41,04/19/2022 15:32:07,20.03,,,,
42,04/19/2022 15:37:07,19.95,,,,
43,04/19/2022 15:42:07,20.12,,,,
44,04/19/2022 15:47:07,20.25,,,,
45,04/19/2022 15:52:07,20.12,,,,
46,04/19/2022 15:57:07,20.03,,,,
47,04/19/2022 16:02:07,20.12,,,,
48,04/19/2022 16:07:07,20.03,,,,
49,04/19/2022 16:12:07,19.90,,,,
50,04/19/2022 16:17:07,19.90,,,,
51,04/19/2022 16:22:07,19.95,,,,
52,04/19/2022 16:27:07,20.03,,,,
53,04/19/2022 16:32:07,19.95,,,,
54,04/19/2022 16:37:07,20.12,,,,
55,04/19/2022 16:42:07,19.90,,,,
56,04/19/2022 16:47:07,19.90,,,,
57,04/19/2022 16:52:07,19.52,,,,
58,04/19/2022 16:57:07,19.35,,,,
59,04/19/2022 17:02:07,19.65,,,,
60,04/19/2022 17:07:07,19.30,,,,
61,04/19/2022 17:12:07,18.83,,,,
62,04/19/2022 17:17:07,19.09,,,,
63,04/19/2022 17:22:07,19.43,,,,
64,04/19/2022 17:27:07,19.65,,,,
65,04/19/2022 17:32:07,19.26,,,,
66,04/19/2022 17:37:07,19.22,,,,
67,04/19/2022 17:42:07,19.05,,,,
68,04/19/2022 17:47:07,19.05,,,,
69,04/19/2022 17:52:07,19.13,,,,
70,04/19/2022 17:57:07,19.13,,,,
71,04/19/2022 18:02:07,19.00,,,,
72,04/19/2022 18:07:07,18.96,,,,
73,04/19/2022 18:12:07,18.87,,,,
74,04/19/2022 18:17:07,18.70,,,,
75,04/19/2022 18:22:07,18.66,,,,
76,04/19/2022 18:27:07,18.62,,,,
77,04/19/2022 18:32:07,18.57,,,,
78,04/19/2022 18:37:07,18.40,,,,
79,04/19/2022 18:42:07,18.27,,,,
80,04/19/2022 18:47:07,18.10,,,,
81,04/19/2022 18:52:07,17.93,,,,
82,04/19/2022 18:57:07,17.80,,,,
83,04/19/2022 19:02:07,17.63,,,,
84,04/19/2022 19:07:07,17.33,,,,
85,04/19/2022 19:12:07,17.20,,,,
86,04/19/2022 19:17:07,16.99,,,,
87,04/19/2022 19:22:07,16.73,,,,
88,04/19/2022 19:27:07,16.60,,,,
89,04/19/2022 19:32:07,16.39,,,,
90,04/19/2022 19:37:07,16.13,,,,
91,04/19/2022 19:42:07,15.91,,,,
92,04/19/2022 19:47:07,15.66,,,,
93,04/19/2022 19:52:07,15.40,,,,
94,04/19/2022 19:57:07,15.18,,,,
95,04/19/2022 20:02:07,14.93,,,,
96,04/19/2022 20:07:07,14.67,,,,
97,04/19/2022 20:12:07,14.41,,,,
98,04/19/2022 20:17:07,14.15,,,,
99,04/19/2022 20:22:07,14.03,,,,
100,04/19/2022 20:27:07,13.94,,,,
101,04/19/2022 20:32:07,13.77,,,,
102,04/19/2022 20:37:07,13.64,,,,
103,04/19/2022 20:42:07,13.47,,,,
104,04/19/2022 20:47:07,13.43,,,,
105,04/19/2022 20:52:07,13.21,,,,
106,04/19/2022 20:57:07,13.08,,,,
107,04/19/2022 21:02:07,12.91,,,,
108,04/19/2022 21:07:07,12.74,,,,
109,04/19/2022 21:12:07,12.61,,,,
110,04/19/2022 21:17:07,12.61,,,,
111,04/19/2022 21:22:07,12.52,,,,
112,04/19/2022 21:27:07,12.44,,,,
113,04/19/2022 21:32:07,12.27,,,,
114,04/19/2022 21:37:07,12.14,,,,
115,04/19/2022 21:42:07,12.01,,,,
116,04/19/2022 21:47:07,11.97,,,,
117,04/19/2022 21:52:07,11.84,,,,
118,04/19/2022 21:57:07,11.67,,,,
119,04/19/2022 22:02:07,11.45,,,,
120,04/19/2022 22:07:07,11.32,,,,
121,04/19/2022 22:12:07,11.15,,,,
122,04/19/2022 22:17:07,11.07,,,,
123,04/19/2022 22:22:07,11.07,,,,
124,04/19/2022 22:27:07,10.98,,,,
125,04/19/2022 22:32:07,10.94,,,,
126,04/19/2022 22:37:07,10.89,,,,
127,04/19/2022 22:42:07,10.89,,,,
128,04/19/2022 22:47:07,10.81,,,,
129,04/19/2022 22:52:07,10.68,,,,
130,04/19/2022 22:57:07,10.59,,,,
131,04/19/2022 23:02:07,10.46,,,,
