#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,04/07/2022 10:01:16,29.21,,,,,
2,04/07/2022 10:06:16,25.65,,,,,
3,04/07/2022 10:11:16,23.12,,,,,
4,04/07/2022 10:16:16,21.88,,,,,
5,04/07/2022 10:21:16,21.32,,,,,
6,04/07/2022 10:26:16,21.19,,,,,
7,04/07/2022 10:31:16,21.15,,,,,
8,04/07/2022 10:36:16,21.36,,,,,
9,04/07/2022 10:41:16,21.70,,,,,
10,04/07/2022 10:46:16,22.01,,,,,
11,04/07/2022 10:51:16,22.22,,,,,
12,04/07/2022 10:56:16,22.35,,,,,
13,04/07/2022 11:01:16,22.48,,,,,
14,04/07/2022 11:06:16,22.56,,,,,
15,04/07/2022 11:11:16,22.73,,,,,
16,04/07/2022 11:16:16,22.82,,,,,
17,04/07/2022 11:21:16,22.95,,,,,
18,04/07/2022 11:26:16,23.08,,,,,
19,04/07/2022 11:31:16,23.25,,,,,
20,04/07/2022 11:36:16,23.42,,,,,
21,04/07/2022 11:41:16,23.72,,,,,
22,04/07/2022 11:46:16,23.89,,,,,
23,04/07/2022 11:51:16,24.06,,,,,
24,04/07/2022 11:56:16,24.32,,,,,
25,04/07/2022 12:01:16,24.49,,,,,
26,04/07/2022 12:06:16,24.71,,,,,
27,04/07/2022 12:11:16,24.84,,,,,
28,04/07/2022 12:16:16,24.97,,,,,
29,04/07/2022 12:21:16,25.18,,,,,
30,04/07/2022 12:26:16,25.35,,,,,
31,04/07/2022 12:31:16,25.48,,,,,
32,04/07/2022 12:36:16,25.65,,,,,
33,04/07/2022 12:41:16,25.91,,,,,
34,04/07/2022 12:46:16,26.12,,,,,
35,04/07/2022 12:51:16,26.34,,,,,
36,04/07/2022 12:56:16,26.60,,,,,
37,04/07/2022 13:01:16,26.72,,,,,
38,04/07/2022 13:06:16,26.90,,,,,
39,04/07/2022 13:11:16,26.98,,,,,
40,04/07/2022 13:16:16,27.11,,,,,
41,04/07/2022 13:21:16,27.20,,,,,
42,04/07/2022 13:26:16,27.32,,,,,
43,04/07/2022 13:31:16,27.45,,,,,
44,04/07/2022 13:36:16,27.54,,,,,
45,04/07/2022 13:41:16,27.67,,,,,
46,04/07/2022 13:46:16,27.75,,,,,
47,04/07/2022 13:51:16,27.88,,,,,
