#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
1,06/01/2023 11:07:37,29.47,,,,,
2,06/01/2023 11:12:37,26.72,,,,,
3,06/01/2023 11:17:37,24.66,,,,,
4,06/01/2023 11:22:37,23.76,,,,,
5,06/01/2023 11:27:37,23.51,,,,,
6,06/01/2023 11:32:37,23.51,,,,,
7,06/01/2023 11:37:37,23.59,,,,,
8,06/01/2023 11:42:37,23.55,,,,,
9,06/01/2023 11:47:37,23.85,,,,,
10,06/01/2023 11:52:37,23.94,,,,,
11,06/01/2023 11:57:37,24.02,,,,,
12,06/01/2023 12:02:37,24.36,,,,,
13,06/01/2023 12:07:37,24.62,,,,,
14,06/01/2023 12:12:37,24.84,,,,,
15,06/01/2023 12:17:37,24.75,,,,,
16,06/01/2023 12:22:37,24.97,,,,,
17,06/01/2023 12:27:37,25.18,,,,,
18,06/01/2023 12:32:37,25.09,,,,,
19,06/01/2023 12:37:37,25.01,,,,,
20,06/01/2023 12:42:37,25.05,,,,,
21,06/01/2023 12:47:37,25.18,,,,,
22,06/01/2023 12:52:37,25.27,,,,,
23,06/01/2023 12:57:37,25.48,,,,,
24,06/01/2023 13:02:37,25.57,,,,,
25,06/01/2023 13:07:37,25.78,,,,,
26,06/01/2023 13:12:37,25.78,,,,,
27,06/01/2023 13:17:37,25.87,,,,,
28,06/01/2023 13:22:37,25.99,,,,,
29,06/01/2023 13:27:37,26.17,,,,,
30,06/01/2023 13:32:37,26.47,,,,,
31,06/01/2023 13:37:37,26.42,,,,,
32,06/01/2023 13:42:37,26.55,,,,,
33,06/01/2023 13:47:37,26.51,,,,,
34,06/01/2023 13:52:37,26.77,,,,,
35,06/01/2023 13:57:37,26.81,,,,,
36,06/01/2023 14:02:37,26.81,,,,,
37,06/01/2023 14:07:37,26.85,,,,,
38,06/01/2023 14:12:37,26.77,,,,,
39,06/01/2023 14:17:37,27.11,,,,,
40,06/01/2023 14:22:37,27.28,,,,,
41,06/01/2023 14:27:37,27.20,,,,,
42,06/01/2023 14:32:37,27.15,,,,,
43,06/01/2023 14:37:37,27.20,,,,,
44,06/01/2023 14:42:37,27.15,,,,,
45,06/01/2023 14:47:37,27.41,,,,,
46,06/01/2023 14:52:37,27.67,,,,,
47,06/01/2023 14:57:37,27.58,,,,,
48,06/01/2023 15:02:37,27.63,,,,,
49,06/01/2023 15:07:37,27.63,,,,,
50,06/01/2023 15:12:37,27.88,,,,,
51,06/01/2023 15:17:37,27.97,,,,,
52,06/01/2023 15:22:37,28.05,,,,,
53,06/01/2023 15:27:37,27.97,,,,,
54,06/01/2023 15:32:37,28.01,,,,,
55,06/01/2023 15:37:37,28.10,,,,,
56,06/01/2023 15:42:37,28.10,,,,,
57,06/01/2023 15:47:37,28.27,,,,,
58,06/01/2023 15:52:37,28.44,,,,,
59,06/01/2023 15:57:37,28.35,,,,,
60,06/01/2023 16:02:37,28.44,,,,,
61,06/01/2023 16:07:37,28.57,,,,,
62,06/01/2023 16:12:37,28.61,,,,,
63,06/01/2023 16:17:37,28.65,,,,,
64,06/01/2023 16:22:37,28.70,,,,,
65,06/01/2023 16:27:37,28.61,,,,,
66,06/01/2023 16:32:37,28.61,,,,,
67,06/01/2023 16:37:37,28.61,,,,,
68,06/01/2023 16:42:37,28.78,,,,,
69,06/01/2023 16:47:37,28.91,,,,,
70,06/01/2023 16:52:37,28.87,,,,,
71,06/01/2023 16:57:37,28.78,,,,,
72,06/01/2023 17:02:37,28.70,,,,,
73,06/01/2023 17:07:37,28.83,,,,,
74,06/01/2023 17:12:37,29.00,,,,,
75,06/01/2023 17:17:37,28.95,,,,,
76,06/01/2023 17:22:37,29.13,,,,,
77,06/01/2023 17:27:37,29.04,,,,,
78,06/01/2023 17:32:37,29.08,,,,,
79,06/01/2023 17:37:37,28.74,,,,,
80,06/01/2023 17:42:37,28.70,,,,,
81,06/01/2023 17:47:37,28.74,,,,,
82,06/01/2023 17:52:37,28.53,,,,,
83,06/01/2023 17:57:37,28.35,,,,,
84,06/01/2023 18:02:37,28.10,,,,,
85,06/01/2023 18:07:37,27.75,,,,,
86,06/01/2023 18:12:37,27.50,,,,,
87,06/01/2023 18:17:37,27.24,,,,,
88,06/01/2023 18:22:37,26.94,,,,,
89,06/01/2023 18:27:37,26.64,,,,,
90,06/01/2023 18:32:37,26.21,,,,,
91,06/01/2023 18:37:37,25.82,,,,,
92,06/01/2023 18:42:37,25.39,,,,,
93,06/01/2023 18:47:37,25.09,,,,,
94,06/01/2023 18:52:37,24.62,,,,,
95,06/01/2023 18:57:37,24.28,,,,,
96,06/01/2023 19:02:37,23.98,,,,,
97,06/01/2023 19:07:37,23.72,,,,,
98,06/01/2023 19:12:37,23.51,,,,,
99,06/01/2023 19:17:37,23.25,,,,,
100,06/01/2023 19:22:37,23.08,,,,,
101,06/01/2023 19:27:37,22.91,,,,,
102,06/01/2023 19:32:37,22.73,,,,,
103,06/01/2023 19:37:37,22.61,,,,,
104,06/01/2023 19:42:37,22.43,,,,,
105,06/01/2023 19:47:37,22.26,,,,,
106,06/01/2023 19:52:37,22.13,,,,,
107,06/01/2023 19:57:37,21.96,,,,,
108,06/01/2023 20:02:37,21.79,,,,,
109,06/01/2023 20:07:37,21.58,,,,,
110,06/01/2023 20:12:37,21.40,,,,,
111,06/01/2023 20:17:37,21.19,,,,,
112,06/01/2023 20:22:37,21.02,,,,,
113,06/01/2023 20:27:37,20.80,,,,,
114,06/01/2023 20:32:37,20.59,,,,,
115,06/01/2023 20:37:37,20.37,,,,,
116,06/01/2023 20:42:37,20.12,,,,,
117,06/01/2023 20:47:37,19.86,,,,,
118,06/01/2023 20:52:37,19.65,,,,,
119,06/01/2023 20:57:37,19.47,,,,,
120,06/01/2023 21:02:37,19.22,,,,,
121,06/01/2023 21:07:37,19.00,,,,,
122,06/01/2023 21:12:37,18.96,,,,,
123,06/01/2023 21:17:37,18.74,,,,,
124,06/01/2023 21:22:37,18.49,,,,,
125,06/01/2023 21:27:37,18.36,,,,,
126,06/01/2023 21:32:37,18.32,,,,,
127,06/01/2023 21:37:37,18.14,,,,,
128,06/01/2023 21:42:37,18.06,,,,,
129,06/01/2023 21:47:37,17.93,,,,,
130,06/01/2023 21:52:37,17.80,,,,,
131,06/01/2023 21:57:37,17.67,,,,,
132,06/01/2023 22:02:37,17.54,,,,,
133,06/01/2023 22:07:37,17.41,,,,,
134,06/01/2023 22:12:37,17.24,,,,,
135,06/01/2023 22:17:37,17.11,,,,,
136,06/01/2023 22:22:37,16.99,,,,,
137,06/01/2023 22:27:37,16.90,,,,,
138,06/01/2023 22:32:37,16.77,,,,,
139,06/01/2023 22:37:37,16.73,,,,,
140,06/01/2023 22:42:37,16.64,,,,,
141,06/01/2023 22:47:37,16.64,,,,,
142,06/01/2023 22:52:37,16.51,,,,,
143,06/01/2023 22:57:37,16.30,,,,,
144,06/01/2023 23:02:37,16.26,,,,,
145,06/01/2023 23:07:37,16.13,,,,,
146,06/01/2023 23:12:37,16.08,,,,,
147,06/01/2023 23:17:37,15.91,,,,,
148,06/01/2023 23:22:37,15.83,,,,,
149,06/01/2023 23:27:37,15.78,,,,,
150,06/01/2023 23:32:37,15.66,,,,,
151,06/01/2023 23:37:37,15.57,,,,,
152,06/01/2023 23:42:37,15.48,,,,,
153,06/01/2023 23:47:37,15.36,,,,,
154,06/01/2023 23:52:37,15.27,,,,,
155,06/01/2023 23:57:37,15.23,,,,,
156,06/02/2023 00:02:37,15.10,,,,,
157,06/02/2023 00:07:37,15.01,,,,,
158,06/02/2023 00:12:37,14.97,,,,,
159,06/02/2023 00:17:37,14.88,,,,,
160,06/02/2023 00:22:37,14.88,,,,,
161,06/02/2023 00:27:37,14.84,,,,,
162,06/02/2023 00:32:37,14.80,,,,,
163,06/02/2023 00:37:37,14.75,,,,,
164,06/02/2023 00:42:37,14.67,,,,,
165,06/02/2023 00:47:37,14.63,,,,,
166,06/02/2023 00:52:37,14.67,,,,,
167,06/02/2023 00:57:37,14.50,,,,,
168,06/02/2023 01:02:37,14.41,,,,,
169,06/02/2023 01:07:37,14.37,,,,,
170,06/02/2023 01:12:37,14.28,,,,,
171,06/02/2023 01:17:37,14.24,,,,,
172,06/02/2023 01:22:37,14.15,,,,,
173,06/02/2023 01:27:37,14.11,,,,,
174,06/02/2023 01:32:37,14.11,,,,,
175,06/02/2023 01:37:37,14.07,,,,,
176,06/02/2023 01:42:37,14.03,,,,,
177,06/02/2023 01:47:37,13.98,,,,,
178,06/02/2023 01:52:37,13.94,,,,,
179,06/02/2023 01:57:37,13.94,,,,,
180,06/02/2023 02:02:37,13.85,,,,,
181,06/02/2023 02:07:37,13.73,,,,,
182,06/02/2023 02:12:37,13.68,,,,,
183,06/02/2023 02:17:37,13.68,,,,,
184,06/02/2023 02:22:37,13.60,,,,,
185,06/02/2023 02:27:37,13.55,,,,,
186,06/02/2023 02:32:37,13.51,,,,,
187,06/02/2023 02:37:37,13.43,,,,,
188,06/02/2023 02:42:37,13.43,,,,,
189,06/02/2023 02:47:37,13.38,,,,,
190,06/02/2023 02:52:37,13.34,,,,,
191,06/02/2023 02:57:37,13.30,,,,,
192,06/02/2023 03:02:37,13.25,,,,,
193,06/02/2023 03:07:37,13.25,,,,,
194,06/02/2023 03:12:37,13.21,,,,,
195,06/02/2023 03:17:37,13.12,,,,,
196,06/02/2023 03:22:37,13.04,,,,,
197,06/02/2023 03:27:37,13.04,,,,,
198,06/02/2023 03:32:37,13.04,,,,,
199,06/02/2023 03:37:37,12.91,,,,,
200,06/02/2023 03:42:37,12.95,,,,,
201,06/02/2023 03:47:37,12.95,,,,,
202,06/02/2023 03:52:37,12.87,,,,,
203,06/02/2023 03:57:37,12.78,,,,,
204,06/02/2023 04:02:37,12.70,,,,,
205,06/02/2023 04:07:37,12.65,,,,,
206,06/02/2023 04:12:37,12.65,,,,,
207,06/02/2023 04:17:37,12.52,,,,,
208,06/02/2023 04:22:37,12.44,,,,,
209,06/02/2023 04:27:37,12.44,,,,,
210,06/02/2023 04:32:37,12.44,,,,,
211,06/02/2023 04:37:37,12.31,,,,,
212,06/02/2023 04:42:37,12.27,,,,,
213,06/02/2023 04:47:37,12.18,,,,,
214,06/02/2023 04:52:37,12.10,,,,,
215,06/02/2023 04:57:37,12.05,,,,,
216,06/02/2023 05:02:37,12.10,,,,,
217,06/02/2023 05:07:37,12.10,,,,,
218,06/02/2023 05:12:37,11.97,,,,,
219,06/02/2023 05:17:37,11.84,,,,,
220,06/02/2023 05:22:37,11.79,,,,,
221,06/02/2023 05:27:37,11.75,,,,,
222,06/02/2023 05:32:37,11.84,,,,,
223,06/02/2023 05:37:37,11.71,,,,,
224,06/02/2023 05:42:37,11.79,,,,,
225,06/02/2023 05:47:37,11.67,,,,,
226,06/02/2023 05:52:37,11.41,,,,,
227,06/02/2023 05:57:37,11.24,,,,,
228,06/02/2023 06:02:37,11.19,,,,,
229,06/02/2023 06:07:37,11.24,,,,,
230,06/02/2023 06:12:37,11.28,,,,,
231,06/02/2023 06:17:37,11.37,,,,,
232,06/02/2023 06:22:37,11.37,,,,,
233,06/02/2023 06:27:37,11.58,,,,,
234,06/02/2023 06:32:37,11.79,,,,,
235,06/02/2023 06:37:37,12.05,,,,,
236,06/02/2023 06:42:37,12.27,,,,,
237,06/02/2023 06:47:37,12.57,,,,,
238,06/02/2023 06:52:37,12.91,,,,,
239,06/02/2023 06:57:37,13.17,,,,,
240,06/02/2023 07:02:37,13.43,,,,,
241,06/02/2023 07:07:37,13.64,,,,,
242,06/02/2023 07:12:37,13.98,,,,,
243,06/02/2023 07:17:37,14.11,,,,,
244,06/02/2023 07:22:37,14.41,,,,,
245,06/02/2023 07:27:37,14.58,,,,,
246,06/02/2023 07:32:37,14.80,,,,,
247,06/02/2023 07:37:37,15.01,,,,,
248,06/02/2023 07:42:37,15.27,,,,,
249,06/02/2023 07:47:37,15.57,,,,,
250,06/02/2023 07:52:37,15.91,,,,,
251,06/02/2023 07:57:37,16.21,,,,,
252,06/02/2023 08:02:37,16.47,,,,,
253,06/02/2023 08:07:37,16.69,,,,,
254,06/02/2023 08:12:37,16.81,,,,,
255,06/02/2023 08:17:37,17.03,,,,,
256,06/02/2023 08:22:37,17.33,,,,,
257,06/02/2023 08:27:37,17.50,,,,,
258,06/02/2023 08:32:37,17.54,,,,,
259,06/02/2023 08:37:37,17.67,,,,,
260,06/02/2023 08:42:37,17.76,,,,,
261,06/02/2023 08:47:37,17.84,,,,,
262,06/02/2023 08:52:37,17.97,,,,,
263,06/02/2023 08:57:37,18.19,,,,,
264,06/02/2023 09:02:37,18.40,,,,,
265,06/02/2023 09:07:37,18.83,,,,,
266,06/02/2023 09:12:37,19.09,,,,,
267,06/02/2023 09:17:37,19.35,,,,,
268,06/02/2023 09:22:37,19.43,,,,,
269,06/02/2023 09:27:37,19.65,,,,,
270,06/02/2023 09:32:37,19.99,,,,,
271,06/02/2023 09:37:37,20.12,,,,,
272,06/02/2023 09:42:37,20.29,,,,,
273,06/02/2023 09:47:37,20.25,,,,,
274,06/02/2023 09:52:37,20.33,,,,,
275,06/02/2023 09:57:37,20.46,,,,,
276,06/02/2023 10:02:37,20.89,,,,,
277,06/02/2023 10:07:37,20.89,,,,,
278,06/02/2023 10:12:37,21.19,,,,,
279,06/02/2023 10:17:37,21.36,,,,,
280,06/02/2023 10:22:37,21.36,,,,,
281,06/02/2023 10:27:37,21.58,,,,,
282,06/02/2023 10:32:37,21.96,,,,,
283,06/02/2023 10:37:37,22.09,,,,,
284,06/02/2023 10:42:37,22.26,,,,,
285,06/02/2023 10:47:37,22.52,,,,,
286,06/02/2023 10:52:37,22.69,,,,,
287,06/02/2023 10:57:37,22.73,,,,,
288,06/02/2023 11:02:37,22.91,,,,,
289,06/02/2023 11:07:37,22.91,,,,,
290,06/02/2023 11:12:37,23.08,,,,,
291,06/02/2023 11:17:37,23.51,,,,,
292,06/02/2023 11:22:37,23.51,,,,,
293,06/02/2023 11:27:37,23.85,,,,,
294,06/02/2023 11:32:37,24.19,,,,,
295,06/02/2023 11:37:37,24.45,,,,,
296,06/02/2023 11:42:37,24.92,,,,,
297,06/02/2023 11:47:37,25.09,,,,,
298,06/02/2023 11:52:37,25.52,,,,,
299,06/02/2023 11:57:37,25.87,,,,,
300,06/02/2023 12:02:37,26.25,,,,,
301,06/02/2023 12:07:37,26.38,,,,,
302,06/02/2023 12:12:37,26.42,,,,,
303,06/02/2023 12:17:37,26.60,,,,,
304,06/02/2023 12:22:37,26.90,,,,,
305,06/02/2023 12:27:37,26.85,,,,,
306,06/02/2023 12:32:37,26.90,,,,,
307,06/02/2023 12:37:37,27.24,,,,,
308,06/02/2023 12:42:37,27.24,,,,,
309,06/02/2023 12:47:37,27.41,,,,,
310,06/02/2023 12:52:37,27.54,,,,,
311,06/02/2023 12:57:37,28.10,,,,,
312,06/02/2023 13:02:37,28.14,,,,,
313,06/02/2023 13:07:37,28.31,,,,,
314,06/02/2023 13:12:37,28.27,,,,,
315,06/02/2023 13:17:37,28.44,,,,,
316,06/02/2023 13:22:37,28.48,,,,,
317,06/02/2023 13:27:37,28.44,,,,,
318,06/02/2023 13:32:37,28.31,,,,,
319,06/02/2023 13:37:37,28.27,,,,,
320,06/02/2023 13:42:37,28.53,,,,,
321,06/02/2023 13:47:37,28.91,,,,,
322,06/02/2023 13:52:37,29.30,,,,,
323,06/02/2023 13:57:37,29.30,,,,,
324,06/02/2023 14:02:37,29.34,,,,,
325,06/02/2023 14:07:37,29.30,,,,,
326,06/02/2023 14:12:37,29.43,,,,,
327,06/02/2023 14:17:37,29.60,,,,,
328,06/02/2023 14:22:37,29.64,,,,,
329,06/02/2023 14:27:37,29.81,,,,,
330,06/02/2023 14:32:37,29.90,,,,,
331,06/02/2023 14:37:37,29.81,,,,,
332,06/02/2023 14:42:37,29.90,,,,,
333,06/02/2023 14:47:37,29.90,,,,,
334,06/02/2023 14:52:37,29.86,,,,,
335,06/02/2023 14:57:37,29.86,,,,,
336,06/02/2023 15:02:37,30.03,,,,,
337,06/02/2023 15:07:37,30.03,,,,,
338,06/02/2023 15:12:37,30.03,,,,,
339,06/02/2023 15:17:37,30.24,,,,,
340,06/02/2023 15:22:37,30.46,,,,,
341,06/02/2023 15:27:37,30.84,,,,,
342,06/02/2023 15:32:37,31.06,,,,,
343,06/02/2023 15:37:37,31.44,,,,,
344,06/02/2023 15:42:37,31.44,,,,,
345,06/02/2023 15:47:37,31.49,,,,,
346,06/02/2023 15:52:37,31.57,,,,,
347,06/02/2023 15:57:37,31.74,,,,,
348,06/02/2023 16:02:37,31.87,,,,,
349,06/02/2023 16:07:37,31.74,,,,,
350,06/02/2023 16:12:37,31.83,,,,,
351,06/02/2023 16:17:37,32.00,,,,,
352,06/02/2023 16:22:37,32.04,,,,,
353,06/02/2023 16:27:37,32.17,,,,,
354,06/02/2023 16:32:37,32.26,,,,,
355,06/02/2023 16:37:37,32.39,,,,,
356,06/02/2023 16:42:37,32.30,,,,,
357,06/02/2023 16:47:37,32.39,,,,,
358,06/02/2023 16:52:37,32.52,,,,,
359,06/02/2023 16:57:37,32.60,,,,,
360,06/02/2023 17:02:37,32.34,,,,,
361,06/02/2023 17:07:37,32.47,,,,,
362,06/02/2023 17:12:37,32.47,,,,,
363,06/02/2023 17:17:37,32.22,,,,,
364,06/02/2023 17:22:37,32.17,,,,,
365,06/02/2023 17:27:37,32.17,,,,,
366,06/02/2023 17:32:37,31.96,,,,,
367,06/02/2023 17:37:37,31.87,,,,,
368,06/02/2023 17:42:37,31.79,,,,,
