#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,04/24/2021 10:48:20,20.89,,
2,04/24/2021 10:53:20,20.33,,
3,04/24/2021 10:58:20,19.99,,
4,04/24/2021 11:03:20,19.65,,
5,04/24/2021 11:08:20,19.56,,
6,04/24/2021 11:13:20,19.52,,
7,04/24/2021 11:18:20,19.56,,
8,04/24/2021 11:23:20,19.47,,
9,04/24/2021 11:28:20,19.65,,
10,04/24/2021 11:33:20,19.69,,
11,04/24/2021 11:38:20,19.99,,
12,04/24/2021 11:43:20,20.20,,
13,04/24/2021 11:48:20,20.33,,
14,04/24/2021 11:53:20,20.42,,
15,04/24/2021 11:58:20,20.42,,
16,04/24/2021 12:03:20,20.50,,
17,04/24/2021 12:08:20,20.55,,
18,04/24/2021 12:13:20,20.72,,
19,04/24/2021 12:18:20,20.80,,
20,04/24/2021 12:23:20,21.02,,
21,04/24/2021 12:28:20,21.06,,
22,04/24/2021 12:33:20,21.02,,
23,04/24/2021 12:38:20,21.06,,
24,04/24/2021 12:43:20,21.19,,
25,04/24/2021 12:48:20,21.23,,
26,04/24/2021 12:53:20,21.45,,
27,04/24/2021 12:58:20,21.62,,
28,04/24/2021 13:03:20,21.96,,
29,04/24/2021 13:08:20,22.31,,
30,04/24/2021 13:13:20,22.52,,
31,04/24/2021 13:18:20,22.65,,
32,04/24/2021 13:23:20,22.69,,
33,04/24/2021 13:28:20,22.65,,
34,04/24/2021 13:33:20,22.43,,
35,04/24/2021 13:38:20,22.26,,
36,04/24/2021 13:43:20,22.13,,
37,04/24/2021 13:48:20,22.05,,
38,04/24/2021 13:53:20,21.96,,
39,04/24/2021 13:58:20,21.92,,
40,04/24/2021 14:03:20,21.92,,
41,04/24/2021 14:08:20,21.96,,
42,04/24/2021 14:13:20,21.96,,
43,04/24/2021 14:18:20,22.01,,
44,04/24/2021 14:23:20,22.09,,
45,04/24/2021 14:28:20,22.18,,
46,04/24/2021 14:33:20,22.35,,
47,04/24/2021 14:38:20,22.56,,
48,04/24/2021 14:43:20,22.73,,
49,04/24/2021 14:48:20,22.73,,
50,04/24/2021 14:53:20,22.73,,
51,04/24/2021 14:58:20,22.82,,
52,04/24/2021 15:03:20,22.95,,
53,04/24/2021 15:08:20,23.03,,
54,04/24/2021 15:13:20,22.95,,
55,04/24/2021 15:18:20,22.95,,
56,04/24/2021 15:23:20,22.91,,
57,04/24/2021 15:28:20,22.78,,
58,04/24/2021 15:33:20,22.61,,
59,04/24/2021 15:38:20,22.43,,
60,04/24/2021 15:43:20,22.18,,
61,04/24/2021 15:48:20,21.96,,
62,04/24/2021 15:53:20,22.01,,
63,04/24/2021 15:58:20,22.13,,
64,04/24/2021 16:03:20,22.13,,
65,04/24/2021 16:08:20,22.01,,
66,04/24/2021 16:13:20,21.83,,
67,04/24/2021 16:18:20,21.75,,
68,04/24/2021 16:23:20,21.66,,
69,04/24/2021 16:28:20,21.49,,
70,04/24/2021 16:33:20,21.36,,
71,04/24/2021 16:38:20,21.19,,
72,04/24/2021 16:43:20,21.10,,
73,04/24/2021 16:48:20,20.93,,
74,04/24/2021 16:53:20,20.89,,
75,04/24/2021 16:58:20,20.76,,
76,04/24/2021 17:03:20,20.63,,
77,04/24/2021 17:08:20,20.42,,
78,04/24/2021 17:13:20,20.29,,
79,04/24/2021 17:18:20,20.20,,
80,04/24/2021 17:23:20,19.99,,
81,04/24/2021 17:28:20,19.86,,
82,04/24/2021 17:33:20,19.73,,
83,04/24/2021 17:38:20,19.60,,
84,04/24/2021 17:43:20,19.47,,
85,04/24/2021 17:48:20,19.35,,
86,04/24/2021 17:53:20,19.17,,
87,04/24/2021 17:58:20,19.00,,
88,04/24/2021 18:03:20,18.83,,
89,04/24/2021 18:08:20,18.70,,
90,04/24/2021 18:13:20,18.53,,
91,04/24/2021 18:18:20,18.40,,
92,04/24/2021 18:23:20,18.36,,
93,04/24/2021 18:28:20,18.32,,
94,04/24/2021 18:33:20,18.27,,
95,04/24/2021 18:38:20,18.23,,
96,04/24/2021 18:43:20,18.14,,
97,04/24/2021 18:48:20,18.02,,
98,04/24/2021 18:53:20,17.97,,
99,04/24/2021 18:58:20,17.84,,
100,04/24/2021 19:03:20,17.76,,
101,04/24/2021 19:08:20,17.59,,
102,04/24/2021 19:13:20,17.46,,
103,04/24/2021 19:18:20,17.33,,
104,04/24/2021 19:23:20,17.24,,
105,04/24/2021 19:28:20,17.16,,
106,04/24/2021 19:33:20,17.07,,
107,04/24/2021 19:38:20,16.94,,
108,04/24/2021 19:43:20,16.86,,
109,04/24/2021 19:48:20,16.69,,
110,04/24/2021 19:53:20,16.60,,
111,04/24/2021 19:58:20,16.51,,
112,04/24/2021 20:03:20,16.43,,
113,04/24/2021 20:08:20,16.34,,
114,04/24/2021 20:13:20,16.21,,
115,04/24/2021 20:18:20,16.21,,
116,04/24/2021 20:23:20,16.08,,
117,04/24/2021 20:28:20,16.00,,
118,04/24/2021 20:33:20,16.00,,
119,04/24/2021 20:38:20,15.91,,
120,04/24/2021 20:43:20,15.83,,
121,04/24/2021 20:48:20,15.78,,
122,04/24/2021 20:53:20,15.66,,
123,04/24/2021 20:58:20,15.57,,
124,04/24/2021 21:03:20,15.48,,
125,04/24/2021 21:08:20,15.44,,
126,04/24/2021 21:13:20,15.27,,
127,04/24/2021 21:18:20,15.27,,
128,04/24/2021 21:23:20,15.18,,
129,04/24/2021 21:28:20,15.14,,
130,04/24/2021 21:33:20,15.10,,
131,04/24/2021 21:38:20,15.01,,
132,04/24/2021 21:43:20,14.93,,
133,04/24/2021 21:48:20,14.88,,
134,04/24/2021 21:53:20,14.84,,
135,04/24/2021 21:58:20,14.75,,
136,04/24/2021 22:03:20,14.71,,
137,04/24/2021 22:08:20,14.67,,
138,04/24/2021 22:13:20,14.58,,
139,04/24/2021 22:18:20,14.50,,
140,04/24/2021 22:23:20,14.50,,
141,04/24/2021 22:28:20,14.45,,
142,04/24/2021 22:33:20,14.37,,
143,04/24/2021 22:38:20,14.33,,
144,04/24/2021 22:43:20,14.28,,
145,04/24/2021 22:48:20,14.20,,
146,04/24/2021 22:53:20,14.15,,
147,04/24/2021 22:58:20,14.07,,
148,04/24/2021 23:03:20,14.03,,
149,04/24/2021 23:08:20,13.98,,
150,04/24/2021 23:13:20,13.94,,
151,04/24/2021 23:18:20,13.85,,
152,04/24/2021 23:23:20,13.77,,
153,04/24/2021 23:28:20,13.68,,
154,04/24/2021 23:33:20,13.60,,
155,04/24/2021 23:38:20,13.55,,
156,04/24/2021 23:43:20,13.51,,
157,04/24/2021 23:48:20,13.38,,
158,04/24/2021 23:53:20,13.38,,
159,04/24/2021 23:58:20,13.43,,
160,04/25/2021 00:03:20,13.43,,
161,04/25/2021 00:08:20,13.34,,
162,04/25/2021 00:13:20,13.38,,
163,04/25/2021 00:18:20,13.43,,
164,04/25/2021 00:23:20,13.38,,
165,04/25/2021 00:28:20,13.38,,
166,04/25/2021 00:33:20,13.30,,
167,04/25/2021 00:38:20,13.30,,
168,04/25/2021 00:43:20,13.30,,
169,04/25/2021 00:48:20,13.25,,
170,04/25/2021 00:53:20,13.30,,
171,04/25/2021 00:58:20,13.25,,
172,04/25/2021 01:03:20,13.25,,
173,04/25/2021 01:08:20,13.21,,
174,04/25/2021 01:13:20,13.25,,
175,04/25/2021 01:18:20,13.21,,
176,04/25/2021 01:23:20,13.25,,
177,04/25/2021 01:28:20,13.25,,
178,04/25/2021 01:33:20,13.30,,
179,04/25/2021 01:38:20,13.34,,
180,04/25/2021 01:43:20,13.34,,
181,04/25/2021 01:48:20,13.34,,
182,04/25/2021 01:53:20,13.34,,
183,04/25/2021 01:58:20,13.25,,
184,04/25/2021 02:03:20,13.17,,
185,04/25/2021 02:08:20,13.17,,
186,04/25/2021 02:13:20,13.08,,
187,04/25/2021 02:18:20,13.00,,
188,04/25/2021 02:23:20,12.91,,
189,04/25/2021 02:28:20,12.82,,
190,04/25/2021 02:33:20,12.82,,
191,04/25/2021 02:38:20,12.78,,
192,04/25/2021 02:43:20,12.82,,
193,04/25/2021 02:48:20,12.70,,
194,04/25/2021 02:53:20,12.70,,
195,04/25/2021 02:58:20,12.70,,
196,04/25/2021 03:03:20,12.61,,
197,04/25/2021 03:08:20,12.70,,
198,04/25/2021 03:13:20,12.65,,
199,04/25/2021 03:18:20,12.61,,
200,04/25/2021 03:23:20,12.57,,
201,04/25/2021 03:28:20,12.48,,
202,04/25/2021 03:33:20,12.48,,
203,04/25/2021 03:38:20,12.48,,
204,04/25/2021 03:43:20,12.44,,
205,04/25/2021 03:48:20,12.44,,
206,04/25/2021 03:53:20,12.44,,
207,04/25/2021 03:58:20,12.35,,
208,04/25/2021 04:03:20,12.31,,
209,04/25/2021 04:08:20,12.27,,
210,04/25/2021 04:13:20,12.22,,
211,04/25/2021 04:18:20,12.18,,
212,04/25/2021 04:23:20,12.14,,
213,04/25/2021 04:28:20,12.10,,
214,04/25/2021 04:33:20,12.10,,
215,04/25/2021 04:38:20,12.05,,
216,04/25/2021 04:43:20,12.05,,
217,04/25/2021 04:48:20,12.05,,
218,04/25/2021 04:53:20,12.01,,
219,04/25/2021 04:58:20,12.01,,
220,04/25/2021 05:03:20,12.01,,
221,04/25/2021 05:08:20,12.10,,
222,04/25/2021 05:13:20,12.10,,
223,04/25/2021 05:18:20,12.10,,
224,04/25/2021 05:23:20,12.14,,
225,04/25/2021 05:28:20,12.05,,
226,04/25/2021 05:33:20,12.10,,
227,04/25/2021 05:38:20,12.01,,
228,04/25/2021 05:43:20,11.97,,
229,04/25/2021 05:48:20,12.01,,
230,04/25/2021 05:53:20,11.92,,
231,04/25/2021 05:58:20,11.92,,
232,04/25/2021 06:03:20,11.88,,
233,04/25/2021 06:08:20,11.84,,
234,04/25/2021 06:13:20,11.75,,
235,04/25/2021 06:18:20,11.67,,
236,04/25/2021 06:23:20,11.58,,
237,04/25/2021 06:28:20,11.62,,
238,04/25/2021 06:33:20,11.49,,
239,04/25/2021 06:38:20,11.49,,
240,04/25/2021 06:43:20,11.49,,
241,04/25/2021 06:48:20,11.41,,
242,04/25/2021 06:53:20,11.41,,
243,04/25/2021 06:58:20,11.45,,
244,04/25/2021 07:03:20,11.37,,
245,04/25/2021 07:08:20,11.37,,
246,04/25/2021 07:13:20,11.41,,
247,04/25/2021 07:18:20,11.45,,
248,04/25/2021 07:23:20,11.45,,
249,04/25/2021 07:28:20,11.49,,
250,04/25/2021 07:33:20,11.54,,
251,04/25/2021 07:38:20,11.54,,
252,04/25/2021 07:43:20,11.58,,
253,04/25/2021 07:48:20,11.67,,
254,04/25/2021 07:53:20,11.67,,
255,04/25/2021 07:58:20,11.71,,
256,04/25/2021 08:03:20,11.75,,
257,04/25/2021 08:08:20,11.71,,
258,04/25/2021 08:13:20,11.79,,
259,04/25/2021 08:18:20,11.79,,
260,04/25/2021 08:23:20,11.88,,
261,04/25/2021 08:28:20,11.92,,
262,04/25/2021 08:33:20,11.97,,
263,04/25/2021 08:38:20,12.05,,
264,04/25/2021 08:43:20,12.14,,
265,04/25/2021 08:48:20,12.18,,
266,04/25/2021 08:53:20,12.31,,
267,04/25/2021 08:58:20,12.40,,
268,04/25/2021 09:03:20,12.52,,
269,04/25/2021 09:08:20,12.52,,
270,04/25/2021 09:13:20,12.57,,
271,04/25/2021 09:18:20,12.52,,
272,04/25/2021 09:23:20,12.65,,
273,04/25/2021 09:28:20,12.65,,
274,04/25/2021 09:33:20,12.74,,
275,04/25/2021 09:38:20,12.78,,
276,04/25/2021 09:43:20,12.82,,
277,04/25/2021 09:48:20,12.87,,
278,04/25/2021 09:53:20,12.95,,
279,04/25/2021 09:58:20,13.12,,
280,04/25/2021 10:03:20,13.25,,
281,04/25/2021 10:08:20,13.47,,
282,04/25/2021 10:13:20,13.64,,
283,04/25/2021 10:18:20,13.77,,
284,04/25/2021 10:23:20,13.90,,
285,04/25/2021 10:28:20,14.11,,
286,04/25/2021 10:33:20,14.45,,
287,04/25/2021 10:38:20,14.88,,
288,04/25/2021 10:43:20,15.06,,
289,04/25/2021 10:48:20,15.23,,
290,04/25/2021 10:53:20,15.31,,
