#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,04/24/2021 11:06:35,22.18,,
2,04/24/2021 11:11:35,21.40,,
3,04/24/2021 11:16:35,21.19,,
4,04/24/2021 11:21:35,21.15,,
5,04/24/2021 11:26:35,21.23,,
6,04/24/2021 11:31:35,21.36,,
7,04/24/2021 11:36:35,21.32,,
8,04/24/2021 11:41:35,21.53,,
9,04/24/2021 11:46:35,21.75,,
10,04/24/2021 11:51:35,21.75,,
11,04/24/2021 11:56:35,21.70,,
12,04/24/2021 12:01:35,21.96,,
13,04/24/2021 12:06:35,22.18,,
14,04/24/2021 12:11:35,22.09,,
15,04/24/2021 12:16:35,22.18,,
16,04/24/2021 12:21:35,22.05,,
17,04/24/2021 12:26:35,22.18,,
18,04/24/2021 12:31:35,21.83,,
19,04/24/2021 12:36:35,21.79,,
20,04/24/2021 12:41:35,22.13,,
21,04/24/2021 12:46:35,22.09,,
22,04/24/2021 12:51:35,22.99,,
23,04/24/2021 12:56:35,23.68,,
24,04/24/2021 13:01:35,24.15,,
25,04/24/2021 13:06:35,24.32,,
26,04/24/2021 13:11:35,24.45,,
27,04/24/2021 13:16:35,24.54,,
28,04/24/2021 13:21:35,24.84,,
29,04/24/2021 13:26:35,23.89,,
30,04/24/2021 13:31:35,23.38,,
31,04/24/2021 13:36:35,22.91,,
32,04/24/2021 13:41:35,22.35,,
33,04/24/2021 13:46:35,22.01,,
34,04/24/2021 13:51:35,21.83,,
35,04/24/2021 13:56:35,21.75,,
36,04/24/2021 14:01:35,22.52,,
37,04/24/2021 14:06:35,22.61,,
38,04/24/2021 14:11:35,22.52,,
39,04/24/2021 14:16:35,22.05,,
40,04/24/2021 14:21:35,22.82,,
41,04/24/2021 14:26:35,23.68,,
42,04/24/2021 14:31:35,23.89,,
43,04/24/2021 14:36:35,24.06,,
44,04/24/2021 14:41:35,24.54,,
45,04/24/2021 14:46:35,24.58,,
46,04/24/2021 14:51:35,24.41,,
47,04/24/2021 14:56:35,24.54,,
48,04/24/2021 15:01:35,24.92,,
49,04/24/2021 15:06:35,24.24,,
50,04/24/2021 15:11:35,23.64,,
51,04/24/2021 15:16:35,22.91,,
52,04/24/2021 15:21:35,22.56,,
53,04/24/2021 15:26:35,22.56,,
54,04/24/2021 15:31:35,22.65,,
55,04/24/2021 15:36:35,22.65,,
56,04/24/2021 15:41:35,22.82,,
57,04/24/2021 15:46:35,23.59,,
58,04/24/2021 15:51:35,23.89,,
59,04/24/2021 15:56:35,23.42,,
60,04/24/2021 16:01:35,23.21,,
61,04/24/2021 16:06:35,22.99,,
62,04/24/2021 16:11:35,22.69,,
63,04/24/2021 16:16:35,22.18,,
64,04/24/2021 16:21:35,21.83,,
65,04/24/2021 16:26:35,21.66,,
66,04/24/2021 16:31:35,21.23,,
67,04/24/2021 16:36:35,21.06,,
68,04/24/2021 16:41:35,20.89,,
