#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,Stopped,End of File
1,04/06/2021 14:53:09,29.94,,,
2,04/06/2021 14:53:37,,Logged,,
3,04/06/2021 14:54:09,,Logged,,
4,04/06/2021 14:58:09,27.93,,,
5,04/06/2021 15:03:09,27.20,,,
6,04/06/2021 15:08:09,26.85,,,
7,04/06/2021 15:13:09,26.85,,,
8,04/06/2021 15:18:09,26.94,,,
9,04/06/2021 15:23:09,26.85,,,
10,04/06/2021 15:28:09,26.77,,,
11,04/06/2021 15:33:09,26.81,,,
12,04/06/2021 15:38:09,26.60,,,
13,04/06/2021 15:43:09,26.38,,,
14,04/06/2021 15:48:09,26.47,,,
15,04/06/2021 15:53:09,26.55,,,
16,04/06/2021 15:58:09,26.60,,,
17,04/06/2021 16:03:09,26.51,,,
18,04/06/2021 16:08:09,26.68,,,
19,04/06/2021 16:13:09,26.85,,,
20,04/06/2021 16:18:09,26.81,,,
21,04/06/2021 16:23:09,26.55,,,
22,04/06/2021 16:28:09,26.42,,,
23,04/06/2021 16:33:09,26.42,,,
24,04/06/2021 16:38:09,26.55,,,
25,04/06/2021 16:43:09,26.51,,,
26,04/06/2021 16:48:09,26.30,,,
27,04/06/2021 16:53:09,26.21,,,
28,04/06/2021 16:58:09,26.12,,,
29,04/06/2021 17:03:09,26.12,,,
30,04/06/2021 17:08:09,25.95,,,
31,04/06/2021 17:13:09,25.82,,,
32,04/06/2021 17:18:09,25.74,,,
33,04/06/2021 17:23:09,25.52,,,
34,04/06/2021 17:28:09,25.48,,,
35,04/06/2021 17:33:09,25.52,,,
36,04/06/2021 17:38:09,25.39,,,
37,04/06/2021 17:43:09,25.48,,,
38,04/06/2021 17:48:09,25.39,,,
39,04/06/2021 17:53:09,25.57,,,
40,04/06/2021 17:58:09,25.74,,,
41,04/06/2021 18:03:09,25.78,,,
42,04/06/2021 18:08:09,25.61,,,
43,04/06/2021 18:13:09,25.39,,,
44,04/06/2021 18:18:09,25.09,,,
45,04/06/2021 18:23:09,24.62,,,
46,04/06/2021 18:28:09,24.24,,,
47,04/06/2021 18:33:09,23.94,,,
48,04/06/2021 18:38:09,23.68,,,
49,04/06/2021 18:43:09,23.46,,,
50,04/06/2021 18:48:09,23.16,,,
51,04/06/2021 18:53:09,22.91,,,
52,04/06/2021 18:58:09,22.69,,,
53,04/06/2021 19:03:09,22.43,,,
54,04/06/2021 19:08:09,22.13,,,
55,04/06/2021 19:13:09,21.79,,,
56,04/06/2021 19:18:09,21.28,,,
57,04/06/2021 19:23:09,20.80,,,
58,04/06/2021 19:28:09,20.29,,,
59,04/06/2021 19:33:09,19.82,,,
60,04/06/2021 19:38:09,19.43,,,
61,04/06/2021 19:43:09,19.09,,,
62,04/06/2021 19:48:09,18.70,,,
63,04/06/2021 19:53:09,18.36,,,
64,04/06/2021 19:58:09,18.06,,,
65,04/06/2021 20:03:09,17.76,,,
66,04/06/2021 20:08:09,17.41,,,
67,04/06/2021 20:13:09,17.16,,,
68,04/06/2021 20:18:09,16.86,,,
69,04/06/2021 20:23:09,16.60,,,
70,04/06/2021 20:28:09,16.30,,,
71,04/06/2021 20:33:09,16.00,,,
72,04/06/2021 20:38:09,15.78,,,
73,04/06/2021 20:43:09,15.66,,,
74,04/06/2021 20:48:09,15.44,,,
75,04/06/2021 20:53:09,15.23,,,
76,04/06/2021 20:58:09,15.06,,,
77,04/06/2021 21:03:09,14.84,,,
78,04/06/2021 21:08:09,14.71,,,
79,04/06/2021 21:13:09,14.63,,,
80,04/06/2021 21:18:09,14.50,,,
81,04/06/2021 21:23:09,14.33,,,
82,04/06/2021 21:28:09,14.24,,,
83,04/06/2021 21:33:09,13.98,,,
84,04/06/2021 21:38:09,13.85,,,
85,04/06/2021 21:43:09,13.64,,,
86,04/06/2021 21:48:09,13.43,,,
