#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,05/21/2021 11:23:20,28.40,,
2,05/21/2021 11:28:20,27.20,,
3,05/21/2021 11:33:20,26.21,,
4,05/21/2021 11:38:20,25.57,,
5,05/21/2021 11:43:20,25.05,,
6,05/21/2021 11:48:20,24.92,,
7,05/21/2021 11:53:20,25.05,,
8,05/21/2021 11:58:20,25.39,,
9,05/21/2021 12:03:20,25.14,,
10,05/21/2021 12:08:20,25.39,,
11,05/21/2021 12:13:20,25.31,,
12,05/21/2021 12:18:20,24.97,,
13,05/21/2021 12:23:20,25.05,,
14,05/21/2021 12:28:20,25.01,,
15,05/21/2021 12:33:20,25.14,,
16,05/21/2021 12:38:20,25.18,,
17,05/21/2021 12:43:20,25.05,,
18,05/21/2021 12:48:20,24.92,,
19,05/21/2021 12:53:20,24.97,,
20,05/21/2021 12:58:20,24.71,,
21,05/21/2021 13:03:20,24.88,,
22,05/21/2021 13:08:20,25.05,,
23,05/21/2021 13:13:20,25.09,,
24,05/21/2021 13:18:20,25.09,,
25,05/21/2021 13:23:20,25.14,,
26,05/21/2021 13:28:20,24.79,,
27,05/21/2021 13:33:20,24.45,,
28,05/21/2021 13:38:20,24.54,,
29,05/21/2021 13:43:20,24.66,,
30,05/21/2021 13:48:20,24.88,,
31,05/21/2021 13:53:20,25.18,,
32,05/21/2021 13:58:20,25.18,,
33,05/21/2021 14:03:20,25.22,,
34,05/21/2021 14:08:20,25.31,,
35,05/21/2021 14:13:20,25.39,,
36,05/21/2021 14:18:20,25.52,,
37,05/21/2021 14:23:20,25.82,,
38,05/21/2021 14:28:20,26.17,,
39,05/21/2021 14:33:20,26.51,,
40,05/21/2021 14:38:20,26.81,,
41,05/21/2021 14:43:20,26.81,,
42,05/21/2021 14:48:20,26.90,,
43,05/21/2021 14:53:20,27.15,,
44,05/21/2021 14:58:20,27.32,,
45,05/21/2021 15:03:20,27.58,,
46,05/21/2021 15:08:20,27.54,,
47,05/21/2021 15:13:20,27.67,,
48,05/21/2021 15:18:20,27.75,,
49,05/21/2021 15:23:20,28.01,,
50,05/21/2021 15:28:20,28.05,,
51,05/21/2021 15:33:20,28.18,,
52,05/21/2021 15:38:20,28.14,,
53,05/21/2021 15:43:20,28.27,,
54,05/21/2021 15:48:20,28.23,,
55,05/21/2021 15:53:20,27.75,,
56,05/21/2021 15:58:20,27.15,,
57,05/21/2021 16:03:20,26.90,,
58,05/21/2021 16:08:20,26.81,,
59,05/21/2021 16:13:20,26.51,,
60,05/21/2021 16:18:20,26.64,,
61,05/21/2021 16:23:20,26.77,,
62,05/21/2021 16:28:20,26.81,,
63,05/21/2021 16:33:20,26.47,,
64,05/21/2021 16:38:20,26.25,,
65,05/21/2021 16:43:20,26.17,,
66,05/21/2021 16:48:20,25.95,,
67,05/21/2021 16:53:20,25.91,,
68,05/21/2021 16:58:20,25.74,,
69,05/21/2021 17:03:20,25.87,,
70,05/21/2021 17:08:20,26.04,,
71,05/21/2021 17:13:20,25.99,,
72,05/21/2021 17:18:20,26.17,,
73,05/21/2021 17:23:20,26.17,,
74,05/21/2021 17:28:20,26.04,,
75,05/21/2021 17:33:20,25.82,,
76,05/21/2021 17:38:20,25.61,,
77,05/21/2021 17:43:20,25.39,,
78,05/21/2021 17:48:20,25.22,,
79,05/21/2021 17:53:20,25.18,,
80,05/21/2021 17:58:20,25.14,,
81,05/21/2021 18:03:20,25.14,,
82,05/21/2021 18:08:20,25.18,,
83,05/21/2021 18:13:20,25.09,,
84,05/21/2021 18:18:20,25.18,,
85,05/21/2021 18:23:20,25.18,,
86,05/21/2021 18:28:20,25.27,,
87,05/21/2021 18:33:20,25.05,,
88,05/21/2021 18:38:20,24.88,,
89,05/21/2021 18:43:20,24.79,,
90,05/21/2021 18:48:20,24.58,,
91,05/21/2021 18:53:20,24.41,,
92,05/21/2021 18:58:20,24.19,,
93,05/21/2021 19:03:20,24.11,,
94,05/21/2021 19:08:20,23.98,,
95,05/21/2021 19:13:20,23.85,,
96,05/21/2021 19:18:20,23.64,,
97,05/21/2021 19:23:20,23.46,,
98,05/21/2021 19:28:20,23.29,,
99,05/21/2021 19:33:20,23.08,,
100,05/21/2021 19:38:20,22.78,,
101,05/21/2021 19:43:20,22.52,,
102,05/21/2021 19:48:20,22.26,,
103,05/21/2021 19:53:20,21.96,,
104,05/21/2021 19:58:20,21.79,,
105,05/21/2021 20:03:20,21.40,,
106,05/21/2021 20:08:20,21.06,,
107,05/21/2021 20:13:20,20.63,,
108,05/21/2021 20:18:20,20.20,,
109,05/21/2021 20:23:20,19.73,,
110,05/21/2021 20:28:20,19.43,,
111,05/21/2021 20:33:20,19.35,,
112,05/21/2021 20:38:20,19.17,,
113,05/21/2021 20:43:20,19.22,,
114,05/21/2021 20:48:20,19.05,,
115,05/21/2021 20:53:20,18.87,,
116,05/21/2021 20:58:20,18.96,,
117,05/21/2021 21:03:20,19.17,,
118,05/21/2021 21:08:20,19.05,,
119,05/21/2021 21:13:20,18.87,,
120,05/21/2021 21:18:20,18.74,,
121,05/21/2021 21:23:20,18.70,,
122,05/21/2021 21:28:20,18.44,,
123,05/21/2021 21:33:20,18.19,,
124,05/21/2021 21:38:20,18.14,,
125,05/21/2021 21:43:20,17.97,,
126,05/21/2021 21:48:20,17.84,,
127,05/21/2021 21:53:20,17.67,,
128,05/21/2021 21:58:20,17.46,,
129,05/21/2021 22:03:20,17.20,,
130,05/21/2021 22:08:20,16.90,,
131,05/21/2021 22:13:20,16.64,,
132,05/21/2021 22:18:20,16.43,,
133,05/21/2021 22:23:20,16.26,,
134,05/21/2021 22:28:20,15.96,,
135,05/21/2021 22:33:20,15.70,,
136,05/21/2021 22:38:20,15.36,,
137,05/21/2021 22:43:20,15.10,,
138,05/21/2021 22:48:20,14.84,,
139,05/21/2021 22:53:20,14.63,,
140,05/21/2021 22:58:20,14.37,,
141,05/21/2021 23:03:20,14.15,,
142,05/21/2021 23:08:20,13.94,,
143,05/21/2021 23:13:20,13.85,,
144,05/21/2021 23:18:20,13.68,,
145,05/21/2021 23:23:20,13.51,,
146,05/21/2021 23:28:20,13.43,,
147,05/21/2021 23:33:20,13.43,,
148,05/21/2021 23:38:20,13.30,,
149,05/21/2021 23:43:20,13.25,,
150,05/21/2021 23:48:20,13.21,,
151,05/21/2021 23:53:20,13.04,,
152,05/21/2021 23:58:20,13.04,,
153,05/22/2021 00:03:20,12.91,,
154,05/22/2021 00:08:20,12.70,,
155,05/22/2021 00:13:20,12.61,,
156,05/22/2021 00:18:20,12.40,,
157,05/22/2021 00:23:20,12.18,,
158,05/22/2021 00:28:20,11.92,,
159,05/22/2021 00:33:20,11.71,,
160,05/22/2021 00:38:20,11.54,,
161,05/22/2021 00:43:20,11.45,,
162,05/22/2021 00:48:20,11.41,,
163,05/22/2021 00:53:20,11.32,,
164,05/22/2021 00:58:20,11.19,,
165,05/22/2021 01:03:20,11.11,,
166,05/22/2021 01:08:20,11.45,,
167,05/22/2021 01:13:20,11.32,,
168,05/22/2021 01:18:20,11.11,,
169,05/22/2021 01:23:20,10.94,,
170,05/22/2021 01:28:20,10.72,,
171,05/22/2021 01:33:20,10.46,,
172,05/22/2021 01:38:20,10.25,,
173,05/22/2021 01:43:20,10.04,,
174,05/22/2021 01:48:20,9.82,,
175,05/22/2021 01:53:20,9.69,,
176,05/22/2021 01:58:20,9.56,,
177,05/22/2021 02:03:20,9.39,,
178,05/22/2021 02:08:20,9.35,,
179,05/22/2021 02:13:20,9.31,,
180,05/22/2021 02:18:20,9.22,,
181,05/22/2021 02:23:20,9.22,,
182,05/22/2021 02:28:20,9.05,,
183,05/22/2021 02:33:20,8.96,,
184,05/22/2021 02:38:20,8.88,,
185,05/22/2021 02:43:20,8.83,,
186,05/22/2021 02:48:20,8.79,,
187,05/22/2021 02:53:20,8.71,,
188,05/22/2021 02:58:20,8.75,,
189,05/22/2021 03:03:20,8.71,,
190,05/22/2021 03:08:20,8.58,,
191,05/22/2021 03:13:20,8.53,,
192,05/22/2021 03:18:20,8.53,,
193,05/22/2021 03:23:20,8.45,,
194,05/22/2021 03:28:20,8.45,,
195,05/22/2021 03:33:20,8.41,,
196,05/22/2021 03:38:20,8.45,,
197,05/22/2021 03:43:20,8.49,,
198,05/22/2021 03:48:20,8.53,,
199,05/22/2021 03:53:20,8.49,,
200,05/22/2021 03:58:20,8.45,,
201,05/22/2021 04:03:20,8.41,,
202,05/22/2021 04:08:20,8.28,,
203,05/22/2021 04:13:20,8.11,,
204,05/22/2021 04:18:20,7.98,,
205,05/22/2021 04:23:20,7.81,,
206,05/22/2021 04:28:20,7.72,,
207,05/22/2021 04:33:20,7.59,,
208,05/22/2021 04:38:20,7.55,,
209,05/22/2021 04:43:20,7.50,,
210,05/22/2021 04:48:20,7.46,,
211,05/22/2021 04:53:20,7.38,,
212,05/22/2021 04:58:20,7.29,,
213,05/22/2021 05:03:20,7.29,,
214,05/22/2021 05:08:20,7.25,,
215,05/22/2021 05:13:20,7.33,,
216,05/22/2021 05:18:20,7.63,,
217,05/22/2021 05:23:20,7.85,,
218,05/22/2021 05:28:20,7.89,,
219,05/22/2021 05:33:20,7.81,,
220,05/22/2021 05:38:20,7.68,,
221,05/22/2021 05:43:20,7.59,,
222,05/22/2021 05:48:20,7.46,,
223,05/22/2021 05:53:20,7.29,,
224,05/22/2021 05:58:20,7.25,,
225,05/22/2021 06:03:20,7.16,,
226,05/22/2021 06:08:20,7.12,,
227,05/22/2021 06:13:20,7.03,,
228,05/22/2021 06:18:20,7.08,,
229,05/22/2021 06:23:20,7.12,,
230,05/22/2021 06:28:20,7.33,,
231,05/22/2021 06:33:20,7.55,,
232,05/22/2021 06:38:20,7.55,,
233,05/22/2021 06:43:20,7.55,,
234,05/22/2021 06:48:20,7.50,,
235,05/22/2021 06:53:20,7.63,,
236,05/22/2021 06:58:20,7.85,,
237,05/22/2021 07:03:20,8.45,,
238,05/22/2021 07:08:20,9.26,,
239,05/22/2021 07:13:20,10.04,,
240,05/22/2021 07:18:20,10.85,,
241,05/22/2021 07:23:20,11.84,,
242,05/22/2021 07:28:20,13.34,,
243,05/22/2021 07:33:20,14.50,,
244,05/22/2021 07:38:20,15.78,,
245,05/22/2021 07:43:20,16.60,,
246,05/22/2021 07:48:20,17.54,,
247,05/22/2021 07:53:20,18.40,,
248,05/22/2021 07:58:20,19.13,,
