#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/02/2023 10:04:25,19.26,,,,
2,05/02/2023 10:09:25,18.02,,,,
3,05/02/2023 10:14:25,16.08,,,,
4,05/02/2023 10:19:25,16.81,,,,
5,05/02/2023 10:24:25,15.44,,,,
6,05/02/2023 10:29:25,14.33,,,,
7,05/02/2023 10:34:25,13.51,,,,
8,05/02/2023 10:39:25,13.00,,,,
9,05/02/2023 10:44:25,12.35,,,,
10,05/02/2023 10:49:25,11.84,,,,
11,05/02/2023 10:54:25,11.32,,,,
12,05/02/2023 10:59:25,11.07,,,,
13,05/02/2023 11:04:25,11.37,,,,
14,05/02/2023 11:09:25,13.64,,,,
15,05/02/2023 11:14:25,16.47,,,,
16,05/02/2023 11:19:25,17.84,,,,
17,05/02/2023 11:24:25,18.02,,,,
18,05/02/2023 11:29:25,18.06,,,,
19,05/02/2023 11:34:25,15.57,,,,
20,05/02/2023 11:39:25,14.93,,,,
21,05/02/2023 11:44:25,15.74,,,,
22,05/02/2023 11:49:25,15.87,,,,
23,05/02/2023 11:54:25,16.60,,,,
24,05/02/2023 11:59:25,16.13,,,,
25,05/02/2023 12:04:25,14.97,,,,
26,05/02/2023 12:09:25,14.88,,,,
27,05/02/2023 12:14:25,15.70,,,,
28,05/02/2023 12:19:25,18.40,,,,
29,05/02/2023 12:24:25,18.27,,,,
30,05/02/2023 12:29:25,19.22,,,,
31,05/02/2023 12:34:25,20.29,,,,
32,05/02/2023 12:39:25,19.22,,,,
33,05/02/2023 12:44:25,19.60,,,,
34,05/02/2023 12:49:25,19.99,,,,
35,05/02/2023 12:54:25,20.07,,,,
36,05/02/2023 12:59:25,18.92,,,,
37,05/02/2023 13:04:25,20.72,,,,
38,05/02/2023 13:09:25,18.32,,,,
39,05/02/2023 13:14:25,18.96,,,,
40,05/02/2023 13:19:25,19.69,,,,
41,05/02/2023 13:24:25,20.03,,,,
42,05/02/2023 13:29:25,19.26,,,,
43,05/02/2023 13:34:25,18.40,,,,
44,05/02/2023 13:39:25,17.54,,,,
45,05/02/2023 13:44:25,19.26,,,,
46,05/02/2023 13:49:25,18.32,,,,
47,05/02/2023 13:54:25,17.50,,,,
48,05/02/2023 13:59:25,17.20,,,,
49,05/02/2023 14:04:25,16.69,,,,
50,05/02/2023 14:09:25,16.17,,,,
51,05/02/2023 14:14:25,15.83,,,,
52,05/02/2023 14:19:25,15.66,,,,
53,05/02/2023 14:24:25,15.57,,,,
54,05/02/2023 14:29:25,15.31,,,,
55,05/02/2023 14:34:25,15.66,,,,
56,05/02/2023 14:39:25,16.77,,,,
57,05/02/2023 14:44:25,17.80,,,,
58,05/02/2023 14:49:25,18.79,,,,
59,05/02/2023 14:54:25,19.35,,,,
60,05/02/2023 14:59:25,19.82,,,,
61,05/02/2023 15:04:25,19.99,,,,
62,05/02/2023 15:09:25,19.56,,,,
63,05/02/2023 15:14:25,19.39,,,,
64,05/02/2023 15:19:25,19.26,,,,
65,05/02/2023 15:24:25,19.60,,,,
66,05/02/2023 15:29:25,20.07,,,,
67,05/02/2023 15:34:25,19.86,,,,
68,05/02/2023 15:39:25,20.37,,,,
69,05/02/2023 15:44:25,20.37,,,,
70,05/02/2023 15:49:25,19.69,,,,
71,05/02/2023 15:54:25,19.39,,,,
72,05/02/2023 15:59:25,19.39,,,,
73,05/02/2023 16:04:25,19.26,,,,
74,05/02/2023 16:09:25,19.60,,,,
75,05/02/2023 16:14:25,19.90,,,,
76,05/02/2023 16:19:25,19.39,,,,
77,05/02/2023 16:24:25,18.66,,,,
78,05/02/2023 16:29:25,18.92,,,,
79,05/02/2023 16:34:25,18.40,,,,
80,05/02/2023 16:39:25,18.62,,,,
81,05/02/2023 16:44:25,18.62,,,,
82,05/02/2023 16:49:25,17.80,,,,
83,05/02/2023 16:54:25,16.90,,,,
84,05/02/2023 16:59:25,16.86,,,,
85,05/02/2023 17:04:25,17.33,,,,
86,05/02/2023 17:09:25,17.59,,,,
87,05/02/2023 17:14:25,17.03,,,,
88,05/02/2023 17:19:25,16.81,,,,
89,05/02/2023 17:24:25,16.51,,,,
90,05/02/2023 17:29:25,16.13,,,,
91,05/02/2023 17:34:25,15.70,,,,
92,05/02/2023 17:39:25,15.44,,,,
93,05/02/2023 17:44:25,15.14,,,,
94,05/02/2023 17:49:25,14.67,,,,
95,05/02/2023 17:54:25,14.11,,,,
96,05/02/2023 17:59:25,13.94,,,,
97,05/02/2023 18:04:25,14.07,,,,
98,05/02/2023 18:09:25,14.37,,,,
99,05/02/2023 18:14:25,14.45,,,,
100,05/02/2023 18:19:25,14.58,,,,
101,05/02/2023 18:24:25,14.75,,,,
102,05/02/2023 18:29:25,14.71,,,,
103,05/02/2023 18:34:25,14.41,,,,
104,05/02/2023 18:39:25,14.11,,,,
105,05/02/2023 18:44:25,13.81,,,,
106,05/02/2023 18:49:25,13.55,,,,
107,05/02/2023 18:54:25,13.47,,,,
108,05/02/2023 18:59:25,13.38,,,,
109,05/02/2023 19:04:25,13.34,,,,
110,05/02/2023 19:09:25,13.17,,,,
111,05/02/2023 19:14:25,13.04,,,,
112,05/02/2023 19:19:25,12.91,,,,
113,05/02/2023 19:24:25,12.74,,,,
114,05/02/2023 19:29:25,12.57,,,,
115,05/02/2023 19:34:25,12.35,,,,
116,05/02/2023 19:39:25,12.10,,,,
117,05/02/2023 19:44:25,11.97,,,,
118,05/02/2023 19:49:25,11.84,,,,
119,05/02/2023 19:54:25,11.71,,,,
120,05/02/2023 19:59:25,11.58,,,,
121,05/02/2023 20:04:25,11.45,,,,
122,05/02/2023 20:09:25,11.37,,,,
123,05/02/2023 20:14:25,11.32,,,,
124,05/02/2023 20:19:25,11.11,,,,
125,05/02/2023 20:24:25,11.15,,,,
126,05/02/2023 20:29:25,11.11,,,,
127,05/02/2023 20:34:25,11.02,,,,
128,05/02/2023 20:39:25,10.85,,,,
129,05/02/2023 20:44:25,10.77,,,,
130,05/02/2023 20:49:25,10.59,,,,
131,05/02/2023 20:54:25,10.38,,,,
132,05/02/2023 20:59:25,10.38,,,,
133,05/02/2023 21:04:25,10.59,,,,
134,05/02/2023 21:09:25,10.77,,,,
135,05/02/2023 21:14:25,10.81,,,,
136,05/02/2023 21:19:25,10.94,,,,
137,05/02/2023 21:24:25,10.98,,,,
138,05/02/2023 21:29:25,10.98,,,,
139,05/02/2023 21:34:25,11.02,,,,
140,05/02/2023 21:39:25,10.98,,,,
141,05/02/2023 21:44:25,10.94,,,,
142,05/02/2023 21:49:25,10.89,,,,
143,05/02/2023 21:54:25,10.85,,,,
144,05/02/2023 21:59:25,10.77,,,,
145,05/02/2023 22:04:25,10.72,,,,
146,05/02/2023 22:09:25,10.64,,,,
147,05/02/2023 22:14:25,10.51,,,,
148,05/02/2023 22:19:25,10.34,,,,
149,05/02/2023 22:24:25,10.29,,,,
150,05/02/2023 22:29:25,10.12,,,,
151,05/02/2023 22:34:25,9.95,,,,
152,05/02/2023 22:39:25,9.69,,,,
153,05/02/2023 22:44:25,9.52,,,,
154,05/02/2023 22:49:25,9.56,,,,
155,05/02/2023 22:54:25,9.35,,,,
156,05/02/2023 22:59:25,9.39,,,,
157,05/02/2023 23:04:25,9.56,,,,
158,05/02/2023 23:09:25,9.65,,,,
159,05/02/2023 23:14:25,9.61,,,,
160,05/02/2023 23:19:25,9.61,,,,
161,05/02/2023 23:24:25,9.61,,,,
162,05/02/2023 23:29:25,9.65,,,,
163,05/02/2023 23:34:25,9.78,,,,
164,05/02/2023 23:39:25,9.86,,,,
165,05/02/2023 23:44:25,9.91,,,,
166,05/02/2023 23:49:25,9.86,,,,
167,05/02/2023 23:54:25,9.86,,,,
168,05/02/2023 23:59:25,9.69,,,,
169,05/03/2023 00:04:25,9.52,,,,
170,05/03/2023 00:09:25,9.52,,,,
171,05/03/2023 00:14:25,9.56,,,,
172,05/03/2023 00:19:25,9.48,,,,
173,05/03/2023 00:24:25,9.52,,,,
174,05/03/2023 00:29:25,9.39,,,,
175,05/03/2023 00:34:25,9.35,,,,
176,05/03/2023 00:39:25,9.44,,,,
177,05/03/2023 00:44:25,9.48,,,,
178,05/03/2023 00:49:25,9.48,,,,
179,05/03/2023 00:54:25,9.44,,,,
