#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,Stopped,End of File
1,06/13/2023 11:22:43,34.62,,,
2,06/13/2023 11:27:43,31.23,,,
3,06/13/2023 11:32:43,29.60,,,
4,06/13/2023 11:37:43,28.57,,,
5,06/13/2023 11:42:43,27.97,,,
6,06/13/2023 11:47:43,27.84,,,
7,06/13/2023 11:52:43,27.54,,,
8,06/13/2023 11:57:43,27.54,,,
9,06/13/2023 12:02:43,27.24,,,
10,06/13/2023 12:07:43,27.32,,,
11,06/13/2023 12:12:43,27.28,,,
12,06/13/2023 12:17:43,26.90,,,
13,06/13/2023 12:22:43,26.94,,,
14,06/13/2023 12:27:43,26.94,,,
15,06/13/2023 12:32:43,27.07,,,
16,06/13/2023 12:37:43,27.24,,,
17,06/13/2023 12:42:43,27.32,,,
18,06/13/2023 12:47:43,27.41,,,
19,06/13/2023 12:52:43,27.54,,,
20,06/13/2023 12:57:43,27.58,,,
21,06/13/2023 13:02:43,27.54,,,
22,06/13/2023 13:07:43,27.67,,,
23,06/13/2023 13:12:43,27.80,,,
24,06/13/2023 13:17:43,27.97,,,
25,06/13/2023 13:22:43,28.05,,,
26,06/13/2023 13:27:43,28.10,,,
27,06/13/2023 13:32:43,28.10,,,
28,06/13/2023 13:37:43,28.14,,,
29,06/13/2023 13:42:43,28.27,,,
30,06/13/2023 13:47:43,28.40,,,
31,06/13/2023 13:52:43,28.65,,,
32,06/13/2023 13:57:43,29.00,,,
33,06/13/2023 14:02:43,29.08,,,
34,06/13/2023 14:07:43,29.21,,,
35,06/13/2023 14:12:43,29.30,,,
36,06/13/2023 14:17:43,29.38,,,
37,06/13/2023 14:22:43,29.30,,,
38,06/13/2023 14:27:43,29.34,,,
39,06/13/2023 14:32:43,29.60,,,
40,06/13/2023 14:37:43,29.60,,,
41,06/13/2023 14:42:43,29.51,,,
42,06/13/2023 14:47:43,29.51,,,
43,06/13/2023 14:52:43,29.60,,,
44,06/13/2023 14:57:43,29.60,,,
45,06/13/2023 15:02:43,29.73,,,
46,06/13/2023 15:07:43,29.86,,,
47,06/13/2023 15:12:43,29.81,,,
48,06/13/2023 15:17:43,29.56,,,
49,06/13/2023 15:22:43,29.51,,,
50,06/13/2023 15:27:43,29.64,,,
51,06/13/2023 15:32:43,29.77,,,
52,06/13/2023 15:37:43,29.90,,,
53,06/13/2023 15:42:43,29.94,,,
54,06/13/2023 15:47:43,30.11,,,
55,06/13/2023 15:52:43,30.20,,,
56,06/13/2023 15:57:43,30.24,,,
57,06/13/2023 16:02:43,30.20,,,
58,06/13/2023 16:07:43,30.33,,,
59,06/13/2023 16:12:43,30.46,,,
60,06/13/2023 16:17:43,30.33,,,
61,06/13/2023 16:22:43,30.41,,,
62,06/13/2023 16:27:43,30.50,,,
63,06/13/2023 16:32:43,30.63,,,
64,06/13/2023 16:37:43,30.80,,,
65,06/13/2023 16:42:43,30.89,,,
66,06/13/2023 16:47:43,30.80,,,
67,06/13/2023 16:52:43,30.67,,,
68,06/13/2023 16:57:43,30.59,,,
69,06/13/2023 17:02:43,30.50,,,
70,06/13/2023 17:07:43,30.46,,,
71,06/13/2023 17:12:43,30.37,,,
72,06/13/2023 17:17:43,30.33,,,
73,06/13/2023 17:22:43,30.28,,,
74,06/13/2023 17:27:43,30.24,,,
75,06/13/2023 17:32:43,30.16,,,
76,06/13/2023 17:37:43,30.11,,,
77,06/13/2023 17:42:43,29.98,,,
78,06/13/2023 17:47:43,29.81,,,
79,06/13/2023 17:52:43,29.64,,,
80,06/13/2023 17:57:43,29.34,,,
81,06/13/2023 18:02:43,29.04,,,
82,06/13/2023 18:07:43,28.70,,,
83,06/13/2023 18:12:43,28.40,,,
84,06/13/2023 18:17:43,28.01,,,
85,06/13/2023 18:22:43,27.75,,,
86,06/13/2023 18:27:43,27.54,,,
87,06/13/2023 18:32:43,27.37,,,
88,06/13/2023 18:37:43,27.20,,,
89,06/13/2023 18:42:43,27.02,,,
90,06/13/2023 18:47:43,26.81,,,
91,06/13/2023 18:52:43,26.68,,,
92,06/13/2023 18:57:43,26.64,,,
93,06/13/2023 19:02:43,26.55,,,
94,06/13/2023 19:07:43,26.51,,,
95,06/13/2023 19:12:43,26.42,,,
96,06/13/2023 19:17:43,26.38,,,
97,06/13/2023 19:22:43,26.38,,,
98,06/13/2023 19:27:43,26.34,,,
99,06/13/2023 19:32:43,26.34,,,
100,06/13/2023 19:37:43,26.25,,,
101,06/13/2023 19:42:43,26.12,,,
102,06/13/2023 19:47:43,26.04,,,
103,06/13/2023 19:52:43,25.95,,,
104,06/13/2023 19:57:43,25.78,,,
105,06/13/2023 20:02:43,25.52,,,
106,06/13/2023 20:07:43,25.27,,,
107,06/13/2023 20:12:43,24.97,,,
108,06/13/2023 20:17:43,24.62,,,
109,06/13/2023 20:22:43,24.36,,,
110,06/13/2023 20:27:43,24.06,,,
111,06/13/2023 20:32:43,23.76,,,
112,06/13/2023 20:37:43,23.46,,,
113,06/13/2023 20:42:43,23.16,,,
114,06/13/2023 20:47:43,22.91,,,
115,06/13/2023 20:52:43,22.65,,,
116,06/13/2023 20:57:43,22.39,,,
117,06/13/2023 21:02:43,22.22,,,
118,06/13/2023 21:07:43,22.01,,,
119,06/13/2023 21:12:43,21.79,,,
120,06/13/2023 21:17:43,21.62,,,
121,06/13/2023 21:22:43,21.45,,,
122,06/13/2023 21:27:43,21.28,,,
123,06/13/2023 21:32:43,21.19,,,
124,06/13/2023 21:37:43,20.98,,,
125,06/13/2023 21:42:43,20.85,,,
126,06/13/2023 21:47:43,20.72,,,
127,06/13/2023 21:52:43,20.59,,,
128,06/13/2023 21:57:43,20.46,,,
129,06/13/2023 22:02:43,20.33,,,
130,06/13/2023 22:07:43,20.29,,,
131,06/13/2023 22:12:43,20.16,,,
132,06/13/2023 22:17:43,20.07,,,
133,06/13/2023 22:22:43,19.95,,,
134,06/13/2023 22:27:43,19.86,,,
135,06/13/2023 22:32:43,19.82,,,
136,06/13/2023 22:37:43,19.77,,,
137,06/13/2023 22:42:43,19.73,,,
138,06/13/2023 22:47:43,19.56,,,
139,06/13/2023 22:52:43,19.52,,,
140,06/13/2023 22:57:43,19.43,,,
141,06/13/2023 23:02:43,19.30,,,
142,06/13/2023 23:07:43,19.22,,,
143,06/13/2023 23:12:43,19.05,,,
144,06/13/2023 23:17:43,18.96,,,
145,06/13/2023 23:22:43,18.92,,,
146,06/13/2023 23:27:43,18.70,,,
147,06/13/2023 23:32:43,18.66,,,
148,06/13/2023 23:37:43,18.57,,,
149,06/13/2023 23:42:43,18.49,,,
150,06/13/2023 23:47:43,18.44,,,
151,06/13/2023 23:52:43,18.32,,,
152,06/13/2023 23:57:43,18.23,,,
153,06/14/2023 00:02:43,18.14,,,
154,06/14/2023 00:07:43,18.06,,,
155,06/14/2023 00:12:43,17.93,,,
156,06/14/2023 00:17:43,17.89,,,
