#,Date-Time (PDT),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/01/2022 12:38:25,28.74,,,,
2,05/01/2022 12:43:25,27.67,,,,
3,05/01/2022 12:48:25,27.15,,,,
4,05/01/2022 12:53:25,26.85,,,,
5,05/01/2022 12:58:25,26.55,,,,
6,05/01/2022 13:03:25,26.34,,,,
7,05/01/2022 13:08:25,26.38,,,,
8,05/01/2022 13:13:25,26.30,,,,
9,05/01/2022 13:18:25,26.51,,,,
10,05/01/2022 13:23:25,26.60,,,,
11,05/01/2022 13:28:25,26.68,,,,
12,05/01/2022 13:33:25,26.85,,,,
13,05/01/2022 13:38:25,26.94,,,,
14,05/01/2022 13:43:25,27.20,,,,
15,05/01/2022 13:48:25,27.37,,,,
16,05/01/2022 13:53:25,27.41,,,,
17,05/01/2022 13:58:25,27.50,,,,
18,05/01/2022 14:03:25,27.63,,,,
19,05/01/2022 14:08:25,27.67,,,,
20,05/01/2022 14:13:25,27.84,,,,
21,05/01/2022 14:18:25,27.93,,,,
22,05/01/2022 14:23:25,27.97,,,,
23,05/01/2022 14:28:25,28.10,,,,
24,05/01/2022 14:33:25,28.23,,,,
25,05/01/2022 14:38:25,28.35,,,,
26,05/01/2022 14:43:25,28.48,,,,
27,05/01/2022 14:48:25,28.74,,,,
28,05/01/2022 14:53:25,28.83,,,,
29,05/01/2022 14:58:25,28.95,,,,
30,05/01/2022 15:03:25,29.04,,,,
31,05/01/2022 15:08:25,29.13,,,,
32,05/01/2022 15:13:25,29.17,,,,
33,05/01/2022 15:18:25,29.34,,,,
34,05/01/2022 15:23:25,29.38,,,,
35,05/01/2022 15:28:25,29.21,,,,
36,05/01/2022 15:33:25,29.38,,,,
37,05/01/2022 15:38:25,29.51,,,,
38,05/01/2022 15:43:25,29.81,,,,
39,05/01/2022 15:48:25,29.86,,,,
40,05/01/2022 15:53:25,29.98,,,,
41,05/01/2022 15:58:25,30.20,,,,
42,05/01/2022 16:03:25,30.24,,,,
43,05/01/2022 16:08:25,30.33,,,,
44,05/01/2022 16:13:25,30.33,,,,
45,05/01/2022 16:18:25,30.37,,,,
46,05/01/2022 16:23:25,30.46,,,,
47,05/01/2022 16:28:25,30.46,,,,
48,05/01/2022 16:33:25,30.33,,,,
49,05/01/2022 16:38:25,30.07,,,,
50,05/01/2022 16:43:25,30.03,,,,
51,05/01/2022 16:48:25,30.24,,,,
52,05/01/2022 16:53:25,30.41,,,,
53,05/01/2022 16:58:25,30.37,,,,
54,05/01/2022 17:03:25,30.24,,,,
55,05/01/2022 17:08:25,30.20,,,,
56,05/01/2022 17:13:25,30.16,,,,
57,05/01/2022 17:18:25,30.07,,,,
58,05/01/2022 17:23:25,30.16,,,,
59,05/01/2022 17:28:25,30.11,,,,
60,05/01/2022 17:33:25,30.11,,,,
61,05/01/2022 17:38:25,30.16,,,,
62,05/01/2022 17:43:25,30.11,,,,
63,05/01/2022 17:48:25,30.07,,,,
64,05/01/2022 17:53:25,30.07,,,,
65,05/01/2022 17:58:25,29.98,,,,
