#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,04/22/2021 16:25:08,28.05,,
2,04/22/2021 16:30:08,25.57,,
3,04/22/2021 16:35:08,24.41,,
4,04/22/2021 16:40:08,23.94,,
5,04/22/2021 16:45:08,23.89,,
6,04/22/2021 16:50:08,23.81,,
7,04/22/2021 16:55:08,23.68,,
8,04/22/2021 17:00:08,23.51,,
9,04/22/2021 17:05:08,23.59,,
10,04/22/2021 17:10:08,23.51,,
11,04/22/2021 17:15:08,23.46,,
12,04/22/2021 17:20:08,23.46,,
13,04/22/2021 17:25:08,23.21,,
14,04/22/2021 17:30:08,22.86,,
15,04/22/2021 17:35:08,22.61,,
16,04/22/2021 17:40:08,22.35,,
17,04/22/2021 17:45:08,22.18,,
18,04/22/2021 17:50:08,21.92,,
19,04/22/2021 17:55:08,21.62,,
20,04/22/2021 18:00:08,21.45,,
21,04/22/2021 18:05:08,21.40,,
22,04/22/2021 18:10:08,21.06,,
23,04/22/2021 18:15:08,20.93,,
24,04/22/2021 18:20:08,20.59,,
25,04/22/2021 18:25:08,20.50,,
26,04/22/2021 18:30:08,20.20,,
27,04/22/2021 18:35:08,20.03,,
28,04/22/2021 18:40:08,19.65,,
29,04/22/2021 18:45:08,19.17,,
30,04/22/2021 18:50:08,18.87,,
31,04/22/2021 18:55:08,18.70,,
32,04/22/2021 19:00:08,18.49,,
33,04/22/2021 19:05:08,18.23,,
34,04/22/2021 19:10:08,18.02,,
35,04/22/2021 19:15:08,17.63,,
36,04/22/2021 19:20:08,17.24,,
37,04/22/2021 19:25:08,17.03,,
38,04/22/2021 19:30:08,16.56,,
39,04/22/2021 19:35:08,16.26,,
40,04/22/2021 19:40:08,16.04,,
41,04/22/2021 19:45:08,16.26,,
42,04/22/2021 19:50:08,15.78,,
43,04/22/2021 19:55:08,15.40,,
44,04/22/2021 20:00:08,15.40,,
45,04/22/2021 20:05:08,15.40,,
46,04/22/2021 20:10:08,15.18,,
47,04/22/2021 20:15:08,14.97,,
48,04/22/2021 20:20:08,14.84,,
49,04/22/2021 20:25:08,14.71,,
50,04/22/2021 20:30:08,14.50,,
51,04/22/2021 20:35:08,14.37,,
52,04/22/2021 20:40:08,14.20,,
53,04/22/2021 20:45:08,14.03,,
54,04/22/2021 20:50:08,13.73,,
55,04/22/2021 20:55:08,13.47,,
56,04/22/2021 21:00:08,13.25,,
57,04/22/2021 21:05:08,13.12,,
58,04/22/2021 21:10:08,13.04,,
59,04/22/2021 21:15:08,12.95,,
60,04/22/2021 21:20:08,12.91,,
61,04/22/2021 21:25:08,12.78,,
62,04/22/2021 21:30:08,12.74,,
63,04/22/2021 21:35:08,12.78,,
64,04/22/2021 21:40:08,12.70,,
65,04/22/2021 21:45:08,12.48,,
66,04/22/2021 21:50:08,12.44,,
67,04/22/2021 21:55:08,12.40,,
68,04/22/2021 22:00:08,12.57,,
69,04/22/2021 22:05:08,12.61,,
70,04/22/2021 22:10:08,12.57,,
71,04/22/2021 22:15:08,12.31,,
72,04/22/2021 22:20:08,12.31,,
73,04/22/2021 22:25:08,12.27,,
74,04/22/2021 22:30:08,12.10,,
75,04/22/2021 22:35:08,12.10,,
76,04/22/2021 22:40:08,11.97,,
77,04/22/2021 22:45:08,11.97,,
78,04/22/2021 22:50:08,11.75,,
79,04/22/2021 22:55:08,11.58,,
80,04/22/2021 23:00:08,11.67,,
81,04/22/2021 23:05:08,11.79,,
82,04/22/2021 23:10:08,11.58,,
83,04/22/2021 23:15:08,11.54,,
84,04/22/2021 23:20:08,11.49,,
85,04/22/2021 23:25:08,11.54,,
86,04/22/2021 23:30:08,11.62,,
87,04/22/2021 23:35:08,11.62,,
88,04/22/2021 23:40:08,11.84,,
89,04/22/2021 23:45:08,11.84,,
90,04/22/2021 23:50:08,11.88,,
91,04/22/2021 23:55:08,11.92,,
92,04/23/2021 00:00:08,12.18,,
93,04/23/2021 00:05:08,12.14,,
94,04/23/2021 00:10:08,12.18,,
95,04/23/2021 00:15:08,12.05,,
96,04/23/2021 00:20:08,12.05,,
97,04/23/2021 00:25:08,11.84,,
98,04/23/2021 00:30:08,11.92,,
99,04/23/2021 00:35:08,11.75,,
100,04/23/2021 00:40:08,11.84,,
101,04/23/2021 00:45:08,12.01,,
102,04/23/2021 00:50:08,12.10,,
103,04/23/2021 00:55:08,12.05,,
104,04/23/2021 01:00:08,12.01,,
105,04/23/2021 01:05:08,12.10,,
106,04/23/2021 01:10:08,12.05,,
107,04/23/2021 01:15:08,12.01,,
108,04/23/2021 01:20:08,11.92,,
109,04/23/2021 01:25:08,11.88,,
110,04/23/2021 01:30:08,12.01,,
111,04/23/2021 01:35:08,11.97,,
112,04/23/2021 01:40:08,11.88,,
