#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,05/13/2022 09:47:55,24.58,,,,
2,05/13/2022 09:52:55,23.64,,,,
3,05/13/2022 09:57:55,22.95,,,,
4,05/13/2022 10:02:55,22.69,,,,
5,05/13/2022 10:07:55,22.61,,,,
6,05/13/2022 10:12:55,22.78,,,,
7,05/13/2022 10:17:55,22.35,,,,
8,05/13/2022 10:22:55,22.18,,,,
9,05/13/2022 10:27:55,22.48,,,,
10,05/13/2022 10:32:55,22.86,,,,
11,05/13/2022 10:37:55,23.16,,,,
12,05/13/2022 10:42:55,23.25,,,,
13,05/13/2022 10:47:55,23.51,,,,
14,05/13/2022 10:52:55,24.06,,,,
15,05/13/2022 10:57:55,24.45,,,,
16,05/13/2022 11:02:55,24.79,,,,
17,05/13/2022 11:07:55,25.14,,,,
18,05/13/2022 11:12:55,25.48,,,,
19,05/13/2022 11:17:55,25.74,,,,
20,05/13/2022 11:22:55,25.82,,,,
21,05/13/2022 11:27:55,25.48,,,,
22,05/13/2022 11:32:55,25.57,,,,
23,05/13/2022 11:37:55,25.57,,,,
24,05/13/2022 11:42:55,25.99,,,,
25,05/13/2022 11:47:55,26.04,,,,
26,05/13/2022 11:52:55,26.08,,,,
27,05/13/2022 11:57:55,26.42,,,,
28,05/13/2022 12:02:55,26.85,,,,
29,05/13/2022 12:07:55,27.02,,,,
30,05/13/2022 12:12:55,27.37,,,,
31,05/13/2022 12:17:55,27.50,,,,
32,05/13/2022 12:22:55,27.71,,,,
33,05/13/2022 12:27:55,27.84,,,,
34,05/13/2022 12:32:55,28.10,,,,
35,05/13/2022 12:37:55,28.31,,,,
36,05/13/2022 12:42:55,28.14,,,,
37,05/13/2022 12:47:55,28.27,,,,
38,05/13/2022 12:52:55,28.44,,,,
39,05/13/2022 12:57:55,28.65,,,,
40,05/13/2022 13:02:55,28.83,,,,
41,05/13/2022 13:07:55,29.13,,,,
42,05/13/2022 13:12:55,29.43,,,,
43,05/13/2022 13:17:55,29.21,,,,
44,05/13/2022 13:22:55,29.00,,,,
45,05/13/2022 13:27:55,29.26,,,,
46,05/13/2022 13:32:55,29.68,,,,
47,05/13/2022 13:37:55,30.20,,,,
48,05/13/2022 13:42:55,30.24,,,,
49,05/13/2022 13:47:55,30.07,,,,
50,05/13/2022 13:52:55,30.07,,,,
51,05/13/2022 13:57:55,29.64,,,,
52,05/13/2022 14:02:55,29.64,,,,
53,05/13/2022 14:07:55,29.73,,,,
54,05/13/2022 14:12:55,29.60,,,,
55,05/13/2022 14:17:55,29.56,,,,
56,05/13/2022 14:22:55,29.68,,,,
57,05/13/2022 14:27:55,29.47,,,,
