#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,04/22/2021 16:26:03,27.71,,
2,04/22/2021 16:31:03,27.80,,
3,04/22/2021 16:36:03,28.35,,
4,04/22/2021 16:41:03,28.35,,
5,04/22/2021 16:46:03,28.14,,
6,04/22/2021 16:51:03,27.88,,
7,04/22/2021 16:56:03,27.71,,
8,04/22/2021 17:01:03,27.63,,
9,04/22/2021 17:06:03,27.88,,
10,04/22/2021 17:11:03,27.54,,
11,04/22/2021 17:16:03,27.32,,
12,04/22/2021 17:21:03,26.94,,
13,04/22/2021 17:26:03,26.17,,
14,04/22/2021 17:31:03,25.87,,
15,04/22/2021 17:36:03,25.27,,
16,04/22/2021 17:41:03,24.97,,
17,04/22/2021 17:46:03,24.92,,
18,04/22/2021 17:51:03,24.58,,
19,04/22/2021 17:56:03,24.06,,
20,04/22/2021 18:01:03,24.06,,
21,04/22/2021 18:06:03,23.46,,
22,04/22/2021 18:11:03,22.91,,
23,04/22/2021 18:16:03,22.73,,
24,04/22/2021 18:21:03,22.18,,
25,04/22/2021 18:26:03,21.83,,
26,04/22/2021 18:31:03,21.23,,
27,04/22/2021 18:36:03,20.89,,
28,04/22/2021 18:41:03,20.42,,
29,04/22/2021 18:46:03,19.82,,
30,04/22/2021 18:51:03,19.43,,
31,04/22/2021 18:56:03,18.92,,
32,04/22/2021 19:01:03,18.49,,
33,04/22/2021 19:06:03,18.14,,
34,04/22/2021 19:11:03,17.76,,
35,04/22/2021 19:16:03,17.24,,
36,04/22/2021 19:21:03,16.77,,
37,04/22/2021 19:26:03,16.30,,
38,04/22/2021 19:31:03,15.87,,
39,04/22/2021 19:36:03,15.44,,
40,04/22/2021 19:41:03,15.14,,
41,04/22/2021 19:46:03,14.80,,
42,04/22/2021 19:51:03,14.50,,
43,04/22/2021 19:56:03,14.24,,
44,04/22/2021 20:01:03,14.11,,
45,04/22/2021 20:06:03,13.94,,
46,04/22/2021 20:11:03,13.77,,
47,04/22/2021 20:16:03,13.68,,
48,04/22/2021 20:21:03,13.51,,
49,04/22/2021 20:26:03,13.34,,
50,04/22/2021 20:31:03,13.25,,
51,04/22/2021 20:36:03,13.12,,
52,04/22/2021 20:41:03,12.95,,
53,04/22/2021 20:46:03,12.78,,
54,04/22/2021 20:51:03,12.57,,
55,04/22/2021 20:56:03,12.35,,
56,04/22/2021 21:01:03,12.22,,
57,04/22/2021 21:06:03,12.14,,
58,04/22/2021 21:11:03,12.01,,
59,04/22/2021 21:16:03,11.88,,
60,04/22/2021 21:21:03,11.79,,
61,04/22/2021 21:26:03,11.75,,
62,04/22/2021 21:31:03,11.67,,
63,04/22/2021 21:36:03,11.58,,
64,04/22/2021 21:41:03,11.49,,
65,04/22/2021 21:46:03,11.41,,
66,04/22/2021 21:51:03,11.32,,
67,04/22/2021 21:56:03,11.37,,
68,04/22/2021 22:01:03,11.28,,
69,04/22/2021 22:06:03,11.24,,
70,04/22/2021 22:11:03,11.15,,
71,04/22/2021 22:16:03,11.11,,
72,04/22/2021 22:21:03,11.07,,
73,04/22/2021 22:26:03,10.94,,
74,04/22/2021 22:31:03,10.85,,
75,04/22/2021 22:36:03,10.89,,
76,04/22/2021 22:41:03,10.85,,
77,04/22/2021 22:46:03,10.81,,
78,04/22/2021 22:51:03,10.81,,
79,04/22/2021 22:56:03,10.77,,
80,04/22/2021 23:01:03,10.81,,
81,04/22/2021 23:06:03,10.81,,
82,04/22/2021 23:11:03,10.77,,
83,04/22/2021 23:16:03,10.72,,
84,04/22/2021 23:21:03,10.72,,
