#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
1,05/13/2022 09:59:05,29.86,,,,
2,05/13/2022 09:59:20,,Logged,,,
3,05/13/2022 10:04:05,27.58,,,,
4,05/13/2022 10:09:05,26.30,,,,
5,05/13/2022 10:14:05,26.30,,,,
6,05/13/2022 10:19:05,25.74,,,,
7,05/13/2022 10:24:05,25.99,,,,
8,05/13/2022 10:29:05,26.12,,,,
9,05/13/2022 10:34:05,26.51,,,,
10,05/13/2022 10:39:05,26.90,,,,
11,05/13/2022 10:44:05,26.72,,,,
12,05/13/2022 10:49:05,27.24,,,,
13,05/13/2022 10:54:05,27.97,,,,
14,05/13/2022 10:59:05,27.80,,,,
15,05/13/2022 11:04:05,27.71,,,,
16,05/13/2022 11:09:05,27.97,,,,
17,05/13/2022 11:14:05,27.93,,,,
18,05/13/2022 11:19:05,28.35,,,,
19,05/13/2022 11:24:05,28.65,,,,
20,05/13/2022 11:29:05,28.91,,,,
21,05/13/2022 11:34:05,28.53,,,,
22,05/13/2022 11:39:05,29.08,,,,
23,05/13/2022 11:44:05,29.34,,,,
24,05/13/2022 11:49:05,29.04,,,,
25,05/13/2022 11:54:05,29.21,,,,
26,05/13/2022 11:59:05,29.77,,,,
27,05/13/2022 12:04:05,29.94,,,,
28,05/13/2022 12:09:05,30.07,,,,
29,05/13/2022 12:14:05,30.76,,,,
30,05/13/2022 12:19:05,30.71,,,,
31,05/13/2022 12:24:05,30.63,,,,
32,05/13/2022 12:29:05,30.63,,,,
33,05/13/2022 12:34:05,31.19,,,,
34,05/13/2022 12:39:05,31.19,,,,
35,05/13/2022 12:44:05,30.67,,,,
36,05/13/2022 12:49:05,31.01,,,,
37,05/13/2022 12:54:05,31.74,,,,
38,05/13/2022 12:59:05,31.66,,,,
39,05/13/2022 13:04:05,31.40,,,,
40,05/13/2022 13:09:05,31.70,,,,
41,05/13/2022 13:14:05,31.66,,,,
42,05/13/2022 13:19:05,31.70,,,,
43,05/13/2022 13:24:05,31.92,,,,
44,05/13/2022 13:29:05,32.39,,,,
45,05/13/2022 13:34:05,32.73,,,,
46,05/13/2022 13:39:05,33.20,,,,
47,05/13/2022 13:44:05,32.30,,,,
48,05/13/2022 13:49:05,32.52,,,,
49,05/13/2022 13:54:05,31.96,,,,
50,05/13/2022 13:59:05,32.22,,,,
51,05/13/2022 14:04:05,32.39,,,,
52,05/13/2022 14:09:05,32.69,,,,
53,05/13/2022 14:14:05,32.43,,,,
54,05/13/2022 14:19:05,32.73,,,,
55,05/13/2022 14:24:05,32.86,,,,
56,05/13/2022 14:29:05,32.56,,,,
57,05/13/2022 14:34:05,32.26,,,,
58,05/13/2022 14:39:05,32.56,,,,
59,05/13/2022 14:44:05,33.12,,,,
60,05/13/2022 14:49:05,33.93,,,,
61,05/13/2022 14:54:05,33.76,,,,
62,05/13/2022 14:59:05,33.85,,,,
63,05/13/2022 15:04:05,33.50,,,,
64,05/13/2022 15:09:05,33.42,,,,
65,05/13/2022 15:14:05,33.16,,,,
66,05/13/2022 15:19:05,33.20,,,,
67,05/13/2022 15:24:05,33.93,,,,
68,05/13/2022 15:29:05,33.25,,,,
69,05/13/2022 15:34:05,33.33,,,,
70,05/13/2022 15:39:05,32.73,,,,
71,05/13/2022 15:44:05,33.03,,,,
72,05/13/2022 15:49:05,33.16,,,,
73,05/13/2022 15:54:05,33.42,,,,
74,05/13/2022 15:59:05,33.50,,,,
75,05/13/2022 16:04:05,33.42,,,,
76,05/13/2022 16:09:05,32.60,,,,
77,05/13/2022 16:14:05,33.42,,,,
78,05/13/2022 16:19:05,34.15,,,,
79,05/13/2022 16:24:05,33.85,,,,
80,05/13/2022 16:29:05,33.12,,,,
81,05/13/2022 16:34:05,33.37,,,,
82,05/13/2022 16:39:05,33.89,,,,
83,05/13/2022 16:44:05,33.80,,,,
84,05/13/2022 16:49:05,33.63,,,,
85,05/13/2022 16:54:05,33.80,,,,
86,05/13/2022 16:59:05,33.07,,,,
87,05/13/2022 17:04:05,32.90,,,,
88,05/13/2022 17:09:05,32.39,,,,
89,05/13/2022 17:14:05,32.73,,,,
90,05/13/2022 17:19:05,32.99,,,,
91,05/13/2022 17:24:05,32.77,,,,
92,05/13/2022 17:29:05,31.96,,,,
93,05/13/2022 17:34:05,31.74,,,,
94,05/13/2022 17:39:05,31.06,,,,
95,05/13/2022 17:44:05,31.19,,,,
96,05/13/2022 17:49:05,31.19,,,,
97,05/13/2022 17:54:05,31.10,,,,
98,05/13/2022 17:59:05,30.89,,,,
99,05/13/2022 18:04:05,30.37,,,,
100,05/13/2022 18:09:05,30.41,,,,
101,05/13/2022 18:14:05,30.37,,,,
102,05/13/2022 18:19:05,30.46,,,,
103,05/13/2022 18:24:05,29.94,,,,
104,05/13/2022 18:29:05,29.43,,,,
105,05/13/2022 18:34:05,29.00,,,,
106,05/13/2022 18:39:05,28.65,,,,
107,05/13/2022 18:44:05,28.40,,,,
108,05/13/2022 18:49:05,28.10,,,,
109,05/13/2022 18:54:05,27.80,,,,
110,05/13/2022 18:59:05,27.67,,,,
111,05/13/2022 19:04:05,27.37,,,,
112,05/13/2022 19:09:05,27.15,,,,
113,05/13/2022 19:14:05,26.72,,,,
114,05/13/2022 19:19:05,26.38,,,,
115,05/13/2022 19:24:05,26.12,,,,
116,05/13/2022 19:29:05,25.82,,,,
117,05/13/2022 19:34:05,25.39,,,,
118,05/13/2022 19:39:05,24.97,,,,
119,05/13/2022 19:44:05,24.62,,,,
120,05/13/2022 19:49:05,24.06,,,,
121,05/13/2022 19:54:05,23.59,,,,
122,05/13/2022 19:59:05,23.12,,,,
123,05/13/2022 20:04:05,22.48,,,,
124,05/13/2022 20:09:05,22.18,,,,
125,05/13/2022 20:14:05,21.83,,,,
126,05/13/2022 20:19:05,21.53,,,,
127,05/13/2022 20:24:05,21.19,,,,
128,05/13/2022 20:29:05,20.98,,,,
129,05/13/2022 20:34:05,20.59,,,,
130,05/13/2022 20:39:05,20.29,,,,
131,05/13/2022 20:44:05,19.95,,,,
132,05/13/2022 20:49:05,19.82,,,,
133,05/13/2022 20:54:05,19.60,,,,
134,05/13/2022 20:59:05,18.96,,,,
135,05/13/2022 21:04:05,18.70,,,,
136,05/13/2022 21:09:05,18.79,,,,
137,05/13/2022 21:14:05,18.74,,,,
138,05/13/2022 21:19:05,18.66,,,,
139,05/13/2022 21:24:05,18.40,,,,
140,05/13/2022 21:29:05,18.27,,,,
141,05/13/2022 21:34:05,18.14,,,,
142,05/13/2022 21:39:05,18.10,,,,
143,05/13/2022 21:44:05,17.93,,,,
144,05/13/2022 21:49:05,17.97,,,,
145,05/13/2022 21:54:05,18.10,,,,
146,05/13/2022 21:59:05,18.02,,,,
147,05/13/2022 22:04:05,18.06,,,,
148,05/13/2022 22:09:05,18.02,,,,
149,05/13/2022 22:14:05,17.80,,,,
150,05/13/2022 22:19:05,17.76,,,,
151,05/13/2022 22:24:05,17.80,,,,
152,05/13/2022 22:29:05,17.63,,,,
153,05/13/2022 22:34:05,17.20,,,,
154,05/13/2022 22:39:05,16.99,,,,
155,05/13/2022 22:44:05,16.86,,,,
156,05/13/2022 22:49:05,16.47,,,,
157,05/13/2022 22:54:05,16.13,,,,
158,05/13/2022 22:59:05,15.53,,,,
159,05/13/2022 23:04:05,15.40,,,,
160,05/13/2022 23:09:05,15.27,,,,
161,05/13/2022 23:14:05,14.97,,,,
162,05/13/2022 23:19:05,14.71,,,,
163,05/13/2022 23:24:05,14.28,,,,
164,05/13/2022 23:29:05,13.90,,,,
165,05/13/2022 23:34:05,13.81,,,,
166,05/13/2022 23:39:05,13.90,,,,
167,05/13/2022 23:44:05,14.03,,,,
168,05/13/2022 23:49:05,13.77,,,,
169,05/13/2022 23:54:05,13.55,,,,
170,05/13/2022 23:59:05,13.43,,,,
171,05/14/2022 00:04:05,13.17,,,,
172,05/14/2022 00:09:05,13.04,,,,
173,05/14/2022 00:14:05,13.08,,,,
174,05/14/2022 00:19:05,13.68,,,,
175,05/14/2022 00:24:05,13.51,,,,
176,05/14/2022 00:29:05,13.38,,,,
177,05/14/2022 00:34:05,13.17,,,,
178,05/14/2022 00:39:05,12.78,,,,
179,05/14/2022 00:44:05,12.48,,,,
180,05/14/2022 00:49:05,12.27,,,,
181,05/14/2022 00:54:05,12.44,,,,
182,05/14/2022 00:59:05,12.14,,,,
183,05/14/2022 01:04:05,11.88,,,,
