#,Date-Time (PDT),Ch:1 - Temperature   (°C),Host Connected,End of File
1,06/07/2022 08:47:56,28.01,,
2,06/07/2022 08:52:56,26.98,,
3,06/07/2022 08:57:56,26.34,,
4,06/07/2022 09:02:56,26.08,,
5,06/07/2022 09:07:56,26.17,,
6,06/07/2022 09:12:56,26.30,,
7,06/07/2022 09:17:56,26.42,,
8,06/07/2022 09:22:56,26.55,,
9,06/07/2022 09:27:56,26.60,,
10,06/07/2022 09:32:56,26.72,,
11,06/07/2022 09:37:56,26.94,,
12,06/07/2022 09:42:56,27.20,,
13,06/07/2022 09:47:56,27.37,,
14,06/07/2022 09:52:56,27.50,,
15,06/07/2022 09:57:56,27.67,,
16,06/07/2022 10:02:56,27.88,,
17,06/07/2022 10:07:56,28.18,,
18,06/07/2022 10:12:56,28.35,,
19,06/07/2022 10:17:56,28.53,,
20,06/07/2022 10:22:56,28.61,,
21,06/07/2022 10:27:56,28.74,,
22,06/07/2022 10:32:56,28.70,,
23,06/07/2022 10:37:56,28.87,,
24,06/07/2022 10:42:56,29.04,,
25,06/07/2022 10:47:56,29.34,,
26,06/07/2022 10:52:56,29.68,,
27,06/07/2022 10:57:56,29.94,,
28,06/07/2022 11:02:56,30.28,,
29,06/07/2022 11:07:56,30.54,,
30,06/07/2022 11:12:56,30.54,,
31,06/07/2022 11:17:56,30.80,,
32,06/07/2022 11:22:56,30.93,,
33,06/07/2022 11:27:56,31.27,,
34,06/07/2022 11:32:56,31.53,,
35,06/07/2022 11:37:56,31.92,,
36,06/07/2022 11:42:56,32.34,,
37,06/07/2022 11:47:56,32.64,,
38,06/07/2022 11:52:56,32.39,,
39,06/07/2022 11:57:56,32.47,,
40,06/07/2022 12:02:56,32.73,,
41,06/07/2022 12:07:56,32.86,,
42,06/07/2022 12:12:56,32.86,,
43,06/07/2022 12:17:56,32.90,,
44,06/07/2022 12:22:56,33.03,,
45,06/07/2022 12:27:56,33.25,,
46,06/07/2022 12:32:56,33.55,,
47,06/07/2022 12:37:56,33.72,,
48,06/07/2022 12:42:56,33.80,,
49,06/07/2022 12:47:56,33.80,,
50,06/07/2022 12:52:56,33.89,,
51,06/07/2022 12:57:56,33.55,,
52,06/07/2022 13:02:56,33.55,,
53,06/07/2022 13:07:56,33.55,,
54,06/07/2022 13:12:56,33.76,,
55,06/07/2022 13:17:56,33.63,,
56,06/07/2022 13:22:56,33.50,,
57,06/07/2022 13:27:56,33.29,,
58,06/07/2022 13:32:56,33.20,,
59,06/07/2022 13:37:56,33.20,,
60,06/07/2022 13:42:56,33.25,,
61,06/07/2022 13:47:56,33.55,,
62,06/07/2022 13:52:56,33.80,,
63,06/07/2022 13:57:56,33.85,,
64,06/07/2022 14:02:56,33.76,,
65,06/07/2022 14:07:56,33.46,,
66,06/07/2022 14:12:56,33.29,,
67,06/07/2022 14:17:56,33.25,,
68,06/07/2022 14:22:56,33.42,,
69,06/07/2022 14:27:56,33.29,,
70,06/07/2022 14:32:56,33.20,,
71,06/07/2022 14:37:56,33.37,,
72,06/07/2022 14:42:56,33.63,,
73,06/07/2022 14:47:56,33.59,,
74,06/07/2022 14:52:56,33.67,,
75,06/07/2022 14:57:56,33.55,,
76,06/07/2022 15:02:56,33.63,,
77,06/07/2022 15:07:56,33.55,,
78,06/07/2022 15:12:56,33.46,,
79,06/07/2022 15:17:56,33.55,,
80,06/07/2022 15:22:56,33.67,,
81,06/07/2022 15:27:56,33.67,,
82,06/07/2022 15:32:56,33.67,,
83,06/07/2022 15:37:56,33.80,,
84,06/07/2022 15:42:56,33.97,,
85,06/07/2022 15:47:56,33.97,,
86,06/07/2022 15:52:56,34.02,,
87,06/07/2022 15:57:56,34.23,,
88,06/07/2022 16:02:56,34.32,,
89,06/07/2022 16:07:56,34.23,,
90,06/07/2022 16:12:56,34.32,,
91,06/07/2022 16:17:56,34.57,,
92,06/07/2022 16:22:56,34.75,,
93,06/07/2022 16:27:56,34.66,,
94,06/07/2022 16:32:56,34.79,,
95,06/07/2022 16:37:56,34.79,,
96,06/07/2022 16:42:56,34.79,,
97,06/07/2022 16:47:56,34.88,,
98,06/07/2022 16:52:56,34.70,,
99,06/07/2022 16:57:56,34.36,,
100,06/07/2022 17:02:56,34.10,,
101,06/07/2022 17:07:56,33.89,,
102,06/07/2022 17:12:56,33.72,,
103,06/07/2022 17:17:56,33.76,,
104,06/07/2022 17:22:56,33.80,,
105,06/07/2022 17:27:56,34.02,,
106,06/07/2022 17:32:56,34.19,,
107,06/07/2022 17:37:56,34.27,,
108,06/07/2022 17:42:56,34.40,,
109,06/07/2022 17:47:56,34.40,,
110,06/07/2022 17:52:56,34.40,,
111,06/07/2022 17:57:56,34.45,,
112,06/07/2022 18:02:56,34.45,,
113,06/07/2022 18:07:56,34.40,,
114,06/07/2022 18:12:56,34.49,,
115,06/07/2022 18:17:56,34.45,,
116,06/07/2022 18:22:56,34.32,,
117,06/07/2022 18:27:56,34.10,,
118,06/07/2022 18:32:56,33.85,,
119,06/07/2022 18:37:56,33.67,,
120,06/07/2022 18:42:56,33.50,,
121,06/07/2022 18:47:56,33.42,,
122,06/07/2022 18:52:56,33.29,,
123,06/07/2022 18:57:56,33.16,,
124,06/07/2022 19:02:56,32.99,,
125,06/07/2022 19:07:56,32.82,,
126,06/07/2022 19:12:56,32.73,,
127,06/07/2022 19:17:56,32.64,,
128,06/07/2022 19:22:56,32.43,,
129,06/07/2022 19:27:56,32.26,,
130,06/07/2022 19:32:56,32.00,,
131,06/07/2022 19:37:56,31.44,,
132,06/07/2022 19:42:56,30.59,,
133,06/07/2022 19:47:56,29.64,,
134,06/07/2022 19:52:56,28.83,,
135,06/07/2022 19:57:56,28.14,,
136,06/07/2022 20:02:56,27.45,,
137,06/07/2022 20:07:56,26.94,,
138,06/07/2022 20:12:56,26.38,,
139,06/07/2022 20:17:56,25.91,,
140,06/07/2022 20:22:56,25.48,,
141,06/07/2022 20:27:56,25.01,,
142,06/07/2022 20:32:56,24.58,,
143,06/07/2022 20:37:56,24.15,,
144,06/07/2022 20:42:56,23.81,,
145,06/07/2022 20:47:56,23.51,,
146,06/07/2022 20:52:56,23.25,,
147,06/07/2022 20:57:56,22.99,,
148,06/07/2022 21:02:56,22.73,,
149,06/07/2022 21:07:56,22.48,,
150,06/07/2022 21:12:56,22.31,,
151,06/07/2022 21:17:56,22.05,,
152,06/07/2022 21:22:56,21.75,,
