#,Date-Time (PST),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,Stopped,End of File
1,03/29/2022 07:34:24,21.62,,,,,
2,03/29/2022 07:39:24,17.89,,,,,
3,03/29/2022 07:44:24,15.36,,,,,
4,03/29/2022 07:49:24,14.03,,,,,
5,03/29/2022 07:54:24,13.21,,,,,
6,03/29/2022 07:59:24,12.91,,,,,
7,03/29/2022 08:04:24,12.91,,,,,
8,03/29/2022 08:09:24,13.04,,,,,
9,03/29/2022 08:14:24,13.21,,,,,
10,03/29/2022 08:19:24,13.51,,,,,
11,03/29/2022 08:24:24,13.68,,,,,
12,03/29/2022 08:29:24,13.68,,,,,
13,03/29/2022 08:34:24,13.68,,,,,
14,03/29/2022 08:39:24,13.77,,,,,
15,03/29/2022 08:44:24,13.94,,,,,
16,03/29/2022 08:49:24,14.24,,,,,
17,03/29/2022 08:54:24,14.41,,,,,
18,03/29/2022 08:59:24,14.54,,,,,
19,03/29/2022 09:04:24,14.71,,,,,
20,03/29/2022 09:09:24,14.75,,,,,
21,03/29/2022 09:14:24,14.97,,,,,
22,03/29/2022 09:19:24,15.18,,,,,
23,03/29/2022 09:24:24,15.44,,,,,
24,03/29/2022 09:29:24,15.53,,,,,
25,03/29/2022 09:34:24,15.74,,,,,
26,03/29/2022 09:39:24,15.96,,,,,
27,03/29/2022 09:44:24,16.30,,,,,
28,03/29/2022 09:49:24,16.64,,,,,
29,03/29/2022 09:54:24,16.99,,,,,
30,03/29/2022 09:59:24,17.16,,,,,
31,03/29/2022 10:04:24,17.33,,,,,
32,03/29/2022 10:09:24,17.80,,,,,
33,03/29/2022 10:14:24,18.36,,,,,
34,03/29/2022 10:19:24,18.79,,,,,
35,03/29/2022 10:24:24,18.87,,,,,
36,03/29/2022 10:29:24,18.83,,,,,
37,03/29/2022 10:34:24,18.66,,,,,
38,03/29/2022 10:39:24,18.70,,,,,
39,03/29/2022 10:44:24,18.79,,,,,
40,03/29/2022 10:49:24,18.96,,,,,
41,03/29/2022 10:54:24,19.13,,,,,
42,03/29/2022 10:59:24,19.35,,,,,
43,03/29/2022 11:04:24,19.65,,,,,
44,03/29/2022 11:09:24,19.77,,,,,
45,03/29/2022 11:14:24,19.69,,,,,
46,03/29/2022 11:19:24,19.65,,,,,
47,03/29/2022 11:24:24,19.60,,,,,
48,03/29/2022 11:29:24,19.69,,,,,
49,03/29/2022 11:34:24,19.56,,,,,
50,03/29/2022 11:39:24,19.60,,,,,
51,03/29/2022 11:44:24,19.65,,,,,
52,03/29/2022 11:49:24,19.73,,,,,
53,03/29/2022 11:54:24,19.73,,,,,
54,03/29/2022 11:59:24,19.95,,,,,
55,03/29/2022 12:04:24,20.29,,,,,
56,03/29/2022 12:09:24,20.37,,,,,
57,03/29/2022 12:14:24,20.46,,,,,
58,03/29/2022 12:19:24,20.63,,,,,
59,03/29/2022 12:24:24,20.76,,,,,
60,03/29/2022 12:29:24,21.02,,,,,
61,03/29/2022 12:34:24,21.06,,,,,
62,03/29/2022 12:39:24,20.98,,,,,
63,03/29/2022 12:44:24,21.23,,,,,
64,03/29/2022 12:49:24,21.19,,,,,
65,03/29/2022 12:54:24,21.19,,,,,
66,03/29/2022 12:59:24,21.45,,,,,
67,03/29/2022 13:04:24,21.45,,,,,
68,03/29/2022 13:09:24,21.45,,,,,
69,03/29/2022 13:14:24,21.45,,,,,
70,03/29/2022 13:19:24,21.23,,,,,
71,03/29/2022 13:24:24,21.28,,,,,
72,03/29/2022 13:29:24,21.10,,,,,
73,03/29/2022 13:34:24,21.10,,,,,
74,03/29/2022 13:39:24,21.28,,,,,
75,03/29/2022 13:44:24,21.28,,,,,
76,03/29/2022 13:49:24,21.45,,,,,
77,03/29/2022 13:54:24,21.66,,,,,
78,03/29/2022 13:59:24,21.66,,,,,
79,03/29/2022 14:04:24,21.92,,,,,
80,03/29/2022 14:09:24,22.26,,,,,
81,03/29/2022 14:14:24,22.52,,,,,
82,03/29/2022 14:19:24,22.65,,,,,
83,03/29/2022 14:24:24,22.61,,,,,
84,03/29/2022 14:29:24,22.65,,,,,
85,03/29/2022 14:34:24,22.82,,,,,
86,03/29/2022 14:39:24,22.86,,,,,
87,03/29/2022 14:44:24,22.65,,,,,
88,03/29/2022 14:49:24,22.91,,,,,
89,03/29/2022 14:54:24,22.78,,,,,
90,03/29/2022 14:59:24,22.73,,,,,
91,03/29/2022 15:04:24,22.65,,,,,
92,03/29/2022 15:09:24,22.56,,,,,
93,03/29/2022 15:14:24,22.48,,,,,
94,03/29/2022 15:19:24,22.61,,,,,
95,03/29/2022 15:24:24,22.61,,,,,
96,03/29/2022 15:29:24,22.61,,,,,
97,03/29/2022 15:34:24,22.65,,,,,
98,03/29/2022 15:39:24,22.61,,,,,
99,03/29/2022 15:44:24,22.61,,,,,
100,03/29/2022 15:49:24,22.65,,,,,
101,03/29/2022 15:54:24,22.65,,,,,
102,03/29/2022 15:59:24,22.69,,,,,
103,03/29/2022 16:04:24,22.82,,,,,
104,03/29/2022 16:09:24,22.86,,,,,
105,03/29/2022 16:14:24,22.99,,,,,
106,03/29/2022 16:19:24,23.03,,,,,
107,03/29/2022 16:24:24,23.08,,,,,
108,03/29/2022 16:29:24,23.08,,,,,
109,03/29/2022 16:34:24,23.03,,,,,
110,03/29/2022 16:39:24,22.95,,,,,
111,03/29/2022 16:44:24,22.86,,,,,
112,03/29/2022 16:49:24,22.73,,,,,
113,03/29/2022 16:54:24,22.61,,,,,
114,03/29/2022 16:59:24,22.35,,,,,
115,03/29/2022 17:04:24,22.35,,,,,
116,03/29/2022 17:09:24,22.31,,,,,
117,03/29/2022 17:14:24,22.18,,,,,
118,03/29/2022 17:19:24,22.13,,,,,
119,03/29/2022 17:24:24,22.13,,,,,
120,03/29/2022 17:29:24,21.96,,,,,
121,03/29/2022 17:34:24,21.92,,,,,
122,03/29/2022 17:39:24,21.96,,,,,
123,03/29/2022 17:44:24,22.01,,,,,
124,03/29/2022 17:49:24,21.92,,,,,
125,03/29/2022 17:54:24,21.96,,,,,
126,03/29/2022 17:59:24,21.88,,,,,
127,03/29/2022 18:04:24,21.79,,,,,
128,03/29/2022 18:09:24,21.70,,,,,
129,03/29/2022 18:14:24,21.53,,,,,
130,03/29/2022 18:19:24,21.36,,,,,
131,03/29/2022 18:24:24,21.15,,,,,
132,03/29/2022 18:29:24,20.93,,,,,
133,03/29/2022 18:34:24,20.68,,,,,
134,03/29/2022 18:39:24,20.37,,,,,
135,03/29/2022 18:44:24,19.99,,,,,
136,03/29/2022 18:49:24,19.60,,,,,
137,03/29/2022 18:54:24,19.22,,,,,
138,03/29/2022 18:59:24,18.92,,,,,
139,03/29/2022 19:04:24,18.66,,,,,
140,03/29/2022 19:09:24,18.40,,,,,
141,03/29/2022 19:14:24,18.06,,,,,
142,03/29/2022 19:19:24,17.76,,,,,
143,03/29/2022 19:24:24,17.54,,,,,
144,03/29/2022 19:29:24,17.29,,,,,
145,03/29/2022 19:34:24,17.11,,,,,
146,03/29/2022 19:39:24,16.99,,,,,
147,03/29/2022 19:44:24,16.81,,,,,
148,03/29/2022 19:49:24,16.64,,,,,
149,03/29/2022 19:54:24,16.51,,,,,
150,03/29/2022 19:59:24,16.30,,,,,
151,03/29/2022 20:04:24,16.17,,,,,
152,03/29/2022 20:09:24,16.04,,,,,
153,03/29/2022 20:14:24,15.96,,,,,
154,03/29/2022 20:19:24,15.83,,,,,
155,03/29/2022 20:24:24,15.70,,,,,
156,03/29/2022 20:29:24,15.61,,,,,
157,03/29/2022 20:34:24,15.53,,,,,
158,03/29/2022 20:39:24,15.44,,,,,
159,03/29/2022 20:44:24,15.36,,,,,
160,03/29/2022 20:49:24,15.27,,,,,
161,03/29/2022 20:54:24,15.18,,,,,
162,03/29/2022 20:59:24,15.06,,,,,
163,03/29/2022 21:04:24,14.93,,,,,
164,03/29/2022 21:09:24,14.80,,,,,
165,03/29/2022 21:14:24,14.67,,,,,
166,03/29/2022 21:19:24,14.63,,,,,
167,03/29/2022 21:24:24,14.45,,,,,
168,03/29/2022 21:29:24,14.37,,,,,
169,03/29/2022 21:34:24,14.33,,,,,
170,03/29/2022 21:39:24,14.24,,,,,
171,03/29/2022 21:44:24,14.15,,,,,
172,03/29/2022 21:49:24,14.07,,,,,
173,03/29/2022 21:54:24,13.98,,,,,
174,03/29/2022 21:59:24,13.94,,,,,
175,03/29/2022 22:04:24,13.85,,,,,
176,03/29/2022 22:09:24,13.77,,,,,
177,03/29/2022 22:14:24,13.73,,,,,
178,03/29/2022 22:19:24,13.60,,,,,
179,03/29/2022 22:24:24,13.55,,,,,
180,03/29/2022 22:29:24,13.47,,,,,
181,03/29/2022 22:34:24,13.43,,,,,
182,03/29/2022 22:39:24,13.30,,,,,
183,03/29/2022 22:44:24,13.12,,,,,
184,03/29/2022 22:49:24,13.00,,,,,
185,03/29/2022 22:54:24,12.91,,,,,
186,03/29/2022 22:59:24,12.82,,,,,
187,03/29/2022 23:04:24,12.74,,,,,
188,03/29/2022 23:09:24,12.65,,,,,
189,03/29/2022 23:14:24,12.57,,,,,
190,03/29/2022 23:19:24,12.44,,,,,
191,03/29/2022 23:24:24,12.35,,,,,
192,03/29/2022 23:29:24,12.31,,,,,
193,03/29/2022 23:34:24,12.22,,,,,
194,03/29/2022 23:39:24,12.18,,,,,
195,03/29/2022 23:44:24,12.18,,,,,
196,03/29/2022 23:49:24,12.18,,,,,
197,03/29/2022 23:54:24,12.05,,,,,
198,03/29/2022 23:59:24,12.05,,,,,
199,03/30/2022 00:04:24,12.01,,,,,
200,03/30/2022 00:09:24,12.01,,,,,
201,03/30/2022 00:14:24,12.01,,,,,
202,03/30/2022 00:19:24,11.88,,,,,
203,03/30/2022 00:24:24,11.84,,,,,
204,03/30/2022 00:29:24,11.71,,,,,
205,03/30/2022 00:34:24,11.62,,,,,
206,03/30/2022 00:39:24,11.58,,,,,
207,03/30/2022 00:44:24,11.49,,,,,
208,03/30/2022 00:49:24,11.49,,,,,
209,03/30/2022 00:54:24,11.45,,,,,
210,03/30/2022 00:59:24,11.45,,,,,
211,03/30/2022 01:04:24,11.37,,,,,
212,03/30/2022 01:09:24,11.32,,,,,
213,03/30/2022 01:14:24,11.24,,,,,
214,03/30/2022 01:19:24,11.28,,,,,
215,03/30/2022 01:24:24,11.24,,,,,
216,03/30/2022 01:29:24,11.28,,,,,
217,03/30/2022 01:34:24,11.28,,,,,
218,03/30/2022 01:39:24,11.19,,,,,
219,03/30/2022 01:44:24,11.19,,,,,
220,03/30/2022 01:49:24,11.19,,,,,
221,03/30/2022 01:54:24,11.19,,,,,
222,03/30/2022 01:59:24,11.24,,,,,
223,03/30/2022 02:04:24,11.28,,,,,
224,03/30/2022 02:09:24,11.32,,,,,
225,03/30/2022 02:14:24,11.28,,,,,
226,03/30/2022 02:19:24,11.28,,,,,
